begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,enddate,reasonexiteddescriptorid,servedoutsideofregularsession,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-30","255901","255901","Bilingual","1790","210",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.602980","2020-11-13 14:17:35.602782","8fa255e3-704f-4bbf-9f2b-0b5c370ba931","32193"
"2010-08-30","255901","255901","Bilingual","1790","212","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.604475","2020-11-13 14:17:35.604354","079a2cab-fdea-4861-8048-2a2af9c95ab7","32194"
"2010-08-30","255901","255901","Bilingual","1790","271",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.607659","2020-11-13 14:17:35.607457","c7862330-8979-43a3-b48a-1991ef551d1f","32195"
"2010-08-30","255901","255901","Bilingual","1790","303",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.613590","2020-11-13 14:17:35.613209","17843224-2a42-474b-984e-3dafac870d6c","32196"
"2010-08-30","255901","255901","Bilingual","1790","327",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.614428","2020-11-13 14:17:35.614265","59dcc31a-f7a8-4326-a557-b991da00302a","32197"
"2010-08-30","255901","255901","Bilingual","1790","337",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.620123","2020-11-13 14:17:35.619996","0a3d8cd9-3f8b-479c-be33-224cc9edf797","32198"
"2010-08-30","255901","255901","Bilingual","1790","345",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.624383","2020-11-13 14:17:35.623791","f683fe2e-f822-407c-8e05-26f04a185888","32199"
"2010-08-30","255901","255901","Bilingual","1790","365",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.629655","2020-11-13 14:17:35.629463","2f108c95-b7b1-4830-b0e6-199aafc057bf","32200"
"2010-08-30","255901","255901","Bilingual","1790","346","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.629777","2020-11-13 14:17:35.629527","2276f666-84b7-408b-9b44-1804738bec1f","32201"
"2010-08-30","255901","255901","Bilingual","1790","383",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.631481","2020-11-13 14:17:35.631155","a9043938-18cc-40d7-b11d-61244c3c3c78","32202"
"2010-08-30","255901","255901","Bilingual","1790","458","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.636849","2020-11-13 14:17:35.636719","d0fd5f8d-f0a9-4e95-9331-3d32887e1a87","32203"
"2010-08-30","255901","255901","Bilingual","1790","490","2010-12-17","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.639730","2020-11-13 14:17:35.639511","75bc6860-7341-4a90-b097-ef7547e39ae1","32204"
"2010-08-30","255901","255901","Bilingual","1790","544",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.641651","2020-11-13 14:17:35.641459","528c7e67-ea9b-416a-bd93-5d2c8f4ea63d","32205"
"2010-08-30","255901","255901","Bilingual","1790","548",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.646314","2020-11-13 14:17:35.645245","cf834056-6777-4387-8407-72ada9ef09a3","32206"
"2010-08-30","255901","255901","Bilingual","1790","549",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.648027","2020-11-13 14:17:35.647884","0cf41ad8-afaa-4946-937e-d7286874a28f","32207"
"2010-08-30","255901","255901","Bilingual","1790","553",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.650592","2020-11-13 14:17:35.650163","a1082c0c-18bb-47bd-a33e-c3bc3dfc4138","32208"
"2010-08-30","255901","255901","Bilingual","1790","639",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.652691","2020-11-13 14:17:35.652567","ec15a52f-74ef-450f-9f09-67f57ca4f3ec","32209"
"2010-08-30","255901","255901","Bilingual","1790","659",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.657511","2020-11-13 14:17:35.657342","522c08bc-2b01-4a87-8fd3-7c125c23fcef","32210"
"2010-08-30","255901","255901","Bilingual","1790","732",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.658930","2020-11-13 14:17:35.658798","52720d54-7d76-49a0-9e02-9584516c2e62","32211"
"2010-08-30","255901","255901","Bilingual","1790","754","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.661191","2020-11-13 14:17:35.661071","f0c78bf1-c312-4239-afa4-8a3307c116d2","32212"
"2010-08-30","255901","255901","Bilingual","1790","795",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.666303","2020-11-13 14:17:35.666011","16625652-a968-4291-8fe6-e55d6e973258","32213"
"2010-08-30","255901","255901","Bilingual","1790","827",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.668179","2020-11-13 14:17:35.667966","377c5b7f-c6f5-457e-a8e3-950a796d5d82","32214"
"2010-08-30","255901","255901","Bilingual","1790","845","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.670899","2020-11-13 14:17:35.670756","c601272e-7179-42f4-86ac-96d2c25ab5dc","32215"
"2010-08-30","255901","255901","Bilingual","1790","857",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.675896","2020-11-13 14:17:35.675422","cc589094-bfa2-429d-aaae-3e55fe7ccf3d","32216"
"2010-08-30","255901","255901","Bilingual","1790","888",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.677110","2020-11-13 14:17:35.676988","6eafcd5d-6e19-4e97-bafd-ddf415a34fbf","32217"
"2010-08-30","255901","255901","Bilingual","1790","909",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.679555","2020-11-13 14:17:35.679444","3171d3cf-d35b-4145-b1a7-ae24fd4cbec3","32218"
"2010-08-30","255901","255901","Bilingual","1790","922","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.682377","2020-11-13 14:17:35.682266","14271492-24e3-461a-85a7-4b59ed093fca","32219"
"2010-08-30","255901","255901","Gifted and Talented","1811","17","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.686871","2020-11-13 14:17:35.686185","13a05bd4-49b1-4b6a-8d0c-10c1feffaf78","32220"
"2010-08-30","255901","255901","Gifted and Talented","1811","68",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.688379","2020-11-13 14:17:35.688177","8079e943-da3b-468d-b8bb-ffef3efe958d","32221"
"2010-08-30","255901","255901","Gifted and Talented","1811","70",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.691116","2020-11-13 14:17:35.690970","a899669f-4c23-415e-a6e8-4313232a3738","32222"
"2010-08-30","255901","255901","Gifted and Talented","1811","73",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.693537","2020-11-13 14:17:35.693424","309e8df5-2ea6-4ca8-b553-09c2163179a7","32223"
"2010-08-30","255901","255901","Gifted and Talented","1811","77",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.698233","2020-11-13 14:17:35.698007","e7ed4dd3-6cdd-4189-9899-910b62815aa0","32224"
"2010-08-30","255901","255901","Gifted and Talented","1811","76",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.700865","2020-11-13 14:17:35.700728","ee75b1be-85fa-4b28-9c57-803068867657","32225"
"2010-08-30","255901","255901","Gifted and Talented","1811","81",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.702478","2020-11-13 14:17:35.702272","536e1c8e-36bf-4b66-9d96-2fea2c18854f","32226"
"2010-08-30","255901","255901","Gifted and Talented","1811","85",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.706471","2020-11-13 14:17:35.706343","9276a164-62eb-482a-bceb-a4043f7baab3","32227"
"2010-08-30","255901","255901","Gifted and Talented","1811","88",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.710595","2020-11-13 14:17:35.710412","39390831-f2d1-47e4-b9fa-33232759dea0","32228"
"2010-08-30","255901","255901","Gifted and Talented","1811","104","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.712537","2020-11-13 14:17:35.712334","0ac8355d-f43b-4cfe-8e57-199473b7ec1b","32229"
"2010-08-30","255901","255901","Gifted and Talented","1811","107","2010-12-17","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.713840","2020-11-13 14:17:35.713718","146ee78d-4888-4c2f-b55d-aa3160b58c0b","32230"
"2010-08-30","255901","255901","Gifted and Talented","1811","108",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.717592","2020-11-13 14:17:35.717472","9cd1cad2-3ad1-4918-ae7f-e2ab363419ac","32231"
"2010-08-30","255901","255901","Gifted and Talented","1811","123",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.723869","2020-11-13 14:17:35.723734","5b750dca-cec4-46a8-9ace-94563be34f5e","32232"
"2010-08-30","255901","255901","Gifted and Talented","1811","127",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.725447","2020-11-13 14:17:35.725312","bad3502d-c5cf-4be3-a74f-b3217d46f9c4","32233"
"2010-08-30","255901","255901","Gifted and Talented","1811","147",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.729463","2020-11-13 14:17:35.729347","660ed9d9-afd6-42dc-bf50-da4af89b488c","32234"
"2010-08-30","255901","255901","Gifted and Talented","1811","149",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.734850","2020-11-13 14:17:35.734724","8619a9c4-5dd1-44e4-918a-4f8ff4ea121d","32235"
"2010-08-30","255901","255901","Gifted and Talented","1811","152",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.735539","2020-11-13 14:17:35.735401","3a8d1a2e-ea0a-4399-927c-b55c4056b662","32236"
"2010-08-30","255901","255901","Gifted and Talented","1811","162","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.746571","2020-11-13 14:17:35.746446","508f75c7-71c2-4ce0-b0d6-5aa73c19f4b8","32240"
"2010-08-30","255901","255901","Gifted and Talented","1811","187",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.758394","2020-11-13 14:17:35.758209","4a0b91e3-7a52-4257-bfb4-e823fb3592e9","32243"
"2010-08-30","255901","255901","Gifted and Talented","1811","284",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.788092","2020-11-13 14:17:35.787990","2c5281c7-ef00-4aff-866e-d7745ba54d4d","32249"
"2010-08-30","255901","255901","Gifted and Talented","1811","322",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.799262","2020-11-13 14:17:35.799095","439cc275-8818-4a2e-858f-9c7fa1856fe4","32252"
"2010-08-30","255901","255901","Gifted and Talented","1811","401","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.809471","2020-11-13 14:17:35.809357","0404bdbf-abfa-40c9-b891-9bd970a5b17c","32256"
"2010-08-30","255901","255901","Gifted and Talented","1811","421",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.819554","2020-11-13 14:17:35.819381","fb1e0f00-b0da-4fcb-ad84-925e9b0eb715","32259"
"2010-08-30","255901","255901","Gifted and Talented","1811","499",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.829995","2020-11-13 14:17:35.829841","7b8dfde2-1fbd-42f7-b801-32174aa100a0","32262"
"2010-08-30","255901","255901","Gifted and Talented","1811","570",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.844257","2020-11-13 14:17:35.844173","3fc4599b-55f3-47a0-9484-30b965186662","32267"
"2010-08-30","255901","255901","Gifted and Talented","1811","582","2010-12-17","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.856505","2020-11-13 14:17:35.856373","dbfcadf0-dde3-4445-a0bd-049ba9c4fdae","32270"
"2010-08-30","255901","255901","Gifted and Talented","1811","607","2010-12-17","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.867522","2020-11-13 14:17:35.867091","9d2c27cf-2c84-41e2-920a-e345e9975163","32273"
"2010-08-30","255901","255901","Gifted and Talented","1811","672","2010-10-03","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.880974","2020-11-13 14:17:35.880870","b1070888-e781-440b-8cda-4830c1094d17","32278"
"2010-08-30","255901","255901","Gifted and Talented","1811","698",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.887907","2020-11-13 14:17:35.887751","1ba88015-90ba-46fc-a725-92de9a5faa9f","32280"
"2010-08-30","255901","255901","Gifted and Talented","1811","724",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.897396","2020-11-13 14:17:35.897267","8dabcbff-5068-477f-8ef5-a60026fa5fb5","32284"
"2010-08-30","255901","255901","Gifted and Talented","1811","755",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.907666","2020-11-13 14:17:35.907129","aa3d10d0-2481-4946-9694-52cf27aec324","32287"
"2010-08-30","255901","255901","Gifted and Talented","1811","822",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.919647","2020-11-13 14:17:35.919536","7a3c2f50-30ef-4a45-8aa1-264343e67c92","32293"
"2010-08-30","255901","255901","Gifted and Talented","1811","873",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.931402","2020-11-13 14:17:35.931307","2ed1a6b2-0df2-4073-b09c-b4295309be29","32297"
"2010-08-30","255901","255901","Gifted and Talented","1811","903",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.940659","2020-11-13 14:17:35.940552","e28e7f5b-3fa5-42d9-bb58-82810c890be7","32300"
"2010-08-30","255901","255901","Gifted and Talented","1811","934",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.947834","2020-11-13 14:17:35.947725","2a57b320-666d-4725-acf0-7bc7f07d2dd2","32302"
"2010-08-30","255901","255901","Special Education","1837","87",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.196096","2020-11-13 14:17:36.179241","4f724dbe-373f-4c7d-94d0-e89bf91a79ce","32307"
"2010-08-30","255901","255901","Special Education","1837","198",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.219340","2020-11-13 14:17:36.219158","37ae3399-f657-4cc4-8452-52e7eda5d17c","32310"
"2010-08-30","255901","255901","Special Education","1837","172","2010-10-03","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.223201","2020-11-13 14:17:36.223083","031eb956-f3f0-4a15-a757-dd8cb4c66c45","32313"
"2010-08-30","255901","255901","Special Education","1837","222",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.237989","2020-11-13 14:17:36.237840","34d9f417-9744-4fd1-80a2-86cdef9f6793","32316"
"2010-08-30","255901","255901","Special Education","1837","288",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.257450","2020-11-13 14:17:36.257326","85479e49-242c-489a-96c0-a4349834025d","32320"
"2010-08-30","255901","255901","Special Education","1837","358",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.276922","2020-11-13 14:17:36.276752","cc7b0331-ecdd-4f97-bbaa-dc74a167c36f","32325"
"2010-08-30","255901","255901","Special Education","1837","372",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.300007","2020-11-13 14:17:36.299861","2b1c9f7a-ad19-4002-94e6-9cbca6342d1a","32329"
"2010-08-30","255901","255901","Special Education","1837","371",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.306865","2020-11-13 14:17:36.306699","25543914-9f7c-4baa-bd7c-e50c332968da","32330"
"2010-08-30","255901","255901","Special Education","1837","382",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.316980","2020-11-13 14:17:36.316807","b2879689-ebbd-468a-a3c6-1605d4bd59b4","32333"
"2010-08-30","255901","255901","Special Education","1837","419","2010-12-17","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.335267","2020-11-13 14:17:36.335104","79b8c6ca-4dcc-4a6a-a83e-1fd326865219","32337"
"2010-08-30","255901","255901","Special Education","1837","424",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.344020","2020-11-13 14:17:36.343885","6c2016a9-1cf0-4482-9308-e9fb4057c3e4","32339"
"2010-08-30","255901","255901","Special Education","1837","550",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.389566","2020-11-13 14:17:36.389139","28973b1b-8a9e-4f47-9c2b-b675c78fca56","32348"
"2010-08-30","255901","255901","Special Education","1837","658",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.425336","2020-11-13 14:17:36.425172","7d2fe2ea-8765-40f0-af2a-7ebdad789382","32356"
"2010-08-30","255901","255901","Special Education","1837","681","2010-12-17","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.443351","2020-11-13 14:17:36.443210","894e39ff-bae2-413a-a283-98a293c63589","32360"
"2010-08-30","255901","255901","Special Education","1837","695","2010-12-17","1893",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.453124","2020-11-13 14:17:36.452871","963a8823-2aa9-4149-83a7-58286a7ab6b9","32361"
"2010-08-30","255901","255901","Special Education","1837","728",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.462083","2020-11-13 14:17:36.461939","1d338e19-0b8c-4eef-931b-cef828e69dcd","32364"
"2010-08-30","255901","255901","Special Education","1837","749",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.482767","2020-11-13 14:17:36.482009","11dbd040-6780-4b99-af8f-31f4bbb9dd2e","32368"
"2010-08-30","255901","255901","Special Education","1837","773",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.497976","2020-11-13 14:17:36.497440","957369aa-caa1-4411-89a3-914ebfd9e945","32371"
"2010-08-30","255901","255901","Special Education","1837","792",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.514934","2020-11-13 14:17:36.514781","c94f494d-1036-4be8-9ae2-3ad00d2ab1be","32375"
"2010-08-30","255901","255901","Special Education","1837","828","2010-12-17","1893",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.544565","2020-11-13 14:17:36.544405","2647aa5f-7d44-48cd-8a28-729825e4282b","32381"
"2010-08-30","255901","255901","Special Education","1837","853",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.550945","2020-11-13 14:17:36.550766","bd5fb849-dde4-4641-8451-4115625d01c0","32382"
"2010-08-30","255901","255901","Special Education","1837","857",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.561877","2020-11-13 14:17:36.561705","04e9a073-ccf6-4e65-9791-e25560bf4588","32385"
"2010-08-30","255901","255901","Special Education","1837","864","2010-12-17","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.569853","2020-11-13 14:17:36.569672","d34be202-1db1-4784-a3ba-b14bfe91dd43","32387"
"2010-08-30","255901","255901","Special Education","1837","884",,,,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.577495","2020-11-13 14:17:36.577360","312fa3b6-689f-4c5a-8bc5-ad18f82651a0","32389"
"2010-08-30","255901","255901","Special Education","1837","896","2010-10-03","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.595228","2020-11-13 14:17:36.594984","379e8285-48b6-4874-aaee-cf977e8db795","32393"
"2010-08-30","255901","255901","Special Education","1837","932","2010-10-03","1889",,"edfi.StudentSpecialEducationProgramAssociation","2020-11-13 14:17:36.633106","2020-11-13 14:17:36.632962","00f150b6-f414-49a7-ac34-f8ad8e726adb","32401"
"2010-08-30","255901","255901","Career and Technical Education","1795","2","2010-12-17","1893",,"edfi.StudentCTEProgramAssociation","2020-11-13 14:17:36.851675","2020-11-13 14:17:36.842762","9b183c24-f2b4-40d8-b23c-b3854dd559f6","32403"
"2010-08-30","255901","255901","Career and Technical Education","1795","79","2010-10-03","1889",,"edfi.StudentCTEProgramAssociation","2020-11-13 14:17:36.874925","2020-11-13 14:17:36.874805","95f8c73a-4a1f-49d6-ade0-a21b5f65593d","32409"
"2010-08-30","255901","255901","Career and Technical Education","1795","148",,,,"edfi.StudentCTEProgramAssociation","2020-11-13 14:17:36.896240","2020-11-13 14:17:36.896109","82491d38-0fdc-4c6c-8b57-0a58c2ba75ec","32413"
"2010-08-30","255901","255901","Career and Technical Education","1795","225",,,,"edfi.StudentCTEProgramAssociation","2020-11-13 14:17:36.911013","2020-11-13 14:17:36.910811","27e66785-f0da-4ef5-bb42-5a6ebc457f22","32418"
"2010-08-30","255901","255901","Career and Technical Education","1795","243",,,,"edfi.StudentCTEProgramAssociation","2020-11-13 14:17:36.928878","2020-11-13 14:17:36.928768","e7852661-c576-412d-87d1-f80251f8f340","32421"
"2010-08-30","255901","255901","Gifted and Talented","1811","156",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.740613","2020-11-13 14:17:35.740472","e3f03a27-fc65-4949-8902-eeacf528f106","32237"
"2010-08-30","255901","255901","Gifted and Talented","1811","161",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.745918","2020-11-13 14:17:35.745796","45dfb0f5-4387-403a-9eb5-af26d10dfc42","32239"
"2010-08-30","255901","255901","Gifted and Talented","1811","164",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.752402","2020-11-13 14:17:35.752250","2a3ab5d8-d0db-467e-bddf-13bc369ffc2a","32241"
"2010-08-30","255901","255901","Gifted and Talented","1811","184",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.756310","2020-11-13 14:17:35.756130","40b22760-db73-46cd-80dc-bc509f8bc3f7","32242"
"2010-08-30","255901","255901","Gifted and Talented","1811","256",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.767713","2020-11-13 14:17:35.767584","981b82cb-8922-4656-affe-41741c25a55f","32246"
"2010-08-30","255901","255901","Gifted and Talented","1811","260","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.786067","2020-11-13 14:17:35.785915","236a6c49-8e41-4b82-b1ac-408eb6aa0d1d","32247"
"2010-08-30","255901","255901","Gifted and Talented","1811","317",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.789880","2020-11-13 14:17:35.789515","2c7e2f85-36b7-45aa-a333-5a8bdc05f894","32250"
"2010-08-30","255901","255901","Gifted and Talented","1811","341",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.798751","2020-11-13 14:17:35.798590","7de8d86c-fa2c-445b-9141-0bc3f0fc0e37","32251"
"2010-08-30","255901","255901","Gifted and Talented","1811","414","2010-12-17","1893",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.812149","2020-11-13 14:17:35.812046","9fcf2939-a364-403c-9d10-82c06ad89548","32257"
"2010-08-30","255901","255901","Gifted and Talented","1811","458",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.821650","2020-11-13 14:17:35.821514","dca8a4d4-4d5f-4942-a3c7-b43f7a82b24a","32260"
"2010-08-30","255901","255901","Gifted and Talented","1811","518",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.831779","2020-11-13 14:17:35.831664","75f81181-6013-457b-99fa-28f3fc3bb197","32263"
"2010-08-30","255901","255901","Gifted and Talented","1811","553",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.844035","2020-11-13 14:17:35.843901","22f63e8e-0e76-476a-ac44-e32181887bed","32266"
"2010-08-30","255901","255901","Gifted and Talented","1811","594",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.855456","2020-11-13 14:17:35.855343","b8f176e5-e04b-4076-8adb-4f250fc9d0d3","32269"
"2010-08-30","255901","255901","Gifted and Talented","1811","609",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.869869","2020-11-13 14:17:35.867773","b2f82b4e-3ec4-4ce7-a64c-0d7581af9113","32274"
"2010-08-30","255901","255901","Gifted and Talented","1811","626",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.874600","2020-11-13 14:17:35.874464","10bbeb86-9d37-4f97-b5dc-6c49bbfd28b6","32275"
"2010-08-30","255901","255901","Gifted and Talented","1811","664",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.878534","2020-11-13 14:17:35.878382","23f8fe62-a1cf-42cd-be0b-69ddb23ffd13","32277"
"2010-08-30","255901","255901","Gifted and Talented","1811","705",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.888986","2020-11-13 14:17:35.888835","57b641cc-155f-42cb-a7a5-67d80febdef5","32281"
