educationorganizationid,languagedescriptorid,languageusedescriptorid,studentusi,createdate
"255901","1432","1568","875","2020-11-13 14:17:34.592350"
"255901","1322","1568","899","2020-11-13 14:17:34.746629"
"255901","1317","1568","905","2020-11-13 14:17:34.785721"
"255901","1309","1568","919","2020-11-13 14:17:34.885144"
"255901","1335","1568","933","2020-11-13 14:17:34.944882"
"255901","1313","1568","940","2020-11-13 14:17:35.003454"
"255901","1313","1568","944","2020-11-13 14:17:35.035411"
"255901","1492","1568","946","2020-11-13 14:17:35.043860"
"255901","1230","1568","947","2020-11-13 14:17:35.053715"
"255901","1317","1568","952","2020-11-13 14:17:35.083261"
"255901","1541","1568","957","2020-11-13 14:17:35.113269"
"255901","1492","1568","413","2020-11-13 14:17:31.583379"
"255901","1227","1568","417","2020-11-13 14:17:31.592920"
"255901","1203","1568","419","2020-11-13 14:17:31.607841"
"255901","1410","1568","420","2020-11-13 14:17:31.615113"
"255901","1206","1568","428","2020-11-13 14:17:31.667379"
"255901","1429","1568","435","2020-11-13 14:17:31.718881"
"255901","1498","1568","439","2020-11-13 14:17:31.742624"
"255901","1460","1568","450","2020-11-13 14:17:31.820642"
"255901","1204","1568","464","2020-11-13 14:17:31.896068"
"255901","1498","1568","477","2020-11-13 14:17:31.979847"
"255901","1201","1568","479","2020-11-13 14:17:32.003345"
"255901","1218","1568","486","2020-11-13 14:17:32.050882"
"255901","1160","1568","494","2020-11-13 14:17:32.100163"
"255901","1432","1568","511","2020-11-13 14:17:32.201179"
"255901","1483","1568","516","2020-11-13 14:17:32.226965"
"255901","1134","1568","518","2020-11-13 14:17:32.249851"
"255901","1179","1568","532","2020-11-13 14:17:32.342557"
"255901","1076","1568","536","2020-11-13 14:17:32.368635"
"255901","1398","1568","545","2020-11-13 14:17:32.421156"
"255901","1101","1568","550","2020-11-13 14:17:32.446138"
"255901","1469","1568","565","2020-11-13 14:17:32.549538"
"255901","1204","1568","572","2020-11-13 14:17:32.602533"
"255901","1479","1568","587","2020-11-13 14:17:32.704076"
"255901","1201","1568","594","2020-11-13 14:17:32.753746"
"255901","1237","1568","598","2020-11-13 14:17:32.781053"
"255901","1237","1568","603","2020-11-13 14:17:32.809769"
"255901","1179","1568","606","2020-11-13 14:17:32.830677"
"255901","1492","1568","609","2020-11-13 14:17:32.857500"
"255901","1206","1568","625","2020-11-13 14:17:32.948072"
"255901","1543","1568","626","2020-11-13 14:17:32.960641"
"255901","1328","1568","634","2020-11-13 14:17:33.013683"
"255901","1076","1568","636","2020-11-13 14:17:33.038240"
"255901","1538","1568","639","2020-11-13 14:17:33.049864"
"255901","1181","1568","642","2020-11-13 14:17:33.067988"
"255901","1313","1568","645","2020-11-13 14:17:33.100670"
"255901","1335","1568","648","2020-11-13 14:17:33.122191"
"255901","1264","1568","650","2020-11-13 14:17:33.134233"
"255901","1284","1568","656","2020-11-13 14:17:33.164240"
"255901","1309","1568","678","2020-11-13 14:17:33.298688"
"255901","1203","1568","680","2020-11-13 14:17:33.322801"
"255901","1324","1568","684","2020-11-13 14:17:33.342922"
"255901","1463","1568","704","2020-11-13 14:17:33.469076"
"255901","1208","1568","728","2020-11-13 14:17:33.623699"
"255901","1324","1568","736","2020-11-13 14:17:33.673167"
"255901","1152","1568","744","2020-11-13 14:17:33.724482"
"255901","1208","1568","757","2020-11-13 14:17:33.804365"
"255901","1469","1568","770","2020-11-13 14:17:33.893160"
"255901","1181","1568","771","2020-11-13 14:17:33.910771"
"255901","1101","1568","774","2020-11-13 14:17:33.921722"
"255901","1521","1568","783","2020-11-13 14:17:33.985041"
"255901","1158","1568","785","2020-11-13 14:17:34.000261"
"255901","1328","1568","797","2020-11-13 14:17:34.083746"
"255901","1218","1568","801","2020-11-13 14:17:34.110778"
"255901","1483","1568","809","2020-11-13 14:17:34.160931"
"255901","1160","1568","813","2020-11-13 14:17:34.188887"
"255901","1158","1568","820","2020-11-13 14:17:34.234274"
"255901","1230","1568","823","2020-11-13 14:17:34.245201"
"255901","1130","1568","838","2020-11-13 14:17:34.347386"
"255901","1432","1568","847","2020-11-13 14:17:34.399745"
"255901","1230","1568","850","2020-11-13 14:17:34.425013"
"255901","1316","1568","860","2020-11-13 14:17:34.479256"
"255901","1492","1568","861","2020-11-13 14:17:34.498920"
"255901","1218","1568","868","2020-11-13 14:17:34.546242"
"255901","1463","1568","871","2020-11-13 14:17:34.565505"
"255901","1410","1568","872","2020-11-13 14:17:34.573929"
"255901","1322","1568","879","2020-11-13 14:17:34.619216"
"255901","1208","1568","886","2020-11-13 14:17:34.670404"
"255901","1170","1568","891","2020-11-13 14:17:34.695365"
"255901","1324","1568","911","2020-11-13 14:17:34.834874"
"255901","1322","1568","924","2020-11-13 14:17:34.910513"
"255901","1284","1568","934","2020-11-13 14:17:34.973727"
"255901","1119","1568","942","2020-11-13 14:17:35.018360"
"255901","1538","1568","945","2020-11-13 14:17:35.034429"
"255901","1237","1568","949","2020-11-13 14:17:35.061059"
"255901","1317","1568","950","2020-11-13 14:17:35.069983"
"255901","1328","1568","951","2020-11-13 14:17:35.077428"
"255901","1489","1568","953","2020-11-13 14:17:35.086054"
"255901","1208","1568","954","2020-11-13 14:17:35.095060"
"255901","1206","1568","960","2020-11-13 14:17:35.133366"
"255901","1227","1568","421","2020-11-13 14:17:31.632173"
"255901","1284","1568","427","2020-11-13 14:17:31.661055"
"255901","1309","1568","437","2020-11-13 14:17:31.722093"
"255901","1483","1568","440","2020-11-13 14:17:31.743926"
"255901","1162","1568","446","2020-11-13 14:17:31.795725"
"255901","1541","1568","457","2020-11-13 14:17:31.848282"
"255901","1152","1568","466","2020-11-13 14:17:31.917940"
"255901","1136","1568","478","2020-11-13 14:17:31.996790"
"255901","1264","1568","481","2020-11-13 14:17:32.006905"
"255901","1463","1568","483","2020-11-13 14:17:32.028352"
"255901","1284","1568","491","2020-11-13 14:17:32.076891"
"255901","1538","1568","517","2020-11-13 14:17:32.241476"
"255901","1218","1568","519","2020-11-13 14:17:32.250171"
"255901","1130","1568","533","2020-11-13 14:17:32.322646"
"255901","1170","1568","535","2020-11-13 14:17:32.344495"
"255901","1463","1568","539","2020-11-13 14:17:32.368334"
"255901","1460","1568","542","2020-11-13 14:17:32.393986"
"255901","1264","1568","555","2020-11-13 14:17:32.470859"
"255901","1328","1568","576","2020-11-13 14:17:32.626839"
"255901","1119","1568","580","2020-11-13 14:17:32.655292"
"255901","1130","1568","592","2020-11-13 14:17:32.731899"
"255901","1316","1568","604","2020-11-13 14:17:32.827912"
"255901","1316","1568","613","2020-11-13 14:17:32.882849"
"255901","1203","1568","617","2020-11-13 14:17:32.909766"
"255901","1208","1568","622","2020-11-13 14:17:32.936884"
"255901","1463","1568","640","2020-11-13 14:17:33.052997"
"255901","1529","1568","646","2020-11-13 14:17:33.106691"
"255901","1227","1568","659","2020-11-13 14:17:33.174754"
"255901","1309","1568","669","2020-11-13 14:17:33.246441"
"255901","1170","1568","674","2020-11-13 14:17:33.273506"
"255901","1130","1568","689","2020-11-13 14:17:33.370664"
"255901","1130","1568","698","2020-11-13 14:17:33.421398"
"255901","1187","1568","702","2020-11-13 14:17:33.446213"
"255901","1410","1568","726","2020-11-13 14:17:33.600120"
"255901","1429","1568","731","2020-11-13 14:17:33.631922"
"255901","1204","1568","740","2020-11-13 14:17:33.675152"
"255901","1313","1568","742","2020-11-13 14:17:33.702721"
"255901","1076","1568","746","2020-11-13 14:17:33.729027"
"255901","1208","1568","753","2020-11-13 14:17:33.799258"
"255901","1227","1568","760","2020-11-13 14:17:33.822918"
"255901","1460","1568","761","2020-11-13 14:17:33.831179"
"255901","1538","1568","768","2020-11-13 14:17:33.881160"
"255901","1498","1568","778","2020-11-13 14:17:33.949648"
"255901","1498","1568","784","2020-11-13 14:17:33.985430"
"255901","1410","1568","787","2020-11-13 14:17:34.014071"
"255901","1364","1568","793","2020-11-13 14:17:34.055951"
"255901","1170","1568","795","2020-11-13 14:17:34.066977"
"255901","1230","1568","811","2020-11-13 14:17:34.164095"
"255901","1237","1568","816","2020-11-13 14:17:34.207277"
"255901","1179","1568","819","2020-11-13 14:17:34.217343"
"255901","1429","1568","822","2020-11-13 14:17:34.238276"
"255901","1529","1568","830","2020-11-13 14:17:34.296120"
"255901","1521","1568","845","2020-11-13 14:17:34.390548"
"255901","1101","1568","857","2020-11-13 14:17:34.478582"
"255901","1492","1568","864","2020-11-13 14:17:34.519508"
"255901","1521","1568","866","2020-11-13 14:17:34.527735"
"255901","1158","1568","889","2020-11-13 14:17:34.670773"
"255901","1322","1568","894","2020-11-13 14:17:34.714137"
"255901","1309","1568","900","2020-11-13 14:17:34.746436"
"255901","1187","1568","904","2020-11-13 14:17:34.785782"
"255901","1322","1568","916","2020-11-13 14:17:34.863204"
"255901","1483","1568","922","2020-11-13 14:17:34.887112"
"255901","1136","1568","928","2020-11-13 14:17:34.936344"
"255901","1264","1568","937","2020-11-13 14:17:34.988185"
"255901","1119","1568","956","2020-11-13 14:17:35.107634"
"255901","1460","1568","959","2020-11-13 14:17:35.126371"
"255901","1432","1568","431","2020-11-13 14:17:31.687666"
"255901","1134","1568","451","2020-11-13 14:17:31.823424"
"255901","1162","1568","456","2020-11-13 14:17:31.851540"
"255901","1316","1568","461","2020-11-13 14:17:31.892801"
"255901","1432","1568","475","2020-11-13 14:17:31.974173"
"255901","1170","1568","482","2020-11-13 14:17:32.024001"
"255901","1134","1568","501","2020-11-13 14:17:32.129225"
"255901","1206","1568","504","2020-11-13 14:17:32.154439"
"255901","1317","1568","521","2020-11-13 14:17:32.268451"
"255901","1492","1568","538","2020-11-13 14:17:32.345415"
"255901","1158","1568","543","2020-11-13 14:17:32.392856"
"255901","1179","1568","556","2020-11-13 14:17:32.495153"
"255901","1187","1568","569","2020-11-13 14:17:32.594024"
"255901","1101","1568","577","2020-11-13 14:17:32.631197"
"255901","1119","1568","579","2020-11-13 14:17:32.651132"
"255901","1170","1568","582","2020-11-13 14:17:32.679654"
"255901","1316","1568","608","2020-11-13 14:17:32.835367"
"255901","1489","1568","612","2020-11-13 14:17:32.862631"
"255901","1324","1568","664","2020-11-13 14:17:33.216844"
"255901","1227","1568","716","2020-11-13 14:17:33.549931"
"255901","1364","1568","735","2020-11-13 14:17:33.649670"
"255901","1541","1568","798","2020-11-13 14:17:34.086765"
"255901","1538","1568","802","2020-11-13 14:17:34.110639"
"255901","1170","1568","806","2020-11-13 14:17:34.137290"
"255901","1227","1568","821","2020-11-13 14:17:34.240750"
"255901","1076","1568","825","2020-11-13 14:17:34.265044"
"255901","1203","1568","895","2020-11-13 14:17:34.721891"
"255901","1101","1568","914","2020-11-13 14:17:34.836566"
"255901","1227","1568","929","2020-11-13 14:17:34.936555"
