namespace,questioncode,surveyidentifier,surveyresponseidentifier,noresponse,comment,discriminator,createdate,lastmodifieddate,id,changeversion
"uri://gbisd.edu","CE_1_Q1","CE_1","00533","false",,"NULL","2020-11-13 14:21:13.874918","2020-11-13 14:21:13.874794","779a6b05-8695-4681-9dd7-06cafdf63a23","88408"
"uri://gbisd.edu","CE_1_Q2","CE_1","00533","false",,"NULL","2020-11-13 14:21:13.875992","2020-11-13 14:21:13.875876","4c039c04-f5aa-4053-a4f5-879f52e74ff6","88409"
"uri://gbisd.edu","CE_1_Q3","CE_1","00533","false",,"NULL","2020-11-13 14:21:13.876692","2020-11-13 14:21:13.876594","d98a16e0-2fca-4608-9e79-574ca42b1778","88410"
"uri://gbisd.edu","CE_1_Q4","CE_1","00533","false",,"NULL","2020-11-13 14:21:13.878146","2020-11-13 14:21:13.878044","1f87d1b6-8b9b-46dd-a58a-21f29e7760cf","88411"
"uri://gbisd.edu","CE_1_Q5","CE_1","00533","false",,"NULL","2020-11-13 14:21:13.882169","2020-11-13 14:21:13.882010","4b687e80-649f-4146-89a2-0e9d58d6927d","88412"
"uri://gbisd.edu","CE_1_Q1","CE_1","00626","false",,"NULL","2020-11-13 14:21:13.882902","2020-11-13 14:21:13.882804","cc9a848b-296a-40a2-a56e-fd32ce590dd7","88413"
"uri://gbisd.edu","CE_1_Q2","CE_1","00626","false",,"NULL","2020-11-13 14:21:13.883667","2020-11-13 14:21:13.883548","cb05f00d-d961-4396-a6d5-9bbe91695cfd","88414"
"uri://gbisd.edu","CE_1_Q3","CE_1","00626","false",,"NULL","2020-11-13 14:21:13.885213","2020-11-13 14:21:13.885099","8d3ca1d5-090a-4ed7-b368-b046035f2c55","88415"
"uri://gbisd.edu","CE_1_Q4","CE_1","00626","false",,"NULL","2020-11-13 14:21:13.890502","2020-11-13 14:21:13.890326","042f175c-98e0-45b9-b892-f8a3fc6acb5f","88416"
"uri://gbisd.edu","CE_1_Q5","CE_1","00626","false",,"NULL","2020-11-13 14:21:13.891884","2020-11-13 14:21:13.891748","323eea13-29b4-4316-bd43-396d1bfc5824","88417"
"uri://gbisd.edu","CE_1_Q1","CE_1","00977","false",,"NULL","2020-11-13 14:21:13.892322","2020-11-13 14:21:13.892193","e208e1bd-6c39-4c68-80a1-184d572d8678","88418"
"uri://gbisd.edu","CE_1_Q2","CE_1","00977","false",,"NULL","2020-11-13 14:21:13.892623","2020-11-13 14:21:13.892500","d60cc45a-9bb8-4f47-b772-6a8e1b9f6430","88419"
"uri://gbisd.edu","CE_1_Q3","CE_1","00977","true",,"NULL","2020-11-13 14:21:13.899726","2020-11-13 14:21:13.899568","66cc24cf-1ca2-4fb6-86f6-e77c70912d5f","88420"
"uri://gbisd.edu","CE_1_Q4","CE_1","00977","false",,"NULL","2020-11-13 14:21:13.900072","2020-11-13 14:21:13.899934","0bf8dea7-a9f5-4d7c-adec-ac029d085334","88421"
"uri://gbisd.edu","CE_1_Q5","CE_1","00977","false",,"NULL","2020-11-13 14:21:13.999062","2020-11-13 14:21:13.998901","8cc21ab7-5f62-4d82-9004-e0f2fbc76f8a","88422"
"uri://gbisd.edu","CE_1_Q1","CE_1","01112","false",,"NULL","2020-11-13 14:21:14.000290","2020-11-13 14:21:13.999331","0ec39312-afcb-4f0b-b303-5904c0495624","88423"
"uri://gbisd.edu","CE_1_Q2","CE_1","01112","false",,"NULL","2020-11-13 14:21:14.002064","2020-11-13 14:21:14.001399","3e51fff0-fd88-46d2-87bf-35f68a4d4966","88424"
"uri://gbisd.edu","CE_1_Q3","CE_1","01112","false",,"NULL","2020-11-13 14:21:14.005130","2020-11-13 14:21:14.004963","51d7b269-073a-45f8-8bd5-45dd34247ed6","88425"
"uri://gbisd.edu","CE_1_Q4","CE_1","01112","false",,"NULL","2020-11-13 14:21:14.013155","2020-11-13 14:21:14.012904","a445fc6a-66d5-4240-baa0-705cb115c8e3","88426"
"uri://gbisd.edu","CE_1_Q1","CE_1","01235","false",,"NULL","2020-11-13 14:21:14.014263","2020-11-13 14:21:14.014116","49a75e36-cc93-46ea-8e3e-8cf4dee5a52f","88427"
"uri://gbisd.edu","CE_1_Q5","CE_1","01112","false",,"NULL","2020-11-13 14:21:14.021219","2020-11-13 14:21:14.021012","d20e9a5a-a2d7-4660-8ae2-b80ce7f620fc","88428"
"uri://gbisd.edu","CE_1_Q2","CE_1","01235","true",,"NULL","2020-11-13 14:21:14.021433","2020-11-13 14:21:14.021092","b03b87dd-b440-4b09-a4cc-e3653189cfe6","88429"
"uri://gbisd.edu","CE_1_Q3","CE_1","01235","false",,"NULL","2020-11-13 14:21:14.021806","2020-11-13 14:21:14.021660","d40ad8a4-3de7-416f-a184-e042d7324ec8","88430"
"uri://gbisd.edu","CE_1_Q5","CE_1","01235","false",,"NULL","2020-11-13 14:21:14.035964","2020-11-13 14:21:14.033887","2991c6e4-f125-4a5f-9ce5-45b228b9d18f","88431"
"uri://gbisd.edu","CE_1_Q4","CE_1","01235","false",,"NULL","2020-11-13 14:21:14.038063","2020-11-13 14:21:14.037866","9b706fb8-6282-476f-acd3-252a7e1a6ca9","88432"
