begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,priorityforservices,lastqualifyingmove,continuationofservicesreasondescriptorid,usinitialentry,usmostrecententry,usinitialschoolentry,qualifyingarrivaldate,stateresidencydate,eligibilityexpirationdate
"2010-08-30","255901","255901","Migrant Education","1825","292","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","295","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","296","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","297","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","298","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","299","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","301","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","304","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","305","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","306","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","307","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","308","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","309","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","310","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","311","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","312","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","313","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","314","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","315","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","316","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","318","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","317","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","320","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","319","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","321","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","323","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","322","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","324","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","325","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","326","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","327","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","328","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","329","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","330","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","331","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","332","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","334","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","333","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","335","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","340","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","338","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","339","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","341","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","344","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","343","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","342","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","345","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","346","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","348","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","349","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","355","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","359","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","396","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","358","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","401","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","407","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","410","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","411","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","414","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","417","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","418","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","420","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","422","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","423","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","425","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","426","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","427","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","428","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","429","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","430","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","433","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","436","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","435","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","441","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","443","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","448","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","453","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","454","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","458","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","462","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","465","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","468","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","470","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","474","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","476","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","479","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","481","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","484","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","489","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","494","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","497","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","502","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","513","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","531","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","560","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","562","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","593","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","604","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","612","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","613","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","616","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","621","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","622","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","631","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","634","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","636","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","643","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","645","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","648","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","655","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","659","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","663","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","668","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","671","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","676","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","678","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","684","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","690","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","696","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","698","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","710","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","800","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","437","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","440","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","442","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","444","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","446","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","447","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","451","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","455","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","457","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","459","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","463","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","467","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","469","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","473","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","475","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","477","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","478","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","480","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","482","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","485","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","487","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","488","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","491","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","492","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","498","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","499","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","501","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","503","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","505","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","511","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","544","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","547","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","583","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","605","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","607","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","609","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","614","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","620","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","623","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","627","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","633","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","638","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","642","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","647","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","646","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","650","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","658","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","664","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","665","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","669","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","673","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","681","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","685","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","688","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","697","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","707","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","721","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","852","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","452","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","461","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","472","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","490","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","496","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","500","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","618","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","625","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","632","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","639","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","641","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","644","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","651","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","654","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","657","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","661","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","667","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","674","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","679","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","680","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","689","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","692","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","700","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","796","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","907","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","434","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","439","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","445","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","449","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","450","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","456","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","460","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","464","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","466","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","483","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","486","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","493","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","495","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","504","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","507","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","512","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","522","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","528","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","546","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","602","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","606","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","610","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","617","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","619","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","624","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","626","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","630","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","635","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","637","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","640","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","652","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","649","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","656","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","660","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","662","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","666","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","670","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","677","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","682","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","687","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","686","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","691","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","699","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","715","false","2010-08-31",,,,,,,
"2010-08-30","255901","255901","Migrant Education","1825","902","false","2010-08-31",,,,,,,
