parentusi,studentusi,relationdescriptorid,primarycontactstatus,liveswith,emergencycontactstatus,contactpriority,contactrestrictions,discriminator,createdate,lastmodifieddate,id,changeversion
"167","103","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.438803","2020-11-13 14:16:24.438657","4eef34d3-bc22-4667-9c91-bb53626976a5","14733"
"170","105","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.447454","2020-11-13 14:16:24.447365","18d242e7-8666-487e-a929-330d3919a9f8","14737"
"174","107","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.455689","2020-11-13 14:16:24.455554","81d0398d-bf50-45a0-8c29-647bc7298267","14741"
"182","111","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.476773","2020-11-13 14:16:24.476706","84379411-d09b-42a9-88e9-75caaa12cfc4","14749"
"185","113","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.484569","2020-11-13 14:16:24.483880","d8031c5a-fab1-4b1c-b321-1e02a7c4a007","14751"
"187","114","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.493560","2020-11-13 14:16:24.492906","447d1595-6021-4fae-a9e7-d32ffd57e69c","14754"
"193","118","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.503358","2020-11-13 14:16:24.502948","70234f2d-b5bf-458d-b901-20d8251b66f7","14760"
"198","121","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.521258","2020-11-13 14:16:24.520562","780c6b51-f0b2-4f32-8c74-ad9954daf895","14766"
"211","129","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.547288","2020-11-13 14:16:24.547174","cd754bd5-f617-4a03-aa67-be3666704bba","14778"
"215","131","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.555690","2020-11-13 14:16:24.555602","e5fc2248-3a0a-4ebb-88a7-397a62ee867d","14781"
"218","133","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.563921","2020-11-13 14:16:24.563839","4456078a-756e-4c8e-8f36-93dbaaeaa64e","14785"
"221","135","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.573492","2020-11-13 14:16:24.573420","5b3857d7-2e41-45f8-b543-e84eda9a08c1","14789"
"226","138","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.584923","2020-11-13 14:16:24.584846","2d47955e-a99c-4b93-9b90-62c0102c78b9","14794"
"236","145","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.606586","2020-11-13 14:16:24.606428","dfccde32-ba07-44df-ae46-14882d108a2b","14803"
"252","154","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.642689","2020-11-13 14:16:24.642443","ca5b5972-17a5-4892-ad47-abefe1c563e5","14819"
"255","156","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.651527","2020-11-13 14:16:24.651440","03b10ebb-a3fe-4824-ac2d-7f4362c23ef0","14822"
"261","159","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.665026","2020-11-13 14:16:24.664792","904f1232-1cad-4c69-9dd0-6ffd7d0fb60f","14827"
"266","161","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.679208","2020-11-13 14:16:24.679088","5cf72185-086a-48fa-aca8-93a725cfd671","14831"
"268","163","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.688656","2020-11-13 14:16:24.688066","b55887a0-86bf-4ae1-8498-816b411b1621","14835"
"274","166","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.698479","2020-11-13 14:16:24.698409","26044265-c7ee-45c9-9586-7482b052341f","14841"
"277","169","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.705687","2020-11-13 14:16:24.705600","b425a93d-b19b-438b-a536-48aa4ffe5701","14843"
"279","170","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.712374","2020-11-13 14:16:24.712302","9ea9d408-1ff8-4733-ae00-03b065f8dbe9","14846"
"285","173","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.723829","2020-11-13 14:16:24.723517","b52b7bb6-7e95-4bfc-86ea-85bfb8a6c5ba","14852"
"290","174","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.734844","2020-11-13 14:16:24.734781","9b83c383-0176-42a8-8091-631e12a84c50","14857"
"295","179","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.744779","2020-11-13 14:16:24.744707","25445d41-4f01-4308-ab9a-8e12ed754a5d","14862"
"299","180","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.752572","2020-11-13 14:16:24.752497","a3e7bb03-07d0-4cbd-b09c-89d97573f1b0","14866"
"302","182","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.767482","2020-11-13 14:16:24.767419","6c469f1a-bef0-4ffb-804e-457a95949399","14870"
"307","185","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.778098","2020-11-13 14:16:24.778030","a7369384-21b1-40cf-be2f-4a488f1a56de","14873"
"309","187","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.786414","2020-11-13 14:16:24.786335","e861965a-6e99-4384-82b5-aba2299136cd","14877"
"314","190","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.796305","2020-11-13 14:16:24.796243","08859c70-5ac2-4c3e-8bce-8548678957d7","14882"
"318","192","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.804151","2020-11-13 14:16:24.804106","06d72daa-d0c6-4f07-8df6-31d6c2075581","14885"
"321","194","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.812754","2020-11-13 14:16:24.812708","5b08db31-6fe9-4952-b68e-152eb1716465","14889"
"325","197","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.819716","2020-11-13 14:16:24.819610","5f17fb52-dc73-4648-b1c7-7f63a7162af9","14892"
"329","200","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.829380","2020-11-13 14:16:24.828999","9dc1ebee-8a5c-499b-95aa-7a41df00ebf1","14896"
"334","205","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.839065","2020-11-13 14:16:24.838941","0ad9361e-93c5-423d-8125-cee416512dec","14900"
"336","206","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.847643","2020-11-13 14:16:24.847533","186675c0-dbc2-49d3-b820-7fa50ad1892a","14904"
"344","210","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.863297","2020-11-13 14:16:24.863194","2b2b6cc9-35cd-4ce3-bfbe-d1be4560d40e","14911"
"346","211","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.866279","2020-11-13 14:16:24.866094","55bc13c1-27a6-4d5a-a762-a6065cc022c7","14913"
"349","213","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.872306","2020-11-13 14:16:24.872251","eabac4dd-88dc-4725-bc42-dbf013e5b6dd","14916"
"354","215","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.882093","2020-11-13 14:16:24.882020","8295719d-6132-4950-8f91-860ab6cc38ea","14921"
"358","218","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.891883","2020-11-13 14:16:24.891696","f8c90ea8-e333-4b2c-9be0-082fa994b82d","14925"
"363","221","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.902708","2020-11-13 14:16:24.902636","3649d028-2b30-4518-a99c-61d11d2b9f17","14930"
"368","224","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.916008","2020-11-13 14:16:24.915919","390fb626-70a2-4c00-aefc-ff4ed09d9700","14935"
"370","225","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.918672","2020-11-13 14:16:24.918536","03df2357-a273-45e2-9f3b-86db5d34105a","14937"
"377","230","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.933307","2020-11-13 14:16:24.933222","23c1eb51-db8f-4214-9513-c3f06699c76b","14944"
"380","232","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.941591","2020-11-13 14:16:24.941485","fc232082-82b6-48bd-b433-07cbcd07edda","14947"
"385","234","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.950936","2020-11-13 14:16:24.950859","01d3638d-30f2-4d54-9cf9-ac3209ad5e26","14952"
"390","238","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.960746","2020-11-13 14:16:24.960669","f1b82589-4da1-4a66-969a-e9a2209aee74","14957"
"4","3","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.047681","2020-11-13 14:16:24.046046","383f35de-d8f0-4f4d-ab3e-bac64bf2f77b","14570"
"7","4","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.062477","2020-11-13 14:16:24.062411","a651c61c-3113-48d4-b35d-ebcb26e69c09","14575"
"9","6","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.072029","2020-11-13 14:16:24.071942","ef8cc913-4a34-4c10-846f-995358e96a53","14576"
"14","5","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.082014","2020-11-13 14:16:24.081923","caabe1cc-c268-4637-a4ee-c4223596ac57","14580"
"19","12","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.090990","2020-11-13 14:16:24.090852","f1f06185-5486-4b6e-849b-d406e2bf2977","14585"
"21","11","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.100650","2020-11-13 14:16:24.100581","872c4007-7e27-42b9-9ec7-975a9ed345d1","14589"
"23","14","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.109242","2020-11-13 14:16:24.109128","a754b30f-997f-4a1d-bebb-b531586e19a0","14592"
"27","17","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.114345","2020-11-13 14:16:24.114243","676950ed-791e-47c9-baa1-2d1a4b297d82","14595"
"31","18","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.123783","2020-11-13 14:16:24.123126","c2f8e673-b558-44d2-a426-c18c9739a588","14599"
"34","20","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.128688","2020-11-13 14:16:24.128509","fe9b4af7-fa25-4442-abc7-8af9c53ea6bf","14601"
"36","22","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.131925","2020-11-13 14:16:24.131867","f7b09edb-7277-4437-961e-b48b6d8aa17f","14603"
"42","24","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.145427","2020-11-13 14:16:24.145237","93baffb2-b46a-4984-badf-5e7ee20aa971","14609"
"46","30","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.153466","2020-11-13 14:16:24.153380","6925321d-6848-4cc1-9644-560fe1d5cf2f","14613"
"50","29","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.161493","2020-11-13 14:16:24.160968","1b897fb9-a31f-4ad6-9813-c8168a58f6ca","14617"
"54","32","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.173109","2020-11-13 14:16:24.172662","c3e4185b-24ee-4103-8c42-92c032a5e8a8","14620"
"58","34","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.182512","2020-11-13 14:16:24.182436","f8bf591b-8137-42b3-81ad-059335bd314c","14624"
"61","37","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.192053","2020-11-13 14:16:24.191966","baec9c88-20b6-41a8-923f-bc1a5647cffe","14629"
"65","39","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.200307","2020-11-13 14:16:24.200234","08610472-d768-4bd1-b31f-48d78f1cded4","14633"
"70","42","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.208493","2020-11-13 14:16:24.208433","b16cbd4d-1872-4b04-8c72-7aa5035f19ae","14637"
"75","45","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.217704","2020-11-13 14:16:24.217637","9b652bcf-4b25-4907-a3b1-4237d30e8af0","14641"
"77","47","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.224621","2020-11-13 14:16:24.224542","a8725f3f-30f1-47a9-9414-6fb544a443ef","14644"
"80","49","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.231126","2020-11-13 14:16:24.231049","53f81f66-78c4-47c8-b6ce-5d8a27c90c01","14647"
"82","50","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.233638","2020-11-13 14:16:24.233548","738cd836-5d80-4c48-8c51-96a1078856a2","14648"
"86","53","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.242661","2020-11-13 14:16:24.242409","1be93267-d3b6-4943-9ce3-5a9b8c371fec","14653"
"89","55","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.250069","2020-11-13 14:16:24.249979","12ee6267-0cf0-4a69-8ad9-bd4f45fad5d3","14656"
"92","57","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.258698","2020-11-13 14:16:24.258402","bbc77486-1fb8-48ef-99d7-f94b07ffeaaa","14659"
"94","58","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.262486","2020-11-13 14:16:24.261963","b0260e67-8697-4de2-a8dc-5ec90632ddfa","14662"
"97","60","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.268296","2020-11-13 14:16:24.267936","ba9c0f8d-fc2f-45f1-83d6-526822684013","14664"
"105","67","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.286433","2020-11-13 14:16:24.286354","63bbca37-0523-4224-aab3-048a64c60c65","14673"
"108","68","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.295562","2020-11-13 14:16:24.295490","011cebfc-415d-456c-882a-b3c9eae37f22","14675"
"114","72","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.306618","2020-11-13 14:16:24.306511","87f79c08-afdc-4b4d-96f6-a15964deef01","14682"
"116","73","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.314380","2020-11-13 14:16:24.314297","aa80e03a-5a58-4ffd-8085-3affde84ec9e","14683"
"119","77","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.318366","2020-11-13 14:16:24.318051","b2a1e7ea-fa61-4b0c-9cfe-b1c04b8b1f96","14686"
"122","79","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.325185","2020-11-13 14:16:24.325125","ad3c0171-de3d-4933-9061-f45aa08de2a6","14689"
"124","78","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.339962","2020-11-13 14:16:24.339878","cfc69c81-a4e1-4a73-a168-a3249c8bb186","14691"
"130","82","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.350546","2020-11-13 14:16:24.350484","588a8d5f-66b5-453b-9b9a-1a728afa41c5","14696"
"132","84","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.358333","2020-11-13 14:16:24.358188","9c4f9eb8-9b73-43da-9659-bf0b91bc8de6","14699"
"133","85","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.362780","2020-11-13 14:16:24.362704","f5c58fbe-0ad6-48ec-ab6c-9a22e1165497","14701"
"136","86","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.367616","2020-11-13 14:16:24.367541","ab379edd-389f-4dba-87be-4fa1d3f62617","14703"
"140","89","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.377281","2020-11-13 14:16:24.377187","1a45b05e-d447-4b2d-bd12-aa486cfc6fc1","14707"
"142","90","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.381673","2020-11-13 14:16:24.381583","ab584d63-69a8-422b-a9af-0484aa7f2cc5","14709"
"147","92","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.394251","2020-11-13 14:16:24.394180","83cc4b4a-80a4-4f7a-b355-069e9e4943d0","14714"
"150","94","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.401927","2020-11-13 14:16:24.401854","21e8c00b-723d-468d-9e56-4fa137f6f27e","14717"
"153","96","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.408785","2020-11-13 14:16:24.408667","18576cb9-69bc-4547-b852-b96f288c5631","14720"
"155","97","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.411937","2020-11-13 14:16:24.411893","72df5be7-a483-412d-9d5e-6885a0eef3b1","14722"
"157","98","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.418664","2020-11-13 14:16:24.418270","a4ece173-a01b-469f-984d-3f98a72c41ed","14724"
"160","99","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.423984","2020-11-13 14:16:24.423697","d8878ad6-1965-4d83-9631-6e9ad2b97304","14727"
"162","101","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.429397","2020-11-13 14:16:24.428965","22134008-5d06-4aa1-8585-79889a3fdb10","14729"
"164","102","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.435542","2020-11-13 14:16:24.434915","1a052261-916d-4c69-8b29-c5aaa4c47999","14731"
"173","107","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.455051","2020-11-13 14:16:24.454979","efd0ce92-1ef6-4381-b6c3-1f7bcbff106e","14740"
"176","108","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.462784","2020-11-13 14:16:24.462723","da0e6671-fab8-4197-9765-e460830eacd9","14743"
"178","109","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.468511","2020-11-13 14:16:24.468413","019efcc7-21a4-4562-901b-fc365a8ba526","14745"
"180","110","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.475502","2020-11-13 14:16:24.475376","a9181b25-d422-4163-b26b-1725f3b307e7","14748"
"184","112","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.484698","2020-11-13 14:16:24.484272","51e85266-ae26-41f8-bfab-fc3ae6b47721","14752"
"190","116","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.495188","2020-11-13 14:16:24.495118","2d1e5090-0051-436e-9c92-0735f4032070","14756"
"192","117","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.503034","2020-11-13 14:16:24.502895","616fb0a9-72eb-4fe7-b7be-088c04c64768","14759"
"195","119","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.511867","2020-11-13 14:16:24.511787","ac8a5347-67ca-4a81-abcb-abfa78e6d22c","14762"
"196","120","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.514867","2020-11-13 14:16:24.514783","492fbddd-8090-4a9c-9000-856b28288b8d","14763"
"201","123","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.524790","2020-11-13 14:16:24.524613","4620b6b4-8444-46a5-a92a-ca9056208a84","14768"
"202","123","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.528921","2020-11-13 14:16:24.528226","5c1b313f-c971-408c-b2f5-c86dc66c0c45","14769"
"204","124","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.532055","2020-11-13 14:16:24.531846","2f6b8985-6737-4505-9fee-4819039ab31d","14771"
"206","125","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.537229","2020-11-13 14:16:24.537157","77dda6c9-0e6a-4142-8c9f-50bbff30962d","14773"
"208","127","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.540287","2020-11-13 14:16:24.540165","e43de62a-8ca8-4072-9cda-d7f6c9c7409c","14775"
"210","129","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.546754","2020-11-13 14:16:24.546670","7b8c5b50-fe30-40ba-aaff-8b0be4362a41","14777"
"216","132","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.559601","2020-11-13 14:16:24.559121","0f0ce46c-fbe3-4f29-9262-8d3bf7057f0b","14783"
"223","136","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.574302","2020-11-13 14:16:24.574217","aaa39d81-1538-4769-b4a3-d0edefea847d","14790"
"225","137","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.582254","2020-11-13 14:16:24.582131","bd49c8c0-7b4e-48d8-aaf1-7651529f49ae","14792"
"229","140","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.590976","2020-11-13 14:16:24.590907","140a9e44-4268-4c4d-9f9d-50c3a7b61f1d","14796"
"231","141","1934","false","true","true",,,"NULL","2020-11-13 14:16:24.594246","2020-11-13 14:16:24.593867","be5901b5-868e-49f9-be08-66c6589ef699","14798"
"234","142","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.598104","2020-11-13 14:16:24.598030","21ab2c43-c7af-4773-87db-b8fe95edd9a2","14799"
"233","144","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.600974","2020-11-13 14:16:24.600920","e24b1c77-4eea-4ac8-8222-d894d8ae3a32","14801"
"238","146","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.608536","2020-11-13 14:16:24.608399","9b1e2fb9-51d7-4b25-ae01-0b5cfa49b9d3","14805"
"241","147","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.616036","2020-11-13 14:16:24.615962","ebec2c64-7e20-4ca8-b062-eb423462f0b8","14807"
"243","149","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.622801","2020-11-13 14:16:24.622541","c1898f2a-486d-4b21-ac4e-1c7e20073411","14810"
"246","151","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.628359","2020-11-13 14:16:24.628275","947b1097-4170-4c7c-86ee-45c7fa764fa7","14813"
"248","152","1952","true","true","true",,,"NULL","2020-11-13 14:16:24.634012","2020-11-13 14:16:24.633767","79e6f79d-e307-43f4-b7f9-7509c74d730a","14815"
"257","157","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.652273","2020-11-13 14:16:24.652169","780d5a59-df70-4aeb-9b6f-57b47dc962be","14823"
"262","160","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.667212","2020-11-13 14:16:24.667134","901acff0-c592-47f5-bf9f-990bafd07629","14829"
"265","162","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.679986","2020-11-13 14:16:24.679909","20460d27-afa7-4f5f-88f1-e686394a6951","14833"
"270","164","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.690089","2020-11-13 14:16:24.690036","d1113e38-d7dc-4e98-bd73-9cba25b5a263","14837"
"272","165","1934","false","true","false",,,"NULL","2020-11-13 14:16:24.696658","2020-11-13 14:16:24.696592","f8bbb88c-fbeb-4868-83d3-18eac71750ec","14839"
"203","124","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.530522","2020-11-13 14:16:24.530437","33cf99f4-305e-407e-8eb7-22fbbab6289e","14770"
"205","125","1952","true","true","false",,,"NULL","2020-11-13 14:16:24.534028","2020-11-13 14:16:24.533786","742141c8-6ebb-4cfe-9952-0714ba70efa3","14772"
