educationorganizationid,racedescriptorid,studentusi,createdate
"255901","1886","40","2020-11-13 14:17:28.775492"
"255901","1883","41","2020-11-13 14:17:28.782994"
"255901","1886","42","2020-11-13 14:17:28.790777"
"255901","1885","44","2020-11-13 14:17:28.799518"
"255901","1883","43","2020-11-13 14:17:28.799598"
"255901","1886","45","2020-11-13 14:17:28.817402"
"255901","1881","46","2020-11-13 14:17:28.821792"
"255901","1883","47","2020-11-13 14:17:28.829039"
"255901","1884","48","2020-11-13 14:17:28.831099"
"255901","1886","49","2020-11-13 14:17:28.842518"
"255901","1884","50","2020-11-13 14:17:28.847836"
"255901","1886","52","2020-11-13 14:17:28.854626"
"255901","1883","51","2020-11-13 14:17:28.858231"
"255901","1881","53","2020-11-13 14:17:28.869848"
"255901","1881","54","2020-11-13 14:17:28.873386"
"255901","1884","55","2020-11-13 14:17:28.881253"
"255901","1886","56","2020-11-13 14:17:28.886328"
"255901","1883","57","2020-11-13 14:17:28.898393"
"255901","1881","58","2020-11-13 14:17:28.902168"
"255901","1885","59","2020-11-13 14:17:28.908338"
"255901","1886","60","2020-11-13 14:17:28.914584"
"255901","1886","61","2020-11-13 14:17:28.928113"
"255901","1881","62","2020-11-13 14:17:28.933793"
"255901","1884","63","2020-11-13 14:17:28.937704"
"255901","1883","64","2020-11-13 14:17:28.941725"
"255901","1885","65","2020-11-13 14:17:28.962657"
"255901","1883","67","2020-11-13 14:17:28.963449"
"255901","1884","68","2020-11-13 14:17:28.971734"
"255901","1885","66","2020-11-13 14:17:28.975056"
"255901","1884","69","2020-11-13 14:17:28.988366"
"255901","1881","70","2020-11-13 14:17:28.989304"
"255901","1884","71","2020-11-13 14:17:28.998349"
"255901","1886","73","2020-11-13 14:17:29.010797"
"255901","1886","72","2020-11-13 14:17:29.011838"
"255901","1885","74","2020-11-13 14:17:29.012459"
"255901","1881","75","2020-11-13 14:17:29.026197"
"255901","1883","79","2020-11-13 14:17:29.033473"
"255901","1885","77","2020-11-13 14:17:29.033519"
"255901","1881","76","2020-11-13 14:17:29.041486"
"255901","1886","78","2020-11-13 14:17:29.049365"
"255901","1885","80","2020-11-13 14:17:29.057013"
"255901","1881","81","2020-11-13 14:17:29.070197"
"255901","1881","82","2020-11-13 14:17:29.071357"
"255901","1885","83","2020-11-13 14:17:29.075896"
"255901","1886","84","2020-11-13 14:17:29.083650"
"255901","1883","85","2020-11-13 14:17:29.094164"
"255901","1881","86","2020-11-13 14:17:29.100747"
"255901","1881","87","2020-11-13 14:17:29.109910"
"255901","1884","88","2020-11-13 14:17:29.114950"
"255901","1881","89","2020-11-13 14:17:29.122953"
"255901","1885","90","2020-11-13 14:17:29.124896"
"255901","1886","91","2020-11-13 14:17:29.135133"
"255901","1886","92","2020-11-13 14:17:29.143426"
"255901","1885","94","2020-11-13 14:17:29.149718"
"255901","1881","93","2020-11-13 14:17:29.150049"
"255901","1885","95","2020-11-13 14:17:29.163631"
"255901","1881","96","2020-11-13 14:17:29.167945"
"255901","1886","97","2020-11-13 14:17:29.173907"
"255901","1883","98","2020-11-13 14:17:29.176424"
"255901","1883","99","2020-11-13 14:17:29.191082"
"255901","1886","100","2020-11-13 14:17:29.194034"
"255901","1885","101","2020-11-13 14:17:29.197350"
"255901","1883","103","2020-11-13 14:17:29.215046"
"255901","1881","105","2020-11-13 14:17:29.219539"
"255901","1886","104","2020-11-13 14:17:29.219749"
"255901","1881","102","2020-11-13 14:17:29.231291"
"255901","1886","106","2020-11-13 14:17:29.241604"
"255901","1884","107","2020-11-13 14:17:29.244439"
"255901","1884","108","2020-11-13 14:17:29.244717"
"255901","1884","109","2020-11-13 14:17:29.268893"
"255901","1886","110","2020-11-13 14:17:29.271736"
"255901","1886","111","2020-11-13 14:17:29.272815"
"255901","1886","112","2020-11-13 14:17:29.276550"
"255901","1884","113","2020-11-13 14:17:29.297827"
"255901","1885","115","2020-11-13 14:17:29.300290"
"255901","1884","114","2020-11-13 14:17:29.300890"
"255901","1881","116","2020-11-13 14:17:29.304850"
"255901","1883","117","2020-11-13 14:17:29.321626"
"255901","1883","118","2020-11-13 14:17:29.326164"
"255901","1886","119","2020-11-13 14:17:29.328144"
"255901","1886","120","2020-11-13 14:17:29.332986"
"255901","1884","121","2020-11-13 14:17:29.344873"
"255901","1885","122","2020-11-13 14:17:29.351467"
"255901","1884","123","2020-11-13 14:17:29.353668"
"255901","1884","124","2020-11-13 14:17:29.358887"
"255901","1886","125","2020-11-13 14:17:29.375114"
"255901","1885","126","2020-11-13 14:17:29.381147"
"255901","1885","127","2020-11-13 14:17:29.382139"
"255901","1883","128","2020-11-13 14:17:29.387235"
"255901","1883","129","2020-11-13 14:17:29.399552"
"255901","1884","130","2020-11-13 14:17:29.404146"
"255901","1885","131","2020-11-13 14:17:29.408125"
"255901","1885","132","2020-11-13 14:17:29.412133"
"255901","1886","133","2020-11-13 14:17:29.423469"
"255901","1883","134","2020-11-13 14:17:29.430021"
"255901","1885","135","2020-11-13 14:17:29.430552"
"255901","1883","136","2020-11-13 14:17:29.438950"
"255901","1883","137","2020-11-13 14:17:29.450924"
"255901","1885","138","2020-11-13 14:17:29.457220"
"255901","1883","139","2020-11-13 14:17:29.458219"
"255901","1885","140","2020-11-13 14:17:29.466215"
"255901","1884","141","2020-11-13 14:17:29.476438"
"255901","1881","142","2020-11-13 14:17:29.482415"
"255901","1884","143","2020-11-13 14:17:29.484500"
"255901","1884","144","2020-11-13 14:17:29.496622"
"255901","1885","145","2020-11-13 14:17:29.505589"
"255901","1881","146","2020-11-13 14:17:29.509151"
"255901","1883","147","2020-11-13 14:17:29.514119"
"255901","1885","148","2020-11-13 14:17:29.521832"
"255901","1886","149","2020-11-13 14:17:29.533279"
"255901","1883","150","2020-11-13 14:17:29.533275"
"255901","1883","151","2020-11-13 14:17:29.539691"
"255901","1884","152","2020-11-13 14:17:29.548678"
"255901","1886","153","2020-11-13 14:17:29.559169"
"255901","1884","154","2020-11-13 14:17:29.560836"
"255901","1884","155","2020-11-13 14:17:29.563435"
"255901","1885","156","2020-11-13 14:17:29.574378"
"255901","1883","158","2020-11-13 14:17:29.584831"
"255901","1885","157","2020-11-13 14:17:29.584984"
"255901","1881","161","2020-11-13 14:17:29.607312"
"255901","1881","165","2020-11-13 14:17:29.855919"
"255901","1883","169","2020-11-13 14:17:29.889593"
"255901","1883","172","2020-11-13 14:17:29.911800"
"255901","1883","174","2020-11-13 14:17:29.930608"
"255901","1881","176","2020-11-13 14:17:29.939261"
"255901","1884","178","2020-11-13 14:17:29.953738"
"255901","1883","182","2020-11-13 14:17:29.976837"
"255901","1886","180","2020-11-13 14:17:29.994067"
"255901","1883","187","2020-11-13 14:17:30.040500"
"255901","1885","188","2020-11-13 14:17:30.062372"
"255901","1884","191","2020-11-13 14:17:30.069959"
"255901","1881","195","2020-11-13 14:17:30.099802"
"255901","1881","199","2020-11-13 14:17:30.127493"
"255901","1881","200","2020-11-13 14:17:30.138461"
"255901","1881","203","2020-11-13 14:17:30.162391"
"255901","1883","205","2020-11-13 14:17:30.173358"
"255901","1881","210","2020-11-13 14:17:30.202217"
"255901","1886","211","2020-11-13 14:17:30.213682"
"255901","1885","213","2020-11-13 14:17:30.223011"
"255901","1886","218","2020-11-13 14:17:30.249359"
"255901","1883","220","2020-11-13 14:17:30.271085"
"255901","1884","223","2020-11-13 14:17:30.293083"
"255901","1886","225","2020-11-13 14:17:30.304821"
"255901","1884","227","2020-11-13 14:17:30.316641"
"255901","1886","229","2020-11-13 14:17:30.328753"
"255901","1883","231","2020-11-13 14:17:30.341856"
"255901","1885","233","2020-11-13 14:17:30.354260"
"255901","1886","236","2020-11-13 14:17:30.381997"
"255901","1884","239","2020-11-13 14:17:30.391987"
"255901","1881","243","2020-11-13 14:17:30.418336"
"255901","1885","246","2020-11-13 14:17:30.439191"
"255901","1881","247","2020-11-13 14:17:30.446218"
"255901","1886","250","2020-11-13 14:17:30.469752"
"255901","1884","253","2020-11-13 14:17:30.507814"
"255901","1883","257","2020-11-13 14:17:30.531766"
"255901","1883","263","2020-11-13 14:17:30.567104"
"255901","1885","264","2020-11-13 14:17:30.578012"
"255901","1881","265","2020-11-13 14:17:30.587213"
"255901","1881","266","2020-11-13 14:17:30.596181"
"255901","1885","268","2020-11-13 14:17:30.605614"
"255901","1886","269","2020-11-13 14:17:30.615630"
"255901","1881","271","2020-11-13 14:17:30.624437"
"255901","1884","274","2020-11-13 14:17:30.647015"
"255901","1885","277","2020-11-13 14:17:30.667555"
"255901","1884","279","2020-11-13 14:17:30.678740"
"255901","1885","280","2020-11-13 14:17:30.689571"
"255901","1884","283","2020-11-13 14:17:30.707033"
"255901","1881","285","2020-11-13 14:17:30.718550"
"255901","1884","289","2020-11-13 14:17:30.740274"
"255901","1885","293","2020-11-13 14:17:30.775450"
"255901","1885","296","2020-11-13 14:17:30.794253"
"255901","1884","297","2020-11-13 14:17:30.804754"
"255901","1883","299","2020-11-13 14:17:30.814733"
"255901","1881","304","2020-11-13 14:17:30.844652"
"255901","1886","305","2020-11-13 14:17:30.857771"
"255901","1884","307","2020-11-13 14:17:30.868900"
"255901","1885","309","2020-11-13 14:17:30.884846"
"255901","1886","311","2020-11-13 14:17:30.897458"
"255901","1881","313","2020-11-13 14:17:30.911997"
"255901","1886","315","2020-11-13 14:17:30.922136"
"255901","1884","320","2020-11-13 14:17:30.947139"
"255901","1881","323","2020-11-13 14:17:30.970577"
"255901","1884","324","2020-11-13 14:17:30.981234"
"255901","1881","325","2020-11-13 14:17:30.989311"
"255901","1883","327","2020-11-13 14:17:30.998296"
"255901","1883","330","2020-11-13 14:17:31.016770"
"255901","1885","331","2020-11-13 14:17:31.024385"
"255901","1884","332","2020-11-13 14:17:31.032965"
"255901","1881","335","2020-11-13 14:17:31.048523"
"255901","1886","336","2020-11-13 14:17:31.057609"
"255901","1885","340","2020-11-13 14:17:31.065116"
"255901","1883","339","2020-11-13 14:17:31.085853"
"255901","1886","343","2020-11-13 14:17:31.094454"
"255901","1881","344","2020-11-13 14:17:31.102793"
"255901","1883","350","2020-11-13 14:17:31.146242"
"255901","1883","355","2020-11-13 14:17:31.180948"
"255901","1884","360","2020-11-13 14:17:31.209272"
"255901","1886","363","2020-11-13 14:17:31.230701"
"255901","1886","365","2020-11-13 14:17:31.244422"
"255901","1883","366","2020-11-13 14:17:31.255482"
"255901","1885","369","2020-11-13 14:17:31.272062"
"255901","1885","372","2020-11-13 14:17:31.281837"
"255901","1884","373","2020-11-13 14:17:31.299995"
"255901","1885","375","2020-11-13 14:17:31.309470"
"255901","1885","378","2020-11-13 14:17:31.334871"
"255901","1886","383","2020-11-13 14:17:31.357766"
"255901","1884","384","2020-11-13 14:17:31.390504"
"255901","1883","387","2020-11-13 14:17:31.402971"
"255901","1885","388","2020-11-13 14:17:31.413953"
"255901","1886","393","2020-11-13 14:17:31.445792"
"255901","1886","395","2020-11-13 14:17:31.456188"
"255901","1886","397","2020-11-13 14:17:31.465254"
"255901","1881","399","2020-11-13 14:17:31.481677"
"255901","1885","401","2020-11-13 14:17:31.491595"
"255901","1886","403","2020-11-13 14:17:31.499747"
"255901","1885","402","2020-11-13 14:17:31.508227"
"255901","1885","404","2020-11-13 14:17:31.515401"
"255901","1884","406","2020-11-13 14:17:31.523662"
"255901","1883","409","2020-11-13 14:17:31.539377"
"255901","1884","410","2020-11-13 14:17:31.548950"
"255901","1885","413","2020-11-13 14:17:31.584109"
"255901","1883","417","2020-11-13 14:17:31.593373"
"255901","1881","419","2020-11-13 14:17:31.608253"
"255901","1883","420","2020-11-13 14:17:31.615549"
"255901","1881","424","2020-11-13 14:17:31.641146"
"255901","1884","428","2020-11-13 14:17:31.668281"
"255901","1886","430","2020-11-13 14:17:31.685226"
"255901","1884","432","2020-11-13 14:17:31.694664"
"255901","1884","435","2020-11-13 14:17:31.719337"
"255901","1883","439","2020-11-13 14:17:31.743160"
"255901","1886","443","2020-11-13 14:17:31.767104"
"255901","1883","447","2020-11-13 14:17:31.794573"
"255901","1883","450","2020-11-13 14:17:31.821097"
"255901","1881","454","2020-11-13 14:17:31.845008"
"255901","1881","462","2020-11-13 14:17:31.876284"
"255901","1881","464","2020-11-13 14:17:31.896505"
"255901","1886","467","2020-11-13 14:17:31.917553"
"255901","1885","469","2020-11-13 14:17:31.926184"
"255901","1884","471","2020-11-13 14:17:31.945200"
"255901","1885","474","2020-11-13 14:17:31.969480"
"255901","1886","477","2020-11-13 14:17:31.980696"
"255901","1884","479","2020-11-13 14:17:32.003782"
"255901","1881","485","2020-11-13 14:17:32.027898"
"255901","1883","486","2020-11-13 14:17:32.051480"
"255901","1886","490","2020-11-13 14:17:32.075502"
"255901","1883","494","2020-11-13 14:17:32.100611"
"255901","1886","497","2020-11-13 14:17:32.124673"
"255901","1883","503","2020-11-13 14:17:32.156943"
"255901","1884","506","2020-11-13 14:17:32.176521"
"255901","1886","509","2020-11-13 14:17:32.187330"
"255901","1884","511","2020-11-13 14:17:32.201621"
"255901","1884","514","2020-11-13 14:17:32.214295"
"255901","1881","516","2020-11-13 14:17:32.227389"
"255901","1886","518","2020-11-13 14:17:32.250218"
"255901","1886","523","2020-11-13 14:17:32.275335"
"255901","1886","525","2020-11-13 14:17:32.292882"
"255901","1886","530","2020-11-13 14:17:32.318531"
"255901","1884","532","2020-11-13 14:17:32.342963"
"255901","1884","536","2020-11-13 14:17:32.369129"
"255901","1886","541","2020-11-13 14:17:32.393184"
"255901","1881","545","2020-11-13 14:17:32.421562"
"255901","1885","550","2020-11-13 14:17:32.446561"
"255901","1885","553","2020-11-13 14:17:32.466543"
"255901","1885","552","2020-11-13 14:17:32.508620"
"255901","1884","559","2020-11-13 14:17:32.520203"
"255901","1884","565","2020-11-13 14:17:32.549977"
"255901","1886","567","2020-11-13 14:17:32.573643"
"255901","1884","572","2020-11-13 14:17:32.603056"
"255901","1885","574","2020-11-13 14:17:32.624412"
"255901","1885","581","2020-11-13 14:17:32.659688"
"255901","1885","584","2020-11-13 14:17:32.682115"
"255901","1885","587","2020-11-13 14:17:32.704559"
"255901","1883","589","2020-11-13 14:17:32.715476"
"255901","1885","590","2020-11-13 14:17:32.727239"
"255901","1885","593","2020-11-13 14:17:32.744244"
"255901","1883","159","2020-11-13 14:17:29.588470"
"255901","1883","163","2020-11-13 14:17:29.858389"
"255901","1883","170","2020-11-13 14:17:29.887329"
"255901","1886","175","2020-11-13 14:17:29.915682"
"255901","1881","181","2020-11-13 14:17:29.994068"
"255901","1881","186","2020-11-13 14:17:30.040941"
"255901","1881","194","2020-11-13 14:17:30.093451"
"255901","1881","197","2020-11-13 14:17:30.118205"
"255901","1884","202","2020-11-13 14:17:30.149754"
"255901","1884","204","2020-11-13 14:17:30.165349"
"255901","1881","207","2020-11-13 14:17:30.189065"
"255901","1881","215","2020-11-13 14:17:30.238834"
"255901","1886","221","2020-11-13 14:17:30.272199"
"255901","1886","228","2020-11-13 14:17:30.319955"
"255901","1884","234","2020-11-13 14:17:30.358259"
"255901","1881","237","2020-11-13 14:17:30.370767"
"255901","1884","242","2020-11-13 14:17:30.419510"
"255901","1885","249","2020-11-13 14:17:30.466254"
"255901","1886","254","2020-11-13 14:17:30.509592"
"255901","1884","259","2020-11-13 14:17:30.539700"
"255901","1885","261","2020-11-13 14:17:30.558637"
"255901","1883","272","2020-11-13 14:17:30.615539"
"255901","1884","270","2020-11-13 14:17:30.630695"
"255901","1885","275","2020-11-13 14:17:30.649799"
"255901","1881","278","2020-11-13 14:17:30.673267"
"255901","1885","282","2020-11-13 14:17:30.706936"
"255901","1886","290","2020-11-13 14:17:30.757858"
"255901","1885","292","2020-11-13 14:17:30.766580"
"255901","1884","295","2020-11-13 14:17:30.789473"
"255901","1886","318","2020-11-13 14:17:30.936642"
"255901","1885","319","2020-11-13 14:17:30.955534"
"255901","1885","326","2020-11-13 14:17:30.992055"
"255901","1883","329","2020-11-13 14:17:31.014543"
"255901","1883","334","2020-11-13 14:17:31.039328"
"255901","1881","345","2020-11-13 14:17:31.112673"
"255901","1883","347","2020-11-13 14:17:31.135986"
"255901","1881","351","2020-11-13 14:17:31.160310"
"255901","1881","357","2020-11-13 14:17:31.189227"
"255901","1886","358","2020-11-13 14:17:31.200102"
"255901","1884","362","2020-11-13 14:17:31.226822"
"255901","1881","364","2020-11-13 14:17:31.235579"
"255901","1884","367","2020-11-13 14:17:31.256613"
"255901","1886","371","2020-11-13 14:17:31.286263"
"255901","1881","376","2020-11-13 14:17:31.311426"
"255901","1884","377","2020-11-13 14:17:31.325545"
"255901","1881","380","2020-11-13 14:17:31.336009"
"255901","1884","382","2020-11-13 14:17:31.357337"
"255901","1886","386","2020-11-13 14:17:31.391801"
"255901","1886","390","2020-11-13 14:17:31.417720"
"255901","1884","400","2020-11-13 14:17:31.482761"
"255901","1885","407","2020-11-13 14:17:31.528415"
"255901","1886","408","2020-11-13 14:17:31.540545"
"255901","1886","414","2020-11-13 14:17:31.568989"
"255901","1884","421","2020-11-13 14:17:31.632763"
"255901","1883","427","2020-11-13 14:17:31.661614"
"255901","1886","437","2020-11-13 14:17:31.722631"
"255901","1885","440","2020-11-13 14:17:31.744509"
"255901","1883","444","2020-11-13 14:17:31.767044"
"255901","1883","446","2020-11-13 14:17:31.796288"
"255901","1881","452","2020-11-13 14:17:31.819787"
"255901","1886","457","2020-11-13 14:17:31.848821"
"255901","1884","460","2020-11-13 14:17:31.869386"
"255901","1884","463","2020-11-13 14:17:31.895726"
"255901","1883","466","2020-11-13 14:17:31.918417"
"255901","1881","473","2020-11-13 14:17:31.956158"
"255901","1884","478","2020-11-13 14:17:31.997325"
"255901","1885","481","2020-11-13 14:17:32.007380"
"255901","1881","483","2020-11-13 14:17:32.028889"
"255901","1883","489","2020-11-13 14:17:32.055534"
"255901","1881","491","2020-11-13 14:17:32.077338"
"255901","1886","495","2020-11-13 14:17:32.099962"
"255901","1886","500","2020-11-13 14:17:32.126197"
"255901","1885","507","2020-11-13 14:17:32.176535"
"255901","1883","510","2020-11-13 14:17:32.200406"
"255901","1883","515","2020-11-13 14:17:32.225599"
"255901","1884","517","2020-11-13 14:17:32.241930"
"255901","1883","519","2020-11-13 14:17:32.250627"
"255901","1885","524","2020-11-13 14:17:32.275419"
"255901","1881","528","2020-11-13 14:17:32.298500"
"255901","1883","533","2020-11-13 14:17:32.323064"
"255901","1883","535","2020-11-13 14:17:32.344961"
"255901","1884","539","2020-11-13 14:17:32.368711"
"255901","1886","542","2020-11-13 14:17:32.394392"
"255901","1883","546","2020-11-13 14:17:32.422439"
"255901","1886","549","2020-11-13 14:17:32.444932"
"255901","1883","555","2020-11-13 14:17:32.471334"
"255901","1883","558","2020-11-13 14:17:32.499504"
"255901","1885","561","2020-11-13 14:17:32.521758"
"255901","1881","564","2020-11-13 14:17:32.547245"
"255901","1881","570","2020-11-13 14:17:32.574368"
"255901","1884","573","2020-11-13 14:17:32.600439"
"255901","1884","576","2020-11-13 14:17:32.627324"
"255901","1886","580","2020-11-13 14:17:32.655870"
"255901","1885","583","2020-11-13 14:17:32.679174"
"255901","1885","588","2020-11-13 14:17:32.703718"
"255901","1884","592","2020-11-13 14:17:32.732630"
"255901","1881","596","2020-11-13 14:17:32.758792"
"255901","1886","600","2020-11-13 14:17:32.784741"
"255901","1884","601","2020-11-13 14:17:32.800917"
"255901","1883","605","2020-11-13 14:17:32.810912"
"255901","1885","604","2020-11-13 14:17:32.828412"
"255901","1884","611","2020-11-13 14:17:32.859036"
"255901","1884","613","2020-11-13 14:17:32.883373"
"255901","1885","617","2020-11-13 14:17:32.910364"
"255901","1885","622","2020-11-13 14:17:32.937363"
"255901","1885","627","2020-11-13 14:17:32.962592"
"255901","1884","631","2020-11-13 14:17:32.988057"
"255901","1886","638","2020-11-13 14:17:33.026910"
"255901","1883","640","2020-11-13 14:17:33.053477"
"255901","1886","652","2020-11-13 14:17:33.079707"
"255901","1881","644","2020-11-13 14:17:33.093084"
"255901","1883","646","2020-11-13 14:17:33.107295"
"255901","1883","651","2020-11-13 14:17:33.126526"
"255901","1884","654","2020-11-13 14:17:33.149627"
"255901","1886","659","2020-11-13 14:17:33.175209"
"255901","1883","663","2020-11-13 14:17:33.197527"
"255901","1881","665","2020-11-13 14:17:33.222784"
"255901","1881","669","2020-11-13 14:17:33.246930"
"255901","1881","674","2020-11-13 14:17:33.273938"
"255901","1884","679","2020-11-13 14:17:33.298059"
"255901","1884","683","2020-11-13 14:17:33.321828"
"255901","1883","687","2020-11-13 14:17:33.346619"
"255901","1886","689","2020-11-13 14:17:33.371102"
"255901","1881","693","2020-11-13 14:17:33.395347"
"255901","1885","698","2020-11-13 14:17:33.422021"
"255901","1884","702","2020-11-13 14:17:33.446810"
"255901","1885","707","2020-11-13 14:17:33.472580"
"255901","1884","710","2020-11-13 14:17:33.497858"
"255901","1886","714","2020-11-13 14:17:33.521897"
"255901","1885","717","2020-11-13 14:17:33.547791"
"255901","1884","720","2020-11-13 14:17:33.572424"
"255901","1881","726","2020-11-13 14:17:33.600579"
"255901","1885","730","2020-11-13 14:17:33.623189"
"255901","1884","731","2020-11-13 14:17:33.632421"
"255901","1885","740","2020-11-13 14:17:33.675651"
"255901","1885","742","2020-11-13 14:17:33.703359"
"255901","1883","743","2020-11-13 14:17:33.720247"
"255901","1881","746","2020-11-13 14:17:33.729500"
"255901","1886","748","2020-11-13 14:17:33.749563"
"255901","1883","752","2020-11-13 14:17:33.773080"
"255901","1883","753","2020-11-13 14:17:33.799766"
"255901","1884","760","2020-11-13 14:17:33.823449"
"255901","1881","761","2020-11-13 14:17:33.831727"
"255901","1881","764","2020-11-13 14:17:33.853487"
"255901","1886","766","2020-11-13 14:17:33.865698"
"255901","1886","768","2020-11-13 14:17:33.881633"
"255901","1881","773","2020-11-13 14:17:33.910810"
"255901","1883","776","2020-11-13 14:17:33.935451"
"255901","1884","778","2020-11-13 14:17:33.950182"
"255901","1881","784","2020-11-13 14:17:33.985877"
"255901","1885","787","2020-11-13 14:17:34.014899"
"255901","1881","792","2020-11-13 14:17:34.041839"
"255901","1885","793","2020-11-13 14:17:34.056461"
"255901","1883","795","2020-11-13 14:17:34.067473"
"255901","1885","799","2020-11-13 14:17:34.084033"
"255901","1886","811","2020-11-13 14:17:34.164693"
"255901","1885","816","2020-11-13 14:17:34.207810"
"255901","1886","160","2020-11-13 14:17:29.604390"
"255901","1881","166","2020-11-13 14:17:29.860240"
"255901","1885","168","2020-11-13 14:17:29.881635"
"255901","1885","183","2020-11-13 14:17:30.001559"
"255901","1885","185","2020-11-13 14:17:30.038819"
"255901","1883","190","2020-11-13 14:17:30.069720"
"255901","1881","193","2020-11-13 14:17:30.090408"
"255901","1884","198","2020-11-13 14:17:30.119674"
"255901","1881","208","2020-11-13 14:17:30.191882"
"255901","1883","216","2020-11-13 14:17:30.244611"
"255901","1885","287","2020-11-13 14:17:30.736624"
"255901","1886","302","2020-11-13 14:17:30.836626"
"255901","1886","321","2020-11-13 14:17:30.963437"
"255901","1885","353","2020-11-13 14:17:31.162829"
"255901","1886","359","2020-11-13 14:17:31.206964"
"255901","1885","392","2020-11-13 14:17:31.437573"
"255901","1884","396","2020-11-13 14:17:31.461277"
"255901","1883","423","2020-11-13 14:17:31.631866"
"255901","1886","431","2020-11-13 14:17:31.688342"
"255901","1885","434","2020-11-13 14:17:31.713018"
"255901","1883","441","2020-11-13 14:17:31.746764"
"255901","1885","445","2020-11-13 14:17:31.772475"
"255901","1884","449","2020-11-13 14:17:31.797390"
"255901","1886","451","2020-11-13 14:17:31.823903"
"255901","1886","456","2020-11-13 14:17:31.852002"
"255901","1883","459","2020-11-13 14:17:31.869444"
"255901","1881","461","2020-11-13 14:17:31.893299"
"255901","1886","472","2020-11-13 14:17:31.945395"
"255901","1883","475","2020-11-13 14:17:31.975865"
"255901","1884","482","2020-11-13 14:17:32.024474"
"255901","1881","488","2020-11-13 14:17:32.054570"
"255901","1884","493","2020-11-13 14:17:32.079639"
"255901","1885","498","2020-11-13 14:17:32.106344"
"255901","1884","501","2020-11-13 14:17:32.129944"
"255901","1881","504","2020-11-13 14:17:32.154986"
"255901","1884","521","2020-11-13 14:17:32.269099"
"255901","1884","527","2020-11-13 14:17:32.297258"
"255901","1881","531","2020-11-13 14:17:32.321963"
"255901","1885","538","2020-11-13 14:17:32.345849"
"255901","1884","540","2020-11-13 14:17:32.369515"
"255901","1886","543","2020-11-13 14:17:32.393324"
"255901","1886","547","2020-11-13 14:17:32.423479"
"255901","1886","556","2020-11-13 14:17:32.495672"
"255901","1881","562","2020-11-13 14:17:32.540598"
"255901","1884","566","2020-11-13 14:17:32.568593"
"255901","1885","569","2020-11-13 14:17:32.594460"
"255901","1883","577","2020-11-13 14:17:32.631784"
"255901","1881","579","2020-11-13 14:17:32.651602"
"255901","1885","582","2020-11-13 14:17:32.680092"
"255901","1884","608","2020-11-13 14:17:32.836026"
"255901","1884","612","2020-11-13 14:17:32.863146"
"255901","1884","616","2020-11-13 14:17:32.888446"
"255901","1881","618","2020-11-13 14:17:32.909270"
"255901","1883","664","2020-11-13 14:17:33.217312"
"255901","1881","671","2020-11-13 14:17:33.247715"
"255901","1881","675","2020-11-13 14:17:33.273206"
"255901","1885","676","2020-11-13 14:17:33.291331"
"255901","1881","686","2020-11-13 14:17:33.348622"
"255901","1884","691","2020-11-13 14:17:33.375741"
"255901","1884","695","2020-11-13 14:17:33.398405"
"255901","1885","699","2020-11-13 14:17:33.420521"
"255901","1883","701","2020-11-13 14:17:33.448477"
"255901","1885","706","2020-11-13 14:17:33.472539"
"255901","1883","711","2020-11-13 14:17:33.500093"
"255901","1883","715","2020-11-13 14:17:33.523628"
