identificationdocumentusedescriptorid,parentusi,personalinformationverificationdescriptorid,documenttitle,documentexpirationdate,issuerdocumentidentificationcode,issuername,issuercountrydescriptorid,createdate
"1012","29","1733",,,,,,"2020-11-13 14:15:47.878362"
"1012","30","1735",,,,,,"2020-11-13 14:15:47.879693"
"1012","32","1730",,,,,,"2020-11-13 14:15:47.893765"
"1012","31","1729",,,,,,"2020-11-13 14:15:47.893558"
"1012","33","1737",,,,,,"2020-11-13 14:15:47.897367"
"1012","34","1727",,,,,,"2020-11-13 14:15:47.901286"
"1012","35","1733",,,,,,"2020-11-13 14:15:47.913479"
"1012","36","1727",,,,,,"2020-11-13 14:15:47.914873"
"1012","37","1723",,,,,,"2020-11-13 14:15:47.920469"
"1012","38","1727",,,,,,"2020-11-13 14:15:47.920824"
"1012","39","1734",,,,,,"2020-11-13 14:15:47.935457"
"1012","40","1729",,,,,,"2020-11-13 14:15:47.935922"
"1012","42","1730",,,,,,"2020-11-13 14:15:47.941586"
"1012","41","1724",,,,,,"2020-11-13 14:15:47.941587"
"1012","43","1725",,,,,,"2020-11-13 14:15:47.959232"
"1012","44","1724",,,,,,"2020-11-13 14:15:47.960193"
"1012","45","1737",,,,,,"2020-11-13 14:15:47.961667"
"1012","46","1737",,,,,,"2020-11-13 14:15:47.963572"
"1012","47","1737",,,,,,"2020-11-13 14:15:47.980075"
"1012","48","1737",,,,,,"2020-11-13 14:15:47.980798"
"1012","49","1731",,,,,,"2020-11-13 14:15:47.983131"
"1012","50","1727",,,,,,"2020-11-13 14:15:47.986127"
"1012","51","1727",,,,,,"2020-11-13 14:15:47.999890"
"1012","52","1733",,,,,,"2020-11-13 14:15:48.000134"
"1012","53","1728",,,,,,"2020-11-13 14:15:48.005460"
"1012","54","1724",,,,,,"2020-11-13 14:15:48.008622"
"1012","55","1735",,,,,,"2020-11-13 14:15:48.020438"
"1012","56","1733",,,,,,"2020-11-13 14:15:48.022034"
"1012","57","1723",,,,,,"2020-11-13 14:15:48.028185"
"1012","58","1731",,,,,,"2020-11-13 14:15:48.029767"
"1012","59","1737",,,,,,"2020-11-13 14:15:48.040686"
"1012","60","1725",,,,,,"2020-11-13 14:15:48.042717"
"1012","61","1735",,,,,,"2020-11-13 14:15:48.049204"
"1012","62","1733",,,,,,"2020-11-13 14:15:48.051996"
"1012","63","1730",,,,,,"2020-11-13 14:15:48.061197"
"1012","64","1728",,,,,,"2020-11-13 14:15:48.063488"
"1012","65","1723",,,,,,"2020-11-13 14:15:48.073358"
"1012","67","1726",,,,,,"2020-11-13 14:15:48.084087"
"1012","66","1730",,,,,,"2020-11-13 14:15:48.084193"
"1012","68","1725",,,,,,"2020-11-13 14:15:48.109240"
"1012","69","1735",,,,,,"2020-11-13 14:15:48.113882"
"1012","70","1737",,,,,,"2020-11-13 14:15:48.119768"
"1012","71","1729",,,,,,"2020-11-13 14:15:48.122148"
"1012","72","1727",,,,,,"2020-11-13 14:15:48.128725"
"1012","73","1728",,,,,,"2020-11-13 14:15:48.135149"
"1012","74","1737",,,,,,"2020-11-13 14:15:48.141313"
"1012","75","1733",,,,,,"2020-11-13 14:15:48.143908"
"1012","76","1736",,,,,,"2020-11-13 14:15:48.154755"
"1012","77","1729",,,,,,"2020-11-13 14:15:48.156452"
"1012","78","1734",,,,,,"2020-11-13 14:15:48.166068"
"1012","79","1727",,,,,,"2020-11-13 14:15:48.167639"
"1012","81","1734",,,,,,"2020-11-13 14:15:48.179954"
"1012","80","1735",,,,,,"2020-11-13 14:15:48.182534"
"1012","83","1729",,,,,,"2020-11-13 14:15:48.194436"
"1012","82","1734",,,,,,"2020-11-13 14:15:48.194649"
"1012","84","1728",,,,,,"2020-11-13 14:15:48.200954"
"1012","85","1733",,,,,,"2020-11-13 14:15:48.207624"
"1012","86","1726",,,,,,"2020-11-13 14:15:48.213807"
"1012","87","1733",,,,,,"2020-11-13 14:15:48.215257"
"1012","88","1733",,,,,,"2020-11-13 14:15:48.223481"
"1012","89","1726",,,,,,"2020-11-13 14:15:48.228352"
"1012","90","1735",,,,,,"2020-11-13 14:15:48.234750"
"1012","91","1733",,,,,,"2020-11-13 14:15:48.235763"
"1012","92","1725",,,,,,"2020-11-13 14:15:48.245240"
"1012","93","1735",,,,,,"2020-11-13 14:15:48.248513"
"1012","94","1736",,,,,,"2020-11-13 14:15:48.255193"
"1012","95","1737",,,,,,"2020-11-13 14:15:48.260180"
"1012","96","1729",,,,,,"2020-11-13 14:15:48.267414"
"1012","97","1735",,,,,,"2020-11-13 14:15:48.270794"
"1012","98","1725",,,,,,"2020-11-13 14:15:48.277796"
"1012","99","1734",,,,,,"2020-11-13 14:15:48.284884"
"1012","100","1726",,,,,,"2020-11-13 14:15:48.290021"
"1012","101","1726",,,,,,"2020-11-13 14:15:48.292071"
"1012","102","1728",,,,,,"2020-11-13 14:15:48.303063"
"1012","103","1728",,,,,,"2020-11-13 14:15:48.308419"
"1012","104","1727",,,,,,"2020-11-13 14:15:48.310574"
"1012","105","1734",,,,,,"2020-11-13 14:15:48.311691"
"1012","106","1734",,,,,,"2020-11-13 14:15:48.328124"
"1012","107","1724",,,,,,"2020-11-13 14:15:48.331418"
"1012","108","1735",,,,,,"2020-11-13 14:15:48.333257"
"1012","109","1725",,,,,,"2020-11-13 14:15:48.339191"
"1012","111","1731",,,,,,"2020-11-13 14:15:48.350502"
"1012","110","1736",,,,,,"2020-11-13 14:15:48.350470"
"1012","112","1729",,,,,,"2020-11-13 14:15:48.354007"
"1012","113","1727",,,,,,"2020-11-13 14:15:48.360446"
"1012","114","1729",,,,,,"2020-11-13 14:15:48.374904"
"1012","116","1733",,,,,,"2020-11-13 14:15:48.376096"
"1012","115","1726",,,,,,"2020-11-13 14:15:48.376326"
"1012","117","1730",,,,,,"2020-11-13 14:15:48.381232"
"1012","118","1737",,,,,,"2020-11-13 14:15:48.395195"
"1012","119","1725",,,,,,"2020-11-13 14:15:48.395737"
"1012","120","1736",,,,,,"2020-11-13 14:15:48.399390"
"1012","121","1730",,,,,,"2020-11-13 14:15:48.401352"
"1012","123","1728",,,,,,"2020-11-13 14:15:48.417328"
"1012","122","1736",,,,,,"2020-11-13 14:15:48.419199"
"1012","124","1732",,,,,,"2020-11-13 14:15:48.421633"
"1012","125","1726",,,,,,"2020-11-13 14:15:48.428574"
"1012","126","1724",,,,,,"2020-11-13 14:15:48.446900"
"1012","127","1733",,,,,,"2020-11-13 14:15:48.450434"
"1012","128","1731",,,,,,"2020-11-13 14:15:48.450748"
"1012","129","1732",,,,,,"2020-11-13 14:15:48.470720"
"1012","131","1728",,,,,,"2020-11-13 14:15:48.471021"
"1012","130","1723",,,,,,"2020-11-13 14:15:48.471145"
"1012","132","1734",,,,,,"2020-11-13 14:15:48.473987"
"1012","133","1736",,,,,,"2020-11-13 14:15:48.492517"
"1012","134","1724",,,,,,"2020-11-13 14:15:48.494594"
"1012","135","1725",,,,,,"2020-11-13 14:15:48.506829"
"1012","136","1725",,,,,,"2020-11-13 14:15:48.508621"
"1012","137","1726",,,,,,"2020-11-13 14:15:48.515955"
"1012","140","1726",,,,,,"2020-11-13 14:15:48.536529"
"1012","142","1736",,,,,,"2020-11-13 14:15:48.542282"
"1012","144","1730",,,,,,"2020-11-13 14:15:48.557058"
"1012","146","1737",,,,,,"2020-11-13 14:15:48.566928"
"1012","147","1729",,,,,,"2020-11-13 14:15:48.574786"
"1012","149","1728",,,,,,"2020-11-13 14:15:48.581003"
"1012","151","1734",,,,,,"2020-11-13 14:15:48.594815"
"1012","153","1724",,,,,,"2020-11-13 14:15:48.600734"
"1012","155","1729",,,,,,"2020-11-13 14:15:48.618010"
"1012","157","1732",,,,,,"2020-11-13 14:15:48.626902"
"1012","159","1736",,,,,,"2020-11-13 14:15:48.638493"
"1012","163","1734",,,,,,"2020-11-13 14:15:48.658646"
"1012","167","1723",,,,,,"2020-11-13 14:15:48.681357"
"1012","169","1727",,,,,,"2020-11-13 14:15:48.699906"
"1012","171","1736",,,,,,"2020-11-13 14:15:48.704817"
"1012","172","1727",,,,,,"2020-11-13 14:15:48.710926"
"1012","174","1727",,,,,,"2020-11-13 14:15:48.722761"
"1012","176","1735",,,,,,"2020-11-13 14:15:48.733778"
"1012","178","1723",,,,,,"2020-11-13 14:15:48.742632"
"1012","179","1732",,,,,,"2020-11-13 14:15:48.748856"
"1012","182","1732",,,,,,"2020-11-13 14:15:48.763981"
"1012","184","1735",,,,,,"2020-11-13 14:15:48.787846"
"1012","187","1723",,,,,,"2020-11-13 14:15:48.815979"
"1012","191","1727",,,,,,"2020-11-13 14:15:48.840299"
"1012","192","1731",,,,,,"2020-11-13 14:15:48.849231"
"1012","196","1730",,,,,,"2020-11-13 14:15:48.876825"
"1012","198","1727",,,,,,"2020-11-13 14:15:48.890929"
"1012","200","1734",,,,,,"2020-11-13 14:15:48.896566"
"1012","201","1730",,,,,,"2020-11-13 14:15:48.903137"
"1012","202","1736",,,,,,"2020-11-13 14:15:48.910699"
"1012","205","1737",,,,,,"2020-11-13 14:15:48.924074"
"1012","206","1723",,,,,,"2020-11-13 14:15:48.932887"
"1012","208","1725",,,,,,"2020-11-13 14:15:48.947912"
"1012","212","1726",,,,,,"2020-11-13 14:15:48.970419"
"1012","214","1731",,,,,,"2020-11-13 14:15:48.983899"
"1012","216","1726",,,,,,"2020-11-13 14:15:48.990325"
"1012","217","1730",,,,,,"2020-11-13 14:15:48.999908"
"1012","218","1735",,,,,,"2020-11-13 14:15:49.008664"
"1012","221","1727",,,,,,"2020-11-13 14:15:49.027954"
"1012","223","1735",,,,,,"2020-11-13 14:15:49.036847"
"1012","224","1729",,,,,,"2020-11-13 14:15:49.053921"
"1012","228","1731",,,,,,"2020-11-13 14:15:49.073915"
"1012","231","1727",,,,,,"2020-11-13 14:15:49.088123"
"1012","234","1735",,,,,,"2020-11-13 14:15:49.099549"
"1012","235","1736",,,,,,"2020-11-13 14:15:49.111640"
"1012","236","1732",,,,,,"2020-11-13 14:15:49.118644"
"1012","238","1732",,,,,,"2020-11-13 14:15:49.124389"
"1012","239","1737",,,,,,"2020-11-13 14:15:49.134015"
"1012","241","1735",,,,,,"2020-11-13 14:15:49.146045"
"1012","246","1735",,,,,,"2020-11-13 14:15:49.172377"
"1012","250","1736",,,,,,"2020-11-13 14:15:49.194026"
"1012","251","1736",,,,,,"2020-11-13 14:15:49.205374"
"1012","253","1728",,,,,,"2020-11-13 14:15:49.214463"
"1012","255","1730",,,,,,"2020-11-13 14:15:49.226210"
"1012","257","1732",,,,,,"2020-11-13 14:15:49.238162"
"1012","260","1735",,,,,,"2020-11-13 14:15:49.256005"
"1012","262","1726",,,,,,"2020-11-13 14:15:49.262084"
"1012","265","1737",,,,,,"2020-11-13 14:15:49.280413"
"1012","269","1734",,,,,,"2020-11-13 14:15:49.300239"
"1012","273","1735",,,,,,"2020-11-13 14:15:49.328878"
"1012","275","1735",,,,,,"2020-11-13 14:15:49.347903"
"1012","279","1734",,,,,,"2020-11-13 14:15:49.369456"
"1012","285","1724",,,,,,"2020-11-13 14:15:49.394871"
"1012","287","1736",,,,,,"2020-11-13 14:15:49.411942"
"1012","291","1727",,,,,,"2020-11-13 14:15:49.430674"
"1012","295","1736",,,,,,"2020-11-13 14:15:49.452688"
"1012","298","1733",,,,,,"2020-11-13 14:15:49.469161"
"1012","299","1728",,,,,,"2020-11-13 14:15:49.476751"
"1012","304","1736",,,,,,"2020-11-13 14:15:49.496498"
"1012","305","1736",,,,,,"2020-11-13 14:15:49.509584"
"1012","308","1725",,,,,,"2020-11-13 14:15:49.527750"
"1012","310","1723",,,,,,"2020-11-13 14:15:49.540923"
"1012","313","1729",,,,,,"2020-11-13 14:15:49.559280"
"1012","316","1728",,,,,,"2020-11-13 14:15:49.580749"
"1012","318","1735",,,,,,"2020-11-13 14:15:49.594777"
"1012","320","1735",,,,,,"2020-11-13 14:15:49.605443"
"1012","322","1725",,,,,,"2020-11-13 14:15:49.616176"
"1012","323","1723",,,,,,"2020-11-13 14:15:49.623561"
"1012","325","1735",,,,,,"2020-11-13 14:15:49.636758"
"1012","327","1724",,,,,,"2020-11-13 14:15:49.645239"
"1012","329","1730",,,,,,"2020-11-13 14:15:49.660281"
"1012","331","1734",,,,,,"2020-11-13 14:15:49.665215"
"1012","335","1730",,,,,,"2020-11-13 14:15:49.685812"
"1012","337","1736",,,,,,"2020-11-13 14:15:49.704441"
"1012","339","1726",,,,,,"2020-11-13 14:15:49.712961"
"1012","341","1734",,,,,,"2020-11-13 14:15:49.725175"
"1012","343","1725",,,,,,"2020-11-13 14:15:49.732807"
"1012","347","1725",,,,,,"2020-11-13 14:15:49.752426"
"1012","352","1733",,,,,,"2020-11-13 14:15:49.779272"
"1012","353","1723",,,,,,"2020-11-13 14:15:49.791418"
"1012","356","1734",,,,,,"2020-11-13 14:15:49.800783"
"1012","357","1733",,,,,,"2020-11-13 14:15:49.811919"
"1012","360","1735",,,,,,"2020-11-13 14:15:49.821442"
"1012","364","1736",,,,,,"2020-11-13 14:15:49.841249"
"1012","365","1734",,,,,,"2020-11-13 14:15:49.855561"
"1012","368","1737",,,,,,"2020-11-13 14:15:49.860359"
"1012","372","1725",,,,,,"2020-11-13 14:15:49.883724"
"1012","373","1732",,,,,,"2020-11-13 14:15:49.899735"
"1012","379","1730",,,,,,"2020-11-13 14:15:49.921609"
"1012","380","1730",,,,,,"2020-11-13 14:15:49.931537"
"1012","381","1730",,,,,,"2020-11-13 14:15:49.943383"
"1012","384","1727",,,,,,"2020-11-13 14:15:49.956711"
"1012","387","1723",,,,,,"2020-11-13 14:15:49.968074"
"1012","390","1733",,,,,,"2020-11-13 14:15:49.988025"
"1012","393","1736",,,,,,"2020-11-13 14:15:50.011639"
"1012","397","1733",,,,,,"2020-11-13 14:15:50.032483"
"1012","402","1729",,,,,,"2020-11-13 14:15:50.054361"
"1012","407","1729",,,,,,"2020-11-13 14:15:50.078472"
"1012","408","1723",,,,,,"2020-11-13 14:15:50.097445"
"1012","413","1733",,,,,,"2020-11-13 14:15:50.120579"
"1012","415","1733",,,,,,"2020-11-13 14:15:50.125635"
"1012","417","1734",,,,,,"2020-11-13 14:15:50.140862"
"1012","423","1723",,,,,,"2020-11-13 14:15:50.168914"
"1012","428","1730",,,,,,"2020-11-13 14:15:50.199103"
"1012","434","1732",,,,,,"2020-11-13 14:15:50.227366"
"1012","437","1734",,,,,,"2020-11-13 14:15:50.247384"
"1012","439","1732",,,,,,"2020-11-13 14:15:50.268078"
"1012","445","1736",,,,,,"2020-11-13 14:15:50.293431"
"1012","450","1733",,,,,,"2020-11-13 14:15:50.324835"
"1012","452","1727",,,,,,"2020-11-13 14:15:50.340246"
"1012","454","1734",,,,,,"2020-11-13 14:15:50.354345"
"1012","456","1736",,,,,,"2020-11-13 14:15:50.361475"
"1012","463","1727",,,,,,"2020-11-13 14:15:50.399299"
"1012","464","1724",,,,,,"2020-11-13 14:15:50.406957"
"1012","467","1735",,,,,,"2020-11-13 14:15:50.421808"
"1012","471","1733",,,,,,"2020-11-13 14:15:50.446837"
"1012","474","1732",,,,,,"2020-11-13 14:15:50.463946"
"1012","478","1737",,,,,,"2020-11-13 14:15:50.483588"
"1012","480","1731",,,,,,"2020-11-13 14:15:50.497628"
"1012","482","1727",,,,,,"2020-11-13 14:15:50.503116"
"1012","483","1723",,,,,,"2020-11-13 14:15:50.512032"
"1012","486","1731",,,,,,"2020-11-13 14:15:50.524226"
"1012","487","1723",,,,,,"2020-11-13 14:15:50.538082"
"1012","489","1728",,,,,,"2020-11-13 14:15:50.547027"
"1012","493","1726",,,,,,"2020-11-13 14:15:50.566544"
"1012","138","1727",,,,,,"2020-11-13 14:15:48.518592"
"1012","143","1729",,,,,,"2020-11-13 14:15:48.553894"
"1012","150","1723",,,,,,"2020-11-13 14:15:48.589564"
"1012","152","1724",,,,,,"2020-11-13 14:15:48.596483"
"1012","154","1735",,,,,,"2020-11-13 14:15:48.612856"
"1012","156","1734",,,,,,"2020-11-13 14:15:48.617698"
"1012","164","1734",,,,,,"2020-11-13 14:15:48.661953"
"1012","165","1724",,,,,,"2020-11-13 14:15:48.674793"
"1012","168","1736",,,,,,"2020-11-13 14:15:48.682772"
"1012","170","1734",,,,,,"2020-11-13 14:15:48.702903"
"1012","186","1736",,,,,,"2020-11-13 14:15:48.803341"
"1012","189","1733",,,,,,"2020-11-13 14:15:48.820932"
"1012","203","1733",,,,,,"2020-11-13 14:15:48.913857"
"1012","211","1727",,,,,,"2020-11-13 14:15:48.961930"
"1012","215","1726",,,,,,"2020-11-13 14:15:48.987316"
"1012","220","1734",,,,,,"2020-11-13 14:15:49.012927"
"1012","222","1736",,,,,,"2020-11-13 14:15:49.030079"
"1012","226","1729",,,,,,"2020-11-13 14:15:49.056323"
"1012","227","1731",,,,,,"2020-11-13 14:15:49.066945"
"1012","233","1736",,,,,,"2020-11-13 14:15:49.097989"
"1012","242","1735",,,,,,"2020-11-13 14:15:49.150296"
"1012","245","1729",,,,,,"2020-11-13 14:15:49.172346"
"1012","256","1724",,,,,,"2020-11-13 14:15:49.230720"
"1012","259","1737",,,,,,"2020-11-13 14:15:49.253140"
"1012","261","1730",,,,,,"2020-11-13 14:15:49.259906"
"1012","268","1724",,,,,,"2020-11-13 14:15:49.294873"
"1012","274","1733",,,,,,"2020-11-13 14:15:49.329979"
"1012","277","1725",,,,,,"2020-11-13 14:15:49.349871"
"1012","281","1727",,,,,,"2020-11-13 14:15:49.372859"
"1012","284","1733",,,,,,"2020-11-13 14:15:49.390637"
"1012","289","1730",,,,,,"2020-11-13 14:15:49.415755"
"1012","293","1725",,,,,,"2020-11-13 14:15:49.435018"
"1012","297","1729",,,,,,"2020-11-13 14:15:49.459206"
"1012","301","1733",,,,,,"2020-11-13 14:15:49.478841"
"1012","302","1728",,,,,,"2020-11-13 14:15:49.490176"
"1012","307","1726",,,,,,"2020-11-13 14:15:49.516443"
"1012","309","1736",,,,,,"2020-11-13 14:15:49.531535"
"1012","311","1728",,,,,,"2020-11-13 14:15:49.548372"
"1012","315","1725",,,,,,"2020-11-13 14:15:49.568976"
"1012","317","1730",,,,,,"2020-11-13 14:15:49.585269"
"1012","321","1727",,,,,,"2020-11-13 14:15:49.609008"
"1012","324","1736",,,,,,"2020-11-13 14:15:49.627793"
"1012","333","1736",,,,,,"2020-11-13 14:15:49.679948"
"1012","340","1725",,,,,,"2020-11-13 14:15:49.718063"
"1012","342","1732",,,,,,"2020-11-13 14:15:49.727944"
"1012","346","1730",,,,,,"2020-11-13 14:15:49.746385"
"1012","350","1734",,,,,,"2020-11-13 14:15:49.766899"
"1012","354","1737",,,,,,"2020-11-13 14:15:49.789005"
"1012","358","1735",,,,,,"2020-11-13 14:15:49.812305"
"1012","362","1736",,,,,,"2020-11-13 14:15:49.835282"
"1012","367","1730",,,,,,"2020-11-13 14:15:49.857485"
"1012","370","1735",,,,,,"2020-11-13 14:15:49.877038"
"1012","378","1730",,,,,,"2020-11-13 14:15:49.921526"
"1012","383","1727",,,,,,"2020-11-13 14:15:49.943797"
"1012","386","1726",,,,,,"2020-11-13 14:15:49.968000"
"1012","391","1726",,,,,,"2020-11-13 14:15:49.988255"
"1012","392","1730",,,,,,"2020-11-13 14:15:50.003567"
"1012","395","1724",,,,,,"2020-11-13 14:15:50.012965"
"1012","399","1723",,,,,,"2020-11-13 14:15:50.033543"
"1012","400","1731",,,,,,"2020-11-13 14:15:50.047577"
"1012","403","1737",,,,,,"2020-11-13 14:15:50.056482"
"1012","404","1726",,,,,,"2020-11-13 14:15:50.068577"
"1012","406","1732",,,,,,"2020-11-13 14:15:50.074346"
"1012","411","1736",,,,,,"2020-11-13 14:15:50.099565"
"1012","414","1725",,,,,,"2020-11-13 14:15:50.122996"
"1012","418","1726",,,,,,"2020-11-13 14:15:50.144457"
"1012","420","1730",,,,,,"2020-11-13 14:15:50.159894"
"1012","424","1735",,,,,,"2020-11-13 14:15:50.179383"
"1012","427","1736",,,,,,"2020-11-13 14:15:50.192571"
"1012","429","1727",,,,,,"2020-11-13 14:15:50.200152"
"1012","433","1723",,,,,,"2020-11-13 14:15:50.222615"
"1012","436","1728",,,,,,"2020-11-13 14:15:50.245925"
"1012","440","1735",,,,,,"2020-11-13 14:15:50.269251"
"1012","444","1723",,,,,,"2020-11-13 14:15:50.290790"
"1012","447","1728",,,,,,"2020-11-13 14:15:50.315046"
"1012","451","1723",,,,,,"2020-11-13 14:15:50.337293"
"1012","457","1723",,,,,,"2020-11-13 14:15:50.373608"
"1012","460","1736",,,,,,"2020-11-13 14:15:50.383164"
"1012","462","1736",,,,,,"2020-11-13 14:15:50.396060"
"1012","466","1737",,,,,,"2020-11-13 14:15:50.415915"
"1012","470","1724",,,,,,"2020-11-13 14:15:50.440420"
"1012","473","1724",,,,,,"2020-11-13 14:15:50.456324"
"1012","475","1732",,,,,,"2020-11-13 14:15:50.468293"
"1012","476","1724",,,,,,"2020-11-13 14:15:50.478547"
"1012","485","1734",,,,,,"2020-11-13 14:15:50.522273"
"1012","492","1726",,,,,,"2020-11-13 14:15:50.563222"
"1012","494","1727",,,,,,"2020-11-13 14:15:50.570007"
"1012","496","1725",,,,,,"2020-11-13 14:15:50.583798"
"1012","499","1734",,,,,,"2020-11-13 14:15:50.602440"
"1012","510","1729",,,,,,"2020-11-13 14:15:50.656575"
"1012","512","1726",,,,,,"2020-11-13 14:15:50.666197"
"1012","520","1735",,,,,,"2020-11-13 14:15:50.709542"
"1012","525","1723",,,,,,"2020-11-13 14:15:50.741680"
"1012","530","1735",,,,,,"2020-11-13 14:15:51.012766"
"1012","536","1725",,,,,,"2020-11-13 14:15:51.038380"
"1012","540","1730",,,,,,"2020-11-13 14:15:51.060813"
"1012","541","1726",,,,,,"2020-11-13 14:15:51.080259"
"1012","544","1727",,,,,,"2020-11-13 14:15:51.090049"
"1012","548","1724",,,,,,"2020-11-13 14:15:51.120672"
"1012","550","1731",,,,,,"2020-11-13 14:15:51.143496"
"1012","556","1725",,,,,,"2020-11-13 14:15:51.168191"
"1012","560","1728",,,,,,"2020-11-13 14:15:51.190677"
"1012","568","1733",,,,,,"2020-11-13 14:15:51.239768"
"1012","572","1733",,,,,,"2020-11-13 14:15:51.263988"
"1012","575","1730",,,,,,"2020-11-13 14:15:51.284318"
"1012","579","1729",,,,,,"2020-11-13 14:15:51.309062"
"1012","580","1729",,,,,,"2020-11-13 14:15:51.314103"
"1012","584","1723",,,,,,"2020-11-13 14:15:51.339987"
"1012","585","1730",,,,,,"2020-11-13 14:15:51.350823"
"1012","587","1727",,,,,,"2020-11-13 14:15:51.357873"
"1012","590","1734",,,,,,"2020-11-13 14:15:51.375645"
"1012","600","1737",,,,,,"2020-11-13 14:15:51.434286"
"1012","602","1737",,,,,,"2020-11-13 14:15:51.444670"
"1012","603","1734",,,,,,"2020-11-13 14:15:51.455455"
"1012","608","1725",,,,,,"2020-11-13 14:15:51.478928"
"1012","609","1737",,,,,,"2020-11-13 14:15:51.485828"
"1012","611","1735",,,,,,"2020-11-13 14:15:51.498438"
"1012","616","1724",,,,,,"2020-11-13 14:15:51.526546"
"1012","619","1730",,,,,,"2020-11-13 14:15:51.543835"
"1012","621","1732",,,,,,"2020-11-13 14:15:51.550837"
"1012","624","1723",,,,,,"2020-11-13 14:15:51.570501"
"1012","627","1732",,,,,,"2020-11-13 14:15:51.586504"
"1012","628","1725",,,,,,"2020-11-13 14:15:51.591765"
"1012","631","1724",,,,,,"2020-11-13 14:15:51.606932"
"1012","636","1731",,,,,,"2020-11-13 14:15:51.634835"
"1012","639","1723",,,,,,"2020-11-13 14:15:51.655041"
"1012","645","1725",,,,,,"2020-11-13 14:15:51.690013"
"1012","647","1731",,,,,,"2020-11-13 14:15:51.697241"
"1012","653","1730",,,,,,"2020-11-13 14:15:51.740057"
"1012","656","1728",,,,,,"2020-11-13 14:15:51.753678"
"1012","660","1724",,,,,,"2020-11-13 14:15:52.007386"
"1012","664","1731",,,,,,"2020-11-13 14:15:52.032123"
"1012","668","1736",,,,,,"2020-11-13 14:15:52.052798"
"1012","671","1734",,,,,,"2020-11-13 14:15:52.075725"
"1012","675","1724",,,,,,"2020-11-13 14:15:52.096731"
"1012","678","1725",,,,,,"2020-11-13 14:15:52.349237"
"1012","139","1726",,,,,,"2020-11-13 14:15:48.530533"
"1012","141","1728",,,,,,"2020-11-13 14:15:48.538441"
"1012","145","1732",,,,,,"2020-11-13 14:15:48.557059"
"1012","148","1726",,,,,,"2020-11-13 14:15:48.576214"
"1012","160","1731",,,,,,"2020-11-13 14:15:48.639703"
"1012","161","1728",,,,,,"2020-11-13 14:15:48.650714"
"1012","162","1734",,,,,,"2020-11-13 14:15:48.658215"
"1012","166","1734",,,,,,"2020-11-13 14:15:48.679252"
"1012","173","1737",,,,,,"2020-11-13 14:15:48.721361"
"1012","177","1729",,,,,,"2020-11-13 14:15:48.741209"
"1012","181","1731",,,,,,"2020-11-13 14:15:48.762969"
"1012","183","1723",,,,,,"2020-11-13 14:15:48.784719"
"1012","185","1729",,,,,,"2020-11-13 14:15:48.800543"
"1012","188","1731",,,,,,"2020-11-13 14:15:48.818278"
"1012","190","1724",,,,,,"2020-11-13 14:15:48.828102"
"1012","193","1724",,,,,,"2020-11-13 14:15:48.851668"
"1012","195","1733",,,,,,"2020-11-13 14:15:48.867120"
"1012","197","1726",,,,,,"2020-11-13 14:15:48.877227"
"1012","204","1726",,,,,,"2020-11-13 14:15:48.917696"
"1012","207","1733",,,,,,"2020-11-13 14:15:48.935418"
"1012","209","1736",,,,,,"2020-11-13 14:15:48.949243"
"1012","210","1727",,,,,,"2020-11-13 14:15:48.961507"
"1012","219","1730",,,,,,"2020-11-13 14:15:49.012674"
"1012","225","1736",,,,,,"2020-11-13 14:15:49.054026"
