entrydate,schoolid,studentusi,primaryschool,entrygradeleveldescriptorid,entrygradelevelreasondescriptorid,entrytypedescriptorid,repeatgradeindicator,classofschoolyear,schoolchoicetransfer,exitwithdrawdate,exitwithdrawtypedescriptorid,residencystatusdescriptorid,graduationplantypedescriptorid,educationorganizationid,graduationschoolyear,employedwhileenrolled,calendarcode,schoolyear,fulltimeequivalency,termcompletionindicator,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","255901107","351",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.595972","2020-11-13 14:16:19.594267","9b2ea00a-7a81-41fe-8ef8-e0b7d8311a7c","13667"
"2010-08-23","255901107","863",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.599990","2020-11-13 14:16:19.599885","0e55d0cb-e740-4700-a8c2-ecf7d1f0b6fd","13670"
"2010-08-23","255901107","878",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.609104","2020-11-13 14:16:19.608840","283fe0a6-b57f-43ed-8369-b743967f3781","13671"
"2010-08-23","255901107","801",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.613937","2020-11-13 14:16:19.613836","36c13f32-ca3b-48b2-aaa5-6238aff17e87","13674"
"2010-08-23","255901107","742",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.623144","2020-11-13 14:16:19.622950","f41c205c-1d68-4f11-af9a-94eb85ef1f20","13675"
"2010-08-23","255901107","726",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.627888","2020-11-13 14:16:19.627763","c6aa1d98-7345-426c-9c02-538b17ef8918","13676"
"2010-08-23","255901107","918",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.636909","2020-11-13 14:16:19.636673","4cf3ae01-6cb4-45ea-be4f-7438812d0cd4","13679"
"2010-08-23","255901107","754",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.639802","2020-11-13 14:16:19.639682","305ac2c9-7420-4a60-913a-869ddd552b97","13680"
"2010-08-23","255901107","727",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.642226","2020-11-13 14:16:19.642111","33bab856-7ab7-499d-84fe-a21a7a6c9341","13681"
"2010-08-23","255901107","852",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.653670","2020-11-13 14:16:19.653259","cc5e4075-359d-42c1-afe2-1f3be0bf4312","13684"
"2010-08-23","255901107","231",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.662875","2020-11-13 14:16:19.662682","2e0f63b0-47b3-4936-8947-108704446627","13686"
"2010-08-23","255901107","544",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.669361","2020-11-13 14:16:19.669226","9eff3623-5238-4478-a2c0-7996e15b4a29","13688"
"2010-08-23","255901107","73",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.677081","2020-11-13 14:16:19.676956","ea0e1ff4-fb77-43e2-a1af-b036c2aec0ab","13690"
"2010-08-23","255901107","83",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.682735","2020-11-13 14:16:19.682633","5f0a4a9e-db00-4aae-be30-65140b298983","13692"
"2010-08-23","255901107","552",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.692436","2020-11-13 14:16:19.692315","631180d3-63e4-4234-b0aa-27434431a5a7","13695"
"2010-08-23","255901107","102",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.703436","2020-11-13 14:16:19.702832","bf41d78f-49e5-4d42-b4bf-66fbf5b99b14","13698"
"2010-08-23","255901107","133",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.705555","2020-11-13 14:16:19.705338","23035eef-043b-46f5-a99f-57c3e3405367","13699"
"2010-08-23","255901107","749",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.712154","2020-11-13 14:16:19.712001","6eab5a8a-0d2d-4a1f-8594-9cb60ffc5aeb","13701"
"2010-08-23","255901107","557",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.731333","2020-11-13 14:16:19.731198","bfc13788-ffbb-4a45-bdb0-6a858be0d520","13706"
"2010-08-23","255901107","337",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.749758","2020-11-13 14:16:19.749643","b629ed4c-8ac7-4f12-865a-f116d2ad0c84","13712"
"2010-08-23","255901107","100",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.755614","2020-11-13 14:16:19.755446","6a2d8251-1663-467d-9ee6-cdab6a050275","13714"
"2010-08-23","255901107","303",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.770081","2020-11-13 14:16:19.768737","1fa720a4-43d4-4d60-ba26-87ccebd5e130","13718"
"2010-08-23","255901107","369",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.770886","2020-11-13 14:16:19.770761","b41c250e-7c6f-4820-a972-28dd0dea11c2","13719"
"2010-08-23","255901107","191",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.774649","2020-11-13 14:16:19.774525","1fdee041-f9e6-4a57-a094-94d80b49d937","13720"
"2010-08-23","255901107","823",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.785577","2020-11-13 14:16:19.785437","f24ee8e9-de9e-4f1c-a89b-ffc39ee4b31b","13723"
"2010-08-23","255901107","876",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.791257","2020-11-13 14:16:19.791150","8ab2e0c0-8bac-4d94-884f-16e741335cd5","13725"
"2010-08-23","255901107","848",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.801080","2020-11-13 14:16:19.800974","476541cb-56b0-4528-8629-2c6d5415137a","13728"
"2010-08-23","255901107","758",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.812061","2020-11-13 14:16:19.811903","131ac2a3-2f23-4bc3-9181-bbf9311717da","13731"
"2010-08-23","255901107","323",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.814021","2020-11-13 14:16:19.813906","dd07217c-bb1c-407f-8a6b-6bbdb8f97ce1","13732"
"2010-08-23","255901107","398",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.819179","2020-11-13 14:16:19.819066","ebd75c7b-47ef-4e38-8cb4-c870a59544f6","13733"
"2010-08-23","255901107","297",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.825268","2020-11-13 14:16:19.825173","bf761fb8-bc85-4b3a-8af9-ca55ea4c825b","13735"
"2010-08-23","255901107","660",,"946",,,,,,,,,"991","255901107","2011",,,,"0.75",,"NULL","2020-11-13 14:16:19.841452","2020-11-13 14:16:19.841264","5d96ac0b-fe68-48e5-b11b-0f1dbbd1796c","13740"
"2010-08-23","255901107","218",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.846029","2020-11-13 14:16:19.845832","e454d861-43d6-4354-9dd6-8f01891efbe1","13741"
"2010-08-23","255901107","487",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.855218","2020-11-13 14:16:19.855076","db742107-85f1-4926-aa25-f6395bb5dce7","13744"
"2010-08-23","255901107","317",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.873471","2020-11-13 14:16:19.873155","360ec0b0-61d2-4bea-acf5-7351f7d7842f","13747"
"2010-08-23","255901107","893",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.875458","2020-11-13 14:16:19.875374","b009c80a-466a-4618-8de4-a997b40da791","13750"
"2010-08-23","255901107","672",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.888613","2020-11-13 14:16:19.888472","2b129960-a022-475a-9520-89c4b484e1f8","13752"
"2010-08-23","255901107","210",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.889417","2020-11-13 14:16:19.889310","5f1192d3-bd58-497d-8bb3-9305720fde63","13753"
"2010-08-23","255901107","156",,"946",,,,,,,,,"991","255901107","2011",,,,"0.50",,"NULL","2020-11-13 14:16:19.902048","2020-11-13 14:16:19.900166","cf474118-bf93-4da3-a058-6bce891b7ac8","13756"
"2010-08-23","255901107","208",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.902234","2020-11-13 14:16:19.902042","a235c949-7240-4447-8af9-22510928e11f","13757"
"2010-08-23","255901107","134",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.913286","2020-11-13 14:16:19.913068","46e94bc3-8430-4219-8e04-41fbb3c6af8a","13759"
"2010-08-23","255901107","775",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.914871","2020-11-13 14:16:19.914757","c3021341-dd64-4d91-bfcb-75e3a039df9c","13760"
"2010-08-23","255901107","70",,"946",,,,,,,,,"991","255901107","2011",,,,"0.75",,"NULL","2020-11-13 14:16:19.927615","2020-11-13 14:16:19.927480","4b28157d-e964-456f-beb7-1434b61e2976","13764"
"2010-08-23","255901001","871",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.939280","2020-11-13 14:16:19.939155","5344b33f-2f18-480d-8a24-bd94289c72d7","13768"
"2010-08-23","255901001","474",,"942",,,,,,,,,"993","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.944027","2020-11-13 14:16:19.943541","dfbf3059-3d95-4a7c-9c74-9f85565e92c8","13770"
"2010-08-23","255901001","482",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.952698","2020-11-13 14:16:19.952557","0b5232a0-388f-49f5-835c-f29bb4ca6c9c","13772"
"2010-08-23","255901001","404",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.969183","2020-11-13 14:16:19.969096","617e011b-31d1-4878-bda0-5905dd053a19","13777"
"2010-08-23","255901001","790",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.979997","2020-11-13 14:16:19.979813","4449cf22-e498-4dd8-b24e-39ff1f8895b4","13779"
"2010-08-23","255901001","567",,"942",,,,,,,,,"993","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.982357","2020-11-13 14:16:19.982242","4e669b8b-2b6f-450c-a3bd-75cdcea6a8de","13781"
"2010-08-23","255901107","374",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.372135","2020-11-13 14:16:19.362922","db6ada58-5cb6-484e-a57c-9c7ac0d3d633","13610"
"2010-08-23","255901107","17",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.391089","2020-11-13 14:16:19.390881","cf8beed2-a36d-40cb-9da6-4688bcca7b5a","13612"
"2010-08-23","255901107","171",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.405606","2020-11-13 14:16:19.405498","fea5bdd9-ea57-4106-979a-23c4250d393b","13617"
"2010-08-23","255901107","860",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.421987","2020-11-13 14:16:19.421726","26e70091-a159-44fd-9a08-4b0b7e472bcb","13620"
"2010-08-23","255901107","899",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.437235","2020-11-13 14:16:19.437120","305018f3-fe7d-4856-a921-473b3304b4d6","13626"
"2010-08-23","255901107","350",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.450791","2020-11-13 14:16:19.450639","fde8da87-f65b-4707-b3d0-72a3cfa89123","13630"
"2010-08-23","255901107","177",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.463180","2020-11-13 14:16:19.463054","f1d29a02-4164-4124-a8d0-8109e10a7868","13634"
"2010-08-23","255901107","850",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.479929","2020-11-13 14:16:19.479787","1f00c296-9848-4bdf-b76a-2c7646e8893a","13637"
"2010-08-23","255901107","745",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.493822","2020-11-13 14:16:19.493695","3db2356d-7928-4cda-b083-18eafe394510","13642"
"2010-08-23","255901107","722",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.506588","2020-11-13 14:16:19.506464","86015e8f-4c65-4256-b9d5-1c36b3bfe6d1","13646"
"2010-08-23","255901107","561",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.519218","2020-11-13 14:16:19.519104","228281ee-18b9-4524-8916-c633e19d7ba7","13650"
"2010-08-23","255901107","151",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.532864","2020-11-13 14:16:19.532733","6123fdb4-0c34-4082-acaa-afd25f3ffcd7","13653"
"2010-08-23","255901107","181",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.551161","2020-11-13 14:16:19.550749","bb032718-8f9b-4058-96b6-f3874003bf39","13658"
"2010-08-23","255901107","341",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.568490","2020-11-13 14:16:19.568283","ca9f5850-8994-44e1-956b-1106b51d98f5","13662"
"2010-08-23","255901107","281",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.578580","2020-11-13 14:16:19.577657","5343da37-6e0f-4bb2-83b9-6832dd7ad7a1","13663"
"2010-08-23","255901107","381",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.585329","2020-11-13 14:16:19.585181","5660cbf9-af10-491f-a2e2-e2b73037a68d","13666"
"2010-08-23","255901107","740",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.597809","2020-11-13 14:16:19.597414","80f66d0b-1ccc-494e-b255-bb097b4ae325","13669"
"2010-08-23","255901107","553",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.613860","2020-11-13 14:16:19.613504","2310667e-0983-4607-8acf-82b210153bf8","13673"
"2010-08-23","255901107","640",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.627889","2020-11-13 14:16:19.627788","b67c5871-9dcb-43e7-9291-88e6352e3c8b","13677"
"2010-08-23","255901107","383",,"944",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.644416","2020-11-13 14:16:19.644289","d4f9e380-3dfa-4823-b696-17702f7895d6","13682"
"2010-08-23","255901107","541",,"944",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.654238","2020-11-13 14:16:19.654029","94ae682a-1762-41be-b915-97209a8916c2","13685"
"2010-08-23","255901107","216",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.669697","2020-11-13 14:16:19.669592","180f0631-5a0a-4c09-9af3-8bb361fd8240","13689"
"2010-08-23","255901107","8",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.697943","2020-11-13 14:16:19.697713","01e086c5-1330-4567-a4f6-33cbaedb5dcc","13697"
"2010-08-23","255901107","235",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.719280","2020-11-13 14:16:19.719146","0c034d93-a12f-49e2-8c47-3e6cc793811c","13703"
"2010-08-23","255901107","658",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.726296","2020-11-13 14:16:19.726182","91153fac-013a-4404-a159-cc13fe0bc2f4","13705"
"2010-08-23","255901107","589",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.731657","2020-11-13 14:16:19.731551","310f96cc-a6c4-4a1f-99ba-616aaaac831c","13707"
"2010-08-23","255901107","44",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.739115","2020-11-13 14:16:19.738988","406b3392-4035-434f-8acb-8a988bee88fa","13709"
"2010-08-23","255901107","50",,"946",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.744930","2020-11-13 14:16:19.744829","4328791d-0c66-479f-abf2-07eecb014616","13711"
"2010-08-23","255901107","205",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.757366","2020-11-13 14:16:19.757215","e8050b0f-cf88-48b0-b924-72f004170e07","13715"
"2010-08-23","255901107","410",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.764092","2020-11-13 14:16:19.764000","d632c7b1-18cb-488e-9a21-8fddfb59fe96","13717"
"2010-08-23","255901107","184",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.785618","2020-11-13 14:16:19.785473","1d73c613-ddba-40e4-80ca-67af09fc5dda","13722"
"2010-08-23","255901107","80",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.799377","2020-11-13 14:16:19.799155","cb5d747f-6e5b-442a-9353-b5ae57de4655","13727"
"2010-08-23","255901107","466",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.827358","2020-11-13 14:16:19.827025","95e56a21-2d5a-4c38-9a14-9d8383f7c680","13736"
"2010-08-23","255901107","470",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.838093","2020-11-13 14:16:19.837960","c3290771-c447-4fc7-97df-8c96d1f74f2f","13739"
"2010-08-23","255901107","959",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.851850","2020-11-13 14:16:19.851711","b369ac72-3bce-4f9e-9388-f9f91fe6ca63","13743"
"2010-08-23","255901107","415",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.874371","2020-11-13 14:16:19.874201","0233fe81-f724-4046-8dae-6a75e5eeaa13","13749"
"2010-08-23","255901107","458",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.889675","2020-11-13 14:16:19.889577","92d10afc-90da-45e2-a7da-bace98719f44","13754"
"2010-08-23","255901107","478",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.902161","2020-11-13 14:16:19.900512","501bdd91-8631-4961-90d9-aab8fa442e7b","13758"
"2010-08-23","255901107","126",,"946",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.917217","2020-11-13 14:16:19.917103","a0ccc1a1-3cba-4d12-9457-ca2cfde8bc8a","13762"
"2010-08-23","255901107","834",,"946",,,,,,,,,"993","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.929710","2020-11-13 14:16:19.929604","adc19cbf-e261-4cc5-a40f-3963619b3319","13765"
"2010-08-23","255901107","16",,"946",,,,,,,,,"991","255901107","2011",,,,,,"NULL","2020-11-13 14:16:19.939043","2020-11-13 14:16:19.937911","76987356-a5ee-4827-b472-778da215b0d1","13767"
"2010-08-23","255901001","580",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.954224","2020-11-13 14:16:19.954122","3ae06f5f-8a77-4633-a91a-02ae61890f3b","13773"
"2010-08-23","255901001","733",,"942",,,,,,,,,"993","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.967447","2020-11-13 14:16:19.967290","a09ceb84-5914-404b-b182-5416a6be752c","13775"
"2010-08-23","255901001","104",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.982362","2020-11-13 14:16:19.982233","dea3dc70-7d72-4708-8fff-721c7f3bcc70","13780"
"2010-08-23","255901001","923",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:19.993857","2020-11-13 14:16:19.993651","c775de92-51de-4597-bcfa-69604cb42390","13784"
"2010-08-23","255901001","488",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:20.004660","2020-11-13 14:16:20.004346","50017911-3235-45c5-af79-d4122ae53649","13787"
"2010-08-23","255901001","711",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:20.010544","2020-11-13 14:16:20.010441","2a299720-4dfa-4634-afe9-755f64ce8a48","13790"
"2010-08-23","255901001","581",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:20.020394","2020-11-13 14:16:20.020305","013c90bd-a2d5-425f-9156-67226a67957f","13793"
"2010-08-23","255901001","367",,"942",,,,,,,,,"991","255901001","2011",,,,,,"NULL","2020-11-13 14:16:20.044396","2020-11-13 14:16:20.044288","a40cc0e1-f4e5-4339-ab69-0dbe68450cc4","13800"
