classroomidentificationcode,schoolid,maximumnumberofseats,optimalnumberofseats,discriminator,createdate,lastmodifieddate,id,changeversion
"302","255901107","20","18","NULL","2020-11-13 14:15:11.546005","2020-11-13 14:15:11.545952","27ef1f37-f170-4891-a0d0-dd1bb4113976","3049"
"304","255901107","20","18","NULL","2020-11-13 14:15:11.546495","2020-11-13 14:15:11.546438","5d6bd92d-34d3-42f5-be70-26ba3017b4c1","3050"
"501","255901107","20","18","NULL","2020-11-13 14:15:11.550364","2020-11-13 14:15:11.549990","5c85dd28-a5f2-4e85-9eaf-7f5f3f467697","3051"
"503","255901107","20","18","NULL","2020-11-13 14:15:11.553271","2020-11-13 14:15:11.553207","cf465d99-093b-4744-90ec-060dbf2363d3","3054"
"GYM-W","255901107","100","90","NULL","2020-11-13 14:15:11.557967","2020-11-13 14:15:11.557909","5ca507ee-7142-4b91-a2a7-ed35e926257e","3058"
"111","255901044","30","27","NULL","2020-11-13 14:15:11.561804","2020-11-13 14:15:11.561488","d36df767-d770-477d-9307-71e6fde37982","3060"
"114","255901044","30","27","NULL","2020-11-13 14:15:11.566531","2020-11-13 14:15:11.566461","57d66b71-72da-492c-914b-60848805b530","3063"
"211","255901044","30","27","NULL","2020-11-13 14:15:11.569533","2020-11-13 14:15:11.569452","8e8a905b-71ea-4f0b-bfe8-474dbb8114dc","3066"
"213","255901044","30","27","NULL","2020-11-13 14:15:11.573493","2020-11-13 14:15:11.573401","7fc88f7e-5df9-4441-8e6a-f3b555d5afc6","3068"
"310","255901044","30","27","NULL","2020-11-13 14:15:11.573830","2020-11-13 14:15:11.573577","61c02a63-34c0-4849-a725-84ed1f7d4d8c","3069"
"121","255901001","50","48","NULL","2020-11-13 14:15:11.579810","2020-11-13 14:15:11.579753","178e391c-c14d-48d2-a465-82f7d69bd232","3072"
"122","255901001","50","48","NULL","2020-11-13 14:15:11.581104","2020-11-13 14:15:11.581044","572ed15e-0191-46b0-ae68-6b77a1f7bc04","3074"
"123","255901001","50","48","NULL","2020-11-13 14:15:11.584687","2020-11-13 14:15:11.584587","fc1d714c-8d27-49be-9967-2e6812e6ed6e","3075"
"124","255901001","50","48","NULL","2020-11-13 14:15:11.586795","2020-11-13 14:15:11.586731","de23276d-d91f-4e0e-a21e-e29f07e0d9fb","3077"
"223","255901001","50","48","NULL","2020-11-13 14:15:11.823622","2020-11-13 14:15:11.823444","120a9e3d-1fd7-45a2-abf6-6da9c5cea98f","3080"
"321","255901001","50","48","NULL","2020-11-13 14:15:11.824991","2020-11-13 14:15:11.824945","21de0020-be21-4cbc-a19a-632a4de98cf8","3082"
"324","255901001","50","48","NULL","2020-11-13 14:15:11.829927","2020-11-13 14:15:11.829705","aa50ce11-7b37-4de3-8ac4-6fe1084b3522","3083"
"325","255901001","50","48","NULL","2020-11-13 14:15:11.832533","2020-11-13 14:15:11.832456","f9a61abf-b6b4-404c-bbaa-78ec411ec75f","3086"
"102","255901107","20","18","NULL","2020-11-13 14:15:11.518341","2020-11-13 14:15:11.517091","9bddd9be-a4f1-4ff7-a466-8badff93164a","3032"
"107","255901107","20","18","NULL","2020-11-13 14:15:11.528572","2020-11-13 14:15:11.528478","c55393fb-87fc-4742-8d8e-728e282ffbdf","3037"
"202","255901107","20","18","NULL","2020-11-13 14:15:11.533675","2020-11-13 14:15:11.533614","eed9ba72-4960-4f6a-bb4b-85b92e1939dc","3040"
"206","255901107","20","18","NULL","2020-11-13 14:15:11.539787","2020-11-13 14:15:11.539721","eb59da73-118c-4283-8d91-13373500b3e8","3044"
"301","255901107","20","18","NULL","2020-11-13 14:15:11.545164","2020-11-13 14:15:11.545046","c0dcd86c-a36c-447d-b4b0-64310a5b4fcd","3047"
"502","255901107","20","18","NULL","2020-11-13 14:15:11.551442","2020-11-13 14:15:11.551373","9f4b1972-9134-4826-a272-ed3c46f4e12f","3052"
"505","255901107","20","18","NULL","2020-11-13 14:15:11.555270","2020-11-13 14:15:11.555187","593a9213-add8-4ca7-8004-c33fe5615e74","3055"
"GYM-E","255901107","50","40","NULL","2020-11-13 14:15:11.557127","2020-11-13 14:15:11.557003","9eb58b2c-1829-4689-b6d9-16552e220866","3057"
"112","255901044","30","27","NULL","2020-11-13 14:15:11.562905","2020-11-13 14:15:11.562842","9be18b2a-6ff0-4bb6-96b3-2181b04a31af","3061"
"115","255901044","30","27","NULL","2020-11-13 14:15:11.567109","2020-11-13 14:15:11.566974","69ae017e-d5b3-420b-a6c4-cdf81ae1288c","3064"
"GYM-N","255901044","100","90","NULL","2020-11-13 14:15:11.574553","2020-11-13 14:15:11.574511","030891d5-0fe4-4823-8386-96336affc6c4","3070"
"120","255901001","50","48","NULL","2020-11-13 14:15:11.579867","2020-11-13 14:15:11.579820","8e4bf060-8b82-4b59-9d00-e7e8dd125771","3073"
"220","255901001","50","48","NULL","2020-11-13 14:15:11.586018","2020-11-13 14:15:11.585960","db63e398-8343-43b6-ab83-1fd49cf5548b","3076"
"320","255901001","50","48","NULL","2020-11-13 14:15:11.823908","2020-11-13 14:15:11.823787","72ef8580-9864-4748-a142-577e841bcaee","3081"
"323","255901001","50","48","NULL","2020-11-13 14:15:11.830130","2020-11-13 14:15:11.829868","06c33139-86c4-437b-a5f3-46eb954fe4a1","3085"
