localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,staffusi,classroompositiondescriptorid,begindate,enddate,highlyqualifiedteacher,teacherstudentdatalinkexclusion,percentagecontribution,discriminator,createdate,lastmodifieddate,id,changeversion
"SCI-01","255901107","2011","25590110703Trad103SCI0112011","2010-2011 Fall Semester","13","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.399781","2020-11-13 14:16:14.399642","a4cc17ea-6261-4b6b-a994-0b6834823264","12824"
"SCI-01","255901107","2011","25590110703Trad103SCI0122011","2010-2011 Spring Semester","13","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.400795","2020-11-13 14:16:14.400706","e58529e2-327f-4d03-9fdb-ff1f12f7683d","12825"
"ELA-01","255901107","2011","25590110701Trad104ELA0112011","2010-2011 Fall Semester","15","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.410415","2020-11-13 14:16:14.410289","07f05ab0-1869-4c99-9262-e27e24b66d7f","12828"
"ELA-01","255901107","2011","25590110701Trad104ELA0122011","2010-2011 Spring Semester","15","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.410416","2020-11-13 14:16:14.410345","72d46a30-3dc3-4227-88bf-68c960d9b67c","12829"
"SCI-01","255901107","2011","25590110704Trad104SCI0112011","2010-2011 Fall Semester","15","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.420288","2020-11-13 14:16:14.420166","ef3f9a53-617e-4494-91f9-9e3d7e6f1bbf","12832"
"SS-01","255901107","2011","25590110705Trad104SS0112011","2010-2011 Fall Semester","15","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.422394","2020-11-13 14:16:14.422344","e7b00234-a557-4b63-9339-5cbea2519119","12835"
"ELA-02","255901107","2011","25590110701Trad105ELA0212011","2010-2011 Fall Semester","18","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.430364","2020-11-13 14:16:14.430237","e9ddd363-e2e5-41ac-8b3a-f71e213fcb00","12836"
"MATH-02","255901107","2011","25590110703Trad105MATH0222011","2010-2011 Spring Semester","18","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.434621","2020-11-13 14:16:14.434552","596e3e55-61c2-4504-8c72-e2a47b0d62b0","12838"
"SCI-02","255901107","2011","25590110704Trad105SCI0222011","2010-2011 Spring Semester","18","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.444008","2020-11-13 14:16:14.443949","d5fa9c63-07e8-438a-a3e2-346faf086168","12841"
"SS-02","255901107","2011","25590110705Trad105SS0212011","2010-2011 Fall Semester","18","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.448510","2020-11-13 14:16:14.448313","f057ee97-4ae2-42d4-9726-8065aae14174","12843"
"ELA-02","255901107","2011","25590110701Trad106ELA0212011","2010-2011 Fall Semester","19","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.453524","2020-11-13 14:16:14.453133","a3eed197-2e0d-4c28-b01e-1b8202a77aac","12844"
"MATH-02","255901107","2011","25590110702Trad106MATH0212011","2010-2011 Fall Semester","19","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.456707","2020-11-13 14:16:14.456640","b6902601-20f4-4f6b-8b64-20849adb7cb0","12846"
"SCI-02","255901107","2011","25590110703Trad106SCI0212011","2010-2011 Fall Semester","19","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.463679","2020-11-13 14:16:14.463588","5c35ed02-f1d1-4001-88b4-4d90b1dd5ac6","12848"
"SS-02","255901107","2011","25590110705Trad106SS0222011","2010-2011 Spring Semester","19","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.468135","2020-11-13 14:16:14.468055","1b99eacc-8589-4de6-8985-ffc5ef71bda1","12851"
"ELA-02","255901107","2011","25590110701Trad107ELA0222011","2010-2011 Spring Semester","14","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.474045","2020-11-13 14:16:14.473981","369d6e5f-96f3-438e-86da-3a070d69888a","12853"
"MATH-02","255901107","2011","25590110702Trad107MATH0212011","2010-2011 Fall Semester","14","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.474953","2020-11-13 14:16:14.474854","e2e55d71-b671-4f96-bf34-09b0c97bb710","12854"
"SCI-02","255901107","2011","25590110703Trad107SCI0212011","2010-2011 Fall Semester","14","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.483420","2020-11-13 14:16:14.483299","ac257904-01ad-4708-bf40-0b49a327bc0d","12856"
"SS-02","255901107","2011","25590110707Trad107SS0222011","2010-2011 Spring Semester","14","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.487460","2020-11-13 14:16:14.487393","b52f049a-6333-447a-ada2-e12639a816d6","12859"
"ELA-02","255901107","2011","25590110701Trad108ELA0212011","2010-2011 Fall Semester","17","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.493308","2020-11-13 14:16:14.493196","d9e77cb9-fda4-45b5-ba9d-fb74d8947711","12860"
"ELA-02","255901107","2011","25590110701Trad108ELA0222011","2010-2011 Spring Semester","17","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.493639","2020-11-13 14:16:14.493554","9cebe842-077a-4274-937a-e3a52d0437a5","12861"
"MATH-02","255901107","2011","25590110702Trad108MATH0222011","2010-2011 Spring Semester","17","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.496619","2020-11-13 14:16:14.496551","87044ad6-8191-4b3a-a6ca-bf10148ad4d4","12863"
"SCI-02","255901107","2011","25590110703Trad108SCI0212011","2010-2011 Fall Semester","17","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.503641","2020-11-13 14:16:14.503518","a9c89260-dbc6-4207-a1f5-3b06665b2c81","12864"
"SCI-02","255901107","2011","25590110703Trad108SCI0222011","2010-2011 Spring Semester","17","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.503754","2020-11-13 14:16:14.503673","b4b778a8-d6b2-4b78-a7e7-b5e1cb220044","12865"
"ELA-03","255901107","2011","25590110701Trad201ELA0322011","2010-2011 Spring Semester","24","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.514889","2020-11-13 14:16:14.514775","720d68be-0016-44aa-a783-9dd1d51cc4e9","12868"
"MATH-03","255901107","2011","25590110702Trad201MATH0322011","2010-2011 Spring Semester","24","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.515812","2020-11-13 14:16:14.515770","11a24b81-c5b6-402e-9e8a-d67c540503f9","12871"
"SCI-03","255901107","2011","25590110704Trad201SCI0312011","2010-2011 Fall Semester","24","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.523755","2020-11-13 14:16:14.523642","e8fc4114-a94f-4df9-9d36-4ee91da34fab","12872"
"SS-03","255901107","2011","25590110707Trad201SS0322011","2010-2011 Spring Semester","24","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.526081","2020-11-13 14:16:14.526016","1bc1e5c4-b826-413f-b8b9-8c09b9ebade6","12875"
"ELA-03","255901107","2011","25590110701Trad202ELA0322011","2010-2011 Spring Semester","23","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.533637","2020-11-13 14:16:14.533539","23851b57-535b-4f46-882f-b111fca6f383","12877"
"SCI-03","255901107","2011","25590110704Trad202SCI0322011","2010-2011 Spring Semester","23","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.542263","2020-11-13 14:16:14.542059","5a6701c9-4154-408f-88aa-a05608caf4f7","12880"
"SCI-03","255901107","2011","25590110704Trad202SCI0312011","2010-2011 Fall Semester","23","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.542506","2020-11-13 14:16:14.542404","a8cf92f0-9364-46ee-baad-71045e9ab11d","12881"
"SS-03","255901107","2011","25590110706Trad202SS0322011","2010-2011 Spring Semester","23","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.545358","2020-11-13 14:16:14.545285","fa34ed6f-6c68-42f7-8b43-5e4078510edf","12883"
"MATH-03","255901107","2011","25590110702Trad203MATH0322011","2010-2011 Spring Semester","21","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.553668","2020-11-13 14:16:14.553615","d5852928-17a3-4499-a5a9-3374314b9db3","12886"
"MATH-03","255901107","2011","25590110702Trad203MATH0312011","2010-2011 Fall Semester","21","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.553679","2020-11-13 14:16:14.553624","21315f1c-e4bf-493e-8fc7-51aed1d2b335","12887"
"SCI-03","255901107","2011","25590110704Trad203SCI0312011","2010-2011 Fall Semester","21","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.561306","2020-11-13 14:16:14.561194","046ca829-9c0f-40e6-b6f4-3b5731a17c0a","12888"
"SS-03","255901107","2011","25590110706Trad203SS0322011","2010-2011 Spring Semester","21","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.562867","2020-11-13 14:16:14.562795","8cabeaaa-9b58-45cc-be70-9a294f19961e","12891"
"ELA-03","255901107","2011","25590110701Trad204ELA0312011","2010-2011 Fall Semester","22","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.571648","2020-11-13 14:16:14.571541","9db32574-6dfb-4199-99d2-431ac38aa636","12893"
"ELA-03","255901107","2011","25590110701Trad204ELA0322011","2010-2011 Spring Semester","22","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.572149","2020-11-13 14:16:14.572071","6d242074-3ef6-44ce-afe1-3511a710500a","12894"
"ELA-01","255901107","2011","25590110701Trad101ELA0112011","2010-2011 Fall Semester","20","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.345467","2020-11-13 14:16:14.343859","3ef75ee7-d5ca-4cba-bdb5-022adb56bdf9","12807"
"SCI-01","255901107","2011","25590110704Trad101SCI0122011","2010-2011 Spring Semester","20","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.361786","2020-11-13 14:16:14.361704","0890cacf-55d4-49e3-887a-fa2ab890cd6d","12811"
"ELA-01","255901107","2011","25590110701Trad102ELA0122011","2010-2011 Spring Semester","16","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.371275","2020-11-13 14:16:14.371180","72b9655a-0778-4d37-851a-ccba66e9f930","12813"
"SS-01","255901107","2011","25590110706Trad102SS0122011","2010-2011 Spring Semester","16","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.382506","2020-11-13 14:16:14.382436","5be905cc-23e2-4747-afba-6e614f88ee36","12819"
"ELA-01","255901107","2011","25590110701Trad103ELA0122011","2010-2011 Spring Semester","13","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.391280","2020-11-13 14:16:14.391185","d79b7111-c365-4806-9f4e-49acd5fb4ebd","12821"
"SS-01","255901107","2011","25590110706Trad103SS0112011","2010-2011 Fall Semester","13","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.402018","2020-11-13 14:16:14.401952","c7ac0835-b7ad-4b74-8da8-67ba4e36d5db","12826"
"MATH-01","255901107","2011","25590110702Trad104MATH0112011","2010-2011 Fall Semester","15","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.411571","2020-11-13 14:16:14.411493","3fed7623-c737-43d0-8c94-4570428e0c5f","12830"
"SCI-01","255901107","2011","25590110704Trad104SCI0122011","2010-2011 Spring Semester","15","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.421066","2020-11-13 14:16:14.420973","f2c083a4-12da-4bfe-93c3-530f2a41377d","12833"
"ELA-02","255901107","2011","25590110701Trad105ELA0222011","2010-2011 Spring Semester","18","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.434668","2020-11-13 14:16:14.434604","ab75707a-2c56-4414-9c8e-2fc941995735","12839"
"SCI-02","255901107","2011","25590110703Trad106SCI0222011","2010-2011 Spring Semester","19","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.464098","2020-11-13 14:16:14.463993","b8c0e682-2db6-4ea9-84fb-4f5a12ee5507","12849"
"SCI-02","255901107","2011","25590110703Trad107SCI0222011","2010-2011 Spring Semester","14","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.485201","2020-11-13 14:16:14.485145","a88777e1-42cc-479c-90e9-60f0c88b5c0e","12858"
"SS-02","255901107","2011","25590110707Trad108SS0212011","2010-2011 Fall Semester","17","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.504890","2020-11-13 14:16:14.504821","ac3ab649-974a-4cdb-bde5-2549a17e8e37","12866"
"ELA-03","255901107","2011","25590110701Trad201ELA0312011","2010-2011 Fall Semester","24","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.514920","2020-11-13 14:16:14.514836","4196384c-5ada-4db6-8495-1baf76909d71","12869"
"SCI-03","255901107","2011","25590110704Trad201SCI0322011","2010-2011 Spring Semester","24","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.524520","2020-11-13 14:16:14.524437","f76fe27d-4d56-43b1-8444-2951f6cd4a9b","12873"
"MATH-03","255901107","2011","25590110703Trad202MATH0312011","2010-2011 Fall Semester","23","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.534524","2020-11-13 14:16:14.534472","a2dd5221-abc0-46b5-92f1-803cc61d62d1","12878"
"ELA-03","255901107","2011","25590110701Trad203ELA0322011","2010-2011 Spring Semester","21","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.552944","2020-11-13 14:16:14.552863","fab7271d-84fe-4e08-9b74-1483fb26aada","12885"
"SCI-03","255901107","2011","25590110704Trad203SCI0322011","2010-2011 Spring Semester","21","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.561488","2020-11-13 14:16:14.561420","05617ca8-713e-41aa-8cbb-06414fd690aa","12889"
"MATH-03","255901107","2011","25590110703Trad204MATH0322011","2010-2011 Spring Semester","22","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.572739","2020-11-13 14:16:14.572661","bbd7c2e0-d967-4cd7-bd4d-9d556eda6f53","12895"
"SCI-03","255901107","2011","25590110704Trad204SCI0312011","2010-2011 Fall Semester","22","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.580263","2020-11-13 14:16:14.580154","4966feba-f212-4318-bc67-9e75da337d09","12896"
"SCI-03","255901107","2011","25590110704Trad204SCI0322011","2010-2011 Spring Semester","22","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.581239","2020-11-13 14:16:14.581174","bbc14c24-3761-4ab5-bee7-486a682b6cc1","12897"
"ELA-04","255901107","2011","25590110701Trad205ELA0412011","2010-2011 Fall Semester","25","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.590054","2020-11-13 14:16:14.589923","96294e00-78f6-45ab-8b2a-f9b422b6481e","12900"
"MATH-04","255901107","2011","25590110703Trad205MATH0422011","2010-2011 Spring Semester","25","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.592199","2020-11-13 14:16:14.592144","99cdb096-5ca2-41a4-80d2-2e3cf3217e8c","12903"
"SCI-04","255901107","2011","25590110705Trad205SCI0422011","2010-2011 Spring Semester","25","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.600453","2020-11-13 14:16:14.600254","9df69b27-98f9-4d7f-86f0-3da50985edc8","12905"
"ELA-04","255901107","2011","25590110701Trad206ELA0412011","2010-2011 Fall Semester","28","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.608854","2020-11-13 14:16:14.608668","f5c39b1d-ddac-4a0e-9178-3d44c232bc2e","12908"
"ELA-04","255901107","2011","25590110701Trad206ELA0422011","2010-2011 Spring Semester","28","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.609382","2020-11-13 14:16:14.609281","6e2dd938-ad82-405c-957b-8724c066e82f","12909"
"SCI-04","255901107","2011","25590110705Trad206SCI0412011","2010-2011 Fall Semester","28","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.619193","2020-11-13 14:16:14.619068","813e670f-279d-40fa-bd4e-2c7a6adabc4e","12913"
"ELA-04","255901107","2011","25590110701Trad207ELA0412011","2010-2011 Fall Semester","27","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.628867","2020-11-13 14:16:14.628782","ecd87ec9-0460-4cbf-bd83-c9e92273bbfd","12917"
"MATH-04","255901107","2011","25590110702Trad207MATH0422011","2010-2011 Spring Semester","27","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.631963","2020-11-13 14:16:14.631896","a14767e9-3d38-41c2-822d-e307c1ccd910","12919"
"SS-04","255901107","2011","25590110706Trad207SS0422011","2010-2011 Spring Semester","27","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.639690","2020-11-13 14:16:14.639629","25612e4c-459c-4d41-818e-d59e3d32312d","12922"
"ELA-04","255901107","2011","25590110701Trad208ELA0422011","2010-2011 Spring Semester","26","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.641392","2020-11-13 14:16:14.641332","ab272e5f-1ed1-41f0-8be2-98daa63837bd","12923"
"MATH-04","255901107","2011","25590110702Trad208MATH0412011","2010-2011 Fall Semester","26","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.649099","2020-11-13 14:16:14.648983","1db5fbdc-d42e-4d26-a814-a6d990f9fe9e","12924"
"MATH-04","255901107","2011","25590110702Trad208MATH0422011","2010-2011 Spring Semester","26","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.649418","2020-11-13 14:16:14.649330","01822324-4a5f-4e82-ba0c-720f50877879","12925"
"SS-04","255901107","2011","25590110707Trad208SS0422011","2010-2011 Spring Semester","26","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.659301","2020-11-13 14:16:14.659184","f3649e25-46f0-4979-ab78-56fec689c374","12929"
"ELA-05","255901107","2011","25590110702Trad301ELA0512011","2010-2011 Fall Semester","29","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.660356","2020-11-13 14:16:14.660302","51421a97-86cc-4079-895f-7ab7627b32cf","12930"
"MATH-05","255901107","2011","25590110705Trad301MATH0512011","2010-2011 Fall Semester","29","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.669002","2020-11-13 14:16:14.668877","465471f1-4714-4a37-9594-9f70b72c2d5c","12932"
"SCI-05","255901107","2011","25590110706Trad301SCI0512011","2010-2011 Fall Semester","29","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.671063","2020-11-13 14:16:14.671011","0cdebf26-e222-4956-af75-3a0c2fc9d0c5","12935"
"SS-05","255901107","2011","25590110707Trad301SS0512011","2010-2011 Fall Semester","29","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.679875","2020-11-13 14:16:14.679723","95d1a1f9-1970-4873-8287-5913c740163c","12936"
"ELA-05","255901107","2011","25590110704Trad302ELA0522011","2010-2011 Fall Semester","30","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.680474","2020-11-13 14:16:14.680384","6b61e63a-b0b0-44c0-a388-337a8cf446b6","12938"
"MATH-05","255901107","2011","25590110705Trad302MATH0522011","2010-2011 Spring Semester","30","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.691810","2020-11-13 14:16:14.691701","671e1bee-1ecb-4aae-85df-7ccb86bfea11","12941"
"SCI-05","255901107","2011","25590110706Trad302SCI0512011","2010-2011 Fall Semester","30","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.693062","2020-11-13 14:16:14.693003","f93a5737-d0aa-48b4-8bc9-e16f36d99bdd","12943"
"ELA-05","255901107","2011","25590110702Trad303ELA0512011","2010-2011 Fall Semester","32","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.704928","2020-11-13 14:16:14.704815","93470170-0add-4500-b69c-2ec346fe0904","12944"
"ELA-05","255901107","2011","25590110702Trad303ELA0522011","2010-2011 Spring Semester","32","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.708700","2020-11-13 14:16:14.708632","5def1e87-6daf-4b2e-90dd-484262eea188","12946"
"SS-05","255901107","2011","25590110707Trad303SS0512011","2010-2011 Fall Semester","32","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.728318","2020-11-13 14:16:14.728229","e6aa495f-59ff-4d9b-bb28-73c3615b039e","12954"
"ART-01","255901107","2011","25590110703Trad504ART0122011","2010-2011 Spring Semester","34","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.750083","2020-11-13 14:16:14.750017","c1b7b84a-9dee-4c05-b508-38fbe63930b4","12963"
"ART-02","255901107","2011","25590110704Trad504ART0222011","2010-2011 Spring Semester","34","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.757844","2020-11-13 14:16:14.757741","6fd26606-2aaa-48df-92e5-7e2874bff365","12965"
"ART-01","255901107","2011","25590110706Trad504ART0122011","2010-2011 Spring Semester","34","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.768520","2020-11-13 14:16:14.768302","22557fdf-e598-45c6-a2ca-9dc15904c394","12969"
"ART-02","255901107","2011","25590110707Trad504ART0212011","2010-2011 Fall Semester","34","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.771221","2020-11-13 14:16:14.771147","75b8f3e1-3c24-480d-b39c-4c03a789aec8","12970"
"SS-03","255901107","2011","25590110707Trad204SS0312011","2010-2011 Fall Semester","22","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.581183","2020-11-13 14:16:14.581100","292ab643-f2e4-440b-ab22-cf7dd1bb1c88","12898"
"ELA-04","255901107","2011","25590110701Trad205ELA0422011","2010-2011 Spring Semester","25","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.591644","2020-11-13 14:16:14.591578","5b4f0e7c-2146-4b6c-b9d4-4ed4acff4a96","12902"
"SCI-04","255901107","2011","25590110705Trad205SCI0412011","2010-2011 Fall Semester","25","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.599361","2020-11-13 14:16:14.599278","0c647e45-0da5-4729-8b2d-5c0886e33090","12904"
"SS-04","255901107","2011","25590110706Trad205SS0422011","2010-2011 Spring Semester","25","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.602697","2020-11-13 14:16:14.602630","bca0468d-81a8-429e-b900-3d7d5e4e67b8","12906"
"MATH-04","255901107","2011","25590110702Trad206MATH0412011","2010-2011 Fall Semester","28","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.611690","2020-11-13 14:16:14.611641","236d8a68-d37f-4c17-88e1-051059ae940b","12910"
"SCI-04","255901107","2011","25590110705Trad206SCI0422011","2010-2011 Spring Semester","28","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.619150","2020-11-13 14:16:14.619005","f81e400c-06e3-49fd-a92c-074b0c7ca2ec","12912"
"SS-04","255901107","2011","25590110707Trad206SS0422011","2010-2011 Spring Semester","28","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.622570","2020-11-13 14:16:14.622523","dd7d51e3-9adc-41e7-a7ca-0e5190ac2072","12915"
"ELA-04","255901107","2011","25590110701Trad207ELA0422011","2010-2011 Spring Semester","27","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.628755","2020-11-13 14:16:14.628636","45d20af1-3d65-426c-bfd1-960caa5a909a","12916"
"SS-04","255901107","2011","25590110706Trad207SS0412011","2010-2011 Fall Semester","27","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.639601","2020-11-13 14:16:14.639522","855a61e3-82ee-4eb7-ae0a-aec88202712f","12921"
"SCI-04","255901107","2011","25590110705Trad208SCI0412011","2010-2011 Fall Semester","26","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.650801","2020-11-13 14:16:14.650677","fad50a0a-916c-46e5-a97a-639e2317a7f7","12927"
"SCI-05","255901107","2011","25590110706Trad301SCI0522011","2010-2011 Spring Semester","29","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.670808","2020-11-13 14:16:14.670727","4e1645e0-4706-4ce6-a797-1e9feb7dab02","12934"
