localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,sequenceofcourse,educationalenvironmentdescriptorid,mediumofinstructiondescriptorid,populationserveddescriptorid,availablecredits,availablecredittypedescriptorid,availablecreditconversion,instructionlanguagedescriptorid,locationschoolid,locationclassroomidentificationcode,officialattendanceperiod,sectionname,discriminator,createdate,lastmodifieddate,id,changeversion
"ENG-2","255901001","2011","25590100105Trad120ENG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.191506","2020-11-13 14:16:11.191308","a1c3a33a-fdf0-4376-871f-55235668e33d","12273"
"ENG-2","255901001","2011","25590100104Trad120ENG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.191784","2020-11-13 14:16:11.191637","e64fd190-f565-4420-b4ff-13c890112822","12274"
"ENG-1","255901001","2011","25590100103Trad120ENG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.191814","2020-11-13 14:16:11.191648","133e54d8-4108-4a8e-9647-4c5badb9c78d","12275"
"ENG-3","255901001","2011","25590100101Trad121ENG312011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.203293","2020-11-13 14:16:11.202996","12534e9e-1fa0-4c26-ad7c-24f6873de6ad","12276"
"ENG-2","255901001","2011","25590100106Trad120ENG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.203229","2020-11-13 14:16:11.202950","bc783c60-9e2a-471f-9657-657368bca11f","12277"
"ENG-3","255901001","2011","25590100102Trad121ENG312011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.206897","2020-11-13 14:16:11.206675","11be0115-b4e0-4792-8fe2-bfbb1d8d1b86","12278"
"ENG-3","255901001","2011","25590100103Trad121ENG312011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.210531","2020-11-13 14:16:11.210286","9f4ae9e4-197c-4c53-87df-b08c685e6f79","12279"
"ENG-4","255901001","2011","25590100104Trad121ENG412011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.218007","2020-11-13 14:16:11.217672","f3f212d4-7ff9-4617-8cc8-68d9f3c44799","12280"
"ENG-4","255901001","2011","25590100105Trad121ENG412011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.218244","2020-11-13 14:16:11.218071","953864ae-eb41-4193-bfef-8e79e63fd288","12281"
"ENG-4","255901001","2011","25590100106Trad121ENG412011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.221327","2020-11-13 14:16:11.221163","d6b3dc86-0b53-4c2f-a2eb-7395302e08c2","12282"
"ENVIRSYS","255901001","2011","25590100101Trad222ENVIRSYS1201","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.223465","2020-11-13 14:16:11.223286","023cd82e-0910-44c3-a6e4-afb18278b81e","12283"
"ENVIRSYS","255901001","2011","25590100106Trad222ENVIRSYS1201","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.229996","2020-11-13 14:16:11.229748","bc180945-0435-4753-b311-715a50c4e908","12284"
"ENVIRSYS","255901001","2011","25590100107Trad222ENVIRSYS1201","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.231428","2020-11-13 14:16:11.231267","795f4690-f8ba-4918-bb24-5cd3faf5a5a2","12285"
"GEOM","255901001","2011","25590100102Trad221GEOM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","221",,,"NULL","2020-11-13 14:16:11.232519","2020-11-13 14:16:11.232383","07012449-b42b-47a3-87bf-0884e2b48583","12286"
"GEOM","255901001","2011","25590100103Trad221GEOM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","221",,,"NULL","2020-11-13 14:16:11.235620","2020-11-13 14:16:11.235484","3ef9892e-d26d-491b-8c2d-0a2ae095c8f7","12287"
"GEOM","255901001","2011","25590100104Trad221GEOM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","221",,,"NULL","2020-11-13 14:16:11.242197","2020-11-13 14:16:11.242029","2f54df6e-1436-4dae-b2c8-dddf895a2f14","12288"
"GOVT","255901001","2011","25590100101Trad122GOVT12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.242929","2020-11-13 14:16:11.242757","ff1c3e5d-9c65-42b4-a806-cf2f3ca909db","12289"
"HLTH-ED","255901001","2011","25590100106Trad320HLTHED12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","320",,,"NULL","2020-11-13 14:16:11.255563","2020-11-13 14:16:11.255286","d7bdff71-205f-43ec-a779-0559b16124bf","12293"
"HUMT","255901001","2011","25590100104Trad321HUMT12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.263982","2020-11-13 14:16:11.263783","369f003a-4ff6-4618-9781-186b46711ea1","12295"
"HUMT","255901001","2011","25590100107Trad321HUMT12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.269972","2020-11-13 14:16:11.269716","80326ebe-2ab5-4cfa-909d-ef25bde54faa","12297"
"PHOTJOUR","255901001","2011","25590100106Trad124PHOTJOUR1201","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.278334","2020-11-13 14:16:11.278069","9e8e6121-9500-48c3-b51d-5bf98b3c9225","12299"
"PHYSICS","255901001","2011","25590100106Trad223PHYSICS12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.283499","2020-11-13 14:16:11.283208","8b6984ff-b705-4f7d-8b8c-a639078b3453","12301"
"PRE-CALC","255901001","2011","25590100106Trad221PRECALC12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","221",,,"NULL","2020-11-13 14:16:11.297390","2020-11-13 14:16:11.297224","38167c94-b257-40bf-990f-cd7fe3925517","12305"
"SPAN-1","255901001","2011","25590100103Trad324SPAN112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","324",,,"NULL","2020-11-13 14:16:11.307796","2020-11-13 14:16:11.307559","550931e5-6aff-4675-b843-b53da12bf7a8","12308"
"SPAN-2","255901001","2011","25590100105Trad324SPAN212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","324",,,"NULL","2020-11-13 14:16:11.325279","2020-11-13 14:16:11.325067","93f3ea55-e9ff-4455-9036-8a23c97ed61c","12312"
"US-HIST","255901001","2011","25590100102Trad123USHIST12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","123",,,"NULL","2020-11-13 14:16:11.342934","2020-11-13 14:16:11.342727","36c6a587-421c-4eec-bb92-b9ece7be16ce","12317"
"WGEO","255901001","2011","25590100105Trad122WGEO12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.351963","2020-11-13 14:16:11.351805","bbb49494-aea9-4528-aa21-37e11d94ace6","12320"
"WGEO","255901001","2011","25590100106Trad122WGEO12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.362942","2020-11-13 14:16:11.362744","45c1e9bd-f9d2-4396-8a6d-dbcc2e290e7c","12321"
"ALG-1","255901001","2011","25590100104Trad220ALG122011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","220",,"Algebra 1","NULL","2020-11-13 14:16:11.367456","2020-11-13 14:16:11.367317","9276420c-3f3e-474d-986b-814cf990891c","12324"
"ALG-2","255901001","2011","25590100106Trad220ALG222011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","220",,,"NULL","2020-11-13 14:16:11.377201","2020-11-13 14:16:11.376990","fe922ebb-6fb7-4ddb-8a1a-fb8917213226","12327"
"ART-1","255901001","2011","25590100107Trad322ART122011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.391257","2020-11-13 14:16:11.391069","422bfb38-24a0-4003-9c3f-ced58280f89e","12330"
"ART2-EM","255901001","2011","25590100105Trad322ART2EM22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.403557","2020-11-13 14:16:11.403361","ed01feff-e34b-47e4-b827-b65ddc558a60","12333"
"BIO","255901001","2011","25590100104Trad222BIO22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.416818","2020-11-13 14:16:11.416551","18498c1f-c6bf-4a11-9933-eb25366ee8b4","12337"
"CHEM","255901001","2011","25590100105Trad223CHEM22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.430512","2020-11-13 14:16:11.430237","69e68950-2f12-4845-894b-42e5a9bc660a","12342"
"CREAT-WR","255901001","2011","25590100103Trad321CREATWR22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.444003","2020-11-13 14:16:11.443739","7976d6d7-2130-4c5b-9898-a93f6ba74d50","12345"
"ENG-1","255901001","2011","25590100101Trad120ENG122011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.457368","2020-11-13 14:16:11.457206","a800a198-b036-4335-9b51-4972943039d6","12350"
"ENG-2","255901001","2011","25590100105Trad120ENG222011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.471086","2020-11-13 14:16:11.470859","15f1c857-4d46-4885-9364-b72097b5e9d7","12353"
"ENG-4","255901001","2011","25590100104Trad121ENG422011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.484470","2020-11-13 14:16:11.483827","c792e7f2-7dcc-4437-b7d3-df345b642c38","12357"
"ENVIRSYS","255901001","2011","25590100106Trad222ENVIRSYS2201","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.498086","2020-11-13 14:16:11.497883","41bbf230-a211-4ce3-af27-eaa86084264e","12362"
"GOVT","255901001","2011","25590100102Trad122GOVT22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.512646","2020-11-13 14:16:11.512402","b7585572-55bd-48df-858c-535c5e808ac0","12366"
"GOVT","255901001","2011","25590100101Trad122GOVT22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.519977","2020-11-13 14:16:11.519726","a64e53fd-eff4-430c-a704-1bcd5b1d17e4","12368"
"HLTH-ED","255901001","2011","25590100106Trad320HLTHED22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","320",,,"NULL","2020-11-13 14:16:11.531874","2020-11-13 14:16:11.531628","06b35fff-22bb-4030-8f23-84e109dd9046","12371"
"HUMT","255901001","2011","25590100106Trad321HUMT22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.540000","2020-11-13 14:16:11.539789","7fe0c355-7873-4bfc-9eb0-e08a1bac475f","12373"
"HUMT","255901001","2011","25590100107Trad321HUMT22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.546848","2020-11-13 14:16:11.546558","856cdfa9-a2c3-4685-9f6b-61c1a2334421","12375"
"PHOTJOUR","255901001","2011","25590100106Trad124PHOTJOUR2201","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.553132","2020-11-13 14:16:11.552799","67090697-20f6-4e81-b7a0-4fbae88560aa","12377"
"PHOTJOUR","255901001","2011","25590100107Trad124PHOTJOUR2201","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.559668","2020-11-13 14:16:11.559251","0bb1f25f-8409-4572-af85-76eccd443aaf","12378"
"PHYSICS","255901001","2011","25590100106Trad223PHYSICS22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.565493","2020-11-13 14:16:11.565322","6eba96bc-6240-4a5b-b2cf-696892e6ecbf","12381"
"PRE-CALC","255901001","2011","25590100106Trad221PRECALC22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","221",,,"NULL","2020-11-13 14:16:11.592607","2020-11-13 14:16:11.592368","2a9e6c3d-0718-43e4-8950-8db4917d99ce","12384"
"SPAN-1","255901001","2011","25590100103Trad324SPAN122011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","324",,,"NULL","2020-11-13 14:16:11.604414","2020-11-13 14:16:11.604053","1c223991-f610-4980-a009-896145a20e49","12386"
"SPAN-2","255901001","2011","25590100107Trad325SPAN222011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","325",,,"NULL","2020-11-13 14:16:11.623629","2020-11-13 14:16:11.623299","88a94d7a-8bb0-4afa-a4b7-7b2147d70485","12391"
"US-HIST","255901001","2011","25590100101Trad123USHIST22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","123",,,"NULL","2020-11-13 14:16:11.649272","2020-11-13 14:16:11.649018","73485707-a889-4541-a93e-0d9a236dea8c","12396"
"WGEO","255901001","2011","25590100105Trad122WGEO22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.659216","2020-11-13 14:16:11.659005","d4f806bc-1577-4eb9-bcad-ebe33090ea72","12398"
"ART-06","255901044","2011","25590104406Trad114ART0612011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","114","true",,"NULL","2020-11-13 14:16:11.671234","2020-11-13 14:16:11.671024","41a015aa-300a-4f1d-bd30-52a89d120ac8","12400"
"BAND-07","255901044","2011","25590104403Trad310BAND0712011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","310","true",,"NULL","2020-11-13 14:16:11.693833","2020-11-13 14:16:11.693627","4c86a3a5-917f-4d9b-a671-fb10ff3fd00f","12405"
"ELA-06","255901044","2011","25590104402Trad110ELA0612011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","110","true",,"NULL","2020-11-13 14:16:11.719695","2020-11-13 14:16:11.719022","46867a1f-b2f8-400f-9d60-e65bae8b17ff","12408"
"ELA-07","255901044","2011","25590104404Trad110ELA0712011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","110","true",,"NULL","2020-11-13 14:16:11.743967","2020-11-13 14:16:11.742117","dadcfcab-5e1c-43b3-8f6b-f6f7e5dabe2e","12413"
"HLTH-07","255901044","2011","25590104407Trad115HLTH0712011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","115","true",,"NULL","2020-11-13 14:16:11.767124","2020-11-13 14:16:11.766685","c31ace88-3fe3-4caa-bc55-a2a852575259","12418"
"HLTH-08","255901044","2011","25590104406Trad115HLTH0812011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","115","true",,"NULL","2020-11-13 14:16:11.809725","2020-11-13 14:16:11.808061","6323a598-4a83-49a6-ae9f-a1020ec3a174","12421"
"MATH-06","255901044","2011","25590104404Trad210MATH0612011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","210","true",,"NULL","2020-11-13 14:16:11.823953","2020-11-13 14:16:11.823567","2528e382-d17f-40ba-b20d-4a60e2e7b827","12424"
"MATH-08","255901044","2011","25590104402Trad211MATH0812011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","211","true",,"NULL","2020-11-13 14:16:11.842915","2020-11-13 14:16:11.842660","9baed400-3a79-407c-812b-873fce8cc57a","12428"
"PE-06","255901044","2011","25590104401TradGYMNPE0612011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901044","GYM-N","true",,"NULL","2020-11-13 14:16:11.859756","2020-11-13 14:16:11.859530","d1df6759-d1fa-49b0-8f1f-64b9677e1e2d","12433"
"GOVT","255901001","2011","25590100102Trad122GOVT12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","122",,,"NULL","2020-11-13 14:16:11.244222","2020-11-13 14:16:11.244072","9412b357-fc69-45d0-961d-c452798f5e99","12290"
"PHYSICS","255901001","2011","25590100107Trad223PHYSICS12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.292734","2020-11-13 14:16:11.292461","e829fedf-353c-4be4-a08d-c0a891572b68","12303"
"ART-1","255901001","2011","25590100101Trad322ART122011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.379785","2020-11-13 14:16:11.379623","db136a3d-24e5-40c0-9a7c-66bcffbb574d","12328"
"ART2-EM","255901001","2011","25590100104Trad322ART2EM22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.392969","2020-11-13 14:16:11.392812","e23265df-5ebe-4187-aa6d-ab904f567c45","12332"
"ART3-EM","255901001","2011","25590100102Trad323ART3EM22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","323",,,"NULL","2020-11-13 14:16:11.405818","2020-11-13 14:16:11.405428","b86d7caa-168d-480c-9508-5ead23683a7c","12336"
"CHEM","255901001","2011","25590100103Trad223CHEM22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.418733","2020-11-13 14:16:11.418593","48bc0d33-2a17-4f35-bae4-c0dd1a4585cf","12340"
"CREAT-WR","255901001","2011","25590100101Trad321CREATWR22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.431589","2020-11-13 14:16:11.431417","6408d110-c1bf-4cb5-b668-800fd6363d0f","12343"
"ECO-FE","255901001","2011","25590100104Trad124ECOFE22011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.447474","2020-11-13 14:16:11.447323","c4aa94d0-7c72-4ab9-b56f-fb2e57b99e74","12348"
"ENG-2","255901001","2011","25590100104Trad120ENG222011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.459468","2020-11-13 14:16:11.459323","1f7f8d0a-bdf5-45ec-9ba3-4ede7c7f9122","12352"
"ENG-3","255901001","2011","25590100101Trad121ENG322011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.472497","2020-11-13 14:16:11.472350","97e63205-bc12-4568-968c-f415d27bb19d","12356"
"ENG-4","255901001","2011","25590100106Trad121ENG422011","2010-2011 Spring Semester","1","810",,,"1.000",,,,"255901001","121",,,"NULL","2020-11-13 14:16:11.485787","2020-11-13 14:16:11.485630","3f6f42bd-e7ca-4cd7-9e2f-a840231311e4","12360"
