descriptorid,namespace,codevalue,shortdescription,description,priordescriptorid,effectivebegindate,effectiveenddate,createdate,lastmodifieddate,id,changeversion
"35","uri://ed-fi.org/AcademicSubjectDescriptor","Reading","Reading","Reading",,,,"2020-11-13 14:14:48.257518","2020-11-13 14:14:48.257407","f60f7d0b-4665-4ade-bbdc-0d637442809d","95"
"38","uri://ed-fi.org/AcademicSubjectDescriptor","Social Sciences and History","Social Sciences and History","Social Sciences and History",,,,"2020-11-13 14:14:48.258882","2020-11-13 14:14:48.258843","81047f4d-0030-4979-bbe5-7122e4ce9a7d","98"
"39","uri://ed-fi.org/AcademicSubjectDescriptor","Social Studies","Social Studies","Social Studies",,,,"2020-11-13 14:14:48.265390","2020-11-13 14:14:48.265298","51c8d351-1260-4e53-a34c-315242442d8c","99"
"41","uri://ed-fi.org/AcademicSubjectDescriptor","Science","Science","Science",,,,"2020-11-13 14:14:48.266653","2020-11-13 14:14:48.266607","389fd02a-3a67-4307-80bc-c166f0f6c13d","101"
"44","uri://ed-fi.org/AcademicSubjectDescriptor","Physical, Health, and Safety Education","Physical, Health, and Safety Education","Physical, Health, and Safety Education",,,,"2020-11-13 14:14:48.274721","2020-11-13 14:14:48.274660","93afc5e1-4f6a-4efd-a374-eaf6e11c9d62","104"
"46","uri://ed-fi.org/AcademicSubjectDescriptor","Career and Technical Education","Career and Technical Education","Career and Technical Education",,,,"2020-11-13 14:14:48.276238","2020-11-13 14:14:48.276195","6dfad84e-a3fc-429f-90ca-db8a9e088c2c","106"
"47","uri://ed-fi.org/AcademicSubjectDescriptor","Military Science","Military Science","Military Science",,,,"2020-11-13 14:14:48.281337","2020-11-13 14:14:48.281290","405b3738-46e5-4ca7-9a2f-8dbb199942b4","107"
"48","uri://ed-fi.org/AcademicSubjectDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.284755","2020-11-13 14:14:48.284645","2c48e390-c093-418f-ae15-c9e632d185a1","108"
"50","uri://ed-fi.org/AccommodationDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.315453","2020-11-13 14:14:48.314218","ec862c73-9108-42f9-93df-8dc380f56ce9","110"
"52","uri://ed-fi.org/AccommodationDescriptor","504 accommodation","504 accommodation","504 accommodation",,,,"2020-11-13 14:14:48.315555","2020-11-13 14:14:48.314220","16279930-7329-4eb9-ba4d-dc6a02885ad3","112"
"54","uri://ed-fi.org/AccommodationDescriptor","Settings accommodation","Settings accommodation","Settings accommodation",,,,"2020-11-13 14:14:48.539822","2020-11-13 14:14:48.539666","ca7c523a-036b-409e-a7e5-b95b2f7f1cb1","114"
"56","uri://ed-fi.org/AccommodationDescriptor","Student equipment/technology","Student equipment/technology","Student equipment/technology",,,,"2020-11-13 14:14:48.544751","2020-11-13 14:14:48.544602","d715da77-3fd1-4e1e-8bf7-4a7cd311cb25","116"
"58","uri://ed-fi.org/AccommodationDescriptor","Test response accommodation","Test response accommodation","Test response accommodation",,,,"2020-11-13 14:14:48.551363","2020-11-13 14:14:48.551043","f98c4625-fb36-4e13-be2a-f406d5d4c28d","118"
"60","uri://ed-fi.org/AccountClassificationDescriptor","Fund","Fund","Fund",,,,"2020-11-13 14:14:48.579932","2020-11-13 14:14:48.579020","e3b6baac-c8e1-4d07-b7e0-824dcdb6b0ef","120"
"61","uri://ed-fi.org/AccountClassificationDescriptor","Function","Function","Function",,,,"2020-11-13 14:14:48.579930","2020-11-13 14:14:48.578577","4b1d3ae8-271b-4f43-b5b9-db8300a368aa","121"
"63","uri://ed-fi.org/AccountClassificationDescriptor","Project","Project","Project",,,,"2020-11-13 14:14:48.590506","2020-11-13 14:14:48.590214","0bb78f1d-2c77-4837-b2b5-07d326d5b4cf","123"
"65","uri://ed-fi.org/AccountClassificationDescriptor","Operational Unit","Operational Unit","Operational Unit",,,,"2020-11-13 14:14:48.592254","2020-11-13 14:14:48.591950","2a7ada30-b90d-4bec-8ee9-15e194adc80e","125"
"66","uri://ed-fi.org/AccountClassificationDescriptor","Subject Matter","Subject Matter","Subject Matter",,,,"2020-11-13 14:14:48.593548","2020-11-13 14:14:48.593510","33b578c4-d99a-4d6e-9258-dd986442b74e","126"
"67","uri://ed-fi.org/AccountClassificationDescriptor","Job Class","Job Class","Job Class",,,,"2020-11-13 14:14:48.598958","2020-11-13 14:14:48.598880","e23ebbfc-1eeb-4cf7-b1e6-cba15a8b3b09","127"
"68","uri://ed-fi.org/AchievementCategoryDescriptor","Competency Mastered","Competency Mastered","Competency Mastered",,,,"2020-11-13 14:14:48.628538","2020-11-13 14:14:48.627111","7ea6bef4-cf42-4cfa-8fdf-66b04425c903","128"
"71","uri://ed-fi.org/AchievementCategoryDescriptor","Certificate Earned","Certificate Earned","Certificate Earned",,,,"2020-11-13 14:14:48.628541","2020-11-13 14:14:48.627115","9e914f70-0fb4-44f2-9c2c-5650a1e6074c","131"
"73","uri://ed-fi.org/AchievementCategoryDescriptor","Level Completed","Level Completed","Level Completed",,,,"2020-11-13 14:14:48.637395","2020-11-13 14:14:48.637301","a34a5db0-40e6-4c8c-a383-4076a3f4860c","133"
"75","uri://ed-fi.org/AchievementCategoryDescriptor","Diploma Earned","Diploma Earned","Diploma Earned",,,,"2020-11-13 14:14:48.638513","2020-11-13 14:14:48.638450","fd40b43b-4014-4b51-92dd-37474ae45a58","135"
"78","uri://ed-fi.org/AchievementCategoryDescriptor","Participation","Participation","Participation",,,,"2020-11-13 14:14:48.646134","2020-11-13 14:14:48.646105","c1c06dc4-31c3-454f-a987-2780266a26d6","138"
"79","uri://ed-fi.org/AchievementCategoryDescriptor","Recognition","Recognition","Recognition",,,,"2020-11-13 14:14:48.646564","2020-11-13 14:14:48.646523","10c60409-0632-4881-9e6a-a0673f08dc3f","139"
"82","uri://ed-fi.org/AdditionalCreditTypeDescriptor","Career and Technical Education","Career and Technical Education","Career and Technical Education",,,,"2020-11-13 14:14:48.679988","2020-11-13 14:14:48.678669","ed0c231c-2113-410b-a142-a376b7e33c7f","142"
"85","uri://ed-fi.org/AddressTypeDescriptor","Billing","Billing","Billing",,,,"2020-11-13 14:14:48.716973","2020-11-13 14:14:48.715679","a24a71ca-8355-41e2-a2bd-4af1368b737b","145"
"4","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Flex time","Flex time","Flex time",,,,"2020-11-13 14:14:47.753856","2020-11-13 14:14:47.739768","f51df751-e0ef-4eb3-a7cd-b4eec2e2c552","64"
"8","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Professional development","Professional development","Professional development",,,,"2020-11-13 14:14:47.907352","2020-11-13 14:14:47.907240","8a893abc-9524-4a71-a294-b336f07cf7bd","68"
"10","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Work compensation","Work compensation","Work compensation",,,,"2020-11-13 14:14:47.917262","2020-11-13 14:14:47.917198","3b8ebaf6-93be-4b41-9f9a-683b626d21a6","70"
"16","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Attendance award","Attendance award","Attendance award",,,,"2020-11-13 14:14:47.953724","2020-11-13 14:14:47.952404","35c185a5-65ad-463c-bbd0-84b66fc67ed3","76"
"18","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Honor award","Honor award","Honor award",,,,"2020-11-13 14:14:47.963199","2020-11-13 14:14:47.963146","d701bf50-e948-4f9a-94a0-1835748e98ae","78"
"23","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Medals","Medals","Medals",,,,"2020-11-13 14:14:47.972162","2020-11-13 14:14:47.972095","876cc5cd-3694-4615-ab80-8448f51abd1a","83"
"27","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Prize awards","Prize awards","Prize awards",,,,"2020-11-13 14:14:47.982001","2020-11-13 14:14:47.981966","59351f2e-acf4-46f0-9be8-6c7d541c0e1e","87"
"32","uri://ed-fi.org/AcademicSubjectDescriptor","Composite","Composite","Composite",,,,"2020-11-13 14:14:48.247147","2020-11-13 14:14:48.245842","17eb6f60-7b02-433e-889b-6e0f2e2ec2bf","92"
"37","uri://ed-fi.org/AcademicSubjectDescriptor","Mathematics","Mathematics","Mathematics",,,,"2020-11-13 14:14:48.258067","2020-11-13 14:14:48.258007","7964e016-feb5-431f-a63a-af6cd249a723","97"
"40","uri://ed-fi.org/AcademicSubjectDescriptor","Fine and Performing Arts","Fine and Performing Arts","Fine and Performing Arts",,,,"2020-11-13 14:14:48.266157","2020-11-13 14:14:48.266087","270332d0-4674-40e2-bd20-d904fc588c26","100"
"43","uri://ed-fi.org/AcademicSubjectDescriptor","Writing","Writing","Writing",,,,"2020-11-13 14:14:48.273851","2020-11-13 14:14:48.273799","7a737720-e55d-494c-96c7-f5a0dd9505cf","103"
"49","uri://ed-fi.org/AcademicSubjectDescriptor","Cross Subject","Cross Subject","Cross Subject",,,,"2020-11-13 14:14:48.286325","2020-11-13 14:14:48.286264","d3851b48-daf7-4874-bced-2edd8336ed50","109"
"55","uri://ed-fi.org/AccommodationDescriptor","Test administration accommodation","Test administration accommodation","Test administration accommodation",,,,"2020-11-13 14:14:48.540117","2020-11-13 14:14:48.539852","4acfda5f-de54-4c19-aaf0-86c6b04b3d3b","115"
"57","uri://ed-fi.org/AccommodationDescriptor","Test material accommodation","Test material accommodation","Test material accommodation",,,,"2020-11-13 14:14:48.547443","2020-11-13 14:14:48.547286","869e85d7-4d78-4f7b-be6f-96c88b27cf32","117"
"59","uri://ed-fi.org/AccountClassificationDescriptor","Object","Object","Object",,,,"2020-11-13 14:14:48.579930","2020-11-13 14:14:48.578580","74ea72cc-08e6-40e3-b5be-ff0f4ea8853a","119"
"69","uri://ed-fi.org/AchievementCategoryDescriptor","Academic Honor","Academic Honor","Academic Honor",,,,"2020-11-13 14:14:48.628529","2020-11-13 14:14:48.627102","b4337d6b-67f5-4730-a750-4daced149b08","129"
"72","uri://ed-fi.org/AchievementCategoryDescriptor","Course Completed","Course Completed","Course Completed",,,,"2020-11-13 14:14:48.637195","2020-11-13 14:14:48.637146","eab431ea-df11-4d5d-b599-b22078666a61","132"
"76","uri://ed-fi.org/AchievementCategoryDescriptor","License Endorsement Earned","License Endorsement Earned","License Endorsement Earned",,,,"2020-11-13 14:14:48.644372","2020-11-13 14:14:48.644236","a100beb2-60cc-4deb-986d-6872d648d99a","136"
"81","uri://ed-fi.org/AdditionalCreditTypeDescriptor","Dual credit","Dual credit","Dual credit",,,,"2020-11-13 14:14:48.679980","2020-11-13 14:14:48.678653","3f424eee-370a-46d2-a226-5d1e7e5c7e23","141"
"88","uri://ed-fi.org/AddressTypeDescriptor","Guardian Address","Guardian Address","Guardian Address",,,,"2020-11-13 14:14:48.716966","2020-11-13 14:14:48.715656","26b4c845-d88e-436d-b13f-78471d50716e","148"
"91","uri://ed-fi.org/AddressTypeDescriptor","Mailing","Mailing","Mailing",,,,"2020-11-13 14:14:48.726766","2020-11-13 14:14:48.726727","850a3149-1b87-4967-8148-17a151536d34","151"
"96","uri://ed-fi.org/AddressTypeDescriptor","Shipping","Shipping","Shipping",,,,"2020-11-13 14:14:48.735501","2020-11-13 14:14:48.735408","d53a9ce1-4970-49fa-9792-1d2e503950b7","156"
"97","uri://ed-fi.org/AddressTypeDescriptor","Temporary","Temporary","Temporary",,,,"2020-11-13 14:14:48.740044","2020-11-13 14:14:48.739904","2b365176-01b5-4611-a8d8-a486d71f6ca2","157"
"102","uri://ed-fi.org/AdministrationEnvironmentDescriptor","School","School","School",,,,"2020-11-13 14:14:48.772615","2020-11-13 14:14:48.770821","ba529b1d-74ab-47bc-9c63-18714dbcb7c5","162"
"105","uri://ed-fi.org/AdministrativeFundingControlDescriptor","Private School","Private School","Private School",,,,"2020-11-13 14:14:48.782038","2020-11-13 14:14:48.781997","624769df-e078-4d6f-a296-bbe4fa7e6822","165"
"107","uri://ed-fi.org/AssessmentCategoryDescriptor","Early Learning - Physical well-being and motor dev","Early Learning - Physical well-being and motor development","Early Learning - Physical well-being and motor development",,,,"2020-11-13 14:14:48.818978","2020-11-13 14:14:48.817786","c0524ec3-2e25-4e63-9a5f-95e3ecc55c02","167"
"110","uri://ed-fi.org/AssessmentCategoryDescriptor","Alternate assessment/ELL","Alternate assessment/ELL","Alternate assessment/ELL",,,,"2020-11-13 14:14:48.829175","2020-11-13 14:14:48.829120","bf2b1a4a-f72e-41fa-873f-e141d74739c3","170"
"115","uri://ed-fi.org/AssessmentCategoryDescriptor","State English proficiency test","State English proficiency test","State English proficiency test",,,,"2020-11-13 14:14:48.837529","2020-11-13 14:14:48.837482","033f9113-3f22-40fe-8d03-d8717db86e57","175"
"119","uri://ed-fi.org/AssessmentCategoryDescriptor","Class test","Class test","Class test",,,,"2020-11-13 14:14:48.844132","2020-11-13 14:14:48.844092","a8b80cba-051a-4243-b05a-e7492dbcc801","179"
"122","uri://ed-fi.org/AssessmentCategoryDescriptor","Psychological test","Psychological test","Psychological test",,,,"2020-11-13 14:14:48.851295","2020-11-13 14:14:48.851200","cd952874-eab3-444f-8840-c974f8ea5240","182"
"125","uri://ed-fi.org/AssessmentCategoryDescriptor","Developmental observation","Developmental observation","Developmental observation",,,,"2020-11-13 14:14:48.855156","2020-11-13 14:14:48.855071","043792b7-98c0-47b8-ae93-b98ad158daed","185"
"127","uri://ed-fi.org/AssessmentCategoryDescriptor","Performance assessment","Performance assessment","Performance assessment",,,,"2020-11-13 14:14:48.859095","2020-11-13 14:14:48.858953","57e7a1f1-a168-4280-add6-73fe9fc56d81","187"
"131","uri://ed-fi.org/AssessmentCategoryDescriptor","Formative","Formative","Formative",,,,"2020-11-13 14:14:48.866837","2020-11-13 14:14:48.866769","dea39330-f25d-4076-8d4b-248cc74713f6","191"
"134","uri://ed-fi.org/AssessmentCategoryDescriptor","Benchmark test","Benchmark test","Benchmark test",,,,"2020-11-13 14:14:48.872872","2020-11-13 14:14:48.872789","d1d60c2d-f71e-4e0e-867b-ef546f36ced6","194"
"141","uri://ed-fi.org/AssessmentCategoryDescriptor","Interest inventory","Interest inventory","Interest inventory",,,,"2020-11-13 14:14:48.882354","2020-11-13 14:14:48.882314","d7680fa1-4a20-404e-aa71-38044278617f","201"
"145","uri://ed-fi.org/AssessmentCategoryDescriptor","State high school course assessment","State high school course assessment","State high school course assessment",,,,"2020-11-13 14:14:48.889857","2020-11-13 14:14:48.889798","d448de8b-370b-42ea-9791-fbb6060f4178","205"
"146","uri://ed-fi.org/AssessmentCategoryDescriptor","English proficiency screening test","English proficiency screening test","English proficiency screening test",,,,"2020-11-13 14:14:48.894205","2020-11-13 14:14:48.893819","9d6d7d7d-c62e-4fa2-83a3-cd5aa6e40a80","206"
"149","uri://ed-fi.org/AssessmentCategoryDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.897767","2020-11-13 14:14:48.897667","39c4d1b5-84f0-49d9-841e-fb04f042b004","209"
"150","uri://ed-fi.org/AssessmentIdentificationSystemDescriptor","District","District","District",,,,"2020-11-13 14:14:48.929849","2020-11-13 14:14:48.928576","5aebb262-a4a2-4d71-bca7-ffc49e316d87","210"
"155","uri://ed-fi.org/AssessmentIdentificationSystemDescriptor","School","School","School",,,,"2020-11-13 14:14:48.939559","2020-11-13 14:14:48.939270","d7d81215-1709-44b3-8460-ef54128d5b2f","215"
"159","uri://ed-fi.org/AssessmentItemCategoryDescriptor","Fill-in-the-blank","Fill-in-the-blank","Fill-in-the-blank",,,,"2020-11-13 14:14:48.970782","2020-11-13 14:14:48.969524","36ee92f1-7fd6-452b-b1ad-4da5fa94347b","219"
"164","uri://ed-fi.org/AssessmentItemCategoryDescriptor","List Question","List Question","List Question",,,,"2020-11-13 14:14:48.981573","2020-11-13 14:14:48.981521","389cd1ee-1b8e-4f7d-87a6-a5b1e7925f74","224"
"165","uri://ed-fi.org/AssessmentItemCategoryDescriptor","Multiple-choice","Multiple-choice","Multiple-choice",,,,"2020-11-13 14:14:48.987651","2020-11-13 14:14:48.987581","523279b0-1d61-48d2-8361-0af554019708","225"
"167","uri://ed-fi.org/AssessmentItemCategoryDescriptor","Other constructed response","Other constructed response","Other constructed response",,,,"2020-11-13 14:14:48.990709","2020-11-13 14:14:48.990667","7548886f-4ff2-44aa-9f97-c32c57d472db","227"
"546","uri://ed-fi.org/CountryDescriptor","RS","Serbia","Serbia",,,,"2020-11-13 14:14:51.578927","2020-11-13 14:14:51.578890","45dac66a-3477-4335-bffa-a813cb779f43","606"
"83","uri://ed-fi.org/AdditionalCreditTypeDescriptor","International Baccalaureate","International Baccalaureate","International Baccalaureate",,,,"2020-11-13 14:14:48.679985","2020-11-13 14:14:48.678645","d43a5be9-9c5e-45c3-a7b7-d862fb706b3b","143"
"84","uri://ed-fi.org/AdditionalCreditTypeDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.688607","2020-11-13 14:14:48.688553","225b265f-6794-4039-8272-6d1ad192d1ed","144"
"87","uri://ed-fi.org/AddressTypeDescriptor","Father Address","Father Address","Father Address",,,,"2020-11-13 14:14:48.716971","2020-11-13 14:14:48.715652","43a3f9d5-e1ce-4867-bd99-ebc3e5e76463","147"
"90","uri://ed-fi.org/AddressTypeDescriptor","Home","Home","Home",,,,"2020-11-13 14:14:48.726137","2020-11-13 14:14:48.726084","1be7a12c-b875-4e1a-a7fa-5127164b5d7e","150"
"93","uri://ed-fi.org/AddressTypeDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.732816","2020-11-13 14:14:48.732538","61bc0cd9-b120-4b35-bbaf-e9fddc05a541","153"
"95","uri://ed-fi.org/AddressTypeDescriptor","Shelter, Transitional housing, Awaiting Foster","Shelters, Transitional housing, Awaiting Foster Care","Shelters, Transitional housing, Awaiting Foster Care",,,,"2020-11-13 14:14:48.735358","2020-11-13 14:14:48.735321","c9e93618-5fcd-4469-a4a6-7ff517939528","155"
"99","uri://ed-fi.org/AddressTypeDescriptor","Work","Work","Work",,,,"2020-11-13 14:14:48.741640","2020-11-13 14:14:48.741577","07151b74-e643-4603-a1e2-81fc9072a7b4","159"
"101","uri://ed-fi.org/AdministrationEnvironmentDescriptor","Testing Center","Testing Center","Testing Center",,,,"2020-11-13 14:14:48.771995","2020-11-13 14:14:48.770816","ee7f2ccf-2b72-40ae-a43d-e40ac1d9f274","161"
"103","uri://ed-fi.org/AdministrativeFundingControlDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.777420","2020-11-13 14:14:48.776227","fd07a603-e8d7-4f13-b9a4-379169c8e76e","163"
"104","uri://ed-fi.org/AdministrativeFundingControlDescriptor","Public School","Public School","Public School",,,,"2020-11-13 14:14:48.781951","2020-11-13 14:14:48.781888","97543f55-0253-4f4f-8f52-ceea8006a17b","164"
"106","uri://ed-fi.org/AssessmentCategoryDescriptor","Language proficiency test","Language proficiency test","Language proficiency test",,,,"2020-11-13 14:14:48.818969","2020-11-13 14:14:48.817779","cbf9f7ca-2e23-4583-b7bb-5cd3173e4024","166"
"112","uri://ed-fi.org/AssessmentCategoryDescriptor","State alternate assessment/ELL","State alternate assessment/ELL","State alternate assessment/ELL",,,,"2020-11-13 14:14:48.829539","2020-11-13 14:14:48.829488","f5e59fbb-49f0-4937-b05c-e5a9136ce20b","172"
"114","uri://ed-fi.org/AssessmentCategoryDescriptor","Early Learning - Social and emotional development","Early Learning - Social and emotional development","Early Learning - Social and emotional development",,,,"2020-11-13 14:14:48.836558","2020-11-13 14:14:48.836430","d69ba487-c4fa-433b-b236-27bbcead78d8","174"
"118","uri://ed-fi.org/AssessmentCategoryDescriptor","Achievement test","Achievement test","Achievement test",,,,"2020-11-13 14:14:48.843841","2020-11-13 14:14:48.843677","1d6d3ada-0161-4c3b-a01f-1280d4522dea","178"
"120","uri://ed-fi.org/AssessmentCategoryDescriptor","Early Learning - Language and literacy development","Early Learning - Language and literacy development","Early Learning - Language and literacy development",,,,"2020-11-13 14:14:48.846466","2020-11-13 14:14:48.846427","c73feb2a-83aa-4e03-8bc8-6f0655859aba","180"
"124","uri://ed-fi.org/AssessmentCategoryDescriptor","Alternative assessment/modified standards","Alternative assessment/modified standards","Alternative assessment/modified standards",,,,"2020-11-13 14:14:48.853220","2020-11-13 14:14:48.853179","6b3d485a-dcb4-4d6a-889c-96d9a3b4d1ef","184"
"126","uri://ed-fi.org/AssessmentCategoryDescriptor","Foreign language proficiency test","Foreign language proficiency test","Foreign language proficiency test",,,,"2020-11-13 14:14:48.858785","2020-11-13 14:14:48.858692","78b1dd7c-5381-4a1b-8f0b-02ce9f1e7ffe","186"
"129","uri://ed-fi.org/AssessmentCategoryDescriptor","Aptitude test","Aptitude test","Aptitude test",,,,"2020-11-13 14:14:48.862317","2020-11-13 14:14:48.862265","069de2c7-156e-4f9a-96c1-2c84d9a08dc5","189"
"130","uri://ed-fi.org/AssessmentCategoryDescriptor","Diagnostic","Diagnostic","Diagnostic",,,,"2020-11-13 14:14:48.865794","2020-11-13 14:14:48.865373","48f13bcc-1a9c-4705-8bce-af7a599bc77e","190"
"133","uri://ed-fi.org/AssessmentCategoryDescriptor","State high school subject assessment","State high school subject assessment","State high school subject assessment",,,,"2020-11-13 14:14:48.869320","2020-11-13 14:14:48.869295","0867417a-5000-4cd0-a1d9-df5d21aa8a13","193"
"135","uri://ed-fi.org/AssessmentCategoryDescriptor","Early Learning - Cognition and general knowledge","Early Learning - Cognition and general knowledge","Early Learning - Cognition and general knowledge",,,,"2020-11-13 14:14:48.873779","2020-11-13 14:14:48.873734","a41bc1eb-d7e4-4c87-aaaa-3a5f711876c6","195"
"137","uri://ed-fi.org/AssessmentCategoryDescriptor","Prekindergarten Readiness","Prekindergarten Readiness","Prekindergarten Readiness",,,,"2020-11-13 14:14:48.876358","2020-11-13 14:14:48.876314","5f6f0470-b9bf-4850-a16b-98e28ab58b30","197"
"138","uri://ed-fi.org/AssessmentCategoryDescriptor","Attitudinal test","Attitudinal test","Attitudinal test",,,,"2020-11-13 14:14:48.880662","2020-11-13 14:14:48.880499","8272aef9-38a5-4b00-99f8-6741e54505de","198"
"142","uri://ed-fi.org/AssessmentCategoryDescriptor","Portfolio assessment","Portfolio assessment","Portfolio assessment",,,,"2020-11-13 14:14:48.887257","2020-11-13 14:14:48.887180","f44a7671-6df9-4732-a96f-f01adf1e6df7","202"
"144","uri://ed-fi.org/AssessmentCategoryDescriptor","Cognitive and perceptual skills test","Cognitive and perceptual skills test","Cognitive and perceptual skills test",,,,"2020-11-13 14:14:48.889808","2020-11-13 14:14:48.889772","06c659f2-53c9-40a2-a021-c732aadf0542","204"
"148","uri://ed-fi.org/AssessmentCategoryDescriptor","State assessment","State assessment","State assessment",,,,"2020-11-13 14:14:48.895864","2020-11-13 14:14:48.895828","6893a703-56e3-42b8-94e9-a0725d12f69b","208"
"152","uri://ed-fi.org/AssessmentIdentificationSystemDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:48.929977","2020-11-13 14:14:48.928574","3ced0f3d-9503-4013-b47f-938a6a990ba0","212"
"154","uri://ed-fi.org/AssessmentIdentificationSystemDescriptor","State","State","State",,,,"2020-11-13 14:14:48.939256","2020-11-13 14:14:48.939207","e918c0e5-bed4-43c3-994b-f19fc569a7c4","214"
"158","uri://ed-fi.org/AssessmentItemCategoryDescriptor","Analytic","Analytic","Analytic",,,,"2020-11-13 14:14:48.970897","2020-11-13 14:14:48.969524","dc806ed6-7d78-40f7-8e8b-317a563acb65","218"
