academicsubjectdescriptorid,programassignmentdescriptorid,schoolid,staffusi,createdate
"37","1769","255901107","21","2020-11-13 14:16:08.263826"
"39","1769","255901107","21","2020-11-13 14:16:08.263877"
"41","1769","255901107","21","2020-11-13 14:16:08.263907"
"34","1769","255901107","26","2020-11-13 14:16:08.276962"
"37","1769","255901107","26","2020-11-13 14:16:08.277005"
"39","1769","255901107","26","2020-11-13 14:16:08.277039"
"41","1769","255901107","26","2020-11-13 14:16:08.277051"
"34","1769","255901107","29","2020-11-13 14:16:08.290012"
"37","1769","255901107","29","2020-11-13 14:16:08.290053"
"39","1769","255901107","29","2020-11-13 14:16:08.290063"
"41","1769","255901107","29","2020-11-13 14:16:08.290072"
"40","1769","255901107","34","2020-11-13 14:16:08.309267"
"40","1769","255901107","36","2020-11-13 14:16:08.317089"
"40","1769","255901107","40","2020-11-13 14:16:08.326617"
"44","1769","255901107","37","2020-11-13 14:16:08.332370"
"34","1769","255901044","39","2020-11-13 14:16:08.341210"
"37","1769","255901044","41","2020-11-13 14:16:08.345513"
"41","1769","255901044","49","2020-11-13 14:16:08.354898"
"41","1769","255901044","45","2020-11-13 14:16:08.359364"
"40","1769","255901044","48","2020-11-13 14:16:08.368820"
"40","1769","255901044","51","2020-11-13 14:16:08.373046"
"44","1769","255901044","54","2020-11-13 14:16:08.383144"
"34","1769","255901001","53","2020-11-13 14:16:08.387051"
"34","1769","255901001","58","2020-11-13 14:16:08.397230"
"39","1769","255901001","59","2020-11-13 14:16:08.401991"
"44","1769","255901001","61","2020-11-13 14:16:08.420989"
"42","1769","255901001","67","2020-11-13 14:16:08.433477"
"42","1769","255901001","66","2020-11-13 14:16:08.437549"
"46","1769","255901001","68","2020-11-13 14:16:08.447718"
"34","1769","255901107","13","2020-11-13 14:16:08.226674"
"37","1769","255901107","13","2020-11-13 14:16:08.226906"
"39","1769","255901107","13","2020-11-13 14:16:08.226918"
"41","1769","255901107","13","2020-11-13 14:16:08.226929"
"34","1769","255901107","18","2020-11-13 14:16:08.247817"
"37","1769","255901107","18","2020-11-13 14:16:08.247856"
"39","1769","255901107","18","2020-11-13 14:16:08.247866"
"41","1769","255901107","18","2020-11-13 14:16:08.247874"
"34","1769","255901107","23","2020-11-13 14:16:08.261839"
"37","1769","255901107","23","2020-11-13 14:16:08.261878"
"39","1769","255901107","23","2020-11-13 14:16:08.261889"
"41","1769","255901107","23","2020-11-13 14:16:08.261897"
"34","1769","255901107","25","2020-11-13 14:16:08.275011"
"37","1769","255901107","25","2020-11-13 14:16:08.275056"
"39","1769","255901107","25","2020-11-13 14:16:08.275065"
"41","1769","255901107","25","2020-11-13 14:16:08.275074"
"34","1769","255901107","32","2020-11-13 14:16:08.290227"
"37","1769","255901107","32","2020-11-13 14:16:08.290258"
"39","1769","255901107","32","2020-11-13 14:16:08.290267"
"41","1769","255901107","32","2020-11-13 14:16:08.290275"
