assessmentidentifier,namespace,studentassessmentidentifier,studentusi,administrationdate,administrationenddate,serialnumber,administrationlanguagedescriptorid,administrationenvironmentdescriptorid,retestindicatordescriptorid,reasonnottesteddescriptorid,whenassessedgradeleveldescriptorid,eventcircumstancedescriptorid,eventdescription,schoolyear,platformtypedescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","OzFhFmMQ5LGzJXoKv5S40Rx9/f2i+6VEiyCKtZYW","5","2010-12-01 16:00:00.000000",,"1186398","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.274981","2020-11-13 14:16:31.273353","645e459d-1011-4414-a525-05d25cbe430b","16487"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","Q4phZXKxE3knmXIjbKXTDKjp7UPxHaMTpNdfrFVO","433","2010-12-01 16:00:00.000000",,"8248219","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.294670","2020-11-13 14:16:31.294492","34d8e2a1-7c4c-46db-b00a-f51ddfab02e1","16490"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","rD1ZG4e6sFQNYxrXONWfKIlQCOadYkZX84TDa4Ao","142","2010-12-01 16:00:00.000000",,"1205354","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.309521","2020-11-13 14:16:31.307040","54a66a45-2197-43de-be9b-c4a1009fd993","16494"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","TuQYxRRUPPiJsMBbKQWoGIg/N7oVLvNQYSZ/GvtX","170","2010-12-01 16:00:00.000000",,"9646083","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.325915","2020-11-13 14:16:31.325592","1cd9d8d6-96e1-4832-8eba-cfc3da0de024","16497"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","uzJUV6tp5RQvMrOTFV3HXkFjbt2i103slMzEOX8L","733","2010-12-01 16:00:00.000000",,"4050926","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.339282","2020-11-13 14:16:31.336608","f5795e88-4d36-48cb-bb5e-afbba2a6d34e","16499"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","xVMqgDOLhLh9Atwl1xc1QgadEnU9JE/VIJQAu47I","720","2010-12-01 16:00:00.000000",,"1785075","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.358620","2020-11-13 14:16:31.358049","00753c80-e1e1-48be-bb3a-230b645bd254","16504"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","11vkuS1BAcZ2ZhandrOTcrd3guJtwmGnBDaqKvxF","896","2010-12-01 16:00:00.000000",,"1514106","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.391506","2020-11-13 14:16:31.391325","c510ab69-3ebf-4f6e-91f4-405df50a4590","16511"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","3B5JNvAuqo9PHxGppOwbLp85vShg03aKThhCuPv2","655","2010-12-01 16:00:00.000000",,"1698421","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.409959","2020-11-13 14:16:31.409805","d7783718-c18c-432f-bd4b-1264e58c1f9e","16515"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","9ZBPiRxw8txC6/tdhsYUdPflbi+yiCa4P/AfETt5","12","2010-12-01 16:00:00.000000",,"2099659","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.493887","2020-11-13 14:16:31.492466","72aed7c2-8e08-4958-a4d6-2a40191d0292","16520"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","C/Z90lY3wEsh8s/43giqizy4huVc3V9KKZghKALC","708","2010-12-01 16:00:00.000000",,"1186238","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.506467","2020-11-13 14:16:31.506212","b98c17a4-f812-48c6-87c0-87e0fa4e0598","16523"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","f7PDwvQozAfAbs7RqezAcgZKLivY6q1zLOQkgbUk","404","2010-12-01 16:00:00.000000",,"1755519","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.541084","2020-11-13 14:16:31.539286","442ed048-d499-49b9-a232-ef77daa59a78","16529"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","iUCtSXrliRLi7s7PGn1KRrtMLrhhDoKtv0GVLMm8","137","2010-12-01 16:00:00.000000",,"1997529","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.581093","2020-11-13 14:16:31.580518","7b66ec4e-df6d-4fed-8042-6823cfc6343d","16537"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","LBjV2QIC0Fvcv/F+xa4rjv+05Xf3wPfJbrXifw1d","903","2010-12-01 16:00:00.000000",,"6284409","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.621142","2020-11-13 14:16:31.620948","6174ed56-6fe9-46b6-9def-bfa9805fd81d","16545"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","NoGQx7TXCD18vzCJkEirQpZUmKF8YfBjmTrjGvJQ","854","2010-12-01 16:00:00.000000",,"1181567","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.640587","2020-11-13 14:16:31.640360","3c63d40a-31eb-438d-a263-5451d0ada8f6","16549"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","rAqBezM4dz2bFY8Vg2LvGdM0f/0wWeSGsVJyNz6v","243","2010-12-01 16:00:00.000000",,"1617943","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.673172","2020-11-13 14:16:31.672862","bfc1f018-0f48-4aef-8689-04aae77ed191","16554"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","SSPJ9QwW2DE75ccccGelSYlEfW4TkyZRxdiZdGG5","581","2010-12-01 16:00:00.000000",,"1587075","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.694986","2020-11-13 14:16:31.694859","f610266a-a053-4bc9-982d-097faacecc89","16560"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","vkxExGPIPyRWO4T2Ms2Pwqixs6GT3jsnRpRuf6Lc","453","2010-12-01 16:00:00.000000",,"1159557","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.709038","2020-11-13 14:16:31.707963","1eb72c9b-9d92-4754-8750-fa5fbbb884ae","16563"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","whAV9wm5ri0NEPewltzYkm00h3C85tKK3NwzUXpY","482","2010-12-01 16:00:00.000000",,"1260968","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.722915","2020-11-13 14:16:31.722403","58e63343-143f-4494-871c-329d92040c46","16566"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","XepaBOpHUfhHpQw9oPYcT0szg/gjnxpOY1Jq+2Yt","871","2010-12-01 16:00:00.000000",,"1105826","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.734890","2020-11-13 14:16:31.734606","224ef97a-c065-4908-8875-8cba831b5a31","16568"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","0A8w97kWRxODWbB/+03+KzmZ+Y1pBADmFSFHxNja","790","2010-12-01 16:00:00.000000",,"1558768","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.762717","2020-11-13 14:16:31.762539","4bf84ca0-7b10-4d8e-849f-2def8bb46889","16574"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","AgPAPW7t6ljfCaMlmkqaxSJ81HF17e9dXhtjuZsC","77","2010-12-01 16:00:00.000000",,"6314238","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.803482","2020-11-13 14:16:31.803319","e2c81a15-b1fb-4bda-b9bc-0a671bd48e9b","16583"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","ba8bEmx7O+FlHJZH5Ur+LeF7Ht7i1IwXSpCjnGvf","896","2010-12-01 16:00:00.000000",,"1514106","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.819325","2020-11-13 14:16:31.819199","56041d6b-8631-4b1a-ae50-ae09448f241d","16587"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","dBCiy4hxMKl5tL/b+OKdvfcQU7yuowYNBr3jGhNy","114","2010-12-01 16:00:00.000000",,"1235811","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.837506","2020-11-13 14:16:31.836272","eb5d919b-3e4d-41d5-981a-11f71a684ab6","16591"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","Dm1Jq8Q9//kg9CD/VY42BEnVYHi9ehuQslo28u6Y","439","2010-12-01 16:00:00.000000",,"1800572","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.845584","2020-11-13 14:16:31.845403","c1eb48e1-6a0c-44ff-8404-59018833b8ca","16593"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","h3800ezeKbi0vHQb76KVR2XwSyEGVJR+lD93esfv","273","2010-12-01 16:00:00.000000",,"1321841","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.857817","2020-11-13 14:16:31.857422","308ab750-6884-413b-b1e9-29b76cc2cd6e","16596"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","+kBFFtn+N6AlNDJsT6YCDyDN8tJxVrRgmuIHp9Hp","506","2010-12-01 16:00:00.000000",,"1930327","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.030312","2020-11-13 14:16:31.017750","2ef82452-8219-4dde-ba69-a4c7e236ccad","16443"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","08FCwh9+V7fiI6iIg81ROtbbYTm6Ppo6Rg+pvN1m","482","2010-12-01 16:00:00.000000",,"1260968","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.057966","2020-11-13 14:16:31.057729","62ebba00-2c1b-42c1-b011-208ba21f57bb","16446"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","4GX5otLSLCDaUmA+jxfie1fdSZBr/UohErp5E15N","602","2010-12-01 16:00:00.000000",,"2012984","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.075282","2020-11-13 14:16:31.075068","b3e90090-559e-4440-9fca-5bc70c76c228","16449"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","7sBj7eKbn43H1j9E7ZP86l20kystjc+xMseCJzki","172","2010-12-01 16:00:00.000000",,"1561573","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.089612","2020-11-13 14:16:31.089198","39471ec3-0a17-43e3-b100-ca6a1cd8d5ff","16453"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","aYn4P1nIypK5r2OIjGQYZFDE49672ECby/TScXJb","790","2010-12-01 16:00:00.000000",,"1558768","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.105379","2020-11-13 14:16:31.104590","ddaa40c9-ea10-4cc2-9341-58b7faabaea6","16456"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","epAJoJcXFOee8T6IY04WpqX06+bYqGoDUZW3gFob","199","2010-12-01 16:00:00.000000",,"1507433","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.122008","2020-11-13 14:16:31.119387","c3624355-1cf3-4ef6-b102-05769da357e0","16458"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","fyEcWSaMgDhDzeoLuQDY6hGYqppkt9w66nnmxYY1","818","2010-12-01 16:00:00.000000",,"1884291","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.135892","2020-11-13 14:16:31.135625","8ba3215d-0a6e-4d6d-9001-6c21c12c6e39","16461"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","gbyEa0+TwvcXAkNi0HLj+Y0QWs+pWeMLNhz86OXa","263","2010-12-01 16:00:00.000000",,"1590108","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.142926","2020-11-13 14:16:31.142626","a6af2afc-6653-4309-9594-d797647b3ab9","16462"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","Hm4Ul+P35gL5pXfw5C1a+qge5Kgc3nYKQ/f5rDdE","615","2010-12-01 16:00:00.000000",,"2118445","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.154845","2020-11-13 14:16:31.154648","7dae838b-0a1a-4c30-973d-751e6b65a792","16465"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","hmdqqTKa1B65RxOPmwnYFLd1Vl4ohhujtPyioeB0","895","2010-12-01 16:00:00.000000",,"4243804","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.162238","2020-11-13 14:16:31.161975","e0d156b4-e541-4ec2-bee8-a5d62771cca8","16466"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","huw1bSyWuoV/HS9n26S6/lJpDE25GGlifKMADvKA","474","2010-12-01 16:00:00.000000",,"1868566","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.171663","2020-11-13 14:16:31.171296","0c897c5a-a617-49c6-a3e3-ea437440aab8","16468"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","jCIrOp7KqsaBXnYuaXxj8202qaPrf6lH4zVgy3qf","428","2010-12-01 16:00:00.000000",,"1114738","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.184172","2020-11-13 14:16:31.183962","ff406a3b-2771-445b-8315-ea3dcb0d49d5","16471"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","KdWXRzDkHPmEajQbJQEHnFO4Y8nRJF2V0cQrCQdr","930","2010-12-01 16:00:00.000000",,"9647974","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.196056","2020-11-13 14:16:31.195130","ed553138-1ccb-4d0b-a795-b84f84e925f9","16473"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","Kn9LniBsB5Zn4+OzMQ+13EMFrq3+KIpTeGVTYScr","273","2010-12-01 16:00:00.000000",,"1321841","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.204049","2020-11-13 14:16:31.203475","53c38dc7-f811-460e-bbf3-63984a127707","16475"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","KsUyvXunrDQQD6xoFUtdi0fKyLE4y0SqNDm/86QX","81","2010-12-01 16:00:00.000000",,"1882708","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.212918","2020-11-13 14:16:31.212463","200848b9-a7ad-4759-8077-344fae2ce7ef","16477"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","PTgIpSUm3lXm5UMDhhQZ/57ZvlJJNLY0OXbEs8J3","567","2010-12-01 16:00:00.000000",,"1285293","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.273573","2020-11-13 14:16:31.273042","e33f136f-252c-4374-9c2b-e365d6f92b38","16485"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","Q2VjJ8aec1Sfn4CAWTluvZm+mop/QSzHSCSQYmIm","167","2010-12-01 16:00:00.000000",,"8676664","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.292557","2020-11-13 14:16:31.287902","43b33313-f68f-4bd0-866b-f336947cbd34","16489"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","rWnU9oZigLjLTfaosPwBp52Q/SZQIE6+X4eCAEVS","221","2010-12-01 16:00:00.000000",,"1717183","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.309566","2020-11-13 14:16:31.309272","dc81de53-5f3a-48b6-99bf-69224972ef57","16493"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","SJMTlzbDvwxCSfnxGqHonF1tlmb3aeE0YuhZZRNW","929","2010-12-01 16:00:00.000000",,"6991402","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.321731","2020-11-13 14:16:31.318797","cdadf366-77e5-45cd-9cd7-81ca14c6ccfb","16495"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","U8zUkXMomAP6u1y3HmCjV79tVp6sDo0fNEEzlFo5","903","2010-12-01 16:00:00.000000",,"6284409","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.327885","2020-11-13 14:16:31.327636","8b7d82c2-9b43-44d8-bebd-7a65194f25f4","16498"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","vGglt1T7eawhXGN+rVtvkk49Ce04bG8otKa1AjHd","404","2010-12-01 16:00:00.000000",,"1755519","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.339512","2020-11-13 14:16:31.339127","34616bda-2cd4-47d5-961d-3ec25ebd5f3e","16500"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","w4frAevSvkaxK3VD5VqgamvzxKzn3OIHEIpubzsd","246","2010-12-01 16:00:00.000000",,"2040657","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.344277","2020-11-13 14:16:31.344119","b80c6860-12b0-4215-8a4a-cd4cef1f3d5f","16502"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","wYoKt+hzrkIDL4GhSAb8Yr+h9H4b2hz8BeudgjP8","243","2010-12-01 16:00:00.000000",,"1617943","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.356921","2020-11-13 14:16:31.356644","f9050cd7-cec2-40a7-97ba-63722401c8da","16503"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","+d+Jv5OFFV4DV7OIVFMkCknNv9MbjwUyoJCjsiDy","846","2010-12-01 16:00:00.000000",,"1345062","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.375994","2020-11-13 14:16:31.374335","ba3323bb-ab9a-4f6f-9795-5931a492e85a","16507"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","0zIrFJ7ZwoegzPX7z7zmTF6kjzKPKmht6bMednS8","806","2010-12-01 16:00:00.000000",,"1415522","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.391063","2020-11-13 14:16:31.390706","f288e277-552d-4d61-9e4a-bedeb18eaa0f","16510"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","4V1RLQNzEewonZVJeWUh5RIlXGPIucCIjxP2DHjL","167","2010-12-01 16:00:00.000000",,"8676664","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.408687","2020-11-13 14:16:31.408497","046df02c-caea-4ef1-9f98-ea1bfc4f184b","16514"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","6udV/1UaOlhweKtfYgZGM8c5vqk7NCl5PO72zLaR","929","2010-12-01 16:00:00.000000",,"6991402","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.482479","2020-11-13 14:16:31.480307","835fa461-30dd-4170-8230-26878ebe8e89","16517"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","9VZyO0BxgkCCTYVgjIo4qW+0bfP366Szph9kq7VC","5","2010-12-01 16:00:00.000000",,"1186398","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.488840","2020-11-13 14:16:31.488657","c54dbbe4-478a-41cf-9a3b-8331ea583f2b","16519"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","BpT5foiGQP8NrEiY+sizYS1hDWXHW//5za7coF2W","911","2010-12-01 16:00:00.000000",,"1837805","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.503250","2020-11-13 14:16:31.502933","e13665d9-820a-473f-9570-44a97d1af95b","16522"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","cn4FZ7ueFPCCi3MTbQf973FuwKMcySxKPV+EYwWJ","711","2010-12-01 16:00:00.000000",,"1444513","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.518269","2020-11-13 14:16:31.517831","b99be969-ae21-4429-97e0-5343d1bd68d6","16525"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","DwQxbdrAd+ELe0Hcq6ULlFoW43XRd7U/dKbFLy1J","506","2010-12-01 16:00:00.000000",,"1930327","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.524765","2020-11-13 14:16:31.524339","8e041c55-1098-4610-8b02-16a7f426fc7e","16527"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","Foyy7Zci1YszeBY5YovgibeQM42AxJBnSXu0MNIV","649","2010-12-01 16:00:00.000000",,"1308012","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.545364","2020-11-13 14:16:31.545140","bbb94195-fcf1-47fb-b4e7-4d68884d03b6","16530"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","guYriPkjxB7GSt2qLUsbWVAjEmsocnQdiFyGgECC","199","2010-12-01 16:00:00.000000",,"1507433","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.562633","2020-11-13 14:16:31.560917","872ff91d-4b00-4fdd-bb47-8ba14c1f285c","16533"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","HjUhlh6g/Pck/ngtGoV75Se8PlM578HSpTHvjGLE","720","2010-12-01 16:00:00.000000",,"1785075","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.571643","2020-11-13 14:16:31.570906","e560110d-2b1c-4e91-94b8-521fad8894a0","16535"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","KI3P8DPnUt72+eBkvNsEExg2lvwBeOttbLrX+sNs","81","2010-12-01 16:00:00.000000",,"1882708","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.599937","2020-11-13 14:16:31.599780","8823c960-403b-4fe4-b730-94dbe0f20212","16541"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","K3HjPcjWcGT2TtA6sre9Ol0QknSCDKBmgEJ3ONfC","733","2010-12-01 16:00:00.000000",,"4050926","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.597378","2020-11-13 14:16:31.596959","2ee099e5-8915-4f10-b676-ba863ffa938d","16540"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","kkJUA0KN+F+UQo/tcbiYeMBl2JBrb9BlQMobVF/U","95","2010-12-01 16:00:00.000000",,"1780668","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.607408","2020-11-13 14:16:31.607130","9d126f00-6a0c-4cbc-8c65-7e8d944e1aba","16542"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","KybWprloIbr1PM9GfbSDb4xTyhUorFgHwrtWgosM","602","2010-12-01 16:00:00.000000",,"2012984","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.621067","2020-11-13 14:16:31.620883","a748a9bd-df97-4f35-8909-d0aa0c4aa08f","16544"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","lwDfP6m1V3gYr02Gg7iYhzFkkGv9iInsbIMLvg4C","488","2010-12-01 16:00:00.000000",,"1182108","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.627912","2020-11-13 14:16:31.627271","5154e95f-929f-40f7-a161-9a7561ffec02","16546"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","O2oTsf+9A3HqJV+10x4U1sRF7xkuNYEb34nHd0JE","263","2010-12-01 16:00:00.000000",,"1590108","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.639464","2020-11-13 14:16:31.639274","494ad7e5-f4ce-4027-acc6-421c8f82c7fd","16548"
