coursecode,educationorganizationid,coursetitle,numberofparts,academicsubjectdescriptorid,coursedescription,timerequiredforcompletion,datecourseadopted,highschoolcourserequirement,coursegpaapplicabilitydescriptorid,coursedefinedbydescriptorid,minimumavailablecredits,minimumavailablecredittypedescriptorid,minimumavailablecreditconversion,maximumavailablecredits,maximumavailablecredittypedescriptorid,maximumavailablecreditconversion,careerpathwaydescriptorid,maxcompletionsforcredit,discriminator,createdate,lastmodifieddate,id,changeversion
"ELA-05","255901107","English Language Arts, Grade 5","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.098671","2020-11-13 14:15:34.098470","d0c1380b-41ac-404f-a97c-3a4313672508","8755"
"ELA-07","255901044","English Language Arts And Reading, Grade 7","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.101902","2020-11-13 14:15:34.101699","37c153da-d793-4059-a819-c3b43107611a","8757"
"ELA-08","255901044","English Language Arts And Reading, Grade 8","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.111990","2020-11-13 14:15:34.111755","8fa70841-b804-447a-aa41-ba312f14d912","8758"
"ENG-2","255901001","English II","1","34","English II",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.114961","2020-11-13 14:15:34.114796","c37a03f2-4f86-4e6b-8950-eeb4459dd3db","8761"
"ENG-4","255901001","English IV","1","34","English IV",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.123695","2020-11-13 14:15:34.123487","71fa351a-ffe7-42ae-9f28-cf784c43886a","8762"
"GOVT","255901001","United States Government","1","38","United States Gov",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.127954","2020-11-13 14:15:34.127791","de0336f3-6508-40f4-a5bc-692cf522a5bb","8765"
"HLTH-07","255901044","Health Education, Grades 7-8","1","44","Health Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.136537","2020-11-13 14:15:34.136264","2a280208-71d0-40c8-ad49-890b1ff8066f","8766"
"HUMT","255901001","Humanities","1","36","Humanities",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.139382","2020-11-13 14:15:34.139219","147167e0-3469-42ef-885a-f29150122d5d","8769"
"MATH-01","255901107","Mathematics, Grade 1","1","37","Mathematics, Grade 1",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.153938","2020-11-13 14:15:34.153684","1072748a-91b8-4e6a-a3e3-a85c96c80574","8770"
"MATH-04","255901107","Mathematics, Grade 4","1","37","Mathematics, Grade 4",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.154652","2020-11-13 14:15:34.154442","8964cf11-7198-4d91-9ce8-98fa70853ebd","8773"
"MATH-05","255901107","Mathematics, Grade 5","1","37","Mathematics, Grade 5",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.166128","2020-11-13 14:15:34.165732","8c950090-7bad-4549-acb1-14113486787c","8774"
"MATH-08","255901044","Mathematics, Grade 8","1","37","Mathematics, Grade 8",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.170287","2020-11-13 14:15:34.170018","a415c1f7-74e9-40da-bb1c-4390852b5c7f","8777"
"MUS-03","255901107","Music, Grade 3","1","40","Music, Grade 3",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.179874","2020-11-13 14:15:34.179677","58dc6051-51e3-4bba-b305-85afed530528","8780"
"MUS-04","255901107","Music, Grade 4","1","40","Music, Grade 4",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.182595","2020-11-13 14:15:34.182437","a137f379-4a41-4f6f-b53f-11389c2b05ac","8781"
"MUS-05","255901107","Music, Grade 5","1","40","Music, Grade 5",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.190290","2020-11-13 14:15:34.189987","db649793-40e6-4f02-91c0-586d4eb3e9bf","8782"
"PE-02","255901107","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.193436","2020-11-13 14:15:34.193241","ef404140-65bf-461a-89d2-fcb75fe1abc7","8784"
"PE-04","255901107","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.203297","2020-11-13 14:15:34.202880","22957bfa-4786-4992-b84c-5683bfd1f9d2","8786"
"PE-06","255901044","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.205592","2020-11-13 14:15:34.205320","addc0664-2c2a-4659-b238-2aa2d34bc9a0","8789"
"PE-07","255901044","Physical Education, Grades 7-8","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.215449","2020-11-13 14:15:34.214806","d26f74be-1639-45f4-868e-5b70b6acf791","8790"
"PHYSICS","255901001","Physics","1","41","Physics",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.217758","2020-11-13 14:15:34.217559","a868ec52-ac06-44e2-88af-a4673306eca4","8793"
"PRE-CALC","255901001","Precalculus","1","37","Precalculus",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.227280","2020-11-13 14:15:34.226966","cafcfd3a-1e7c-4aba-8f58-781f370b67f0","8794"
"SCI-02","255901107","Science, Grade 2","1","41","Science, Grade 2",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.230180","2020-11-13 14:15:34.229982","2b77674c-7322-4550-8ccc-adf75d29a2c2","8796"
"SCI-04","255901107","Science, Grade 4","1","41","Science, Grade 4",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.240444","2020-11-13 14:15:34.240109","cae9b118-43ad-4f72-9ace-271e103da80a","8798"
"SCI-06","255901044","Science, Departmentalized Grade 6","1","41","Science",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.242944","2020-11-13 14:15:34.242763","3d6b3bd7-0cc7-4b6c-9137-ab204462c6fb","8800"
"SCI-08","255901044","Science, Grade 8","1","41","Science, Grade 8",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.252548","2020-11-13 14:15:34.252291","48575870-4796-44ee-8af8-383379247fdc","8802"
"SPAN-2","255901001","Languages Other Than English Level II","1","42","Foreign Language",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.255734","2020-11-13 14:15:34.255570","c2a2720a-e21e-48f4-93cc-ffb4446097e1","8805"
"SS-02","255901107","Social Studies, Grade 2","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.272020","2020-11-13 14:15:34.271805","c4a08e30-20cc-45fd-ac5e-53e7fd2ca956","8807"
"SS-03","255901107","Social Studies, Grade 3","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.272135","2020-11-13 14:15:34.271847","a9b7994e-5605-43c6-9d8f-31b54f19fac7","8809"
"SS-05","255901107","Social Studies, Grade 5","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.280734","2020-11-13 14:15:34.280516","9623e33a-c58a-43a1-beea-59e4360f5d1c","8810"
"SS-08","255901044","Social Studies, Grade 8","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.287096","2020-11-13 14:15:34.286832","f263baf3-80f4-4c56-ac27-00b1c97b3f31","8813"
"US-HIST","255901001","United States History Since Reconstruction","1","38","US History",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.296673","2020-11-13 14:15:34.296467","736212ad-8013-45d5-821c-5e79caf15947","8815"
"ALG-2","255901001","Algebra II","1","37","Algebra II",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.023985","2020-11-13 14:15:34.010616","ad200a60-e9cc-44b6-8085-7a9b69b7f9a9","8735"
"ART-06","255901044","Art, Departmentalized Grade 6","1","40","Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.051932","2020-11-13 14:15:34.051666","0ec2da9d-4cac-4d88-bcbf-ab284b6b0958","8738"
"ART2-EM","255901001","Art II Electronic Media","1","46","Art II Electronic",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.063915","2020-11-13 14:15:34.063597","06f01c0a-9ba9-449f-9280-b30a35c685d1","8743"
"CHEM","255901001","Chemistry","1","41","Chemistry",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.076482","2020-11-13 14:15:34.076275","e218e31b-fc70-4431-ab32-ff238c84a0b6","8747"
"ELA-01","255901107","English Language Arts, Grade 1","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.087221","2020-11-13 14:15:34.086779","28cd02f3-6445-4b9d-8832-f9023526d12c","8751"
"ELA-04","255901107","English Language Arts, Grade 4","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.098596","2020-11-13 14:15:34.098282","3e938e2b-54cc-46cd-9e3b-4d65c5a1926a","8754"
"ENG-1","255901001","English I","1","34","English I",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.112144","2020-11-13 14:15:34.111936","6263591b-5888-4fe5-891d-f9832dc43841","8759"
"ENVIRSYS","255901001","Environmental Systems","1","36","Environmental System",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.125301","2020-11-13 14:15:34.125002","4bd2ef09-894f-4ea3-a63d-0bca53a6c47d","8763"
"HLTH-08","255901044","Health Education, Grades 7-8","1","44","Health Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.137986","2020-11-13 14:15:34.137775","f36d5eaa-f9a3-485d-8ab2-2ba59893d350","8767"
"MATH-03","255901107","Mathematics, Grade 3","1","37","Mathematics, Grade 3",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.154023","2020-11-13 14:15:34.153832","3a9c4f2e-7ad9-4df0-9dff-bfac432d19dc","8771"
"MATH-07","255901044","Mathematics, Grade 7","1","37","Mathematics, Grade 7",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.167548","2020-11-13 14:15:34.167246","fcc7f718-2f2b-4091-9792-e59ee177600a","8776"
"MUS-01","255901107","Music, Grade 1","1","40","Music, Grade 1",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.179130","2020-11-13 14:15:34.178911","62006da0-fdce-46ed-9a47-5f0746ed3128","8778"
"MUS-06","255901044","General Music, Departmentalized Grade 6","1","40","General Music",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.191693","2020-11-13 14:15:34.191379","bd1f2379-73d9-4d2f-bf88-43b75ff88c8a","8783"
"PE-03","255901107","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.203783","2020-11-13 14:15:34.203489","c6dd2012-4f08-4a38-ae56-359f4bfeaf18","8787"
"PHOTJOUR","255901001","Photojournalism","1","46","Photojournalism",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.217230","2020-11-13 14:15:34.216997","8dfd7404-ac62-4c8a-a8fb-553c79498a39","8792"
"SCI-01","255901107","Science, Grade 1","1","41","Science, Grade 1",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.228255","2020-11-13 14:15:34.228053","93d23d0e-905f-401b-8f91-39cb85769e03","8795"
"SCI-05","255901107","Science, Grade 5","1","41","Science, Grade 5",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.241745","2020-11-13 14:15:34.241409","8f8930a6-0d31-4ed9-9fec-78d84c3f1bd1","8799"
"SPAN-1","255901001","Languages Other Than English Level I","1","42","Foreign Language",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.253637","2020-11-13 14:15:34.253443","f2de4e3f-2b4e-424a-bc95-49b7d232972c","8803"
"SS-01","255901107","Social Studies, Grade 1","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.267726","2020-11-13 14:15:34.267444","feee4916-7b6b-4397-8748-b7dc473704d6","8806"
"SS-06","255901044","Social Studies, Departmentalized Grade 6","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.284835","2020-11-13 14:15:34.284635","8d7eaf04-197c-45e4-9980-31ad1312c5b8","8811"
"TAMULTIM","255901001","Multimedia","1","46","Multimedia",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.295037","2020-11-13 14:15:34.294628","ccaa5173-8811-48a1-a9d9-047d143d5a48","8814"
"W-HIST","255901001","World History Studies","1","38","World History",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.299881","2020-11-13 14:15:34.299727","54298aad-a4d6-4977-9e7b-cae6cb58edb6","8817"
"ART-01","255901107","Art, Grade 1","1","40","Art, Grade 1",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.023985","2020-11-13 14:15:34.010604","e072ce66-78b2-402f-bb9d-730d2deb868a","8736"
"ART-03","255901107","Art, Grade 3","1","40","Art, Grade 3",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.051971","2020-11-13 14:15:34.051802","ef9d31bd-b564-4786-b6a3-80bb2f09e2d2","8739"
"ART3-EM","255901001","Art III Electronic Media","1","46","Art III Electronic",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.064334","2020-11-13 14:15:34.064123","c3e869aa-fc39-4bdf-9fd5-41943aecdd58","8744"
"BIO","255901001","Biology","1","41","Biology",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.076634","2020-11-13 14:15:34.076384","1cdd49e5-120c-4a1b-8b11-c07d36d2a53c","8749"
"ELA-03","255901107","English Language Arts, Grade 3","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.088665","2020-11-13 14:15:34.088499","26c75b7d-bf0d-4e6f-babe-111a39250a4e","8752"
"ELA-06","255901044","English Language Arts, Grade 6","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.100843","2020-11-13 14:15:34.100628","ddcac6ae-1e6f-40c0-8b41-f83796d6676d","8756"
"ENG-3","255901001","English III","1","34","English III",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.113630","2020-11-13 14:15:34.113449","de730828-9058-4f64-8fef-bab160689740","8760"
"GEOM","255901001","Geometry","1","37","Geometry",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.125753","2020-11-13 14:15:34.125526","65f7dea5-0ad9-4c34-90ed-f32643a98acf","8764"
"HLTH-ED","255901001","Health Education","1","38","Health Education",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.138051","2020-11-13 14:15:34.137842","f5d3b450-f12e-4fa9-9bb6-fe5c6381c1f9","8768"
"MATH-02","255901107","Mathematics, Grade 2","1","37","Mathematics, Grade 2",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.154032","2020-11-13 14:15:34.153862","9e678453-c552-430c-b5a0-421ad3e44b18","8772"
"MATH-06","255901044","Mathematics, Departmentalized Grade 6","1","37","Mathematics",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.167485","2020-11-13 14:15:34.167246","5cb90d20-baa3-41b8-bde6-ef816635dd15","8775"
"MUS-02","255901107","Music, Grade 2","1","40","Music, Grade 2",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.179195","2020-11-13 14:15:34.178904","0d30b28b-76fe-41ac-b427-37308fa279eb","8779"
"PE-01","255901107","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.194024","2020-11-13 14:15:34.193785","62b09ec5-fd73-4745-854c-c84368224a0b","8785"
"PE-05","255901107","Physical Education, Grades 1-6","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.204566","2020-11-13 14:15:34.204337","55accd1c-8c46-4bc6-8254-00b85ce59823","8788"
"PE-08","255901044","Physical Education, Grades 7-8","1","44","Physical Education",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.217117","2020-11-13 14:15:34.216837","de37cd2d-f2fd-42ce-9360-8834b5762df2","8791"
"SCI-03","255901107","Science, Grade 3","1","41","Science, Grade 3",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.230729","2020-11-13 14:15:34.230504","844092cc-b68a-4a2b-81cd-e0b89ff1c051","8797"
"SCI-07","255901044","Science, Grade 7","1","41","Science, Grade 7",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.243376","2020-11-13 14:15:34.243194","2dcfdec3-0393-4a0e-8c38-f87deffed88f","8801"
"SPAN-3","255901001","Languages Other Than English Level III","1","42","Foreign Language",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.255171","2020-11-13 14:15:34.254917","7e2b2e7b-da0f-4f02-8a55-badc6a4dc913","8804"
"SS-04","255901107","Social Studies, Grade 4","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.272012","2020-11-13 14:15:34.271805","95343163-b217-4e5f-80af-5345d8da81c9","8808"
"SS-07","255901044","Social Studies, Grade 7","1","39","Social Studies",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.285421","2020-11-13 14:15:34.285211","acae3816-f6e2-47aa-84c3-7066d78b07f4","8812"
"WGEO","255901001","World Geography Studies","1","39","World Geography",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.297625","2020-11-13 14:15:34.297373","015e4df2-d2c9-43f8-8f02-dd764a162e50","8816"
