begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,ideaeligibility,specialeducationsettingdescriptorid,specialeducationhoursperweek,schoolhoursperweek,multiplydisabled,medicallyfragile,lastevaluationdate,iepreviewdate,iepbegindate,iependdate
"2010-08-30","255901","255901","Special Education","1837","695",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","723",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","720",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","728",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","740",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","759",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","749",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","768",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","769",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","773",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","777",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","781",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","792",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","797",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","802",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","821",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","826",,,,,,,"2010-08-23","2010-08-27","2010-09-01","2010-09-30"
"2010-08-30","255901","255901","Special Education","1837","828",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","853",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","839",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","856",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","857",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","863",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","864",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","875",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","884",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","887",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","886",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","889",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","896","true","2111","25.00","10.00",,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","899",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","900",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","909",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","914",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","922",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","925",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","942","true","2111","30.00","5.00","true",,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","930",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","932",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","100",,,,,,,"2010-08-24","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","364",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","378",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","744",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","779",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
"2010-08-30","255901","255901","Special Education","1837","798",,,,,,,"2010-08-23","2010-08-27","2010-09-01",
