attendanceeventcategorydescriptorid,eventdate,schoolid,schoolyear,sessionname,studentusi,attendanceeventreason,educationalenvironmentdescriptorid,eventduration,schoolattendanceduration,arrivaltime,departuretime,discriminator,createdate,lastmodifieddate,id,changeversion
"250","2010-09-21","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.294216","2020-11-13 14:17:40.294114","51c0b304-e9e6-4934-8448-a5f0f50cf641","32898"
"250","2010-09-28","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.294239","2020-11-13 14:17:40.294117","77efb684-7426-4be2-9902-770fee3f3941","32899"
"248","2010-09-02","255901001","2011","2010-2011 Fall Semester","120","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.294723","2020-11-13 14:17:40.294614","5dd9b694-5949-42e4-837a-96ca34611020","32900"
"250","2010-09-30","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.303942","2020-11-13 14:17:40.303467","fb00b684-76c6-4400-abc7-925d521ecd6d","32902"
"250","2010-11-05","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.304328","2020-11-13 14:17:40.304215","a6fe8e84-0b63-4ab8-932a-68c4c67ec00b","32903"
"250","2010-11-16","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.305163","2020-11-13 14:17:40.305068","1219c549-2cfb-42e7-9c27-79b7fc8b70d2","32904"
"250","2010-11-22","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.312063","2020-11-13 14:17:40.311898","226bab98-31c8-4de5-a3c0-18fab04f14c8","32905"
"250","2011-01-20","255901001","2011","2010-2011 Spring Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.313756","2020-11-13 14:17:40.313570","d7c16ee8-5182-40d2-9915-128c0be96f43","32907"
"250","2010-12-09","255901001","2011","2010-2011 Fall Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.314880","2020-11-13 14:17:40.314486","80f01e32-4e5d-4974-82b6-073d029de7c9","32908"
"250","2011-01-24","255901001","2011","2010-2011 Spring Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.322194","2020-11-13 14:17:40.321236","461eefd1-b9fd-404b-b697-b19ea786a208","32909"
"250","2011-05-05","255901001","2011","2010-2011 Spring Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.332371","2020-11-13 14:17:40.332261","84571ded-2dc9-410c-bfb8-36a918d7a6c7","32913"
"250","2010-12-15","255901001","2011","2010-2011 Fall Semester","148","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.342357","2020-11-13 14:17:40.342217","7c15b6b7-b851-4a64-94e4-24b70e1c2927","32918"
"248","2010-11-01","255901001","2011","2010-2011 Fall Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.353186","2020-11-13 14:17:40.353092","65f0982b-6926-458f-aeed-cbbfb5563106","32923"
"248","2010-11-19","255901001","2011","2010-2011 Fall Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.363636","2020-11-13 14:17:40.363571","959a57f0-cf12-4b16-8cbe-890886c9610b","32925"
"248","2010-12-17","255901001","2011","2010-2011 Fall Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.373376","2020-11-13 14:17:40.373279","55b26552-5831-438e-bccc-1b2165b3350c","32929"
"248","2011-02-14","255901001","2011","2010-2011 Spring Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.384182","2020-11-13 14:17:40.384060","ee3f2a52-dfce-4dd3-82a8-6453b33cd7f5","32934"
"248","2011-04-08","255901001","2011","2010-2011 Spring Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.393437","2020-11-13 14:17:40.393313","b2438f12-8111-40a5-ad95-8608e56b5c46","32938"
"250","2010-09-17","255901001","2011","2010-2011 Fall Semester","221","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.403517","2020-11-13 14:17:40.403432","1ca49ee1-12e0-4833-9c3f-a3df668761c2","32942"
"250","2011-03-21","255901001","2011","2010-2011 Spring Semester","221","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.411335","2020-11-13 14:17:40.411058","3302551a-c118-4694-a371-29a6f32634a2","32946"
"250","2011-04-11","255901001","2011","2010-2011 Spring Semester","222","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.420876","2020-11-13 14:17:40.420797","09390f4d-b506-4b4f-be67-8681ff791bef","32950"
"250","2010-11-19","255901001","2011","2010-2011 Fall Semester","223","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.431689","2020-11-13 14:17:40.431150","d12c8684-97a4-48ea-b311-f81f55add48a","32956"
"250","2011-03-08","255901001","2011","2010-2011 Spring Semester","223","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.438402","2020-11-13 14:17:40.438313","bd6d0c53-7e73-487c-8645-455491caf690","32958"
"250","2011-05-16","255901001","2011","2010-2011 Spring Semester","223","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.447478","2020-11-13 14:17:40.447396","cef15772-e670-4a8f-b61e-7811c435c887","32961"
"248","2010-09-21","255901001","2011","2010-2011 Fall Semester","225","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.451344","2020-11-13 14:17:40.451242","d4d222d3-454a-4924-a7b5-c926c333d890","32964"
"248","2011-04-28","255901001","2011","2010-2011 Spring Semester","225","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.457877","2020-11-13 14:17:40.457825","7e1220f9-0652-4e90-b6ff-91c755097d31","32967"
"248","2010-10-22","255901001","2011","2010-2011 Fall Semester","227","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.464598","2020-11-13 14:17:40.464278","6a6da7d3-72dc-47c7-aa4f-d5cdad636564","32969"
"248","2011-01-06","255901001","2011","2010-2011 Spring Semester","227","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.469864","2020-11-13 14:17:40.469764","6a482b0f-85f4-460c-adc9-aee4fbcc66ab","32971"
"248","2011-04-21","255901001","2011","2010-2011 Spring Semester","227","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.472975","2020-11-13 14:17:40.472901","2cb8bb85-7bc9-4f03-adaf-6b41bae68ab5","32973"
"248","2011-05-11","255901001","2011","2010-2011 Spring Semester","227","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.479703","2020-11-13 14:17:40.479523","bb7c1258-da2b-4812-b21b-0e94d410a564","32975"
"248","2010-11-19","255901001","2011","2010-2011 Fall Semester","272","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.490543","2020-11-13 14:17:40.490436","78fd99e4-7fee-473a-8983-727616ced751","32981"
"248","2011-03-02","255901001","2011","2010-2011 Spring Semester","272","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.500777","2020-11-13 14:17:40.500687","b8cd8e4d-2d34-44e8-b4d4-1127d863768a","32985"
"248","2011-05-03","255901001","2011","2010-2011 Spring Semester","272","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.507435","2020-11-13 14:17:40.507256","12be9ea9-3ed3-4fbf-be5b-fc5569255b0d","32987"
"248","2010-11-16","255901001","2011","2010-2011 Fall Semester","363","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.516377","2020-11-13 14:17:40.516281","e59bbdb6-86d6-4cfd-bd02-32f4e32cf58a","32991"
"248","2010-08-27","255901001","2011","2010-2011 Fall Semester","376","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.523846","2020-11-13 14:17:40.523768","c9755b9e-820e-45e8-b3e0-11992e4dd27e","32994"
"248","2010-09-30","255901001","2011","2010-2011 Fall Semester","376","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.527200","2020-11-13 14:17:40.526987","ff55b9ac-aeb1-4710-95a1-aecb229e91ee","32997"
"248","2010-12-09","255901001","2011","2010-2011 Fall Semester","376","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.534836","2020-11-13 14:17:40.534716","633da454-f980-40d3-9aa3-701120c630ed","32999"
"248","2011-04-11","255901001","2011","2010-2011 Spring Semester","376","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.544103","2020-11-13 14:17:40.543943","3434ee76-6854-4aad-a7df-72fae3b37f2f","33003"
"248","2010-09-13","255901001","2011","2010-2011 Fall Semester","384","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.553037","2020-11-13 14:17:40.552954","4c8beef2-089d-48f1-bddc-7b691b2f7776","33006"
"248","2010-08-30","255901001","2011","2010-2011 Fall Semester","394","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.563204","2020-11-13 14:17:40.563135","cc1303df-48b0-497a-a661-3bb7bc469962","33011"
"248","2010-11-09","255901001","2011","2010-2011 Fall Semester","402","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.573413","2020-11-13 14:17:40.573197","b8b1f595-ca1a-44b8-a1f0-5ec21b666ca0","33015"
"250","2010-09-21","255901001","2011","2010-2011 Fall Semester","404","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.585376","2020-11-13 14:17:40.585313","17deb80c-7ccf-4b99-98a0-0a35b7049fd6","33020"
"250","2011-03-08","255901001","2011","2010-2011 Spring Semester","404","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.593989","2020-11-13 14:17:40.593816","4c567fec-e6a0-4085-a3c7-48071bc4774a","33023"
"250","2011-04-28","255901001","2011","2010-2011 Spring Semester","404","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.604428","2020-11-13 14:17:40.604339","e27af759-8de3-4228-87fb-49bad96a9536","33027"
"250","2010-10-22","255901001","2011","2010-2011 Fall Semester","413","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.618515","2020-11-13 14:17:40.618313","d7e9ecd2-69c6-433a-8294-08108b3acc18","33029"
"250","2011-04-01","255901001","2011","2010-2011 Spring Semester","413","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.623804","2020-11-13 14:17:40.623724","3a3dbff4-1b31-48a1-8fb9-f3626524f9bb","33032"
"250","2010-09-13","255901001","2011","2010-2011 Fall Semester","422","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.631115","2020-11-13 14:17:40.630846","a57a055c-5e5d-4320-a2f9-1af318d8834e","33034"
"248","2010-08-24","255901001","2011","2010-2011 Fall Semester","425","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.639611","2020-11-13 14:17:40.639490","99545e44-5801-4002-b609-fa71c07ae4ea","33037"
"250","2010-10-01","255901001","2011","2010-2011 Fall Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.664550","2020-11-13 14:17:40.664487","48becf42-1b98-40f6-844c-33c693f5a6e6","33042"
"250","2010-11-09","255901001","2011","2010-2011 Fall Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.673071","2020-11-13 14:17:40.672981","5675841d-60f2-47ad-b3f3-45faf5b9cca6","33046"
"250","2010-12-01","255901001","2011","2010-2011 Fall Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.680184","2020-11-13 14:17:40.680102","a6a6f7ab-e5a2-49ad-ada5-e3ae717f040a","33048"
"250","2011-01-27","255901001","2011","2010-2011 Spring Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.684575","2020-11-13 14:17:40.684514","9a5efefa-a141-455e-90d4-a2b21189a49d","33050"
"250","2011-02-28","255901001","2011","2010-2011 Spring Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.688706","2020-11-13 14:17:40.688192","4d6f672b-b25f-4533-9c5e-83d35acfc125","33052"
"250","2011-05-10","255901001","2011","2010-2011 Spring Semester","425","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.695474","2020-11-13 14:17:40.695398","97bf8740-cff3-483c-b2c4-b74137644f51","33055"
"248","2010-10-21","255901001","2011","2010-2011 Fall Semester","430","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.702744","2020-11-13 14:17:40.701795","0f2355cb-e26b-4db8-82d9-b921cb9b71c1","33058"
"248","2010-12-17","255901001","2011","2010-2011 Fall Semester","430","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.706010","2020-11-13 14:17:40.705927","1425aaf9-76fc-40f4-8545-ee0a18d7b241","33060"
"248","2011-04-01","255901001","2011","2010-2011 Spring Semester","430","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.712988","2020-11-13 14:17:40.712914","96264198-c07a-4791-a7dd-fdb7e452e1a3","33063"
"248","2010-09-22","255901001","2011","2010-2011 Fall Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.729399","2020-11-13 14:17:40.728753","e072adcf-224a-46dd-a292-362daef2ee01","33069"
"248","2010-11-22","255901001","2011","2010-2011 Fall Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.738535","2020-11-13 14:17:40.738422","49140928-5f3a-4f70-a544-9df707371e6c","33074"
"248","2011-02-08","255901001","2011","2010-2011 Spring Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.747564","2020-11-13 14:17:40.747217","abfc3688-fd14-4bf1-bd97-4d660e8d35b6","33078"
"248","2011-03-31","255901001","2011","2010-2011 Spring Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.751900","2020-11-13 14:17:40.751815","4109cc19-3473-4912-8e2b-ca7b9a985451","33080"
"248","2011-04-13","255901001","2011","2010-2011 Spring Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.756488","2020-11-13 14:17:40.756409","10f8e352-0661-4635-83aa-316e1e09eb6b","33082"
"248","2011-04-29","255901001","2011","2010-2011 Spring Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.760997","2020-11-13 14:17:40.760934","2b058507-975b-418c-acbc-87321e601a98","33083"
"248","2011-05-27","255901001","2011","2010-2011 Spring Semester","433","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.770430","2020-11-13 14:17:40.769876","5b23b81d-6089-43f8-a707-f2b38f3d3675","33087"
"248","2010-10-22","255901001","2011","2010-2011 Fall Semester","442","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.779619","2020-11-13 14:17:40.779493","3f40e3eb-76c6-4066-9c36-fabc84b69fb9","33092"
"250","2011-02-08","255901001","2011","2010-2011 Spring Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.322387","2020-11-13 14:17:40.321337","21b46ae7-b541-4ddf-8a44-569f1931d1b5","32910"
"250","2011-05-17","255901001","2011","2010-2011 Spring Semester","120","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.332698","2020-11-13 14:17:40.332580","871489ca-a968-4cd6-ace0-d55d4267fdcd","32914"
"250","2011-05-18","255901001","2011","2010-2011 Spring Semester","148","Absent unexcused",,"1.00",,,,"NULL","2020-11-13 14:17:40.343402","2020-11-13 14:17:40.343307","ebf13c15-e27b-4275-bca1-387241239d1b","32920"
"248","2010-10-28","255901001","2011","2010-2011 Fall Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.352547","2020-11-13 14:17:40.352100","bbea483a-a9db-4dcf-9a8a-ddfce6f423fb","32922"
"248","2010-12-06","255901001","2011","2010-2011 Fall Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.363837","2020-11-13 14:17:40.363772","84b169f5-2df5-45bc-8135-dfda7a84e671","32927"
"248","2011-01-07","255901001","2011","2010-2011 Spring Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.373985","2020-11-13 14:17:40.373882","411d415b-0089-4a4a-a061-4dc4e8ea874c","32930"
"248","2011-03-03","255901001","2011","2010-2011 Spring Semester","155","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.384598","2020-11-13 14:17:40.384543","0e3c3468-822a-4ac2-b198-bb87b07a3113","32935"
"248","2010-11-04","255901001","2011","2010-2011 Fall Semester","164","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.393580","2020-11-13 14:17:40.393526","9aa765a0-a32f-4b72-8f74-9bd221add6b2","32939"
"248","2011-04-06","255901001","2011","2010-2011 Spring Semester","164","Absent excused",,"1.00",,,,"NULL","2020-11-13 14:17:40.403519","2020-11-13 14:17:40.403434","8d53546b-ab62-4e45-af5e-d67645d79fe0","32943"
