assessmentidentifier,identificationcode,namespace,studentassessmentidentifier,studentusi,createdate
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010814"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010824"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010832"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010842"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010852"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010863"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010875"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.064392"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065318"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065339"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065353"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065364"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065375"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065388"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065399"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065410"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065424"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065436"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","6hn46X705zYjrGoNvPCchwIBrklocTpgbmJshepV","400","2020-11-13 14:16:41.065448"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.124354"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125367"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125398"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125458"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125477"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125536"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125553"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125592"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125607"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125642"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125652"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","aWjX2AYEQgo/qDuapxCSvFFCX+fQ+KpRJSxKarAb","291","2020-11-13 14:16:41.125661"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.170744"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171547"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171563"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171574"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171582"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171590"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171599"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171607"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171615"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171627"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171636"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","bLyEsojUEAkfu0UGtjbtvtejuUuYVXwNS8EcH35w","495","2020-11-13 14:16:41.171644"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","bxj7vLIVbNtn6XjDxrY8l+Mv/Q6ZRKzVJiCIn0HF","352","2020-11-13 14:16:41.201120"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","bxj7vLIVbNtn6XjDxrY8l+Mv/Q6ZRKzVJiCIn0HF","352","2020-11-13 14:16:41.201821"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020241"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020867"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020915"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020949"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020965"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.020986"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021015"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021032"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021045"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021058"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021070"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","5abpfTy8A5/6+zrlXNFA9no+uSkBY8xTbtPc4Nz7","229","2020-11-13 14:16:41.021080"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.077823"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078543"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078562"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078571"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078581"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078592"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078600"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078608"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078617"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078625"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078633"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","8mXHydGEPyY2WliO0PlT2SofPWTRUg4yXJZ6JF3k","403","2020-11-13 14:16:41.078642"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.108953"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109583"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109593"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109601"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109611"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109619"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109626"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109634"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109644"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","A1hAVDeyIn0Mf/kTgCBVTRsYg8kg6fsXI9b8fTrP","187","2020-11-13 14:16:41.109652"
