learningstandardid,title,version,uri,publicationdate,publicationyear,publicationstatusdescriptorid,mandatingeducationorganizationid,begindate,enddate,createdate
"110.13.2.E","State Standard",,,,,,,,,"2020-11-13 14:15:12.523145"
"110.13.2.G","State Standard",,,,,,,,,"2020-11-13 14:15:12.523165"
"110.13.20.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.533468"
"110.13.21","State Standard",,,,,,,,,"2020-11-13 14:15:12.533445"
"110.13.21.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:12.543671"
"110.13.21.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:12.544804"
"110.13.21.Avi","State Standard",,,,,,,,,"2020-11-13 14:15:12.555046"
"110.13.21.Avii","State Standard",,,,,,,,,"2020-11-13 14:15:12.555985"
"110.13.22.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.566022"
"110.13.21.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.566900"
"110.13.22.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:12.577628"
"110.13.22.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:12.577641"
"110.13.22.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.588259"
"110.13.22.Cii","State Standard",,,,,,,,,"2020-11-13 14:15:12.589167"
"110.13.23.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:12.601837"
"110.13.23.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.609378"
"110.13.23.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:12.610290"
"110.13.23.E","State Standard",,,,,,,,,"2020-11-13 14:15:12.620860"
"110.13.23.D","State Standard",,,,,,,,,"2020-11-13 14:15:12.621291"
"110.13.24.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.632804"
"110.13.25","State Standard",,,,,,,,,"2020-11-13 14:15:12.633414"
"110.13.25.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.644192"
"110.13.26","State Standard",,,,,,,,,"2020-11-13 14:15:12.644684"
"110.13.28","State Standard",,,,,,,,,"2020-11-13 14:15:12.655094"
"110.13.27.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.655137"
"110.13.29","State Standard",,,,,,,,,"2020-11-13 14:15:12.668610"
"110.13.29.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.668798"
"110.13.3.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.679672"
"110.13.3.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.680429"
"110.13.4","State Standard",,,,,,,,,"2020-11-13 14:15:12.691170"
"110.13.4.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.691206"
"110.13.5.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.702911"
"110.13.5.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.703024"
"110.13.6","State Standard",,,,,,,,,"2020-11-13 14:15:12.715324"
"110.13.6.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.715368"
"110.13.8","State Standard",,,,,,,,,"2020-11-13 14:15:12.836091"
"110.13.7.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.838771"
"110.13.9.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.848944"
"110.13.RC.D","State Standard",,,,,,,,,"2020-11-13 14:15:12.862518"
"110.14.1.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.874401"
"110.14.1.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:12.883920"
"110.14.1.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:12.894600"
"110.14.1.Biv","State Standard",,,,,,,,,"2020-11-13 14:15:12.903921"
"110.14.1.E","State Standard",,,,,,,,,"2020-11-13 14:15:12.913842"
"110.14.11.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.923922"
"110.14.13.D","State Standard",,,,,,,,,"2020-11-13 14:15:12.944659"
"110.14.15.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.958251"
"110.14.14.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.960119"
"110.14.16.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.972338"
"110.14.17.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.986629"
"110.14.17.E","State Standard",,,,,,,,,"2020-11-13 14:15:13.000901"
"110.14.18.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.009857"
"110.14.2","State Standard",,,,,,,,,"2020-11-13 14:15:13.020002"
"110.14.20.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.032539"
"110.14.20.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.042552"
"110.14.21.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.060258"
"110.14.22.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.063509"
"110.14.22.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:13.075313"
"110.14.22.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.075922"
"110.14.22.Avi","State Standard",,,,,,,,,"2020-11-13 14:15:13.088046"
"110.14.22.Avii","State Standard",,,,,,,,,"2020-11-13 14:15:13.088257"
"110.14.22.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.098905"
"110.14.23.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:13.112876"
"110.14.23.Cii","State Standard",,,,,,,,,"2020-11-13 14:15:13.124856"
"110.14.24","State Standard",,,,,,,,,"2020-11-13 14:15:13.133623"
"110.14.24.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.136065"
"110.14.24.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:13.145660"
"110.14.24.G","State Standard",,,,,,,,,"2020-11-13 14:15:13.175006"
"110.14.26.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.191882"
"110.14.26.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.199698"
"110.14.27","State Standard",,,,,,,,,"2020-11-13 14:15:13.210697"
"110.14.29","State Standard",,,,,,,,,"2020-11-13 14:15:13.221470"
"110.14.29.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.222072"
"110.14.3.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.231285"
"110.14.30","State Standard",,,,,,,,,"2020-11-13 14:15:13.233844"
"110.14.31.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.243680"
"110.14.4","State Standard",,,,,,,,,"2020-11-13 14:15:13.244631"
"110.14.4.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.254953"
"110.14.4.E","State Standard",,,,,,,,,"2020-11-13 14:15:13.258487"
"110.14.5.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.268436"
"110.14.RC.F","State Standard",,,,,,,,,"2020-11-13 14:15:13.307282"
"110.15.11.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.326441"
"110.15.12.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.334075"
"110.15.13","State Standard",,,,,,,,,"2020-11-13 14:15:13.336516"
"110.13.1","State Standard",,,,,,,,,"2020-11-13 14:15:12.346237"
"110.13.11.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.406944"
"110.13.14.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.418381"
"110.13.15","State Standard",,,,,,,,,"2020-11-13 14:15:12.429190"
"110.13.15.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.437199"
"110.13.16.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.447688"
"110.13.18","State Standard",,,,,,,,,"2020-11-13 14:15:12.459944"
"110.13.18.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.467796"
"110.13.19.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.478391"
"110.13.2.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:12.491731"
"110.13.2.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.500123"
"110.13.2.Biv","State Standard",,,,,,,,,"2020-11-13 14:15:12.511481"
"110.13.2.D","State Standard",,,,,,,,,"2020-11-13 14:15:12.521668"
"110.13.20","State Standard",,,,,,,,,"2020-11-13 14:15:12.532508"
"110.13.21.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:12.544228"
"110.13.21.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:12.554079"
"110.13.21.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.565466"
"110.13.22.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.576423"
"110.13.22.Ciii","State Standard",,,,,,,,,"2020-11-13 14:15:12.588259"
"110.13.23","State Standard",,,,,,,,,"2020-11-13 14:15:12.599532"
"110.13.23.Biv","State Standard",,,,,,,,,"2020-11-13 14:15:12.612116"
"110.13.23.F","State Standard",,,,,,,,,"2020-11-13 14:15:12.623285"
"110.13.24","State Standard",,,,,,,,,"2020-11-13 14:15:12.631689"
"110.13.25.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.642992"
"110.13.26.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.654916"
"110.13.28.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.666507"
"110.13.3","State Standard",,,,,,,,,"2020-11-13 14:15:12.679298"
"110.13.30","State Standard",,,,,,,,,"2020-11-13 14:15:12.689912"
"110.13.5","State Standard",,,,,,,,,"2020-11-13 14:15:12.702133"
"110.13.6.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.715323"
"110.13.8.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.837472"
"110.13.9","State Standard",,,,,,,,,"2020-11-13 14:15:12.847598"
"110.13.RC.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.853336"
"110.13.RC.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.862515"
"110.14.1","State Standard",,,,,,,,,"2020-11-13 14:15:12.873451"
"110.14.1.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:12.878051"
"110.14.1.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:12.883178"
"110.14.1.Av","State Standard",,,,,,,,,"2020-11-13 14:15:12.889436"
"110.14.1.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:12.894117"
"110.14.1.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:12.900577"
"110.14.1.Bv","State Standard",,,,,,,,,"2020-11-13 14:15:12.905892"
"110.14.10","State Standard",,,,,,,,,"2020-11-13 14:15:12.916593"
"110.14.12","State Standard",,,,,,,,,"2020-11-13 14:15:12.926334"
"110.14.13","State Standard",,,,,,,,,"2020-11-13 14:15:12.933209"
"110.14.13.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.940789"
"110.14.14","State Standard",,,,,,,,,"2020-11-13 14:15:12.946967"
"110.14.15","State Standard",,,,,,,,,"2020-11-13 14:15:12.958252"
"110.14.16","State Standard",,,,,,,,,"2020-11-13 14:15:12.969900"
"110.14.16.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.977181"
"110.14.17.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.985923"
"110.14.17.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.992326"
"110.14.17.D","State Standard",,,,,,,,,"2020-11-13 14:15:12.996742"
"110.14.19","State Standard",,,,,,,,,"2020-11-13 14:15:13.010394"
"110.14.2.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.021727"
"110.14.2.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.026407"
"110.14.20","State Standard",,,,,,,,,"2020-11-13 14:15:13.035669"
"110.14.20.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:13.041221"
"110.14.20.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.051515"
"110.14.21","State Standard",,,,,,,,,"2020-11-13 14:15:13.055676"
"110.14.22.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.075290"
"110.14.22.Av","State Standard",,,,,,,,,"2020-11-13 14:15:13.089959"
"110.14.23","State Standard",,,,,,,,,"2020-11-13 14:15:13.101282"
"110.14.23.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.109358"
"110.14.23.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:13.113615"
"110.14.23.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:13.121517"
"110.14.23.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.129337"
"110.14.24.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:13.145478"
"110.14.24.Biv","State Standard",,,,,,,,,"2020-11-13 14:15:13.155319"
"110.14.24.Bvi","State Standard",,,,,,,,,"2020-11-13 14:15:13.160911"
"110.14.24.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.165655"
"110.14.24.F","State Standard",,,,,,,,,"2020-11-13 14:15:13.171771"
"110.14.25","State Standard",,,,,,,,,"2020-11-13 14:15:13.175928"
"110.14.25.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.181798"
"110.14.26.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.186200"
"110.14.26.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.194998"
"110.14.26.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.202266"
"110.14.26.E","State Standard",,,,,,,,,"2020-11-13 14:15:13.207090"
"110.14.27.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.212188"
"110.14.29.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.223589"
"110.14.30.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.234958"
"110.14.31","State Standard",,,,,,,,,"2020-11-13 14:15:13.241258"
"110.14.4.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.247086"
"110.14.4.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.256466"
"110.14.5","State Standard",,,,,,,,,"2020-11-13 14:15:13.264746"
"110.14.6","State Standard",,,,,,,,,"2020-11-13 14:15:13.270297"
"110.14.6.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.274357"
"110.14.7.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.278596"
"110.14.8.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.283811"
"110.14.8.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.288773"
"110.14.9.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.293022"
"110.14.RC.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.298498"
"110.14.RC.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.303047"
"110.15.1.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.312114"
"110.15.10.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.316822"
"110.15.11.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.322994"
"110.15.11.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.328168"
"110.15.13.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.339204"
"110.15.14","State Standard",,,,,,,,,"2020-11-13 14:15:13.344674"
"110.15.14.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.346419"
"110.15.14.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.352741"
"110.15.15","State Standard",,,,,,,,,"2020-11-13 14:15:13.354066"
"110.15.15.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.361233"
"110.15.15.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.363742"
"110.15.15.E","State Standard",,,,,,,,,"2020-11-13 14:15:13.369541"
"110.15.16","State Standard",,,,,,,,,"2020-11-13 14:15:13.372871"
"110.15.16.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.380024"
"110.15.17.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.384349"
"110.15.18.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.390677"
"110.15.18.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.394998"
"110.15.18.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.401330"
"110.15.19.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.406625"
"110.15.2.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.416171"
"110.15.2.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.421078"
"110.15.20.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.426741"
"110.15.20.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.431504"
"110.15.20.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:13.436912"
"110.15.20.Av","State Standard",,,,,,,,,"2020-11-13 14:15:13.441877"
"110.15.20.Aviii","State Standard",,,,,,,,,"2020-11-13 14:15:13.447781"
"110.15.20.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.452981"
"110.15.21.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.458494"
"110.15.21.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.463256"
"110.15.21.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:13.469861"
"110.15.21.Cii","State Standard",,,,,,,,,"2020-11-13 14:15:13.475149"
"110.15.22.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.483880"
"110.15.22.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.493958"
"110.15.22.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.504541"
"110.15.23.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.515218"
"110.15.24.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:13.520511"
"110.15.24.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.526638"
"110.15.24.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.531524"
"110.15.24.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.536662"
"110.15.25.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.542231"
"110.15.26","State Standard",,,,,,,,,"2020-11-13 14:15:13.546860"
"110.15.27.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.552292"
"110.15.27.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.556545"
"110.15.29","State Standard",,,,,,,,,"2020-11-13 14:15:13.561966"
"110.15.29.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.566295"
"110.15.3.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.572119"
"110.15.4.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.575845"
"110.15.5.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.581555"
"110.15.6.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.585357"
"110.15.6.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.591344"
"110.15.7","State Standard",,,,,,,,,"2020-11-13 14:15:13.595282"
"110.15.RC.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.605594"
"110.15.RC.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.612365"
"110.15.RC.F","State Standard",,,,,,,,,"2020-11-13 14:15:13.621050"
"110.16.10","State Standard",,,,,,,,,"2020-11-13 14:15:13.625501"
"110.16.10.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.630391"
"110.16.11.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.634948"
"110.16.11.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.641456"
"110.16.13.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.654847"
"110.16.14.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.664255"
"110.16.15","State Standard",,,,,,,,,"2020-11-13 14:15:13.672894"
"110.16.15.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.682163"
"110.16.16","State Standard",,,,,,,,,"2020-11-13 14:15:13.689864"
"110.16.16.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:13.695381"
"110.16.16.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.706264"
"110.16.16.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:13.715529"
"110.16.18.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.726742"
"110.16.18.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:13.737433"
"110.16.19.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.748458"
"110.16.2.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.753035"
"110.16.2.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.760004"
"110.16.20","State Standard",,,,,,,,,"2020-11-13 14:15:13.766561"
"110.16.20.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:13.772110"
"110.16.20.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:13.780457"
"110.16.20.Avi","State Standard",,,,,,,,,"2020-11-13 14:15:13.784647"
"110.16.20.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.794902"
"110.16.21","State Standard",,,,,,,,,"2020-11-13 14:15:13.799401"
"110.16.21.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:13.811031"
"110.16.21.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:13.815492"
"110.16.22","State Standard",,,,,,,,,"2020-11-13 14:15:13.819157"
"110.16.22.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.827984"
"110.16.22.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:13.835647"
"110.16.22.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:13.841927"
"110.16.22.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.846779"
"110.16.23.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.854641"
"110.16.24","State Standard",,,,,,,,,"2020-11-13 14:15:13.862494"
"110.16.24.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.868213"
"110.16.24.D","State Standard",,,,,,,,,"2020-11-13 14:15:13.872949"
"110.16.25.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.879487"
"110.16.26","State Standard",,,,,,,,,"2020-11-13 14:15:13.884319"
"110.16.26.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.890562"
"110.16.27","State Standard",,,,,,,,,"2020-11-13 14:15:13.894801"
"110.16.27.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.900396"
"110.16.27.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.905749"
"110.16.28.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.911553"
"110.16.29.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.917145"
"110.16.4","State Standard",,,,,,,,,"2020-11-13 14:15:13.928933"
"110.16.5.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.936206"
"110.16.6.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.945091"
"110.16.7","State Standard",,,,,,,,,"2020-11-13 14:15:13.949425"
"110.16.8","State Standard",,,,,,,,,"2020-11-13 14:15:13.959114"
"110.16.RC.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.969985"
"110.16.RC.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.974699"
"110.16.RC.E","State Standard",,,,,,,,,"2020-11-13 14:15:13.981041"
"110.18.1","State Standard",,,,,,,,,"2020-11-13 14:15:13.986657"
"110.18.1.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.991580"
"110.18.10.C","State Standard",,,,,,,,,"2020-11-13 14:15:14.001452"
"110.18.12.A","State Standard",,,,,,,,,"2020-11-13 14:15:14.016465"
"110.18.13","State Standard",,,,,,,,,"2020-11-13 14:15:14.024258"
"110.18.13.B","State Standard",,,,,,,,,"2020-11-13 14:15:14.029227"
"110.18.14","State Standard",,,,,,,,,"2020-11-13 14:15:14.035598"
"110.18.14.A","State Standard",,,,,,,,,"2020-11-13 14:15:14.042286"
"110.18.14.D","State Standard",,,,,,,,,"2020-11-13 14:15:14.055760"
"110.18.15","State Standard",,,,,,,,,"2020-11-13 14:15:14.063768"
"110.18.15.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:14.072210"
"110.18.15.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:14.077501"
"110.18.15.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:14.082239"
"110.18.16.A","State Standard",,,,,,,,,"2020-11-13 14:15:14.088811"
"110.18.17.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:14.093993"
"110.18.17.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:14.100845"
"110.18.17.C","State Standard",,,,,,,,,"2020-11-13 14:15:14.109595"
"110.18.18.A","State Standard",,,,,,,,,"2020-11-13 14:15:14.115175"
"110.18.19","State Standard",,,,,,,,,"2020-11-13 14:15:14.120338"
"110.18.19.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:14.126627"
"110.15.18.C","State Standard",,,,,,,,,"2020-11-13 14:15:13.401383"
"110.15.2","State Standard",,,,,,,,,"2020-11-13 14:15:13.411320"
"110.15.20","State Standard",,,,,,,,,"2020-11-13 14:15:13.422475"
"110.15.20.Aiii","State Standard",,,,,,,,,"2020-11-13 14:15:13.431808"
"110.15.20.Avii","State Standard",,,,,,,,,"2020-11-13 14:15:13.443350"
"110.15.21","State Standard",,,,,,,,,"2020-11-13 14:15:13.453856"
"110.15.21.Bii","State Standard",,,,,,,,,"2020-11-13 14:15:13.465034"
"110.15.21.Ci","State Standard",,,,,,,,,"2020-11-13 14:15:13.475096"
"110.15.22.Aii","State Standard",,,,,,,,,"2020-11-13 14:15:13.486496"
"110.15.22.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:13.494037"
"110.15.23","State Standard",,,,,,,,,"2020-11-13 14:15:13.506001"
"110.15.24.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.517343"
"110.15.24.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.526957"
"110.15.25","State Standard",,,,,,,,,"2020-11-13 14:15:13.537796"
"110.15.27","State Standard",,,,,,,,,"2020-11-13 14:15:13.547717"
"110.15.28.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.557692"
"110.15.3","State Standard",,,,,,,,,"2020-11-13 14:15:13.567070"
"110.15.5","State Standard",,,,,,,,,"2020-11-13 14:15:13.576655"
"110.15.6.B","State Standard",,,,,,,,,"2020-11-13 14:15:13.586129"
"110.15.8","State Standard",,,,,,,,,"2020-11-13 14:15:13.595832"
"110.15.9.A","State Standard",,,,,,,,,"2020-11-13 14:15:13.604480"
