learningstandardid,description,learningstandarditemcode,uri,coursetitle,successcriteria,parentlearningstandardid,namespace,learningstandardcategorydescriptorid,learningstandardscopedescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"110.13.21.Avi","understand and use the following parts of speech in the context of reading, writing, and speaking pronouns (e.g., he, him).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.554333","2020-11-13 14:15:12.554134","fdb6092f-6b7a-433d-b744-024c0c9f9cda","3175"
"110.13.22.A","write legibly leaving appropriate margins for readability.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.565206","2020-11-13 14:15:12.564965","a5bceea2-8cdf-46d8-812c-36f5b69bdd0f","3178"
"110.13.22.Bii","use capitalization for months and days of the week.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.576772","2020-11-13 14:15:12.576503","18e9f874-f33b-4b20-893f-da6372f7bc8e","3183"
"110.13.22.C","recognize and use punctuation marks, including",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.587485","2020-11-13 14:15:12.587173","ca0e39b5-8602-4fa8-a225-7e0c3f91fbe7","3187"
"110.13.23.Bi","spell words with common orthographic patterns and rules complex consonants (e.g., hard and soft c and g, ck).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.600547","2020-11-13 14:15:12.599909","861b8ab4-8ae1-4b87-8ed5-c4f65ace6060","3191"
"110.13.23.Bii","spell words with common orthographic patterns and rules r-controlled vowels.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.609563","2020-11-13 14:15:12.609267","dda3b996-8541-40da-803a-21ea9fd3c20a","3193"
"110.13.23.E","spell simple contractions (e.g., isn't, aren't, can't).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.620107","2020-11-13 14:15:12.619797","00e6906f-b2f4-477e-87a1-c37c5b597b19","3197"
"110.13.24.B","decide what sources of information might be relevant to answer these questions.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.632017","2020-11-13 14:15:12.631678","969d2de7-3867-471c-8641-f0585fb082bc","3202"
"110.13.25.C","record basic information in simple visual formats (e.g., notes, charts, picture graphs, diagrams).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.643415","2020-11-13 14:15:12.643140","10e6ae02-1d7c-47fd-b253-ca645a198f2b","3206"
"110.13.27.A","create a visual display or dramatization to convey the results of the research.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.654251","2020-11-13 14:15:12.653960","995252d7-7d83-4f8b-a008-469d99163d8d","3211"
"CC.K.L.1f","Produce and expand complete sentences in shared language activities.",,,,,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:20.431043","2020-11-13 14:15:20.430816","c76d6b2c-2b68-4405-85c0-2252b028f4c0","5548"
"110.13.1.A","distinguish features of a sentence (e.g., capitalization of first word, ending punctuation, commas, quotation marks).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.344293","2020-11-13 14:15:12.330976","64c71eb8-9fad-4cdf-92ca-a66972a479f8","3115"
"110.13.10.A","distinguish between fiction and nonfiction.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.343601","2020-11-13 14:15:12.330961","e9a2b7bb-0e43-4d06-8655-165ec8c6c075","3113"
"110.13.11","Reading/Comprehension of Literary Text/Sensory Language. Students understand, make inferences and draw conclusions about how an author's sensory language creates imagery in literary text and provide evidence from text to support their understanding.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.363205","2020-11-13 14:15:12.362885","bb831e0c-549d-45c5-b78c-bb8a24a45dd6","3116"
"110.13.12.A","read independently for a sustained period of time and paraphrase what the reading was about, maintaining meaning.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.406010","2020-11-13 14:15:12.405745","5f0ef667-d328-4e44-8dcf-d0d7c4100e16","3118"
"110.13.13","Reading/Comprehension of Informational Text/Culture and History. Students analyze, make inferences and draw conclusions about the author's purpose in cultural, historical, and contemporary contexts and provide evidence from the text to support their",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.406943","2020-11-13 14:15:12.406730","3990d4ee-db58-4ef7-8488-66abbed69376","3120"
"110.13.13.A","identify the topic and explain the author's purpose in writing the text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.416065","2020-11-13 14:15:12.415743","b9f3c7c5-67e5-4194-97a4-3d074ffa3523","3121"
"110.13.14","Reading/Comprehension of Informational Text/Expository Text. Students analyze, make inferences and draw conclusions about and understand expository text and provide evidence from text to support their understanding.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.416371","2020-11-13 14:15:12.416002","3614af94-e818-4416-a0b7-be39e0f07656","3122"
"110.13.14.C","describe the order of events or ideas in a text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.426319","2020-11-13 14:15:12.425938","52ab6726-e978-451b-9725-44f36989d2b9","3125"
"110.13.14.D","use text features (e.g., table of contents, index, headings) to locate specific information in text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.427123","2020-11-13 14:15:12.426737","5b8483bc-cb5d-4f77-bd7f-ded783c1c635","3126"
"110.13.16","Reading/Media Literacy. Students use comprehension skills to analyze how words, images, graphics, and sounds work together in various forms to impact meaning. Students continue to apply earlier standards with greater depth in increasingly more comple",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.437349","2020-11-13 14:15:12.437073","f989a02a-bbf3-48f9-b849-e5178b401d29","3130"
"110.13.16.B","describe techniques used to create media messages (e.g., sound, graphics).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.439228","2020-11-13 14:15:12.439016","09b3b8c5-2128-4ee7-82af-c99fdbd65824","3132"
"110.13.17.A","plan a first draft by generating ideas for writing (e.g., drawing, sharing ideas, listing key ideas).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.447540","2020-11-13 14:15:12.447289","2d420751-88b6-4a73-9a3f-e48e812b3366","3135"
"110.13.17.B","develop drafts by sequencing ideas through writing sentences.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.449435","2020-11-13 14:15:12.449222","6dc97dd3-5d98-4fd1-bc4d-8e738e361141","3136"
"110.13.17.C","revise drafts by adding or deleting words, phrases, or sentences.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.457006","2020-11-13 14:15:12.456674","d5a38ee0-a6da-4f29-b958-7366391f3e2f","3137"
"110.13.17.D","edit drafts for grammar, punctuation, and spelling using a teacher-developed rubric.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.457680","2020-11-13 14:15:12.457415","cbcd6821-dd1f-4bb8-a4de-81055c9a9d8c","3138"
"110.13.19.A","write brief compositions about topics of interest to the student.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.468240","2020-11-13 14:15:12.467961","a242294a-5270-44e9-92c3-2cdc39348b31","3143"
"110.13.19","Writing/Expository and Procedural Texts. Students write expository and procedural or work-related texts to communicate ideas and information to specific audiences for specific purposes.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.468507","2020-11-13 14:15:12.468250","49a60c48-3b3e-4aea-977c-ba3b53e599d4","3144"
"110.13.2.A","decode multisyllabic words in context and independent of context by applying common letter-sound correspondences including",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.478657","2020-11-13 14:15:12.478379","ed28f1f2-f9ee-489c-843c-839982db6348","3146"
"110.13.19.C","write brief comments on literary or informational texts.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.480373","2020-11-13 14:15:12.480084","d8a7bcab-5885-40de-a087-3d32392fd6b2","3148"
"110.13.2.Ai","decode multisyllabic words in context and independent of context by applying common letter-sound correspondences including single letters (consonants and vowels).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.488227","2020-11-13 14:15:12.487882","9466ecd2-2641-4171-9e2d-caff41e37176","3149"
"110.13.2.Aii","decode multisyllabic words in context and independent of context by applying common letter-sound correspondences including consonant blends (e.g., thr, spl).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.489163","2020-11-13 14:15:12.488875","09ee13fe-c533-4ec6-8aef-bdabea95e123","3150"
"110.13.2.Bii","use common syllabication patterns to decode words including open syllable (CV) (e.g., ti-ger).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.500568","2020-11-13 14:15:12.500337","88fb806f-ca2d-4221-a024-8dd40b796e11","3154"
"110.13.2.Biii","use common syllabication patterns to decode words including final stable syllable (e.g., sta-tion, tum-ble).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.500848","2020-11-13 14:15:12.500606","9a1472d1-0cd8-49cf-a20b-071a44ced31c","3156"
"110.13.2.Bv","use common syllabication patterns to decode words including r-controlled vowels (e.g., per-fect, cor-ner).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.510634","2020-11-13 14:15:12.510357","8242edb2-3984-40fb-9494-72faa68ef49e","3157"
"110.13.2.C","decode words by applying knowledge of common spelling patterns (e.g., -ight, -ant).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.512314","2020-11-13 14:15:12.512028","9177682f-3839-4b88-883d-866c0593ea0b","3160"
"110.13.2.G","identify and read at least 300 high-frequency words from a commonly used list.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.522340","2020-11-13 14:15:12.522120","743d45cd-8868-46fb-872a-cc01d4edb6c2","3164"
"110.13.21","Oral and Written Conventions/Conventions. Students understand the function of and use the conventions of academic language when speaking and writing. Students continue to apply earlier standards with greater complexity.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.532730","2020-11-13 14:15:12.532498","d4f0ff94-674f-49d7-baa1-44454527b45c","3168"
"110.13.21.Ai","understand and use the following parts of speech in the context of reading, writing, and speaking verbs (past, present, and future).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.542889","2020-11-13 14:15:12.542400","59e759ff-d91d-42b6-9f9b-991b54a3f06f","3170"
"110.13.21.Avii","understand and use the following parts of speech in the context of reading, writing, and speaking time-order transition words.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.555114","2020-11-13 14:15:12.554708","6e6fa8f3-d985-4638-b8d0-e2d52069d5f1","3176"
"110.13.21.C","distinguish among declarative and interrogative sentences.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.565889","2020-11-13 14:15:12.565596","a2c8f3d8-05f2-4fb1-a82e-9ec9a244c244","3180"
"110.13.22.Biii","use capitalization for the salutation and closing of a letter.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.576832","2020-11-13 14:15:12.576623","578b3244-ee4e-448c-a93a-62906cafbc1e","3184"
"110.13.22.Cii","recognize and use punctuation marks, including apostrophes and contractions.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.588350","2020-11-13 14:15:12.588145","5a976396-b512-40f4-b4d5-224e85f42e6a","3188"
"110.13.23.B","spell words with common orthographic patterns and rules",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.608438","2020-11-13 14:15:12.608058","72fcaeac-d4a2-47b4-b97e-e41f0d5f26aa","3192"
"110.13.23.D","spell base words with inflectional endings (e.g., -ing and -ed).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.620370","2020-11-13 14:15:12.620113","b6f5f4d0-3b84-45ce-b87d-babf420b83a2","3198"
"110.13.25","Research/Gathering Sources. Students determine, locate, and explore the full range of relevant sources addressing a research question and systematically record the information they gather.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.632643","2020-11-13 14:15:12.632395","d7b5e4bf-ce2b-4d26-9a51-3ed649dd32b4","3203"
"110.13.26","Research/Synthesizing Information. Students clarify research questions and evaluate and synthesize collected information.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.643822","2020-11-13 14:15:12.643543","3bc504c0-d3ce-4602-99c1-ac4e81b49b1c","3207"
"110.13.28","Listening and Speaking/Listening. Students use comprehension skills to listen attentively to others in formal and informal settings. Students continue to apply earlier standards with greater complexity.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.654261","2020-11-13 14:15:12.653974","6d231038-b121-4eb0-91b5-0e1e24ab7b48","3209"
"110.13.29","Listening and Speaking/Speaking. Students speak clearly and to the point, using the conventions of language. Students continue to apply earlier standards with greater complexity.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.667804","2020-11-13 14:15:12.667523","fda16935-071e-496a-a9a3-2e85481914b7","3214"
"110.13.3.B","ask relevant questions, seek clarification, and locate facts and details about stories and other texts and support answers with evidence from text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.679606","2020-11-13 14:15:12.678945","07d387a8-db33-4bf5-86a1-1d3f180c35ba","3219"
"110.13.4.A","read aloud grade-level appropriate text with fluency (rate, accuracy, expression, appropriate phrasing) and comprehension.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.690458","2020-11-13 14:15:12.690224","81fc3521-a6cd-42f3-aca5-db24d020f3d0","3223"
"110.13.5.C","identify and use common words that are opposite (antonyms) or similar (synonyms) in meaning.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.701970","2020-11-13 14:15:12.701693","b6d90b54-fa3f-40b7-b132-88f200bee539","3226"
"110.13.6.A","identify moral lessons as themes in well-known fables, legends, myths, or stories.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.714340","2020-11-13 14:15:12.714035","8a6e9078-7a57-482c-9218-e216614485bd","3229"
"110.13.8","Reading/Comprehension of Literary Text/Drama. Students understand, and make inferences and draw conclusions about the structure and elements of drama provide evidence from text to support their understanding.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.835014","2020-11-13 14:15:12.834613","a7399727-c52a-471c-8a08-080ff24a1651","3233"
"110.14.1.Biv","use common syllabication patterns to decode words including r-controlled vowels (e.g., fer-ment, car-pool).",,,"English Language Arts and Reading, Grade 3, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.902923","2020-11-13 14:15:12.902673","5c921bfe-2689-404f-b1fc-37b0933aeca4","3256"
"110.14.13.D","use text features (e.g., bold print, captions, key words, italics) to locate information and make and verify predictions about contents of text.",,,"English Language Arts and Reading, Grade 3, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.943661","2020-11-13 14:15:12.942768","ed74ba9c-e293-485b-90e0-41f4135dd58c","3271"
"110.14.14.A","identify what the author is trying to persuade the reader to think or do.",,,"English Language Arts and Reading, Grade 3, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.958537","2020-11-13 14:15:12.956768","cc8cb4ea-f574-4b0a-a859-e613694d73ee","3276"
"110.14.20.A","create brief compositions that",,,"English Language Arts and Reading, Grade 3, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:13.031726","2020-11-13 14:15:13.031452","1edfd5bd-19cc-4507-82b2-14d443f28664","3296"
"110.14.22.A","use and understand the function of the following parts of speech in the context of reading, writing, and speaking",,,"English Language Arts and Reading, Grade 3, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:13.062599","2020-11-13 14:15:13.062371","194832e8-4b37-4d0a-b0ad-7604c02269ac","3306"
"110.42.10.C","compare reviews of literature, film, and performance with his/her own responses.",,,"English I",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:17.907686","2020-11-13 14:15:17.907452","974059a1-fc3f-4d48-9b0b-7cca353c2c18","4621"
"110.13.2.F","identify and read contractions (e.g., haven't, it's).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.521921","2020-11-13 14:15:12.521627","14cecec3-dcc7-4510-8320-99986977411d","3162"
"110.13.2.H","monitor accuracy of decoding.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.531735","2020-11-13 14:15:12.531443","28bb82b5-c212-40c9-8aee-401a998ea8b2","3166"
"110.13.21.A","understand and use the following parts of speech in the context of reading, writing, and speaking",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.541971","2020-11-13 14:15:12.541676","f1c361fb-8291-4de2-88a3-54d514ab38ed","3169"
"110.13.21.Av","understand and use the following parts of speech in the context of reading, writing, and speaking prepositions and prepositional phrases.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.553427","2020-11-13 14:15:12.553127","dc770849-9c9c-46d8-ab67-7f95cebbc2cb","3174"
