assessmentidentifier,identificationcode,namespace,maxrawscore,percentofassessment,nomenclature,description,parentidentificationcode,academicsubjectdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","5.00000","0.1000",,,,"37","NULL","2020-11-13 14:16:18.864581","2020-11-13 14:16:18.862639","252a91cb-5582-4229-b249-690478397e81","13591"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","7.00000","0.1591",,,,"37","NULL","2020-11-13 14:16:18.905470","2020-11-13 14:16:18.903322","c6a748bb-4d61-405d-a02c-eea1abc00c13","13597"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","13.00000","0.3095",,,,"35","NULL","2020-11-13 14:16:18.938983","2020-11-13 14:16:18.938217","900d6f34-3480-408d-8665-b17ba6b3ee03","13604"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","3.00000","0.1176",,,,"37","NULL","2020-11-13 14:16:18.736910","2020-11-13 14:16:18.725564","262aec74-0715-4b35-8035-8b227d9f5060","13579"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","4.00000","0.1569",,,,"37","NULL","2020-11-13 14:16:18.759448","2020-11-13 14:16:18.758906","f64a3a88-6e9b-4bdb-a50c-ef1383988954","13581"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","3.00000","0.1176",,,,"37","NULL","2020-11-13 14:16:18.777063","2020-11-13 14:16:18.776487","3dddc337-53a0-47ac-98cf-fe70d866ca94","13586"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","10.00000","0.2000",,,,"37","NULL","2020-11-13 14:16:18.851639","2020-11-13 14:16:18.848647","9710b2d2-b14c-4e39-b3df-cd94fdf4b5ab","13589"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","7.00000","0.1591",,,,"37","NULL","2020-11-13 14:16:18.902450","2020-11-13 14:16:18.900584","b1479ea7-ed55-499e-9365-1e49a03904ff","13596"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","12.00000","0.2500",,,,"35","NULL","2020-11-13 14:16:18.925900","2020-11-13 14:16:18.925040","075d0e3e-0663-4a99-b93d-fd0809990773","13600"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","16.00000","0.3333",,,,"35","NULL","2020-11-13 14:16:18.936510","2020-11-13 14:16:18.935626","53ed64fb-3e1c-48ce-94ac-c59e5bd2ca9a","13603"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","13.00000","0.3095",,,,"35","NULL","2020-11-13 14:16:18.950968","2020-11-13 14:16:18.950188","ee345ac2-4596-4bfe-b8b0-136887fb0096","13607"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","1.50000","0.0588",,,,"37","NULL","2020-11-13 14:16:18.736989","2020-11-13 14:16:18.725552","4ee7fbc7-2e2a-4c28-a144-658e3bc66404","13577"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","2.00000","0.0784",,,,"37","NULL","2020-11-13 14:16:18.759267","2020-11-13 14:16:18.758731","b551b1b0-4886-4fbe-8bac-53e5d193a544","13580"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","1.00000","0.0392",,,,"37","NULL","2020-11-13 14:16:18.766180","2020-11-13 14:16:18.765828","84b67375-1016-412e-b2ed-d39bfd9bfe28","13583"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","1.00000","0.0392",,,,"37","NULL","2020-11-13 14:16:18.775918","2020-11-13 14:16:18.775351","44ff6722-e0bb-46c9-831e-af0e7a93deda","13584"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","1.00000","0.0392",,,,"37","NULL","2020-11-13 14:16:18.804627","2020-11-13 14:16:18.786588","6cfbc6c0-45cd-48d6-9ba8-b866cb33fd07","13587"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","10.00000","0.2000",,,,"37","NULL","2020-11-13 14:16:18.851788","2020-11-13 14:16:18.848653","3c817e51-efa9-476b-b784-a92941a4d6a9","13590"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","8.00000","0.1600",,,,"37","NULL","2020-11-13 14:16:18.877042","2020-11-13 14:16:18.871701","76e1e431-cae2-46c1-beb6-0ad8b601ee69","13592"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","11.00000","0.2500",,,,"37","NULL","2020-11-13 14:16:18.896382","2020-11-13 14:16:18.891463","3ab4e0d8-1d48-453e-bdcc-c27663edacb3","13594"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","5.00000","0.1136",,,,"37","NULL","2020-11-13 14:16:18.921086","2020-11-13 14:16:18.920060","ee059e67-a409-49c5-827d-93a58f37a07f","13598"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","10.00000","0.2083",,,,"35","NULL","2020-11-13 14:16:18.927691","2020-11-13 14:16:18.926514","7c8983e9-f2ce-4dec-9351-334c7ce254b0","13601"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","8.00000","0.1905",,,,"35","NULL","2020-11-13 14:16:18.943279","2020-11-13 14:16:18.941993","598c49a0-962e-466c-b17e-d0e86b73b73d","13605"
