begindate,dateassigned,gradebookentrytitle,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,studentusi,datefulfilled,lettergradeearned,numericgradeearned,competencyleveldescriptorid,diagnosticstatement,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"79.00",,,"NULL","2020-11-13 14:21:12.543663","2020-11-13 14:21:12.543467","a1cf22b7-4ca3-4d13-8d0d-b0eda8238617","88109"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"79.00",,,"NULL","2020-11-13 14:21:12.548081","2020-11-13 14:21:12.548013","9882c28e-4bd8-460a-bab9-fe1b6a95ea5f","88110"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"79.00",,,"NULL","2020-11-13 14:21:12.548938","2020-11-13 14:21:12.548850","2507a4b2-721a-4ca3-91ab-0ba0c21b7d7f","88111"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"61.00",,,"NULL","2020-11-13 14:21:12.553245","2020-11-13 14:21:12.553046","f6889bd4-b7e2-4484-972f-baebb9be01c6","88112"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"69.00",,,"NULL","2020-11-13 14:21:12.555576","2020-11-13 14:21:12.555491","167e8eaf-9425-4488-ba76-c412f65b747d","88113"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"61.00",,,"NULL","2020-11-13 14:21:12.557352","2020-11-13 14:21:12.557190","f393366a-f56c-41cd-b0cb-86046006a191","88114"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"74.00",,,"NULL","2020-11-13 14:21:12.563286","2020-11-13 14:21:12.563216","5f3ccc17-24d8-4f8b-b5f8-fd385c61263f","88115"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"58.00",,,"NULL","2020-11-13 14:21:12.563276","2020-11-13 14:21:12.563200","fb017e48-5227-42f7-98ae-03907f05f409","88116"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"71.00",,,"NULL","2020-11-13 14:21:12.564997","2020-11-13 14:21:12.564929","fe813917-a860-4c65-a4c2-26fabe2b7cee","88117"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"82.00",,,"NULL","2020-11-13 14:21:12.572709","2020-11-13 14:21:12.572633","3ec5ea45-e689-46c4-9da9-0b1175d78108","88119"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"96.00",,,"NULL","2020-11-13 14:21:12.572674","2020-11-13 14:21:12.572572","2b8fa6b1-d47c-445e-a4a9-266d23a27328","88118"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"66.00",,,"NULL","2020-11-13 14:21:12.572925","2020-11-13 14:21:12.572824","1dfd04f7-0bf7-4037-873b-c9b6e25c8604","88120"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"91.00",,,"NULL","2020-11-13 14:21:12.574236","2020-11-13 14:21:12.574104","71b586fe-544b-4266-ba69-9778274d0010","88121"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"99.00",,,"NULL","2020-11-13 14:21:12.581715","2020-11-13 14:21:12.581587","d68ccba7-6e96-4a56-91a0-92de345c6ee5","88122"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"74.00",,,"NULL","2020-11-13 14:21:12.582817","2020-11-13 14:21:12.582755","683d51c3-64ae-48ff-a3f1-e30e6a0799c1","88123"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"93.00",,,"NULL","2020-11-13 14:21:12.583493","2020-11-13 14:21:12.583447","96ead3bb-554a-4d11-914a-5024cd951382","88124"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"92.00",,,"NULL","2020-11-13 14:21:12.583441","2020-11-13 14:21:12.583388","ac045dec-1d18-444e-87ac-a05888f8f5c0","88125"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"85.00",,,"NULL","2020-11-13 14:21:12.590106","2020-11-13 14:21:12.590033","e8a46ac3-c348-4e55-b7de-54ef6a539d19","88126"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"87.00",,,"NULL","2020-11-13 14:21:12.591402","2020-11-13 14:21:12.591204","d96f5b4d-542f-4793-a821-ae1a1beee253","88127"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,,"81.00",,,"NULL","2020-11-13 14:21:12.592353","2020-11-13 14:21:12.592297","09b92dde-5f68-4bcf-b879-43b848953c6a","88128"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"87.00",,,"NULL","2020-11-13 14:21:12.593378","2020-11-13 14:21:12.593314","8170edfb-fc39-47e3-ac44-24698f25077a","88129"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"89.00",,,"NULL","2020-11-13 14:21:12.601134","2020-11-13 14:21:12.600912","d79feb2d-78d6-42f3-8f19-846d9e7bfc15","88130"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"91.00",,,"NULL","2020-11-13 14:21:12.600977","2020-11-13 14:21:12.600813","e64b4121-9836-4349-90a3-a2d7188ae705","88131"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"97.00",,,"NULL","2020-11-13 14:21:12.601732","2020-11-13 14:21:12.601651","11eb4ca4-9a0e-49c4-91ec-403e85e58c90","88132"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"100.00",,,"NULL","2020-11-13 14:21:12.603279","2020-11-13 14:21:12.603202","0d0e1a32-393f-48d9-8776-bbe0ededa787","88133"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"88.00",,,"NULL","2020-11-13 14:21:12.610188","2020-11-13 14:21:12.610066","a2a135c0-89d9-481b-84d4-ba861e7d225d","88134"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"88.00",,,"NULL","2020-11-13 14:21:12.611409","2020-11-13 14:21:12.611302","7ea049f9-5837-4a24-8c78-5ebf2f11ed58","88135"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"93.00",,,"NULL","2020-11-13 14:21:12.612176","2020-11-13 14:21:12.612131","441d7838-32aa-4082-87c6-b640c443ae90","88136"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"91.00",,,"NULL","2020-11-13 14:21:12.612928","2020-11-13 14:21:12.612871","fbfd176b-20ee-4604-91db-26e5cb73e267","88137"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,,"96.00",,,"NULL","2020-11-13 14:21:12.619551","2020-11-13 14:21:12.619393","257cb1cd-9375-4663-a63d-4f60e32fa5e6","88138"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"30.00",,,"NULL","2020-11-13 14:21:12.620146","2020-11-13 14:21:12.620082","6bf6e816-74a7-4d1d-bff5-1c9d6c143f4a","88139"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"52.00",,,"NULL","2020-11-13 14:21:12.621692","2020-11-13 14:21:12.621639","f01a78b6-92b8-4666-801b-28cf61eb51cc","88140"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"28.00",,,"NULL","2020-11-13 14:21:12.621817","2020-11-13 14:21:12.621765","f12960bf-2607-4ac3-afd3-a1d93205801a","88141"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"50.00",,,"NULL","2020-11-13 14:21:12.629180","2020-11-13 14:21:12.629066","91759361-6983-4ffe-9dbe-1d18adc808c6","88142"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"44.00",,,"NULL","2020-11-13 14:21:12.630340","2020-11-13 14:21:12.630265","2a714bbe-aa4b-4e3c-a4e2-b1e7d463cea6","88143"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"56.00",,,"NULL","2020-11-13 14:21:12.631437","2020-11-13 14:21:12.631376","9a7b74fa-f56b-46f1-b456-cd78e68b9e9f","88144"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"66.00",,,"NULL","2020-11-13 14:21:12.640572","2020-11-13 14:21:12.640496","38d235a6-ad44-4aba-9dfd-6af038940b9f","88148"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","61",,,"98.00",,,"NULL","2020-11-13 14:21:12.653559","2020-11-13 14:21:12.653453","155de7aa-0c9c-40d0-8767-6377125bb3d1","88152"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","61",,,"102.00",,,"NULL","2020-11-13 14:21:12.662993","2020-11-13 14:21:12.662932","988766f4-e0a9-4489-bb44-c4b805c79656","88156"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","85",,,"86.00",,,"NULL","2020-11-13 14:21:12.672473","2020-11-13 14:21:12.672416","ab455eff-bede-4a7a-97f4-7a0c9e7ca73b","88160"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","85",,,"88.00",,,"NULL","2020-11-13 14:21:12.683976","2020-11-13 14:21:12.683809","414df1a9-b146-488d-916c-4068138810b6","88163"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","98",,,"33.00",,,"NULL","2020-11-13 14:21:12.693600","2020-11-13 14:21:12.693501","03de0e08-067e-453c-92ee-96cf4f223730","88168"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","98",,,"29.00",,,"NULL","2020-11-13 14:21:12.710803","2020-11-13 14:21:12.710728","3b004fa5-bfac-4bcc-b015-c6e2403af6a7","88176"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","107",,,"75.00",,,"NULL","2020-11-13 14:21:12.728565","2020-11-13 14:21:12.728446","ec43226e-2a6d-4f6e-8ff1-cc8d9bf770ab","88183"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","107",,,"73.00",,,"NULL","2020-11-13 14:21:12.737099","2020-11-13 14:21:12.736919","fac66bd3-5d90-4f7f-9c00-3bce40e5af64","88187"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","118",,,"78.00",,,"NULL","2020-11-13 14:21:12.744006","2020-11-13 14:21:12.743948","bd12fe2b-41b2-46c9-9b1a-ad780af57632","88189"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","118",,,"97.00",,,"NULL","2020-11-13 14:21:12.753241","2020-11-13 14:21:12.753163","bc91f9c4-2af8-43be-be5f-1df11d1a2510","88193"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","118",,,"91.00",,,"NULL","2020-11-13 14:21:12.761114","2020-11-13 14:21:12.760995","ca5ff072-3fe2-4f4b-bd95-b548b4dc8fa1","88197"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","120",,,"85.00",,,"NULL","2020-11-13 14:21:12.777281","2020-11-13 14:21:12.777209","a694f98d-a284-4e37-9f4d-15395252d470","88205"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","120",,,"74.00",,,"NULL","2020-11-13 14:21:12.786668","2020-11-13 14:21:12.786602","971a496a-31a8-440b-b7ea-3a6eed785b83","88209"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","136",,,"87.00",,,"NULL","2020-11-13 14:21:12.792816","2020-11-13 14:21:12.792762","dafa783a-a172-4a39-b328-4486229c521e","88211"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","136",,,"77.00",,,"NULL","2020-11-13 14:21:12.801194","2020-11-13 14:21:12.801143","b119969a-451d-40f8-88b2-a27fd00f354e","88216"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","136",,,"87.00",,,"NULL","2020-11-13 14:21:12.807453","2020-11-13 14:21:12.807393","677657dd-a455-4fa1-badc-233a0a913267","88218"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","149",,,"69.00",,,"NULL","2020-11-13 14:21:12.823697","2020-11-13 14:21:12.823622","6af2e481-9420-4709-8b80-7d3c06b308c3","88227"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","154",,,"100.00",,,"NULL","2020-11-13 14:21:12.829639","2020-11-13 14:21:12.829570","22c3c57f-a65a-442b-aa9b-03b93e7e44a0","88230"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","154",,,"89.00",,,"NULL","2020-11-13 14:21:12.837053","2020-11-13 14:21:12.836992","76b59d32-6f07-4e2f-a30f-e48065aa6251","88234"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","154",,,"90.00",,,"NULL","2020-11-13 14:21:12.844179","2020-11-13 14:21:12.844122","78f55156-03c6-44e4-9bbb-1de5708b2010","88238"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","195",,,"96.00",,,"NULL","2020-11-13 14:21:12.852240","2020-11-13 14:21:12.852142","807db8e9-94ef-4732-9b69-bb4ca1088d8c","88239"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","195",,,"90.00",,,"NULL","2020-11-13 14:21:12.860971","2020-11-13 14:21:12.860809","b24a547f-77db-46ab-84d3-383bd94de80a","88245"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","195",,,"97.00",,,"NULL","2020-11-13 14:21:12.866605","2020-11-13 14:21:12.866538","b7c616da-f537-4868-b909-52b217f63e60","88247"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","211",,,"80.00",,,"NULL","2020-11-13 14:21:12.883216","2020-11-13 14:21:12.883153","bb3c00a0-5a33-4075-b3dc-54218c6bc79e","88257"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","222",,,"73.00",,,"NULL","2020-11-13 14:21:12.890538","2020-11-13 14:21:12.890484","7d6b9f0b-cebf-4871-83e7-490cf9be3230","88261"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","222",,,"76.00",,,"NULL","2020-11-13 14:21:12.893139","2020-11-13 14:21:12.893052","f4e89577-84c9-47db-b090-2397880f8453","88262"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","222",,,"74.00",,,"NULL","2020-11-13 14:21:12.901780","2020-11-13 14:21:12.901716","5edb567a-1d96-4fae-a4a6-a0019ba699b9","88267"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","223",,,"71.00",,,"NULL","2020-11-13 14:21:12.911786","2020-11-13 14:21:12.911752","235a5728-b40b-4e7c-8453-6ef71dd3c4a1","88272"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","223",,,"60.00",,,"NULL","2020-11-13 14:21:12.917642","2020-11-13 14:21:12.917553","e661e712-e7ff-4007-bf42-6a57b0e95bbf","88274"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","223",,,"68.00",,,"NULL","2020-11-13 14:21:12.920705","2020-11-13 14:21:12.920658","b1949fda-3396-47e0-8642-6cf660b959ce","88277"
"2010-08-23","2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","223",,,"82.00",,,"NULL","2020-11-13 14:21:12.925180","2020-11-13 14:21:12.925114","d66ff48d-6027-4ad3-a07a-ab92ab914395","88278"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","227",,,"71.00",,,"NULL","2020-11-13 14:21:12.928154","2020-11-13 14:21:12.928057","35e8426e-a6cc-42bc-9658-055b459e36d1","88281"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","227",,,"86.00",,,"NULL","2020-11-13 14:21:12.933038","2020-11-13 14:21:12.932919","6aa020e2-6520-4dd3-bd17-37a961edc5e6","88282"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","227",,,"78.00",,,"NULL","2020-11-13 14:21:12.943806","2020-11-13 14:21:12.943629","fcc12557-7cee-48c9-b6b1-78bceb3bf06c","88286"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","268",,,"73.00",,,"NULL","2020-11-13 14:21:12.958916","2020-11-13 14:21:12.958831","b2b2a672-c5b7-4c79-ad3e-3d0a97b190f3","88295"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","304",,,"65.00",,,"NULL","2020-11-13 14:21:12.980513","2020-11-13 14:21:12.980447","2810f094-ea36-49c3-8c8b-c6de91667a6d","88307"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","309",,,"72.00",,,"NULL","2020-11-13 14:21:12.986946","2020-11-13 14:21:12.986885","c266c944-1e28-47f6-9220-dea024798d9b","88310"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","309",,,"83.00",,,"NULL","2020-11-13 14:21:12.992306","2020-11-13 14:21:12.992203","106df319-19cf-4b42-b8a8-668fa62b8a01","88312"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","309",,,"76.00",,,"NULL","2020-11-13 14:21:13.000769","2020-11-13 14:21:13.000678","1d054794-bf47-4e2f-bf89-8ab4a18ece72","88317"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","314",,,"50.00",,,"NULL","2020-11-13 14:21:13.017296","2020-11-13 14:21:13.017216","5c5d8932-9a81-42ed-a45a-7f908916320c","88326"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","315",,,"99.00",,,"NULL","2020-11-13 14:21:13.026321","2020-11-13 14:21:13.026176","25cdfe3b-4f89-4649-b51d-0f01e44445e2","88329"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","315",,,"95.00",,,"NULL","2020-11-13 14:21:13.037406","2020-11-13 14:21:13.037342","531d2d54-316a-427d-9501-2eb9c2ef5a3d","88335"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","315",,,"100.00",,,"NULL","2020-11-13 14:21:13.044609","2020-11-13 14:21:13.044560","e4665c07-26c9-45d0-820d-b71c88607275","88338"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,,"57.00",,,"NULL","2020-11-13 14:21:12.631893","2020-11-13 14:21:12.631825","6d5ec219-44f7-4479-8ad5-1d72dc6a98bc","88145"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","61",,,"99.00",,,"NULL","2020-11-13 14:21:12.655781","2020-11-13 14:21:12.655711","651f834e-c015-4f4c-8a1a-a57e9db9f895","88153"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","98",,,"27.00",,,"NULL","2020-11-13 14:21:12.702470","2020-11-13 14:21:12.702413","cf1ee63a-4a0c-4a75-9b39-f5ecac97d4ef","88172"
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","107",,,"68.00",,,"NULL","2020-11-13 14:21:12.720504","2020-11-13 14:21:12.720440","070c4513-83ee-4d9e-8f97-ca24dbeb77b8","88180"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","120",,,"81.00",,,"NULL","2020-11-13 14:21:12.769459","2020-11-13 14:21:12.769396","5601a7e5-05d2-4c8d-9f61-46cfc7ad868a","88201"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","136",,,"81.00",,,"NULL","2020-11-13 14:21:12.795353","2020-11-13 14:21:12.795225","b65654fa-8c86-4faa-b080-bd77bf0cd727","88213"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","149",,,"53.00",,,"NULL","2020-11-13 14:21:12.814722","2020-11-13 14:21:12.814684","2414ef91-653f-4e9e-a2e3-954c8b8b7d02","88222"
