begindate,educationorganizationid,staffclassificationdescriptorid,staffusi,positiontitle,enddate,orderofassignment,employmenteducationorganizationid,employmentstatusdescriptorid,employmenthiredate,credentialidentifier,stateofissuestateabbreviationdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-02-08","255901107","2122","21","3rd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.709186","2020-11-13 14:16:07.709133","7a2f884d-dabb-4e16-a26b-fc5cb35d32c8","11910"
"1981-12-30","255901107","2122","22","3rd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.709524","2020-11-13 14:16:07.709484","6e4fec28-e2fe-464a-bc4d-f1b75080ce37","11911"
"2008-01-06","255901107","2122","25","4th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.715713","2020-11-13 14:16:07.715597","f9fcd0f7-34b4-4013-a431-8648b4f249c4","11912"
"2003-12-15","255901107","2122","28","4th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.716710","2020-11-13 14:16:07.716633","271c92ae-85f4-4c27-bc11-593a223f6ffa","11913"
"2009-01-30","255901107","2122","27","4th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.717712","2020-11-13 14:16:07.717651","ae7984f8-fe72-4654-ab98-f207a5581036","11914"
"2009-09-28","255901107","2122","26","4th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.717858","2020-11-13 14:16:07.717805","4aa5814f-0185-4bd3-875d-35b1379e211a","11915"
"1997-12-22","255901107","2122","29","5th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.723538","2020-11-13 14:16:07.723463","dc15a19f-e650-4a36-b61e-27dbc0ab7c7b","11916"
"2007-11-12","255901107","2122","30","5th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.724084","2020-11-13 14:16:07.723992","4d9e5317-d658-4c07-a0ec-932602f6750e","11917"
"1994-11-06","255901107","2122","32","5th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.725405","2020-11-13 14:16:07.725341","f58414bb-13e9-4481-9422-c4df30bebd59","11918"
"1999-06-09","255901107","2122","31","5th Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.726784","2020-11-13 14:16:07.726725","b0e5a5c9-8fbb-4e8f-95df-b2b34548f3db","11919"
"2010-12-14","255901107","2122","34","Elementary Art teacher",,,,,,,,"NULL","2020-11-13 14:16:07.732155","2020-11-13 14:16:07.732086","b99e321f-a297-4218-85d8-77226a1273e6","11920"
"2009-12-28","255901107","2122","33","Elementary Art teacher",,,,,,,,"NULL","2020-11-13 14:16:07.732154","2020-11-13 14:16:07.732092","74b52dea-8745-4e1b-836b-ead8da6a9f08","11921"
"2008-07-30","255901107","2122","35","Elementary Art teacher",,,,,,,,"NULL","2020-11-13 14:16:07.732412","2020-11-13 14:16:07.732347","3c222682-f015-4777-9eae-397cd63f11e5","11922"
"2010-11-12","255901107","2122","36","Elementary Music teacher",,,,,,,,"NULL","2020-11-13 14:16:07.735267","2020-11-13 14:16:07.735214","7988e4e7-23ca-4b91-9463-0b3f8755bb63","11923"
"2012-07-11","255901107","2122","40","Elementary Music teacher",,,,,,,,"NULL","2020-11-13 14:16:07.740142","2020-11-13 14:16:07.740047","e391138d-d8de-44e7-999b-56a66555de94","11924"
"2010-08-27","255901107","2122","37","Elementary Physical Education teacher",,,,,,,,"NULL","2020-11-13 14:16:07.741531","2020-11-13 14:16:07.741483","ef1244aa-4aea-4a72-9152-78bd6e779c04","11925"
"1991-03-28","255901107","2122","38","Elementary Music teacher",,,,,,,,"NULL","2020-11-13 14:16:07.741910","2020-11-13 14:16:07.741853","6cd80153-fff3-4608-bc6d-c4a0f3b3f85d","11926"
"2010-09-02","255901107","2120","42","Elementary School Principal",,,,,,,,"NULL","2020-11-13 14:16:07.742915","2020-11-13 14:16:07.742782","714b64ed-3aa1-4c6f-a32f-4df7e9db6915","11927"
"2005-03-18","255901","2135","6","LEA System Administrator",,,,,,,,"NULL","2020-11-13 14:16:07.747434","2020-11-13 14:16:07.747371","c2ab8391-4daa-4a6e-af8e-3012be3eec45","11928"
"2005-01-25","255901","2135","4","LEA System Administrator",,,,,,,,"NULL","2020-11-13 14:16:07.748105","2020-11-13 14:16:07.747997","5e2e4b85-17bd-4724-8d96-fa2a9c17121e","11929"
"2009-09-01","255901107","2119","7","Elementary School Administrator",,,,,,,,"NULL","2020-11-13 14:16:07.750726","2020-11-13 14:16:07.750667","a73daa20-99ed-463f-902f-e618ba133dd4","11930"
"2007-12-29","255901107","2129","2","Elementary School Clerk",,,,,,,,"NULL","2020-11-13 14:16:07.751376","2020-11-13 14:16:07.751315","78a36f28-3e45-4bd2-a5f8-40772d7ef972","11931"
"2018-09-28","255901044","2122","39","Middle School ELA teacher",,,,,,,,"NULL","2020-11-13 14:16:07.755554","2020-11-13 14:16:07.755470","9c170492-a3ba-4eb5-a68f-ca238efa905b","11932"
"2008-08-24","255901044","2122","43","Middle School ELA teacher",,,,,,,,"NULL","2020-11-13 14:16:07.756000","2020-11-13 14:16:07.755923","a8f64a1b-4b88-4635-a190-60063942086b","11933"
"2008-01-28","255901044","2122","41","Middle School Math teacher",,,,,,,,"NULL","2020-11-13 14:16:07.758178","2020-11-13 14:16:07.758091","201bea5d-c2bf-4e64-9110-4bb3fe1a5622","11934"
"2000-03-12","255901044","2122","44","Middle School Math teacher",,,,,,,,"NULL","2020-11-13 14:16:07.760148","2020-11-13 14:16:07.760050","96162019-cdcb-4f19-9e62-4370ddff7e47","11935"
"2008-04-13","255901044","2122","49","Middle School Science teacher",,,,,,,,"NULL","2020-11-13 14:16:07.762989","2020-11-13 14:16:07.762883","779a213b-c91c-41fe-8937-f269582e01b3","11936"
"2008-03-06","255901044","2122","45","Middle School Science teacher",,,,,,,,"NULL","2020-11-13 14:16:07.763902","2020-11-13 14:16:07.763514","3ed897d9-8551-44dd-86c5-7271f703634d","11937"
"2011-09-16","255901044","2122","47","Middle School Social Studies teacher",,,,,,,,"NULL","2020-11-13 14:16:07.765010","2020-11-13 14:16:07.764941","bff8622e-3fcb-4290-be4b-5e950337e333","11938"
"2008-11-21","255901044","2122","46","Middle School Social Studies teacher",,,,,,,,"NULL","2020-11-13 14:16:07.768099","2020-11-13 14:16:07.767994","40529044-85d6-4e15-9a2b-d69ee56ff4c5","11939"
"2007-05-26","255901044","2122","48","Middle School Music teacher",,,,,,,,"NULL","2020-11-13 14:16:07.770486","2020-11-13 14:16:07.770421","b08d2142-1b02-4cfe-87ae-66af240001a9","11940"
"2002-09-05","255901044","2122","50","Middle School Health teacher",,,,,,,,"NULL","2020-11-13 14:16:07.771663","2020-11-13 14:16:07.771567","e2d23ae9-d669-4bcb-86d0-51ecd4865993","11941"
"2005-07-09","255901044","2122","51","Middle School Art teacher",,,,,,,,"NULL","2020-11-13 14:16:07.772653","2020-11-13 14:16:07.772594","b9ae6b8f-8d45-4f8b-ad24-6245843c5ee3","11942"
"2007-12-18","255901044","2122","52","Middle School Physical Education teacher",,,,,,,,"NULL","2020-11-13 14:16:07.775995","2020-11-13 14:16:07.775880","bfb1baf4-14b3-40c0-b148-1439d6cb3b61","11943"
"2007-01-28","255901044","2122","54","Middle School Physical Education teacher",,,,,,,,"NULL","2020-11-13 14:16:07.778317","2020-11-13 14:16:07.778268","884e349e-5234-427d-a262-f8757318cfa2","11944"
"1992-08-01","255901044","2119","5","Middle School School Administrator",,,,,,,,"NULL","2020-11-13 14:16:07.779221","2020-11-13 14:16:07.779065","81c02f4b-0d62-49d8-9a4c-1ef073954c0d","11945"
"2006-06-17","255901044","2120","3","Middle School Principal",,,,,,,,"NULL","2020-11-13 14:16:07.779913","2020-11-13 14:16:07.779852","690be543-bb42-4948-999d-d8e3d3a45b99","11946"
"2008-04-17","255901044","2129","1","Middle School Clerk",,,,,,,,"NULL","2020-11-13 14:16:07.783997","2020-11-13 14:16:07.783805","c46134ed-29bb-487d-bb41-07c7106a297a","11947"
"2006-12-14","255901001","2119","8","High School School Administrator",,,,,,,,"NULL","2020-11-13 14:16:07.786478","2020-11-13 14:16:07.786422","e45bb93d-2521-454e-b09c-e532f3af7219","11948"
"1984-11-14","255901001","2120","12","High School Principal",,,,,,,,"NULL","2020-11-13 14:16:07.786627","2020-11-13 14:16:07.786525","b30e233c-1364-427e-ba62-2db0e8a7f64e","11949"
"2007-04-28","255901001","2122","56","High School ELA teacher",,,,,,,,"NULL","2020-11-13 14:16:07.787494","2020-11-13 14:16:07.787409","56aac95e-aaec-4cbc-9018-8550c3e15250","11950"
"2008-08-23","255901001","2122","53","High School ELA teacher",,,,,,,,"NULL","2020-11-13 14:16:07.791778","2020-11-13 14:16:07.791692","6c1365b9-edd6-412c-b4e8-b3c3b82ab48a","11951"
"2007-01-26","255901001","2122","55","High School Math teacher",,,,,,,,"NULL","2020-11-13 14:16:07.793578","2020-11-13 14:16:07.793522","4034c607-7368-4455-b4af-41f237c4ba19","11952"
"1997-01-20","255901001","2122","57","High School Science teacher",,,,,,,,"NULL","2020-11-13 14:16:07.797436","2020-11-13 14:16:07.797326","c88dfcf5-e7d4-4da4-86be-fcb61376b15b","11953"
"1989-10-03","255901001","2122","58","High School Math teacher",,,,,,,,"NULL","2020-11-13 14:16:07.797577","2020-11-13 14:16:07.797377","3379a029-cbb8-494d-afe7-76a9491fa90b","11954"
"2008-05-14","255901001","2122","60","High School Science teacher",,,,,,,,"NULL","2020-11-13 14:16:07.799547","2020-11-13 14:16:07.799483","821b85cc-ca83-4eef-bb9d-6fbffa9ea7bc","11955"
"2007-09-11","255901001","2122","59","High School Social Studies teacher",,,,,,,,"NULL","2020-11-13 14:16:07.801187","2020-11-13 14:16:07.801129","b04c25cc-00d4-45a7-9124-7eb8cae6544e","11956"
"2008-09-28","255901001","2122","63","High School Social Studies teacher",,,,,,,,"NULL","2020-11-13 14:16:07.804715","2020-11-13 14:16:07.804644","6882ec89-abb2-4a85-b377-e25d105828b3","11957"
"2000-03-10","255901001","2122","61","High School Health teacher",,,,,,,,"NULL","2020-11-13 14:16:07.806424","2020-11-13 14:16:07.806363","1694035f-e595-4567-8a16-50c778315ca9","11958"
"2006-06-26","255901001","2122","62","High School Humanities/Writing teacher",,,,,,,,"NULL","2020-11-13 14:16:07.807402","2020-11-13 14:16:07.807277","3ca37eb7-faa8-43de-863c-24c96802c57f","11959"
"1999-11-28","255901001","2122","64","High School Electronic Arts teacher",,,,,,,,"NULL","2020-11-13 14:16:07.809209","2020-11-13 14:16:07.809071","351025c4-8944-4b40-bf89-17298139c753","11960"
"1992-02-23","255901001","2122","65","High School Electronic Arts teacher",,,,,,,,"NULL","2020-11-13 14:16:07.812771","2020-11-13 14:16:07.812704","37383ff8-8e46-4858-8430-795efc8da02a","11961"
"2005-10-26","255901001","2122","67","High School Spanish Teacher",,,,,,,,"NULL","2020-11-13 14:16:07.813856","2020-11-13 14:16:07.813782","9584acb6-b60e-4515-82b7-cb40a5089177","11962"
"2007-11-01","255901001","2122","66","High School Spanish Teacher",,,,,,,,"NULL","2020-11-13 14:16:07.815295","2020-11-13 14:16:07.815230","4ba7c3bd-f59b-4e8e-93cb-a1230fd160e1","11963"
"2001-05-06","255901001","2122","68","High School Social Studies - Economics Teacher",,,,,,,,"NULL","2020-11-13 14:16:07.824932","2020-11-13 14:16:07.824822","06355202-f10d-4a43-aae2-ef580cd64869","11964"
"1986-10-17","255901001","2123","11","High School Counselor",,,,,,,,"NULL","2020-11-13 14:16:07.828395","2020-11-13 14:16:07.828252","706b9a4b-1f2f-4ed4-ba80-5d94b71c956b","11965"
"2006-02-18","255901001","2129","9","High School Clerk",,,,,,,,"NULL","2020-11-13 14:16:07.829611","2020-11-13 14:16:07.829547","ba9df60b-d41a-41f5-826e-db57cb63cf7c","11966"
"2004-02-10","255901","2125","10","Superintendent",,,,,,,,"NULL","2020-11-13 14:16:07.829818","2020-11-13 14:16:07.829738","1a8d0e50-ffa1-4b3f-a26c-98657b7f87ad","11967"
