courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,creditcategorydescriptorid,educationorganizationid,schoolyear,studentusi,termdescriptorid,createdate
"608","ENG-4","255901001","676","255901001","2012","224","2330","2020-11-13 14:21:48.770972"
"608","ENG-4","255901001","676","255901001","2012","252","2330","2020-11-13 14:21:48.785684"
"608","ENG-4","255901001","676","255901001","2012","276","2333","2020-11-13 14:21:48.804308"
"608","ENG-4","255901001","676","255901001","2012","302","2330","2020-11-13 14:21:48.821852"
"608","ENG-4","255901001","676","255901001","2012","331","2330","2020-11-13 14:21:48.834565"
"608","ENG-4","255901001","676","255901001","2012","355","2333","2020-11-13 14:21:48.852309"
"608","ENG-4","255901001","676","255901001","2012","357","2333","2020-11-13 14:21:48.862922"
"608","ENG-4","255901001","676","255901001","2012","376","2330","2020-11-13 14:21:48.867216"
"608","ENG-4","255901001","676","255901001","2012","387","2333","2020-11-13 14:21:48.880667"
"608","ENG-4","255901001","676","255901001","2012","392","2330","2020-11-13 14:21:48.884158"
"608","ENG-4","255901001","676","255901001","2012","396","2333","2020-11-13 14:21:48.896993"
"608","ENG-4","255901001","676","255901001","2012","397","2333","2020-11-13 14:21:48.897152"
"609","ENG-4","255901001","676","255901001","2011","618","2330","2020-11-13 14:21:48.914373"
"609","ENG-4","255901001","676","255901001","2011","715","2330","2020-11-13 14:21:48.934261"
"609","ENG-4","255901001","676","255901001","2011","900","2330","2020-11-13 14:21:48.949174"
"609","ENG-4","255901001","676","255901001","2012","363","2330","2020-11-13 14:21:48.965220"
"609","PHYSICS","255901001","677","255901001","2011","542","2333","2020-11-13 14:22:11.435649"
"609","PHYSICS","255901001","677","255901001","2011","680","2333","2020-11-13 14:22:11.448775"
"609","PHYSICS","255901001","677","255901001","2011","792","2333","2020-11-13 14:22:11.464965"
"609","PHYSICS","255901001","677","255901001","2012","18","2333","2020-11-13 14:22:11.481804"
"609","PHYSICS","255901001","677","255901001","2012","155","2330","2020-11-13 14:22:11.494444"
"609","PHYSICS","255901001","677","255901001","2012","224","2330","2020-11-13 14:22:11.511590"
"609","PHYSICS","255901001","677","255901001","2012","331","2330","2020-11-13 14:22:11.511965"
"609","PHYSICS","255901001","677","255901001","2012","357","2330","2020-11-13 14:22:11.525570"
"608","PHYSICS","255901001","677","255901001","2011","413","2330","2020-11-13 14:22:11.528182"
"608","PHYSICS","255901001","677","255901001","2011","427","2333","2020-11-13 14:22:11.541043"
"608","PHYSICS","255901001","677","255901001","2011","467","2330","2020-11-13 14:22:11.549327"
"608","PHYSICS","255901001","677","255901001","2011","486","2330","2020-11-13 14:22:11.560185"
"608","PHYSICS","255901001","677","255901001","2011","564","2333","2020-11-13 14:22:11.600966"
"608","PHYSICS","255901001","677","255901001","2011","578","2333","2020-11-13 14:22:11.618078"
"608","PHYSICS","255901001","677","255901001","2011","612","2330","2020-11-13 14:22:11.642832"
"608","PHYSICS","255901001","677","255901001","2011","618","2333","2020-11-13 14:22:11.654201"
"608","PHYSICS","255901001","677","255901001","2011","630","2333","2020-11-13 14:22:11.670110"
"608","PHYSICS","255901001","677","255901001","2011","689","2330","2020-11-13 14:22:11.706702"
"608","PHYSICS","255901001","677","255901001","2011","703","2330","2020-11-13 14:22:11.729567"
"608","PHYSICS","255901001","677","255901001","2011","698","2333","2020-11-13 14:22:11.729578"
"608","PHYSICS","255901001","677","255901001","2011","707","2333","2020-11-13 14:22:11.744779"
"608","PHYSICS","255901001","677","255901001","2011","709","2330","2020-11-13 14:22:11.745533"
"608","PHYSICS","255901001","677","255901001","2011","715","2333","2020-11-13 14:22:11.757977"
"608","PHYSICS","255901001","677","255901001","2011","748","2330","2020-11-13 14:22:11.759713"
"608","PHYSICS","255901001","677","255901001","2011","770","2333","2020-11-13 14:22:11.775944"
"608","PHYSICS","255901001","677","255901001","2011","802","2333","2020-11-13 14:22:11.793122"
"608","PHYSICS","255901001","677","255901001","2011","864","2330","2020-11-13 14:22:11.809623"
"608","PHYSICS","255901001","677","255901001","2011","864","2333","2020-11-13 14:22:11.817647"
"608","PHYSICS","255901001","677","255901001","2011","874","2333","2020-11-13 14:22:11.824385"
"608","PHYSICS","255901001","677","255901001","2011","901","2330","2020-11-13 14:22:11.837524"
"608","PHYSICS","255901001","677","255901001","2012","30","2330","2020-11-13 14:22:11.855665"
"608","PHYSICS","255901001","677","255901001","2012","30","2333","2020-11-13 14:22:11.865119"
"608","PHYSICS","255901001","677","255901001","2012","42","2330","2020-11-13 14:22:11.869998"
"608","PHYSICS","255901001","677","255901001","2012","47","2330","2020-11-13 14:22:11.883427"
"608","PHYSICS","255901001","677","255901001","2012","47","2333","2020-11-13 14:22:11.886805"
"608","PHYSICS","255901001","677","255901001","2012","78","2330","2020-11-13 14:22:11.900108"
"608","PHYSICS","255901001","677","255901001","2012","78","2333","2020-11-13 14:22:11.900181"
"608","PHYSICS","255901001","677","255901001","2012","164","2330","2020-11-13 14:22:11.916295"
"608","PHYSICS","255901001","677","255901001","2012","179","2333","2020-11-13 14:22:11.929492"
"608","PHYSICS","255901001","677","255901001","2012","206","2333","2020-11-13 14:22:11.942723"
"608","PHYSICS","255901001","677","255901001","2012","226","2330","2020-11-13 14:22:11.957964"
"608","PHYSICS","255901001","677","255901001","2012","275","2330","2020-11-13 14:22:11.968893"
"608","PHYSICS","255901001","677","255901001","2012","276","2330","2020-11-13 14:22:11.974991"
"608","PHYSICS","255901001","677","255901001","2012","301","2330","2020-11-13 14:22:11.989984"
"608","PHYSICS","255901001","677","255901001","2012","343","2330","2020-11-13 14:22:12.013680"
"608","PHYSICS","255901001","677","255901001","2012","363","2333","2020-11-13 14:22:12.029036"
"608","PHYSICS","255901001","677","255901001","2012","384","2333","2020-11-13 14:22:12.044994"
"608","PHYSICS","255901001","677","255901001","2012","392","2330","2020-11-13 14:22:12.057369"
"608","PHYSICS","255901001","677","255901001","2012","397","2333","2020-11-13 14:22:12.302171"
"608","ENG-4","255901001","676","255901001","2011","440","2330","2020-11-13 14:21:47.881496"
"608","ENG-4","255901001","676","255901001","2011","467","2330","2020-11-13 14:21:47.899170"
"608","ENG-4","255901001","676","255901001","2011","515","2330","2020-11-13 14:21:47.915705"
"608","ENG-4","255901001","676","255901001","2011","528","2333","2020-11-13 14:21:47.929735"
"608","ENG-4","255901001","676","255901001","2011","564","2330","2020-11-13 14:21:47.948761"
"608","ENG-4","255901001","676","255901001","2011","574","2330","2020-11-13 14:21:47.963214"
"608","ENG-4","255901001","676","255901001","2011","608","2330","2020-11-13 14:21:47.971976"
"608","ENG-4","255901001","676","255901001","2011","608","2333","2020-11-13 14:21:47.979731"
"608","ENG-4","255901001","676","255901001","2011","612","2333","2020-11-13 14:21:47.994692"
"608","ENG-4","255901001","676","255901001","2011","630","2330","2020-11-13 14:21:48.005899"
"608","ENG-4","255901001","676","255901001","2011","652","2330","2020-11-13 14:21:48.012793"
"608","ENG-4","255901001","676","255901001","2011","650","2333","2020-11-13 14:21:48.027636"
"608","ENG-4","255901001","676","255901001","2011","674","2333","2020-11-13 14:21:48.043194"
"608","ENG-4","255901001","676","255901001","2011","697","2330","2020-11-13 14:21:48.059145"
"608","ENG-4","255901001","676","255901001","2011","698","2330","2020-11-13 14:21:48.071359"
"608","ENG-4","255901001","676","255901001","2011","703","2333","2020-11-13 14:21:48.080202"
"608","ENG-4","255901001","676","255901001","2011","715","2333","2020-11-13 14:21:48.094631"
"608","ENG-4","255901001","676","255901001","2011","756","2330","2020-11-13 14:21:48.107040"
"608","ENG-4","255901001","676","255901001","2011","770","2333","2020-11-13 14:21:48.115764"
"608","ENG-4","255901001","676","255901001","2011","792","2330","2020-11-13 14:21:48.123920"
"608","ENG-4","255901001","676","255901001","2011","802","2330","2020-11-13 14:21:48.138132"
"608","ENG-4","255901001","676","255901001","2011","838","2333","2020-11-13 14:21:48.153110"
"608","ENG-4","255901001","676","255901001","2011","874","2330","2020-11-13 14:21:48.165741"
"608","ENG-4","255901001","676","255901001","2011","886","2333","2020-11-13 14:21:48.171672"
"608","ENG-4","255901001","676","255901001","2011","901","2333","2020-11-13 14:21:48.184330"
"608","ENG-4","255901001","676","255901001","2011","943","2333","2020-11-13 14:21:48.646505"
"608","ENG-4","255901001","676","255901001","2012","38","2333","2020-11-13 14:21:48.666100"
"608","ENG-4","255901001","676","255901001","2012","42","2333","2020-11-13 14:21:48.680843"
"608","ENG-4","255901001","676","255901001","2012","78","2333","2020-11-13 14:21:48.699870"
"608","ENG-4","255901001","676","255901001","2012","135","2330","2020-11-13 14:21:48.712258"
"608","ENG-4","255901001","676","255901001","2012","155","2333","2020-11-13 14:21:48.718952"
"608","ENG-4","255901001","676","255901001","2012","164","2333","2020-11-13 14:21:48.728911"
"608","ENG-4","255901001","676","255901001","2012","179","2333","2020-11-13 14:21:48.736667"
"608","ENG-4","255901001","676","255901001","2012","188","2330","2020-11-13 14:21:48.744011"
"608","ENG-4","255901001","676","255901001","2012","206","2333","2020-11-13 14:21:48.754532"
"608","ENG-4","255901001","676","255901001","2012","209","2330","2020-11-13 14:21:48.768150"
"608","ENG-4","255901001","676","255901001","2012","226","2330","2020-11-13 14:21:48.783892"
"608","ENG-4","255901001","676","255901001","2012","252","2333","2020-11-13 14:21:48.790940"
"608","ENG-4","255901001","676","255901001","2012","275","2333","2020-11-13 14:21:48.804273"
"608","ENG-4","255901001","676","255901001","2012","285","2330","2020-11-13 14:21:48.812176"
"608","ENG-4","255901001","676","255901001","2012","285","2333","2020-11-13 14:21:48.819072"
"608","ENG-4","255901001","676","255901001","2012","302","2333","2020-11-13 14:21:48.829638"
"608","ENG-4","255901001","676","255901001","2012","331","2333","2020-11-13 14:21:48.835982"
"608","ENG-4","255901001","676","255901001","2012","355","2330","2020-11-13 14:21:48.849744"
"608","ENG-4","255901001","676","255901001","2012","376","2333","2020-11-13 14:21:48.868176"
"608","ENG-4","255901001","676","255901001","2012","387","2330","2020-11-13 14:21:48.879586"
"609","ENG-4","255901001","676","255901001","2011","413","2333","2020-11-13 14:21:48.901210"
"609","ENG-4","255901001","676","255901001","2011","578","2333","2020-11-13 14:21:48.914030"
"609","ENG-4","255901001","676","255901001","2011","709","2330","2020-11-13 14:21:48.932380"
"609","ENG-4","255901001","676","255901001","2011","802","2333","2020-11-13 14:21:48.945777"
"609","ENG-4","255901001","676","255901001","2012","127","2333","2020-11-13 14:21:48.955557"
"609","ENG-4","255901001","676","255901001","2012","276","2330","2020-11-13 14:21:48.962725"
"609","ENG-4","255901001","676","255901001","2012","384","2333","2020-11-13 14:21:48.978154"
"609","PHYSICS","255901001","677","255901001","2011","413","2333","2020-11-13 14:22:11.426384"
"609","PHYSICS","255901001","677","255901001","2011","538","2330","2020-11-13 14:22:11.433824"
"609","PHYSICS","255901001","677","255901001","2011","650","2330","2020-11-13 14:22:11.444323"
"609","PHYSICS","255901001","677","255901001","2011","689","2333","2020-11-13 14:22:11.450271"
"609","PHYSICS","255901001","677","255901001","2011","756","2330","2020-11-13 14:22:11.464437"
"609","PHYSICS","255901001","677","255901001","2011","886","2330","2020-11-13 14:22:11.475327"
"609","PHYSICS","255901001","677","255901001","2011","943","2330","2020-11-13 14:22:11.480635"
"609","PHYSICS","255901001","677","255901001","2012","127","2330","2020-11-13 14:22:11.491369"
"609","PHYSICS","255901001","677","255901001","2012","206","2330","2020-11-13 14:22:11.497311"
"609","PHYSICS","255901001","677","255901001","2012","355","2333","2020-11-13 14:22:11.514345"
"608","PHYSICS","255901001","677","255901001","2011","427","2330","2020-11-13 14:22:11.530167"
"608","PHYSICS","255901001","677","255901001","2011","440","2330","2020-11-13 14:22:11.549342"
"608","PHYSICS","255901001","677","255901001","2011","467","2333","2020-11-13 14:22:11.557973"
"608","PHYSICS","255901001","677","255901001","2011","486","2333","2020-11-13 14:22:11.564486"
"608","PHYSICS","255901001","677","255901001","2011","515","2333","2020-11-13 14:22:11.574660"
"608","PHYSICS","255901001","677","255901001","2011","528","2333","2020-11-13 14:22:11.583404"
"608","PHYSICS","255901001","677","255901001","2011","542","2330","2020-11-13 14:22:11.589939"
"608","PHYSICS","255901001","677","255901001","2011","547","2333","2020-11-13 14:22:11.600690"
"608","PHYSICS","255901001","677","255901001","2011","574","2330","2020-11-13 14:22:11.606846"
"608","PHYSICS","255901001","677","255901001","2011","578","2330","2020-11-13 14:22:11.616967"
"608","PHYSICS","255901001","677","255901001","2011","608","2330","2020-11-13 14:22:11.624182"
"608","PHYSICS","255901001","677","255901001","2011","611","2330","2020-11-13 14:22:11.632595"
"608","PHYSICS","255901001","677","255901001","2011","612","2333","2020-11-13 14:22:11.641840"
"608","PHYSICS","255901001","677","255901001","2011","618","2330","2020-11-13 14:22:11.651624"
"608","PHYSICS","255901001","677","255901001","2011","623","2330","2020-11-13 14:22:11.659502"
"608","PHYSICS","255901001","677","255901001","2011","630","2330","2020-11-13 14:22:11.668957"
"608","PHYSICS","255901001","677","255901001","2011","652","2330","2020-11-13 14:22:11.675825"
"608","PHYSICS","255901001","677","255901001","2011","668","2330","2020-11-13 14:22:11.687556"
"608","PHYSICS","255901001","677","255901001","2011","674","2330","2020-11-13 14:22:11.693992"
"608","PHYSICS","255901001","677","255901001","2011","674","2333","2020-11-13 14:22:11.702192"
"608","PHYSICS","255901001","677","255901001","2011","697","2330","2020-11-13 14:22:11.711733"
"608","PHYSICS","255901001","677","255901001","2011","697","2333","2020-11-13 14:22:11.727093"
"608","PHYSICS","255901001","677","255901001","2011","707","2330","2020-11-13 14:22:11.742615"
"608","PHYSICS","255901001","677","255901001","2011","756","2333","2020-11-13 14:22:11.764369"
"608","PHYSICS","255901001","677","255901001","2011","774","2330","2020-11-13 14:22:11.778084"
"608","PHYSICS","255901001","677","255901001","2011","792","2330","2020-11-13 14:22:11.791676"
"608","PHYSICS","255901001","677","255901001","2011","838","2330","2020-11-13 14:22:11.807209"
"608","PHYSICS","255901001","677","255901001","2011","886","2333","2020-11-13 14:22:11.825776"
"608","PHYSICS","255901001","677","255901001","2011","912","2330","2020-11-13 14:22:11.841077"
"608","PHYSICS","255901001","677","255901001","2011","943","2333","2020-11-13 14:22:11.853147"
"608","PHYSICS","255901001","677","255901001","2012","38","2330","2020-11-13 14:22:11.867199"
"608","PHYSICS","255901001","677","255901001","2012","53","2330","2020-11-13 14:22:11.886364"
"608","PHYSICS","255901001","677","255901001","2012","53","2333","2020-11-13 14:22:11.897889"
"608","PHYSICS","255901001","677","255901001","2012","127","2333","2020-11-13 14:22:11.903966"
"608","PHYSICS","255901001","677","255901001","2012","135","2330","2020-11-13 14:22:11.912818"
"608","PHYSICS","255901001","677","255901001","2012","164","2333","2020-11-13 14:22:11.919408"
"608","PHYSICS","255901001","677","255901001","2012","188","2330","2020-11-13 14:22:11.931498"
"608","PHYSICS","255901001","677","255901001","2012","209","2330","2020-11-13 14:22:11.945128"
"608","PHYSICS","255901001","677","255901001","2012","224","2333","2020-11-13 14:22:11.953214"
"608","PHYSICS","255901001","677","255901001","2012","226","2333","2020-11-13 14:22:11.959968"
"608","PHYSICS","255901001","677","255901001","2012","275","2333","2020-11-13 14:22:11.973137"
"608","PHYSICS","255901001","677","255901001","2012","285","2330","2020-11-13 14:22:11.984885"
"608","PHYSICS","255901001","677","255901001","2012","302","2330","2020-11-13 14:22:11.999974"
"608","PHYSICS","255901001","677","255901001","2012","331","2333","2020-11-13 14:22:12.006507"
"608","PHYSICS","255901001","677","255901001","2012","355","2330","2020-11-13 14:22:12.020551"
"608","PHYSICS","255901001","677","255901001","2012","357","2333","2020-11-13 14:22:12.026662"
"608","PHYSICS","255901001","677","255901001","2012","376","2330","2020-11-13 14:22:12.033835"
"608","PHYSICS","255901001","677","255901001","2012","387","2330","2020-11-13 14:22:12.049711"
"608","PHYSICS","255901001","677","255901001","2012","396","2330","2020-11-13 14:22:12.302887"
"608","PHYSICS","255901001","677","255901001","2012","396","2333","2020-11-13 14:22:12.318300"
"608","PHYSICS","255901001","677","255901001","2012","397","2330","2020-11-13 14:22:12.302517"
"608","ENG-4","255901001","676","255901001","2011","427","2330","2020-11-13 14:21:47.881418"
"608","ENG-4","255901001","676","255901001","2011","440","2333","2020-11-13 14:21:47.898640"
"608","ENG-4","255901001","676","255901001","2011","528","2330","2020-11-13 14:21:47.915722"
"608","ENG-4","255901001","676","255901001","2011","542","2330","2020-11-13 14:21:47.932351"
"608","ENG-4","255901001","676","255901001","2011","547","2333","2020-11-13 14:21:47.946432"
"608","ENG-4","255901001","676","255901001","2011","574","2333","2020-11-13 14:21:47.965779"
"608","ENG-4","255901001","676","255901001","2011","611","2330","2020-11-13 14:21:47.980975"
"608","ENG-4","255901001","676","255901001","2011","612","2330","2020-11-13 14:21:47.989884"
"608","ENG-4","255901001","676","255901001","2011","618","2333","2020-11-13 14:21:47.995861"
"608","ENG-4","255901001","676","255901001","2011","652","2333","2020-11-13 14:21:48.014650"
"608","ENG-4","255901001","676","255901001","2011","650","2330","2020-11-13 14:21:48.021595"
"608","ENG-4","255901001","676","255901001","2011","668","2333","2020-11-13 14:21:48.029303"
"608","ENG-4","255901001","676","255901001","2011","680","2330","2020-11-13 14:21:48.044104"
"608","ENG-4","255901001","676","255901001","2011","697","2333","2020-11-13 14:21:48.062153"
"608","ENG-4","255901001","676","255901001","2011","707","2333","2020-11-13 14:21:48.090926"
"608","ENG-4","255901001","676","255901001","2011","748","2330","2020-11-13 14:21:48.097592"
"608","ENG-4","255901001","676","255901001","2011","756","2333","2020-11-13 14:21:48.109092"
"608","ENG-4","255901001","676","255901001","2011","774","2330","2020-11-13 14:21:48.123128"
"608","ENG-4","255901001","676","255901001","2011","792","2333","2020-11-13 14:21:48.133534"
"608","ENG-4","255901001","676","255901001","2011","819","2333","2020-11-13 14:21:48.139785"
"608","ENG-4","255901001","676","255901001","2011","864","2330","2020-11-13 14:21:48.155761"
"608","ENG-4","255901001","676","255901001","2011","900","2333","2020-11-13 14:21:48.174500"
"608","ENG-4","255901001","676","255901001","2011","901","2330","2020-11-13 14:21:48.181307"
"608","ENG-4","255901001","676","255901001","2011","912","2330","2020-11-13 14:21:48.187148"
"608","ENG-4","255901001","676","255901001","2012","18","2330","2020-11-13 14:21:48.646503"
"608","ENG-4","255901001","676","255901001","2012","30","2333","2020-11-13 14:21:48.665319"
"608","ENG-4","255901001","676","255901001","2012","47","2330","2020-11-13 14:21:48.683078"
"608","ENG-4","255901001","676","255901001","2012","53","2333","2020-11-13 14:21:48.696814"
"608","ENG-4","255901001","676","255901001","2012","155","2330","2020-11-13 14:21:48.714328"
"608","ENG-4","255901001","676","255901001","2012","164","2330","2020-11-13 14:21:48.729030"
"608","ENG-4","255901001","676","255901001","2012","188","2333","2020-11-13 14:21:48.745983"
"608","ENG-4","255901001","676","255901001","2012","224","2333","2020-11-13 14:21:48.770654"
"608","ENG-4","255901001","676","255901001","2012","226","2333","2020-11-13 14:21:48.785011"
"608","ENG-4","255901001","676","255901001","2012","275","2330","2020-11-13 14:21:48.804307"
"608","ENG-4","255901001","676","255901001","2012","301","2333","2020-11-13 14:21:48.821746"
"608","ENG-4","255901001","676","255901001","2012","343","2330","2020-11-13 14:21:48.837374"
"608","ENG-4","255901001","676","255901001","2012","343","2333","2020-11-13 14:21:48.846082"
"608","ENG-4","255901001","676","255901001","2012","357","2330","2020-11-13 14:21:48.852659"
"608","ENG-4","255901001","676","255901001","2012","363","2333","2020-11-13 14:21:48.865449"
"608","ENG-4","255901001","676","255901001","2012","392","2333","2020-11-13 14:21:48.882945"
"608","ENG-4","255901001","676","255901001","2012","396","2330","2020-11-13 14:21:48.897019"
"609","ENG-4","255901001","676","255901001","2011","538","2330","2020-11-13 14:21:48.911720"
"609","ENG-4","255901001","676","255901001","2011","623","2333","2020-11-13 14:21:48.917487"
"609","ENG-4","255901001","676","255901001","2011","707","2330","2020-11-13 14:21:48.930157"
"609","ENG-4","255901001","676","255901001","2011","770","2330","2020-11-13 14:21:48.936538"
"609","ENG-4","255901001","676","255901001","2011","874","2333","2020-11-13 14:21:48.947418"
"609","ENG-4","255901001","676","255901001","2012","301","2330","2020-11-13 14:21:48.962777"
"609","ENG-4","255901001","676","255901001","2012","384","2330","2020-11-13 14:21:48.973158"
"609","ENG-4","255901001","676","255901001","2012","397","2330","2020-11-13 14:21:48.979943"
"609","PHYSICS","255901001","677","255901001","2011","564","2330","2020-11-13 14:22:11.437862"
"609","PHYSICS","255901001","677","255901001","2011","715","2330","2020-11-13 14:22:11.451766"
"609","PHYSICS","255901001","677","255901001","2011","748","2333","2020-11-13 14:22:11.460137"
"609","PHYSICS","255901001","677","255901001","2011","819","2330","2020-11-13 14:22:11.466722"
"609","PHYSICS","255901001","677","255901001","2011","900","2330","2020-11-13 14:22:11.478637"
"609","PHYSICS","255901001","677","255901001","2012","135","2333","2020-11-13 14:22:11.493669"
"609","PHYSICS","255901001","677","255901001","2012","252","2330","2020-11-13 14:22:11.511224"
"609","PHYSICS","255901001","677","255901001","2012","363","2330","2020-11-13 14:22:11.527666"
"608","PHYSICS","255901001","677","255901001","2011","440","2333","2020-11-13 14:22:11.544009"
"608","PHYSICS","255901001","677","255901001","2011","515","2330","2020-11-13 14:22:11.567330"
"608","PHYSICS","255901001","677","255901001","2011","528","2330","2020-11-13 14:22:11.576087"
"608","PHYSICS","255901001","677","255901001","2011","538","2333","2020-11-13 14:22:11.583441"
"608","PHYSICS","255901001","677","255901001","2011","547","2330","2020-11-13 14:22:11.593215"
"608","PHYSICS","255901001","677","255901001","2011","574","2333","2020-11-13 14:22:11.610729"
"608","PHYSICS","255901001","677","255901001","2011","608","2333","2020-11-13 14:22:11.627231"
"608","PHYSICS","255901001","677","255901001","2011","611","2333","2020-11-13 14:22:11.633368"
"608","PHYSICS","255901001","677","255901001","2011","623","2333","2020-11-13 14:22:11.661238"
"608","PHYSICS","255901001","677","255901001","2011","652","2333","2020-11-13 14:22:11.677569"
"608","PHYSICS","255901001","677","255901001","2011","650","2333","2020-11-13 14:22:11.684436"
"608","PHYSICS","255901001","677","255901001","2011","668","2333","2020-11-13 14:22:11.691173"
"608","PHYSICS","255901001","677","255901001","2011","680","2330","2020-11-13 14:22:11.703656"
"608","PHYSICS","255901001","677","255901001","2011","698","2330","2020-11-13 14:22:11.727476"
"608","PHYSICS","255901001","677","255901001","2011","703","2333","2020-11-13 14:22:11.742197"
"608","PHYSICS","255901001","677","255901001","2011","709","2333","2020-11-13 14:22:11.757928"
"608","PHYSICS","255901001","677","255901001","2011","770","2330","2020-11-13 14:22:11.775768"
"608","PHYSICS","255901001","677","255901001","2011","774","2333","2020-11-13 14:22:11.785468"
"608","PHYSICS","255901001","677","255901001","2011","802","2330","2020-11-13 14:22:11.791967"
"608","PHYSICS","255901001","677","255901001","2011","819","2333","2020-11-13 14:22:11.802024"
"608","PHYSICS","255901001","677","255901001","2011","838","2333","2020-11-13 14:22:11.808295"
"608","PHYSICS","255901001","677","255901001","2011","874","2330","2020-11-13 14:22:11.821635"
"608","PHYSICS","255901001","677","255901001","2011","900","2333","2020-11-13 14:22:11.834161"
"608","PHYSICS","255901001","677","255901001","2011","901","2333","2020-11-13 14:22:11.839516"
"608","PHYSICS","255901001","677","255901001","2011","912","2333","2020-11-13 14:22:11.848822"
"608","PHYSICS","255901001","677","255901001","2012","18","2330","2020-11-13 14:22:11.854550"
"608","PHYSICS","255901001","677","255901001","2012","38","2333","2020-11-13 14:22:11.868905"
"608","PHYSICS","255901001","677","255901001","2012","42","2333","2020-11-13 14:22:11.882962"
"608","PHYSICS","255901001","677","255901001","2012","155","2333","2020-11-13 14:22:11.914371"
"608","PHYSICS","255901001","677","255901001","2012","179","2330","2020-11-13 14:22:11.927378"
"608","PHYSICS","255901001","677","255901001","2012","188","2333","2020-11-13 14:22:11.936935"
"608","PHYSICS","255901001","677","255901001","2012","209","2333","2020-11-13 14:22:11.947692"
"608","PHYSICS","255901001","677","255901001","2012","252","2333","2020-11-13 14:22:11.963851"
