educationorganizationid,languagedescriptorid,studentusi,createdate
"255901","1543","149","2020-11-13 14:17:29.532130"
"255901","1469","150","2020-11-13 14:17:29.532394"
"255901","1398","154","2020-11-13 14:17:29.559795"
"255901","1076","160","2020-11-13 14:17:29.603024"
"255901","1136","162","2020-11-13 14:17:29.610577"
"255901","1324","163","2020-11-13 14:17:29.857371"
"255901","1541","167","2020-11-13 14:17:29.881787"
"255901","1158","169","2020-11-13 14:17:29.888229"
"255901","1429","172","2020-11-13 14:17:29.910133"
"255901","1429","173","2020-11-13 14:17:29.914071"
"255901","1134","179","2020-11-13 14:17:29.943774"
"255901","1324","180","2020-11-13 14:17:29.993077"
"255901","1521","181","2020-11-13 14:17:29.993108"
"255901","1498","177","2020-11-13 14:17:29.993166"
"255901","1201","187","2020-11-13 14:17:30.039598"
"255901","1170","184","2020-11-13 14:17:30.039624"
"255901","1134","186","2020-11-13 14:17:30.040084"
"255901","1181","193","2020-11-13 14:17:30.089318"
"255901","1134","192","2020-11-13 14:17:30.089313"
"255901","1335","195","2020-11-13 14:17:30.097796"
"255901","1179","197","2020-11-13 14:17:30.117024"
"255901","1335","201","2020-11-13 14:17:30.148420"
"255901","1160","203","2020-11-13 14:17:30.161263"
"255901","1204","206","2020-11-13 14:17:30.174964"
"255901","1152","207","2020-11-13 14:17:30.187567"
"255901","1529","208","2020-11-13 14:17:30.190647"
"255901","1136","209","2020-11-13 14:17:30.198010"
"255901","1479","210","2020-11-13 14:17:30.200887"
"255901","1483","212","2020-11-13 14:17:30.215886"
"255901","1489","216","2020-11-13 14:17:30.243397"
"255901","1489","220","2020-11-13 14:17:30.269429"
"255901","1181","221","2020-11-13 14:17:30.269921"
"255901","1264","226","2020-11-13 14:17:30.304896"
"255901","1538","231","2020-11-13 14:17:30.340862"
"255901","1469","233","2020-11-13 14:17:30.353265"
"255901","1152","234","2020-11-13 14:17:30.357170"
"255901","1479","236","2020-11-13 14:17:30.380856"
"255901","1469","238","2020-11-13 14:17:30.386205"
"255901","1429","241","2020-11-13 14:17:30.408859"
"255901","1152","243","2020-11-13 14:17:30.413554"
"255901","1284","244","2020-11-13 14:17:30.431148"
"255901","1538","246","2020-11-13 14:17:30.437948"
"255901","1316","248","2020-11-13 14:17:30.465069"
"255901","1152","249","2020-11-13 14:17:30.465046"
"255901","1479","251","2020-11-13 14:17:30.474017"
"255901","1218","253","2020-11-13 14:17:30.506913"
"255901","1076","254","2020-11-13 14:17:30.508687"
"255901","1364","258","2020-11-13 14:17:30.536070"
"255901","1201","262","2020-11-13 14:17:30.566931"
"255901","1218","264","2020-11-13 14:17:30.576775"
"255901","1398","265","2020-11-13 14:17:30.585841"
"255901","1317","266","2020-11-13 14:17:30.594259"
"255901","1335","268","2020-11-13 14:17:30.604534"
"255901","1410","269","2020-11-13 14:17:30.614505"
"255901","1101","274","2020-11-13 14:17:30.645862"
"255901","1264","276","2020-11-13 14:17:30.657813"
"255901","1204","280","2020-11-13 14:17:30.688441"
"255901","1322","282","2020-11-13 14:17:30.705858"
"255901","1398","283","2020-11-13 14:17:30.705902"
"255901","1529","286","2020-11-13 14:17:30.731291"
"255901","1119","287","2020-11-13 14:17:30.735402"
"255901","1432","291","2020-11-13 14:17:30.762532"
"255901","1460","297","2020-11-13 14:17:30.803505"
"255901","1328","298","2020-11-13 14:17:30.811218"
"255901","1206","301","2020-11-13 14:17:30.832674"
"255901","1483","306","2020-11-13 14:17:30.859926"
"255901","1130","307","2020-11-13 14:17:30.867919"
"255901","1398","308","2020-11-13 14:17:30.870519"
"255901","1543","309","2020-11-13 14:17:30.883644"
"255901","1203","311","2020-11-13 14:17:30.894805"
"255901","1364","313","2020-11-13 14:17:30.910642"
"255901","1498","315","2020-11-13 14:17:30.921204"
"255901","1264","319","2020-11-13 14:17:30.954426"
"255901","1136","321","2020-11-13 14:17:30.962335"
"255901","1324","324","2020-11-13 14:17:30.980127"
"255901","1162","325","2020-11-13 14:17:30.988336"
"255901","1410","327","2020-11-13 14:17:30.996671"
"255901","1201","328","2020-11-13 14:17:31.006508"
"255901","1179","334","2020-11-13 14:17:31.038331"
"255901","1498","340","2020-11-13 14:17:31.064249"
"255901","1463","339","2020-11-13 14:17:31.084899"
"255901","1206","343","2020-11-13 14:17:31.092809"
"255901","1328","352","2020-11-13 14:17:31.155205"
"255901","1119","351","2020-11-13 14:17:31.159329"
"255901","1309","357","2020-11-13 14:17:31.188211"
"255901","1208","362","2020-11-13 14:17:31.225753"
"255901","1237","364","2020-11-13 14:17:31.234522"
"255901","1218","365","2020-11-13 14:17:31.243194"
"255901","1203","366","2020-11-13 14:17:31.254329"
"255901","1410","378","2020-11-13 14:17:31.333771"
"255901","1398","385","2020-11-13 14:17:31.390721"
"255901","1483","388","2020-11-13 14:17:31.413126"
"255901","1541","391","2020-11-13 14:17:31.430460"
"255901","1364","393","2020-11-13 14:17:31.444901"
"255901","1101","398","2020-11-13 14:17:31.470455"
"255901","1541","402","2020-11-13 14:17:31.507299"
"255901","1119","409","2020-11-13 14:17:31.537545"
"255901","1230","415","2020-11-13 14:17:31.577428"
"255901","1313","425","2020-11-13 14:17:31.640757"
"255901","1543","429","2020-11-13 14:17:31.668300"
"255901","1187","442","2020-11-13 14:17:31.767128"
"255901","1101","448","2020-11-13 14:17:31.795340"
"255901","1211","458","2020-11-13 14:17:31.868109"
"255901","1237","468","2020-11-13 14:17:31.923761"
"255901","1136","470","2020-11-13 14:17:31.956243"
"255901","1237","480","2020-11-13 14:17:32.004746"
"255901","1432","487","2020-11-13 14:17:32.051134"
"255901","1324","492","2020-11-13 14:17:32.076523"
"255901","1160","496","2020-11-13 14:17:32.100641"
"255901","1521","499","2020-11-13 14:17:32.127165"
"255901","1230","502","2020-11-13 14:17:32.151411"
"255901","1134","505","2020-11-13 14:17:32.161285"
"255901","1158","512","2020-11-13 14:17:32.201414"
"255901","1529","526","2020-11-13 14:17:32.292874"
"255901","1152","529","2020-11-13 14:17:32.318513"
"255901","1521","534","2020-11-13 14:17:32.342280"
"255901","1460","537","2020-11-13 14:17:32.368397"
"255901","1529","557","2020-11-13 14:17:32.494410"
"255901","1538","568","2020-11-13 14:17:32.573573"
"255901","1410","575","2020-11-13 14:17:32.626016"
"255901","1543","578","2020-11-13 14:17:32.648905"
"255901","1489","586","2020-11-13 14:17:32.703398"
"255901","1158","591","2020-11-13 14:17:32.727232"
"255901","1316","597","2020-11-13 14:17:32.771084"
"255901","1316","602","2020-11-13 14:17:32.805405"
"255901","1130","610","2020-11-13 14:17:32.855957"
"255901","1483","614","2020-11-13 14:17:32.883125"
"255901","1160","620","2020-11-13 14:17:32.918360"
"255901","1364","630","2020-11-13 14:17:32.984264"
"255901","1206","633","2020-11-13 14:17:33.011840"
"255901","1237","635","2020-11-13 14:17:33.019404"
"255901","1541","657","2020-11-13 14:17:33.172677"
"255901","1181","670","2020-11-13 14:17:33.246350"
"255901","1317","685","2020-11-13 14:17:33.344606"
"255901","1230","694","2020-11-13 14:17:33.395377"
"255901","1208","709","2020-11-13 14:17:33.495299"
"255901","1322","713","2020-11-13 14:17:33.520598"
"255901","1328","729","2020-11-13 14:17:33.624233"
"255901","1152","737","2020-11-13 14:17:33.673195"
"255901","1284","745","2020-11-13 14:17:33.723957"
"255901","1364","754","2020-11-13 14:17:33.774617"
"255901","1521","759","2020-11-13 14:17:33.826833"
"255901","1162","779","2020-11-13 14:17:33.959648"
"255901","1162","782","2020-11-13 14:17:33.978301"
"255901","1119","789","2020-11-13 14:17:34.025959"
"255901","1492","790","2020-11-13 14:17:34.036106"
"255901","1206","803","2020-11-13 14:17:34.111320"
"255901","1162","814","2020-11-13 14:17:34.188135"
"255901","1489","828","2020-11-13 14:17:34.288761"
"255901","1181","836","2020-11-13 14:17:34.340105"
"255901","1179","841","2020-11-13 14:17:34.364174"
"255901","1479","853","2020-11-13 14:17:34.443016"
"255901","1203","854","2020-11-13 14:17:34.453434"
"255901","1463","865","2020-11-13 14:17:34.525322"
"255901","1335","867","2020-11-13 14:17:34.536060"
"255901","1432","875","2020-11-13 14:17:34.591596"
"255901","1322","899","2020-11-13 14:17:34.745925"
"255901","1317","905","2020-11-13 14:17:34.785210"
"255901","1309","919","2020-11-13 14:17:34.884475"
"255901","1335","933","2020-11-13 14:17:34.944403"
"255901","1313","940","2020-11-13 14:17:35.002674"
"255901","1313","944","2020-11-13 14:17:35.035022"
"255901","1492","946","2020-11-13 14:17:35.043448"
"255901","1230","947","2020-11-13 14:17:35.052962"
"255901","1317","952","2020-11-13 14:17:35.082599"
"255901","1541","957","2020-11-13 14:17:35.112560"
"255901","1492","413","2020-11-13 14:17:31.582869"
"255901","1227","417","2020-11-13 14:17:31.592423"
"255901","1203","419","2020-11-13 14:17:31.607194"
"255901","1410","420","2020-11-13 14:17:31.614612"
"255901","1206","428","2020-11-13 14:17:31.666644"
"255901","1429","435","2020-11-13 14:17:31.718093"
"255901","1498","439","2020-11-13 14:17:31.742069"
"255901","1460","450","2020-11-13 14:17:31.819821"
"255901","1204","464","2020-11-13 14:17:31.895535"
"255901","1498","477","2020-11-13 14:17:31.979053"
"255901","1201","479","2020-11-13 14:17:32.002564"
"255901","1218","486","2020-11-13 14:17:32.050237"
"255901","1160","494","2020-11-13 14:17:32.099696"
"255901","1432","511","2020-11-13 14:17:32.200475"
"255901","1483","516","2020-11-13 14:17:32.226414"
"255901","1134","518","2020-11-13 14:17:32.249390"
"255901","1179","532","2020-11-13 14:17:32.341903"
"255901","1076","536","2020-11-13 14:17:32.367916"
"255901","1398","545","2020-11-13 14:17:32.420565"
"255901","1101","550","2020-11-13 14:17:32.445636"
"255901","1469","565","2020-11-13 14:17:32.549036"
"255901","1204","572","2020-11-13 14:17:32.601918"
"255901","1479","587","2020-11-13 14:17:32.703395"
"255901","1201","594","2020-11-13 14:17:32.752956"
"255901","1237","598","2020-11-13 14:17:32.780580"
"255901","1237","603","2020-11-13 14:17:32.809258"
"255901","1179","606","2020-11-13 14:17:32.830175"
"255901","1492","609","2020-11-13 14:17:32.856784"
"255901","1206","625","2020-11-13 14:17:32.947457"
"255901","1543","626","2020-11-13 14:17:32.959914"
"255901","1328","634","2020-11-13 14:17:33.013120"
"255901","1076","636","2020-11-13 14:17:33.037465"
"255901","1538","639","2020-11-13 14:17:33.049136"
"255901","1181","642","2020-11-13 14:17:33.067377"
"255901","1313","645","2020-11-13 14:17:33.099756"
"255901","1335","648","2020-11-13 14:17:33.121189"
"255901","1264","650","2020-11-13 14:17:33.133697"
"255901","1284","656","2020-11-13 14:17:33.163534"
"255901","1309","678","2020-11-13 14:17:33.298126"
"255901","1203","680","2020-11-13 14:17:33.322042"
"255901","1324","684","2020-11-13 14:17:33.342130"
"255901","1463","704","2020-11-13 14:17:33.468244"
"255901","1208","728","2020-11-13 14:17:33.623195"
"255901","1324","736","2020-11-13 14:17:33.672644"
"255901","1152","744","2020-11-13 14:17:33.724027"
"255901","1208","757","2020-11-13 14:17:33.803855"
"255901","1469","770","2020-11-13 14:17:33.892485"
"255901","1181","771","2020-11-13 14:17:33.910049"
"255901","1101","774","2020-11-13 14:17:33.920850"
"255901","1521","783","2020-11-13 14:17:33.984231"
"255901","1158","785","2020-11-13 14:17:33.999260"
"255901","1328","797","2020-11-13 14:17:34.083039"
"255901","1218","801","2020-11-13 14:17:34.110292"
"255901","1483","809","2020-11-13 14:17:34.160147"
"255901","1160","813","2020-11-13 14:17:34.188069"
"255901","1158","820","2020-11-13 14:17:34.233711"
"255901","1230","823","2020-11-13 14:17:34.244734"
"255901","1130","838","2020-11-13 14:17:34.346915"
"255901","1432","847","2020-11-13 14:17:34.399282"
"255901","1230","850","2020-11-13 14:17:34.424491"
"255901","1316","860","2020-11-13 14:17:34.478595"
"255901","1492","861","2020-11-13 14:17:34.498183"
"255901","1218","868","2020-11-13 14:17:34.545549"
"255901","1463","871","2020-11-13 14:17:34.564622"
"255901","1410","872","2020-11-13 14:17:34.573470"
"255901","1322","879","2020-11-13 14:17:34.618602"
"255901","1208","886","2020-11-13 14:17:34.669912"
"255901","1170","891","2020-11-13 14:17:34.694634"
"255901","1324","911","2020-11-13 14:17:34.834068"
"255901","1322","924","2020-11-13 14:17:34.909967"
"255901","1284","934","2020-11-13 14:17:34.972958"
"255901","1119","942","2020-11-13 14:17:35.017913"
"255901","1538","945","2020-11-13 14:17:35.033704"
"255901","1237","949","2020-11-13 14:17:35.060473"
"255901","1317","950","2020-11-13 14:17:35.069556"
"255901","1328","951","2020-11-13 14:17:35.076791"
"255901","1489","953","2020-11-13 14:17:35.085149"
"255901","1208","954","2020-11-13 14:17:35.094616"
"255901","1206","960","2020-11-13 14:17:35.132726"
"255901","1227","421","2020-11-13 14:17:31.631545"
"255901","1284","427","2020-11-13 14:17:31.660508"
"255901","1309","437","2020-11-13 14:17:31.721581"
"255901","1483","440","2020-11-13 14:17:31.743191"
"255901","1162","446","2020-11-13 14:17:31.794982"
"255901","1541","457","2020-11-13 14:17:31.847733"
"255901","1152","466","2020-11-13 14:17:31.917205"
"255901","1136","478","2020-11-13 14:17:31.996082"
"255901","1264","481","2020-11-13 14:17:32.006231"
"255901","1463","483","2020-11-13 14:17:32.027485"
"255901","1284","491","2020-11-13 14:17:32.076182"
"255901","1538","517","2020-11-13 14:17:32.240646"
"255901","1218","519","2020-11-13 14:17:32.249325"
"255901","1130","533","2020-11-13 14:17:32.322016"
"255901","1170","535","2020-11-13 14:17:32.343795"
"255901","1463","539","2020-11-13 14:17:32.367795"
"255901","1460","542","2020-11-13 14:17:32.393201"
"255901","1264","555","2020-11-13 14:17:32.470324"
"255901","1328","576","2020-11-13 14:17:32.626012"
"255901","1119","580","2020-11-13 14:17:32.654719"
"255901","1130","592","2020-11-13 14:17:32.731191"
"255901","1316","604","2020-11-13 14:17:32.827037"
"255901","1316","613","2020-11-13 14:17:32.882247"
"255901","1203","617","2020-11-13 14:17:32.909237"
"255901","1208","622","2020-11-13 14:17:32.936408"
"255901","1463","640","2020-11-13 14:17:33.052162"
"255901","1529","646","2020-11-13 14:17:33.106008"
"255901","1227","659","2020-11-13 14:17:33.174256"
"255901","1309","669","2020-11-13 14:17:33.245803"
"255901","1170","674","2020-11-13 14:17:33.273022"
"255901","1130","689","2020-11-13 14:17:33.369897"
"255901","1130","698","2020-11-13 14:17:33.420536"
"255901","1187","702","2020-11-13 14:17:33.445694"
"255901","1410","726","2020-11-13 14:17:33.599263"
"255901","1429","731","2020-11-13 14:17:33.630840"
"255901","1204","740","2020-11-13 14:17:33.674595"
"255901","1313","742","2020-11-13 14:17:33.702077"
"255901","1076","746","2020-11-13 14:17:33.728482"
"255901","1208","753","2020-11-13 14:17:33.798531"
"255901","1227","760","2020-11-13 14:17:33.822445"
"255901","1460","761","2020-11-13 14:17:33.830715"
"255901","1538","768","2020-11-13 14:17:33.880651"
"255901","1498","778","2020-11-13 14:17:33.948934"
"255901","1498","784","2020-11-13 14:17:33.984694"
"255901","1410","787","2020-11-13 14:17:34.013196"
"255901","1364","793","2020-11-13 14:17:34.055067"
"255901","1170","795","2020-11-13 14:17:34.066441"
"255901","1230","811","2020-11-13 14:17:34.163592"
"255901","1237","816","2020-11-13 14:17:34.206800"
"255901","1179","819","2020-11-13 14:17:34.216793"
"255901","1429","822","2020-11-13 14:17:34.237791"
"255901","1529","830","2020-11-13 14:17:34.295620"
"255901","1521","845","2020-11-13 14:17:34.389783"
"255901","1101","857","2020-11-13 14:17:34.477767"
"255901","1492","864","2020-11-13 14:17:34.518977"
"255901","1521","866","2020-11-13 14:17:34.527288"
"255901","1158","889","2020-11-13 14:17:34.670032"
"255901","1322","894","2020-11-13 14:17:34.713445"
"255901","1309","900","2020-11-13 14:17:34.745921"
"255901","1187","904","2020-11-13 14:17:34.785342"
"255901","1322","916","2020-11-13 14:17:34.862445"
"255901","1483","922","2020-11-13 14:17:34.886423"
"255901","1136","928","2020-11-13 14:17:34.935756"
"255901","1264","937","2020-11-13 14:17:34.987652"
"255901","1119","956","2020-11-13 14:17:35.106869"
"255901","1460","959","2020-11-13 14:17:35.125865"
"255901","1432","431","2020-11-13 14:17:31.686956"
"255901","1134","451","2020-11-13 14:17:31.822670"
"255901","1162","456","2020-11-13 14:17:31.850839"
"255901","1316","461","2020-11-13 14:17:31.892067"
"255901","1432","475","2020-11-13 14:17:31.973429"
"255901","1170","482","2020-11-13 14:17:32.023419"
"255901","1134","501","2020-11-13 14:17:32.128488"
"255901","1206","504","2020-11-13 14:17:32.153787"
"255901","1317","521","2020-11-13 14:17:32.267839"
"255901","1492","538","2020-11-13 14:17:32.344736"
"255901","1158","543","2020-11-13 14:17:32.392256"
"255901","1179","556","2020-11-13 14:17:32.494445"
"255901","1187","569","2020-11-13 14:17:32.593271"
"255901","1101","577","2020-11-13 14:17:32.630598"
"255901","1119","579","2020-11-13 14:17:32.650473"
"255901","1170","582","2020-11-13 14:17:32.679183"
"255901","1316","608","2020-11-13 14:17:32.834727"
"255901","1489","612","2020-11-13 14:17:32.861809"
"255901","1324","664","2020-11-13 14:17:33.216013"
"255901","1227","716","2020-11-13 14:17:33.549501"
"255901","1364","735","2020-11-13 14:17:33.649104"
"255901","1541","798","2020-11-13 14:17:34.086247"
"255901","1538","802","2020-11-13 14:17:34.109859"
"255901","1170","806","2020-11-13 14:17:34.136502"
"255901","1227","821","2020-11-13 14:17:34.239917"
"255901","1076","825","2020-11-13 14:17:34.264560"
"255901","1203","895","2020-11-13 14:17:34.721199"
"255901","1101","914","2020-11-13 14:17:34.835833"
"255901","1227","929","2020-11-13 14:17:34.935751"
