educationorganizationid,employmentstatusdescriptorid,hiredate,staffusi,enddate,separationdescriptorid,separationreasondescriptorid,department,fulltimeequivalency,offerdate,hourlywage,credentialidentifier,stateofissuestateabbreviationdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"255901","865","2005-03-18","6",,,"2073","845","1.0000",,,,,"NULL","2020-11-13 14:16:07.054032","2020-11-13 14:16:07.053918","ba3e950f-51a1-482c-9e03-db9aba5176fa","11849"
"255901107","865","2007-12-29","2",,,"2073","346","1.0000",,,,,"NULL","2020-11-13 14:16:07.058333","2020-11-13 14:16:07.058280","48822cfe-dbaf-4a8b-a836-8f068ee8310e","11852"
"255901044","865","2008-08-24","43",,,"2073","286","1.0000",,,,,"NULL","2020-11-13 14:16:07.065295","2020-11-13 14:16:07.065172","da6d7c91-4353-4ce4-b000-5c1819a8d46c","11854"
"255901044","865","2008-04-13","49",,,"2073","757","1.0000",,,,,"NULL","2020-11-13 14:16:07.074951","2020-11-13 14:16:07.074871","2adffa27-70cf-48bd-a374-cab667a07c29","11858"
"255901044","865","2007-12-18","52",,,"2073","503","1.0000",,,,,"NULL","2020-11-13 14:16:07.085843","2020-11-13 14:16:07.085767","b1920baa-b0a7-41b1-bc22-e7533911e7e4","11863"
"255901044","865","2006-06-17","3",,,"2073","761","1.0000",,,,,"NULL","2020-11-13 14:16:07.094380","2020-11-13 14:16:07.094314","3b53ffcb-50d7-4d9e-ba6a-7d6c524486fb","11867"
"255901001","865","2006-12-14","8",,,"2073","949","1.0000",,,,,"NULL","2020-11-13 14:16:07.101391","2020-11-13 14:16:07.101301","486a00d9-cf45-4d71-9a48-efc64b8d25cf","11869"
"255901001","865","2008-08-23","53",,,"2073","954","1.0000",,,,,"NULL","2020-11-13 14:16:07.104397","2020-11-13 14:16:07.104276","5c899f7a-e8f7-4e7e-b971-6e5f9f2fdb25","11872"
"255901001","865","2007-01-26","55",,,"2073","986","1.0000",,,,,"NULL","2020-11-13 14:16:07.110626","2020-11-13 14:16:07.110536","cd56b424-08f3-4b3a-aba8-edcd6c03c7f8","11873"
"255901001","865","2007-09-11","59",,,"2073","906","1.0000",,,,,"NULL","2020-11-13 14:16:07.120056","2020-11-13 14:16:07.119973","63895a9d-e73b-4bbc-bbde-42d30f346f3c","11877"
"255901001","865","1992-02-23","65",,,"2073","480","1.0000",,,,,"NULL","2020-11-13 14:16:07.130694","2020-11-13 14:16:07.130615","8906de8b-a23c-4fd3-a792-8c72fc0d7b56","11883"
"255901001","865","1986-10-17","11",,,"2073","569","1.0000",,,,,"NULL","2020-11-13 14:16:07.137349","2020-11-13 14:16:07.137285","d88f2767-21fe-4181-9c71-22c9318a4ef1","11886"
