assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,performanceleveldescriptorid,minimumscore,maximumscore,resultdatatypetypedescriptorid,createdate
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","7","10","2012","2020-11-13 14:16:18.929837"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","6","2012","2020-11-13 14:16:18.936920"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","9","10","2012","2020-11-13 14:16:18.937450"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","7","10","2012","2020-11-13 14:16:18.937488"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","11","2012","2020-11-13 14:16:18.937534"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","15","16","2012","2020-11-13 14:16:18.938199"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","12","16","2012","2020-11-13 14:16:18.938234"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","9","2012","2020-11-13 14:16:18.940079"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","12","13","2012","2020-11-13 14:16:18.940618"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","10","13","2012","2020-11-13 14:16:18.940658"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","5","2012","2020-11-13 14:16:18.944427"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","7","8","2012","2020-11-13 14:16:18.945025"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","6","8","2012","2020-11-13 14:16:18.945060"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","5","2012","2020-11-13 14:16:18.955416"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","7","8","2012","2020-11-13 14:16:18.956036"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","6","8","2012","2020-11-13 14:16:18.956069"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","9","2012","2020-11-13 14:16:18.956026"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","12","13","2012","2020-11-13 14:16:18.956584"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","10","13","2012","2020-11-13 14:16:18.956623"
