assessmentidentifier,assessmentreportingmethoddescriptorid,namespace,studentassessmentidentifier,studentusi,result,resultdatatypetypedescriptorid,createdate
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","R7BugTHrL8gfX0pfUcIWPYxl9gtTudQYG5o8joTu","77","16","2012","2020-11-13 14:16:31.311254"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","T0rDkihrJWaalIVH9Vy20SUPtwrNsQsrCqau+6Xt","12","15","2012","2020-11-13 14:16:31.327114"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","vXYRbH6suoi5lIZXxKgFXwTZ5S5zc+787AppVVdN","104","19","2012","2020-11-13 14:16:31.343330"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","yRlGF6pbIZqHV8sUugmwKhU68MF9W7QEOXJF9YPK","488","22","2012","2020-11-13 14:16:31.363859"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","Z0679JvNIXM4auo5QyCqR6/emM4uot8ils/eHc4D","114","20","2012","2020-11-13 14:16:31.374775"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","ZMK0yFpctTopwptX626mBPuWfYoDZKB8n7sbXPuD","871","12","2012","2020-11-13 14:16:31.380553"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","0nZJsXpUzRVC1Hul5MFsJM52Yv9RlAuxsUqweyEH","326","9","2012","2020-11-13 14:16:31.400172"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","AnduBX4MRX2bQjHHJEbnL8WpYuOxHnFKTwftyobW","368","29","2012","2020-11-13 14:16:31.503190"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","Cb4W+DukPujuJ1sFKCyqAZjCPRWCMO2K5A7wR5So","446","12","2012","2020-11-13 14:16:31.516225"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","CzAIs5SUhVtHjvFW43VHWOAVahjf38Y38wEZ7VDA","474","21","2012","2020-11-13 14:16:31.526687"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","epIyh+KM/sDGmN52Z+nxrrGBsLdBGkmKlUvAfQW3","818","18","2012","2020-11-13 14:16:31.543760"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","G3cn7+Chc+j+tq4apq5svHNvQ3jhCgouHI8Khy6o","930","4","2012","2020-11-13 14:16:31.551234"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","ghxk9gqQUuAR7Rg1g7AfJkes0r6uXo4y41lq1/fZ","493","12","2012","2020-11-13 14:16:31.563555"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","h0KaelMWj4MUbZiPJ2Hulad9ZG+BLcFSNf65EtAp","273","14","2012","2020-11-13 14:16:31.571596"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","ikLJRrTxQdWxYu0jiNQ72HFDGmuAdf9H3X1G/1Sy","104","28","2012","2020-11-13 14:16:31.582704"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","jKfLF/WQtsNAVLmqM0Qt0Lxp1/7AVNMJ7AkO/dP/","615","15","2012","2020-11-13 14:16:31.591562"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","K3HjPcjWcGT2TtA6sre9Ol0QknSCDKBmgEJ3ONfC","733","12","2012","2020-11-13 14:16:31.599022"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","kkJUA0KN+F+UQo/tcbiYeMBl2JBrb9BlQMobVF/U","95","28","2012","2020-11-13 14:16:31.611916"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","KybWprloIbr1PM9GfbSDb4xTyhUorFgHwrtWgosM","602","11","2012","2020-11-13 14:16:31.623148"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","lwDfP6m1V3gYr02Gg7iYhzFkkGv9iInsbIMLvg4C","488","22","2012","2020-11-13 14:16:31.630480"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","O2oTsf+9A3HqJV+10x4U1sRF7xkuNYEb34nHd0JE","263","14","2012","2020-11-13 14:16:31.641001"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","pdLNocSi9zzCAch91KGc5nSOv4n58fdoQ8qhEi8L","170","11","2012","2020-11-13 14:16:31.655504"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","QEv02OFQ9ZCDCAsSOO/TDDOw0eWC66KWhwCRH2go","597","19","2012","2020-11-13 14:16:31.665105"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","rfu5tdDyYT+FdtBDzM6Ho7W8MPGS81k4bSt6oVQ7","77","11","2012","2020-11-13 14:16:31.677767"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","s8ndsXrF4Mva9S+FbXCrMNTg0zKwSEUSFeB97ed9","246","14","2012","2020-11-13 14:16:31.692746"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","tagiVUMw6n5TGS0N/2GMm002onAi33bu5V+rdp+b","367","14","2012","2020-11-13 14:16:31.706830"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","VQVVPwkMq1u8XoPsXQbO9HGONIyAGejgoWK52I1F","172","26","2012","2020-11-13 14:16:31.718941"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","xCYBea0gXN7fqME3P981emTh65Otlp40WuiOtEpL","114","11","2012","2020-11-13 14:16:31.725775"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","yJ4a4AM/suudM/GcXlg+LKYLUrsjBhPtbUITofRt","767","19","2012","2020-11-13 14:16:31.743675"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","YSLvQNgbz0HahDvn9KssZE0fUQiAA3m1Xqp2buWF","567","24","2012","2020-11-13 14:16:31.753967"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","yWaYmH9LKBMqJW9CayFJquD/ZXDQsuwLBV8jHQwY","67","24","2012","2020-11-13 14:16:31.767995"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","3o2HPZ21exlO49NgCFD09F53Y+R4umpPnbUnvdo6","711","10","2012","2020-11-13 14:16:31.780577"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","4CQ5YtPQXjOBeX3XC4TpZBr1sSs7xROiggX/F7Dn","846","17","2012","2020-11-13 14:16:31.788196"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","4tl6G5EyQ3HTSCGEZ2QDtX9HOPJxYOzQyRNZu8xD","708","16","2012","2020-11-13 14:16:31.793518"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","+kBFFtn+N6AlNDJsT6YCDyDN8tJxVrRgmuIHp9Hp","506","11","2012","2020-11-13 14:16:31.034928"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","/5CuICgv87a7l71buErHAU52UEvjNldXQJycrR/U","729","27","2012","2020-11-13 14:16:31.034539"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","08FCwh9+V7fiI6iIg81ROtbbYTm6Ppo6Rg+pvN1m","482","23","2012","2020-11-13 14:16:31.059544"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","4GX5otLSLCDaUmA+jxfie1fdSZBr/UohErp5E15N","602","25","2012","2020-11-13 14:16:31.076842"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","7sBj7eKbn43H1j9E7ZP86l20kystjc+xMseCJzki","172","13","2012","2020-11-13 14:16:31.092140"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","aYn4P1nIypK5r2OIjGQYZFDE49672ECby/TScXJb","790","19","2012","2020-11-13 14:16:31.111757"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","epAJoJcXFOee8T6IY04WpqX06+bYqGoDUZW3gFob","199","23","2012","2020-11-13 14:16:31.123695"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","fyEcWSaMgDhDzeoLuQDY6hGYqppkt9w66nnmxYY1","818","19","2012","2020-11-13 14:16:31.137489"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","gbyEa0+TwvcXAkNi0HLj+Y0QWs+pWeMLNhz86OXa","263","27","2012","2020-11-13 14:16:31.145453"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","Hm4Ul+P35gL5pXfw5C1a+qge5Kgc3nYKQ/f5rDdE","615","22","2012","2020-11-13 14:16:31.156537"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","hmdqqTKa1B65RxOPmwnYFLd1Vl4ohhujtPyioeB0","895","13","2012","2020-11-13 14:16:31.163889"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","huw1bSyWuoV/HS9n26S6/lJpDE25GGlifKMADvKA","474","22","2012","2020-11-13 14:16:31.173461"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","jCIrOp7KqsaBXnYuaXxj8202qaPrf6lH4zVgy3qf","428","6","2012","2020-11-13 14:16:31.186160"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","KdWXRzDkHPmEajQbJQEHnFO4Y8nRJF2V0cQrCQdr","930","16","2012","2020-11-13 14:16:31.197920"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","Kn9LniBsB5Zn4+OzMQ+13EMFrq3+KIpTeGVTYScr","273","15","2012","2020-11-13 14:16:31.205552"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","KsUyvXunrDQQD6xoFUtdi0fKyLE4y0SqNDm/86QX","81","18","2012","2020-11-13 14:16:31.214716"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","N0zNFjE04enP/Z+8lnY0TD7yKVoSJaXUdapsOid7","368","15","2012","2020-11-13 14:16:31.234372"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","PTgIpSUm3lXm5UMDhhQZ/57ZvlJJNLY0OXbEs8J3","567","15","2012","2020-11-13 14:16:31.275146"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","oNrpvh62tNyPGrT9uiHuHv5WYJMpjssvPFniD2bH","439","16","2012","2020-11-13 14:16:31.276550"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","Q2VjJ8aec1Sfn4CAWTluvZm+mop/QSzHSCSQYmIm","167","20","2012","2020-11-13 14:16:31.294067"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","rWnU9oZigLjLTfaosPwBp52Q/SZQIE6+X4eCAEVS","221","14","2012","2020-11-13 14:16:31.312295"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","SJMTlzbDvwxCSfnxGqHonF1tlmb3aeE0YuhZZRNW","929","17","2012","2020-11-13 14:16:31.323779"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","U8zUkXMomAP6u1y3HmCjV79tVp6sDo0fNEEzlFo5","903","16","2012","2020-11-13 14:16:31.329351"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","vGglt1T7eawhXGN+rVtvkk49Ce04bG8otKa1AjHd","404","16","2012","2020-11-13 14:16:31.340907"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","w4frAevSvkaxK3VD5VqgamvzxKzn3OIHEIpubzsd","246","17","2012","2020-11-13 14:16:31.351698"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","wYoKt+hzrkIDL4GhSAb8Yr+h9H4b2hz8BeudgjP8","243","19","2012","2020-11-13 14:16:31.358823"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","+d+Jv5OFFV4DV7OIVFMkCknNv9MbjwUyoJCjsiDy","846","18","2012","2020-11-13 14:16:31.377717"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","0g3NSu2kG7GBiALX3JS7Xf3zW1usLqK8/gOPOt3U","439","22","2012","2020-11-13 14:16:31.378582"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","0zIrFJ7ZwoegzPX7z7zmTF6kjzKPKmht6bMednS8","806","20","2012","2020-11-13 14:16:31.392491"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","2PD17NHBVJmwpUD2zV5lm8jo9vkhdE9j7F2Gbkbt","295","22","2012","2020-11-13 14:16:31.395331"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","4V1RLQNzEewonZVJeWUh5RIlXGPIucCIjxP2DHjL","167","14","2012","2020-11-13 14:16:31.410194"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","65DrM7/mFgYzqjmuuDPE+8q9cQHYLeDGaRc/SDes","729","14","2012","2020-11-13 14:16:31.411540"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","6udV/1UaOlhweKtfYgZGM8c5vqk7NCl5PO72zLaR","929","8","2012","2020-11-13 14:16:31.485173"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","8+GmhD2HEhv2n/ovTEbBKR0WTFWcYg+Gu/poxEHU","790","18","2012","2020-11-13 14:16:31.488745"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","9VZyO0BxgkCCTYVgjIo4qW+0bfP366Szph9kq7VC","5","15","2012","2020-11-13 14:16:31.491353"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","BpT5foiGQP8NrEiY+sizYS1hDWXHW//5za7coF2W","911","20","2012","2020-11-13 14:16:31.505331"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","cn4FZ7ueFPCCi3MTbQf973FuwKMcySxKPV+EYwWJ","711","12","2012","2020-11-13 14:16:31.519910"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","DwQxbdrAd+ELe0Hcq6ULlFoW43XRd7U/dKbFLy1J","506","14","2012","2020-11-13 14:16:31.526562"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","Foyy7Zci1YszeBY5YovgibeQM42AxJBnSXu0MNIV","649","22","2012","2020-11-13 14:16:31.547035"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","guYriPkjxB7GSt2qLUsbWVAjEmsocnQdiFyGgECC","199","8","2012","2020-11-13 14:16:31.564765"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","HjUhlh6g/Pck/ngtGoV75Se8PlM578HSpTHvjGLE","720","11","2012","2020-11-13 14:16:31.573802"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","jw5WMhJoOnUFj4TPIOTub3HSP5AIjoTaLtEkDGdh","221","26","2012","2020-11-13 14:16:31.594164"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","KI3P8DPnUt72+eBkvNsEExg2lvwBeOttbLrX+sNs","81","19","2012","2020-11-13 14:16:31.601453"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","klmzMNBdGXNS8vbQza7wGwv30LSrqSLR27G1LIKd","631","15","2012","2020-11-13 14:16:31.620300"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","MPF1xt+oyfviMmfwmNto0qKMX4+nunUDhrfxDGTx","636","15","2012","2020-11-13 14:16:31.638452"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","PL5BmecyC/xxqP62Wi9rsYXqCFquVfmh4sGih+uG","428","15","2012","2020-11-13 14:16:31.660384"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","pfcxW78jZf9A4+J0SJt2nBvg1prz/RZoCv35PO+9","320","15","2012","2020-11-13 14:16:31.665056"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","s1tmP8XylhCOrt2Tyqt3F476p7Q58PufalPb5aBB","142","12","2012","2020-11-13 14:16:31.679228"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","S71U9ba8mHhq7y4ekLDF9knSH1JhGSo/355vGIi7","425","20","2012","2020-11-13 14:16:31.688525"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","SA7UzaQo3Ve1I69iHscVzyCJ1oD/No0UIIU/rIIj","691","20","2012","2020-11-13 14:16:31.694211"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","ttYFDdwpjRfsQmvg6EHDW2I/XJyduDEc+VvxSjb9","833","21","2012","2020-11-13 14:16:31.708124"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","X0tzF5odWR/2He99UMkg1W8x0oD5o+2ZHKsp0B2Q","647","20","2012","2020-11-13 14:16:31.724353"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","xFdbMxHUZ8sKSKFXygpVOp3RYmrRi2a3bXqTaeNV","433","20","2012","2020-11-13 14:16:31.738877"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","y++0QeIvKriMXX4fme8ho4h4kQqs1AeXxsc+H3CJ","63","21","2012","2020-11-13 14:16:31.741561"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","ZifphGmyah4jKKUF6B1V100MjGDwPkm7CGOorumJ","895","14","2012","2020-11-13 14:16:31.768032"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","1JcWI39c+RJin9cxu1FAKykjq4tfFtSbt0+gMDz9","895","19","2012","2020-11-13 14:16:31.777381"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","4FYUotADEIFjjUtfIfqMUhWBth3ScqpHXVv/zxMu","95","24","2012","2020-11-13 14:16:31.788547"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","5/sAbYFDJdrAJn2lwbADpZ+1eCwbJIjhj3vmgqDf","729","20","2012","2020-11-13 14:16:31.801138"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","Ajpe3KdrJjaeyDmtqx3e/1/q8BGgRvf5NfADpS8e","615","17","2012","2020-11-13 14:16:31.807134"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","BofoY9M631AT8M7fDnRfBt7l2scSDCoIPqWMZ8Xb","903","14","2012","2020-11-13 14:16:31.823100"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","BTIq19dqVPpW4wRrVnKL0JhsM25ICqHPkNeYET52","433","18","2012","2020-11-13 14:16:31.831660"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","DagoF2V0B7n7kfTqw7ht56umGva7F8LK6uoRVVd3","631","22","2012","2020-11-13 14:16:31.837546"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","eNFRTjVFEsp9NAy2muSeGAfjVaD6KM0MVvc1G0cb","767","18","2012","2020-11-13 14:16:31.851672"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","Hc/TkIZjowfKCnejt879+K4mRcF3SUk1E9TIRps6","170","17","2012","2020-11-13 14:16:31.867544"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","ijcrEAyH2o20Yla6HnvtpMdwxvGBcuSdkWrzglbE","142","20","2012","2020-11-13 14:16:31.879287"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","jhg4IEqRdCSe8nybVcbgQSzRAy8ii3gNAx9yBcC7","818","17","2012","2020-11-13 14:16:31.891155"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","lWyfDgrlghVAQAogbrzIvtKYJsBW1kfaKLqORxj3","647","16","2012","2020-11-13 14:16:31.930060"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","mIMZeSxTZt9zW654NU/tZV0xo1f9heImIbM5ypfh","320","9","2012","2020-11-13 14:16:31.935959"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","nxLWe7oIq3u5uY/poAWmDZ3UdsUBeq6HFUErpSzV","172","19","2012","2020-11-13 14:16:31.948246"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","RMAlbFu7L4ULvvjIb6JAb7uTR/wlTWblYoKxakpX","404","17","2012","2020-11-13 14:16:31.958823"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","SdHuL4RY42A5cpbFugmDZmDvYo0FsF7Pm7u22E9w","199","20","2012","2020-11-13 14:16:31.967193"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","T9a+3A1wCpvC+0HiFNDkKRUk2KUuMh63JgJ1kizE","295","16","2012","2020-11-13 14:16:31.980448"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","tfw1/XLzSkf2DIkMDBQFEHMlUs3R8p/0VSGgvyr3","428","28","2012","2020-11-13 14:16:31.985957"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","Utm5T4gfClwtnaqdvhlNIQMWaRGGM5F3bNtbFNf9","806","16","2012","2020-11-13 14:16:32.005797"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","w1x+TI8YpF+NmlJH5J6z0acBYYTuQcMnPIWnIic+","246","17","2012","2020-11-13 14:16:32.015476"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","wl8Z6IPkvDyiBRvw3AStid1q3hzonnUogb2JNL5J","636","9","2012","2020-11-13 14:16:32.024698"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","WW65Ee/sQ5TPbHPDRI/eLpl/+Vo5BcexwpFNf25H","474","24","2012","2020-11-13 14:16:32.035008"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","xSko4oF/JJCe3qziIN9H65cs/ZAuHMzNhsxI9A25","854","13","2012","2020-11-13 14:16:32.054776"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","yatH00eEF/wtvRH1wDREwQjIO1ielj/PWzBCg+uM","221","17","2012","2020-11-13 14:16:32.067305"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","zXC7Fue2u3sw7iLuyozFUf9eGe5SLMhLMEE7/bOr","12","25","2012","2020-11-13 14:16:32.081886"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","1wJAN8sfPF+8PPml7d+fe6efctoglI3WtuTaKSM7","81","17","2012","2020-11-13 14:16:32.100991"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","3K5sZtgRkwVN1rwzWSUEU7VW9MTrP5LmEQsPMT+x","453","21","2012","2020-11-13 14:16:32.113891"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","4TC1q6rawCDNVB3ShS6WoOlGWZg7kHHc15lIcYOs","567","19","2012","2020-11-13 14:16:32.121659"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","blS4EU2vRHHnp44woXRyPDsgIVvxKxHcFN+p4I0V","142","21","2012","2020-11-13 14:16:32.132042"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","dWGVyy1pXMXjgvHbaa3vw/P7WUOBsIYd+rupGf4x","720","18","2012","2020-11-13 14:16:32.142998"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","Fm/fFK19OgI0hZGl9862r+PfibmZuag/3KylMQTQ","818","14","2012","2020-11-13 14:16:32.154757"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","hg48QE0qgUOUzIcP7VoWLu4QQ0GSEAtV3zCnyOxT","602","15","2012","2020-11-13 14:16:32.169903"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","hxzHzoG1wzgYGwwLnmQQhpFKBTF+PZSjxXmENM4l","273","13","2012","2020-11-13 14:16:32.178249"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","jUBKE5VMvxmSj+VXSQTjxoWNZu/dutMbLpt0UcEl","896","15","2012","2020-11-13 14:16:32.194360"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","KCURy2v9rZeO9uFHODMbkFwBqclezsdCaOUYzAm5","833","18","2012","2020-11-13 14:16:32.209300"
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","lu8TFY4xc76OtOjRpthTGkV4fJDSeENatWK/c/FW","930","5","2012","2020-11-13 14:16:32.223492"
