assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,performanceleveldescriptorid,studentassessmentidentifier,studentusi,performancelevelmet,createdate
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.215060"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.217248"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.217197"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.217266"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.217234"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.217278"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.217249"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.217290"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1710","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.217294"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.217300"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","rtkQAv1VoyjupI9nWZs5NwSKslxpjJgbPj5Sa5tp","69","true","2020-11-13 14:16:42.217315"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.238291"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.240330"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.240349"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.240359"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.240370"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","0K8Di+HXBe5kBdD5mkTlgoe/SeIeeQsGlA504Sjt","52","true","2020-11-13 14:16:42.240380"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.265869"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.267776"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.267795"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.267805"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1710","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.267816"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","GLLeL3wasJWVIgyIOTSA/LgjTvJ+h4ZGGKT42dvs","17","true","2020-11-13 14:16:42.267825"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","e7qIuRSPxV945FQ17cM4hNWNBeuUSXVFJAJDGxYU","31","true","2020-11-13 14:16:42.300907"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","e7qIuRSPxV945FQ17cM4hNWNBeuUSXVFJAJDGxYU","31","true","2020-11-13 14:16:42.302447"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","e7qIuRSPxV945FQ17cM4hNWNBeuUSXVFJAJDGxYU","31","true","2020-11-13 14:16:42.302488"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","e7qIuRSPxV945FQ17cM4hNWNBeuUSXVFJAJDGxYU","31","true","2020-11-13 14:16:42.302499"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","VufXjEZ+N7gK5XJ6gfKrg+kg/Lv29tJwHenLY9QI","92","true","2020-11-13 14:16:42.329070"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","VufXjEZ+N7gK5XJ6gfKrg+kg/Lv29tJwHenLY9QI","92","true","2020-11-13 14:16:42.330443"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","VufXjEZ+N7gK5XJ6gfKrg+kg/Lv29tJwHenLY9QI","92","true","2020-11-13 14:16:42.330458"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","VufXjEZ+N7gK5XJ6gfKrg+kg/Lv29tJwHenLY9QI","92","true","2020-11-13 14:16:42.330468"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","ENo19layqucW0zXWJ39hStTKAuRBJ3sOL/AqleNf","52","true","2020-11-13 14:16:42.355632"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","ENo19layqucW0zXWJ39hStTKAuRBJ3sOL/AqleNf","52","true","2020-11-13 14:16:42.357103"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","ENo19layqucW0zXWJ39hStTKAuRBJ3sOL/AqleNf","52","true","2020-11-13 14:16:42.357119"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","ENo19layqucW0zXWJ39hStTKAuRBJ3sOL/AqleNf","52","true","2020-11-13 14:16:42.357136"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","t8fzZqxVtr1/EAR2gv4LaMi1uDRPkJ1YafkgYg2y","138","true","2020-11-13 14:16:42.383735"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","t8fzZqxVtr1/EAR2gv4LaMi1uDRPkJ1YafkgYg2y","138","true","2020-11-13 14:16:42.385264"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","t8fzZqxVtr1/EAR2gv4LaMi1uDRPkJ1YafkgYg2y","138","true","2020-11-13 14:16:42.385281"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","t8fzZqxVtr1/EAR2gv4LaMi1uDRPkJ1YafkgYg2y","138","true","2020-11-13 14:16:42.385293"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.243094"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.244950"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.244969"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.245024"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.245038"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","dtSYTxc7Sdb75555t8v1yU1xHO76yfGzG00DvrHz","36","true","2020-11-13 14:16:42.245083"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.270418"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.272610"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.272635"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.272647"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.272660"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","h4GG8urLokcFiBfVw92Gz7xThXqCTiZv6mSQhWAV","140","true","2020-11-13 14:16:42.272721"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","8emk8lF81W9MvxdWW2g2H/oY0p0rm5x/49ATbTdj","26","true","2020-11-13 14:16:42.297336"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","8emk8lF81W9MvxdWW2g2H/oY0p0rm5x/49ATbTdj","26","true","2020-11-13 14:16:42.298726"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","8emk8lF81W9MvxdWW2g2H/oY0p0rm5x/49ATbTdj","26","true","2020-11-13 14:16:42.298782"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","8emk8lF81W9MvxdWW2g2H/oY0p0rm5x/49ATbTdj","26","true","2020-11-13 14:16:42.298797"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","plI8IkWh2/2rMrWZZC/J6vwiX8zk2kn0vgaT4mdn","69","true","2020-11-13 14:16:42.328860"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","plI8IkWh2/2rMrWZZC/J6vwiX8zk2kn0vgaT4mdn","69","true","2020-11-13 14:16:42.330442"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","plI8IkWh2/2rMrWZZC/J6vwiX8zk2kn0vgaT4mdn","69","true","2020-11-13 14:16:42.330463"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","plI8IkWh2/2rMrWZZC/J6vwiX8zk2kn0vgaT4mdn","69","true","2020-11-13 14:16:42.330474"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","Dp7g6Rr/UijPYsndqHWzSdWaHcZbaLKuG5bleD4E","17","true","2020-11-13 14:16:42.345366"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","Dp7g6Rr/UijPYsndqHWzSdWaHcZbaLKuG5bleD4E","17","true","2020-11-13 14:16:42.347512"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","Dp7g6Rr/UijPYsndqHWzSdWaHcZbaLKuG5bleD4E","17","true","2020-11-13 14:16:42.347544"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","Dp7g6Rr/UijPYsndqHWzSdWaHcZbaLKuG5bleD4E","17","true","2020-11-13 14:16:42.347558"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","pGcwCrq0VH+dzIPaWAB+ezmMsXNi6eclZbvvgjHb","97","true","2020-11-13 14:16:42.366611"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","pGcwCrq0VH+dzIPaWAB+ezmMsXNi6eclZbvvgjHb","97","true","2020-11-13 14:16:42.367984"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","pGcwCrq0VH+dzIPaWAB+ezmMsXNi6eclZbvvgjHb","97","true","2020-11-13 14:16:42.368002"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","pGcwCrq0VH+dzIPaWAB+ezmMsXNi6eclZbvvgjHb","97","true","2020-11-13 14:16:42.368014"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","Vad5JDXQDwu+V16uohXPekFr9OdDByl//Z9nV7VQ","140","true","2020-11-13 14:16:42.382003"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","Vad5JDXQDwu+V16uohXPekFr9OdDByl//Z9nV7VQ","140","true","2020-11-13 14:16:42.383711"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","Vad5JDXQDwu+V16uohXPekFr9OdDByl//Z9nV7VQ","140","true","2020-11-13 14:16:42.383746"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","Vad5JDXQDwu+V16uohXPekFr9OdDByl//Z9nV7VQ","140","true","2020-11-13 14:16:42.383757"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","x40o9HwF8lECo/NGPDmmg/ugrO9Ebv3gTmxwKwD5","65","true","2020-11-13 14:16:42.394971"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","x40o9HwF8lECo/NGPDmmg/ugrO9Ebv3gTmxwKwD5","65","true","2020-11-13 14:16:42.396568"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","x40o9HwF8lECo/NGPDmmg/ugrO9Ebv3gTmxwKwD5","65","true","2020-11-13 14:16:42.396606"
"SA-2011-Reading-Fifth grade","214","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","x40o9HwF8lECo/NGPDmmg/ugrO9Ebv3gTmxwKwD5","65","true","2020-11-13 14:16:42.396617"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.245021"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.246855"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.246871"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.246881"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.246892"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","FpiMdvIGc/K7N2gIsAYkDq/bt+xwPnc5fQcNk+sT","97","true","2020-11-13 14:16:42.246901"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.272294"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.274646"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.274825"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.274857"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.274868"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","QaLG1ix4xHZm7kAyBFghcJB9og53hA0HUWZQh1ET","65","true","2020-11-13 14:16:42.274878"
