courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,courseidentificationsystemdescriptorid,educationorganizationid,schoolyear,studentusi,termdescriptorid,identificationcode,assigningorganizationidentificationcode,coursecatalogurl,createdate
"608","03100500","255901001","624","255901001","2011","554","2330","03100500",,,"2020-11-13 14:21:24.169833"
"608","03100500","255901001","624","255901001","2011","570","2330","03100500",,,"2020-11-13 14:21:24.175970"
"608","03100500","255901001","624","255901001","2011","570","2333","03100500",,,"2020-11-13 14:21:24.181822"
"608","03100500","255901001","624","255901001","2011","571","2330","03100500",,,"2020-11-13 14:21:24.183140"
"608","03100500","255901001","624","255901001","2011","571","2333","03100500",,,"2020-11-13 14:21:24.185770"
"608","03100500","255901001","624","255901001","2011","573","2330","03100500",,,"2020-11-13 14:21:24.193623"
"608","03100500","255901001","624","255901001","2011","573","2333","03100500",,,"2020-11-13 14:21:24.197181"
"608","03100500","255901001","624","255901001","2011","588","2333","03100500",,,"2020-11-13 14:21:24.199739"
"608","03100500","255901001","624","255901001","2011","627","2330","03100500",,,"2020-11-13 14:21:24.202020"
"608","03100500","255901001","624","255901001","2011","627","2333","03100500",,,"2020-11-13 14:21:24.209429"
"608","03100500","255901001","624","255901001","2011","628","2330","03100500",,,"2020-11-13 14:21:24.212266"
"608","03100500","255901001","624","255901001","2011","628","2333","03100500",,,"2020-11-13 14:21:24.215197"
"608","03100500","255901001","624","255901001","2011","635","2330","03100500",,,"2020-11-13 14:21:24.218756"
"608","03100500","255901001","624","255901001","2011","641","2330","03100500",,,"2020-11-13 14:21:24.225094"
"608","03100500","255901001","624","255901001","2011","641","2333","03100500",,,"2020-11-13 14:21:24.227179"
"608","03100500","255901001","624","255901001","2011","656","2333","03100500",,,"2020-11-13 14:21:24.230159"
"608","03100500","255901001","624","255901001","2011","657","2330","03100500",,,"2020-11-13 14:21:24.236597"
"608","03100500","255901001","624","255901001","2011","662","2330","03100500",,,"2020-11-13 14:21:24.251457"
"608","03100500","255901001","624","255901001","2011","657","2333","03100500",,,"2020-11-13 14:21:24.253057"
"608","03100500","255901001","624","255901001","2011","663","2330","03100500",,,"2020-11-13 14:21:24.256339"
"608","03100500","255901001","624","255901001","2011","662","2333","03100500",,,"2020-11-13 14:21:24.256184"
"608","03100500","255901001","624","255901001","2011","663","2333","03100500",,,"2020-11-13 14:21:24.265820"
"608","03100500","255901001","624","255901001","2011","666","2330","03100500",,,"2020-11-13 14:21:24.888639"
"608","03100500","255901001","624","255901001","2011","666","2333","03100500",,,"2020-11-13 14:21:24.892523"
"608","03100500","255901001","624","255901001","2011","692","2330","03100500",,,"2020-11-13 14:21:24.892326"
"608","03100500","255901001","624","255901001","2011","692","2333","03100500",,,"2020-11-13 14:21:24.892201"
"608","03100500","255901001","624","255901001","2011","696","2330","03100500",,,"2020-11-13 14:21:24.906333"
"608","03100500","255901001","624","255901001","2011","696","2333","03100500",,,"2020-11-13 14:21:24.908548"
"608","03100500","255901001","624","255901001","2011","710","2330","03100500",,,"2020-11-13 14:21:24.912221"
"608","03100500","255901001","624","255901001","2011","710","2333","03100500",,,"2020-11-13 14:21:24.914131"
"608","03100500","255901001","624","255901001","2011","728","2330","03100500",,,"2020-11-13 14:21:24.923722"
"608","03100500","255901001","624","255901001","2011","728","2333","03100500",,,"2020-11-13 14:21:24.926189"
"608","03100500","255901001","624","255901001","2011","735","2330","03100500",,,"2020-11-13 14:21:24.931978"
"608","03100500","255901001","624","255901001","2011","735","2333","03100500",,,"2020-11-13 14:21:24.935639"
"608","03100500","255901001","624","255901001","2011","736","2333","03100500",,,"2020-11-13 14:21:24.943724"
"608","03100500","255901001","624","255901001","2011","761","2330","03100500",,,"2020-11-13 14:21:24.945386"
"608","03100500","255901001","624","255901001","2011","761","2333","03100500",,,"2020-11-13 14:21:24.951508"
"608","03100500","255901001","624","255901001","2011","800","2330","03100500",,,"2020-11-13 14:21:24.956332"
"608","03100500","255901001","624","255901001","2011","805","2330","03100500",,,"2020-11-13 14:21:24.960319"
"608","03100500","255901001","624","255901001","2011","805","2333","03100500",,,"2020-11-13 14:21:24.962903"
"608","03100500","255901001","624","255901001","2011","809","2333","03100500",,,"2020-11-13 14:21:24.971165"
"608","03100500","255901001","624","255901001","2011","817","2330","03100500",,,"2020-11-13 14:21:24.973080"
"608","03100500","255901001","624","255901001","2011","817","2333","03100500",,,"2020-11-13 14:21:24.977408"
"608","03100500","255901001","624","255901001","2011","829","2333","03100500",,,"2020-11-13 14:21:24.979822"
"608","03100500","255901001","624","255901001","2011","841","2333","03100500",,,"2020-11-13 14:21:24.991709"
"608","03100500","255901001","624","255901001","2011","843","2330","03100500",,,"2020-11-13 14:21:24.999421"
"608","03100500","255901001","624","255901001","2011","843","2333","03100500",,,"2020-11-13 14:21:25.001036"
"608","03100500","255901001","624","255901001","2011","875","2330","03100500",,,"2020-11-13 14:21:25.002609"
"608","03100500","255901001","624","255901001","2011","875","2333","03100500",,,"2020-11-13 14:21:25.010651"
"608","03100500","255901001","624","255901001","2011","879","2330","03100500",,,"2020-11-13 14:21:25.016735"
"608","03100500","255901001","624","255901001","2011","879","2333","03100500",,,"2020-11-13 14:21:25.018966"
"608","03100500","255901001","624","255901001","2011","880","2330","03100500",,,"2020-11-13 14:21:25.019916"
"608","03100500","255901001","624","255901001","2011","880","2333","03100500",,,"2020-11-13 14:21:25.029291"
"608","03100500","255901001","624","255901001","2011","916","2330","03100500",,,"2020-11-13 14:21:25.032182"
"608","03100500","255901001","624","255901001","2011","916","2333","03100500",,,"2020-11-13 14:21:25.034771"
"608","03100500","255901001","624","255901001","2011","919","2330","03100500",,,"2020-11-13 14:21:25.035778"
"608","03100500","255901001","624","255901001","2011","955","2330","03100500",,,"2020-11-13 14:21:25.048714"
"608","03100500","255901001","624","255901001","2012","2","2330","03100500",,,"2020-11-13 14:21:25.062344"
"608","03100500","255901001","624","255901001","2012","27","2333","03100500",,,"2020-11-13 14:21:25.070730"
"608","03100500","255901001","624","255901001","2012","28","2333","03100500",,,"2020-11-13 14:21:25.079165"
"608","03100500","255901001","624","255901001","2012","61","2330","03100500",,,"2020-11-13 14:21:25.095460"
"608","03100500","255901001","624","255901001","2012","85","2333","03100500",,,"2020-11-13 14:21:25.109140"
"608","03100500","255901001","624","255901001","2012","107","2330","03100500",,,"2020-11-13 14:21:25.114824"
"608","03100500","255901001","624","255901001","2012","107","2333","03100500",,,"2020-11-13 14:21:25.124815"
"608","03100500","255901001","624","255901001","2012","120","2333","03100500",,,"2020-11-13 14:21:25.132195"
"608","03100500","255901001","624","255901001","2012","118","2333","03100500",,,"2020-11-13 14:21:25.139960"
"608","03100500","255901001","624","255901001","2012","136","2330","03100500",,,"2020-11-13 14:21:25.145314"
"608","03100500","255901001","624","255901001","2012","154","2333","03100500",,,"2020-11-13 14:21:25.161401"
"608","03100500","255901001","624","255901001","2012","211","2333","03100500",,,"2020-11-13 14:21:25.175646"
"608","03100500","255901001","624","255901001","2012","223","2333","03100500",,,"2020-11-13 14:21:25.188188"
"608","03100500","255901001","624","255901001","2012","268","2330","03100500",,,"2020-11-13 14:21:25.196585"
"608","03100500","255901001","624","255901001","2012","309","2330","03100500",,,"2020-11-13 14:21:25.215106"
"608","03100500","255901001","624","255901001","2012","314","2333","03100500",,,"2020-11-13 14:21:25.221862"
"608","03100500","255901001","624","255901001","2012","328","2333","03100500",,,"2020-11-13 14:21:25.234382"
"609","03100500","255901001","624","255901001","2011","422","2330","03100500",,,"2020-11-13 14:21:25.251249"
"609","03100500","255901001","624","255901001","2011","443","2330","03100500",,,"2020-11-13 14:21:25.257640"
"609","03100500","255901001","624","255901001","2011","489","2330","03100500",,,"2020-11-13 14:21:25.268588"
"609","03100500","255901001","624","255901001","2011","550","2333","03100500",,,"2020-11-13 14:21:25.275788"
"609","03100500","255901001","624","255901001","2011","635","2333","03100500",,,"2020-11-13 14:21:25.288319"
"609","03100500","255901001","624","255901001","2011","656","2330","03100500",,,"2020-11-13 14:21:25.295030"
"609","03100500","255901001","624","255901001","2011","688","2333","03100500",,,"2020-11-13 14:21:25.300535"
"609","03100500","255901001","624","255901001","2011","829","2330","03100500",,,"2020-11-13 14:21:25.316803"
"609","03100500","255901001","624","255901001","2011","957","2333","03100500",,,"2020-11-13 14:21:25.333587"
"609","03100500","255901001","624","255901001","2012","98","2330","03100500",,,"2020-11-13 14:21:25.345196"
"609","03100500","255901001","624","255901001","2012","314","2330","03100500",,,"2020-11-13 14:21:25.353664"
"609","03100500","255901001","624","255901001","2012","328","2330","03100500",,,"2020-11-13 14:21:25.361561"
"608","03100500","255901001","624","255901001","2011","954","2330","03100500",,,"2020-11-13 14:21:25.045442"
"608","03100500","255901001","624","255901001","2012","27","2330","03100500",,,"2020-11-13 14:21:25.066302"
"608","03100500","255901001","624","255901001","2012","43","2330","03100500",,,"2020-11-13 14:21:25.081597"
"608","03100500","255901001","624","255901001","2012","54","2333","03100500",,,"2020-11-13 14:21:25.094574"
"608","03100500","255901001","624","255901001","2012","149","2333","03100500",,,"2020-11-13 14:21:25.148378"
"608","03100500","255901001","624","255901001","2012","195","2333","03100500",,,"2020-11-13 14:21:25.163664"
"608","03100500","255901001","624","255901001","2012","222","2330","03100500",,,"2020-11-13 14:21:25.178314"
"608","03100500","255901001","624","255901001","2012","304","2330","03100500",,,"2020-11-13 14:21:25.205621"
"608","03100500","255901001","624","255901001","2012","315","2330","03100500",,,"2020-11-13 14:21:25.221902"
"608","03100500","255901001","624","255901001","2012","353","2330","03100500",,,"2020-11-13 14:21:25.239353"
"609","03100500","255901001","624","255901001","2011","588","2330","03100500",,,"2020-11-13 14:21:25.285274"
"609","03100500","255901001","624","255901001","2011","688","2330","03100500",,,"2020-11-13 14:21:25.299927"
"609","03100500","255901001","624","255901001","2011","919","2333","03100500",,,"2020-11-13 14:21:25.328453"
"609","03100500","255901001","624","255901001","2012","54","2330","03100500",,,"2020-11-13 14:21:25.335798"
"609","03100500","255901001","624","255901001","2012","149","2330","03100500",,,"2020-11-13 14:21:25.348053"
"608","03100500","255901001","624","255901001","2011","954","2333","03100500",,,"2020-11-13 14:21:25.048574"
"608","03100500","255901001","624","255901001","2012","120","2330","03100500",,,"2020-11-13 14:21:25.129245"
"608","03100500","255901001","624","255901001","2012","227","2333","03100500",,,"2020-11-13 14:21:25.192707"
"608","03100500","255901001","624","255901001","2012","304","2333","03100500",,,"2020-11-13 14:21:25.208651"
"609","03100500","255901001","624","255901001","2011","437","2330","03100500",,,"2020-11-13 14:21:25.253282"
"609","03100500","255901001","624","255901001","2011","809","2330","03100500",,,"2020-11-13 14:21:25.316469"
"609","03100500","255901001","624","255901001","2012","222","2333","03100500",,,"2020-11-13 14:21:25.350064"
"608","03100500","255901001","624","255901001","2011","957","2330","03100500",,,"2020-11-13 14:21:25.053257"
"608","03100500","255901001","624","255901001","2012","2","2333","03100500",,,"2020-11-13 14:21:25.064326"
"608","03100500","255901001","624","255901001","2012","28","2330","03100500",,,"2020-11-13 14:21:25.078544"
"608","03100500","255901001","624","255901001","2012","43","2333","03100500",,,"2020-11-13 14:21:25.089939"
"608","03100500","255901001","624","255901001","2012","61","2333","03100500",,,"2020-11-13 14:21:25.097057"
"608","03100500","255901001","624","255901001","2012","85","2330","03100500",,,"2020-11-13 14:21:25.106020"
"608","03100500","255901001","624","255901001","2012","98","2333","03100500",,,"2020-11-13 14:21:25.112532"
"608","03100500","255901001","624","255901001","2012","118","2330","03100500",,,"2020-11-13 14:21:25.133197"
"608","03100500","255901001","624","255901001","2012","136","2333","03100500",,,"2020-11-13 14:21:25.146131"
"608","03100500","255901001","624","255901001","2012","154","2330","03100500",,,"2020-11-13 14:21:25.156948"
"608","03100500","255901001","624","255901001","2012","195","2330","03100500",,,"2020-11-13 14:21:25.162256"
"608","03100500","255901001","624","255901001","2012","211","2330","03100500",,,"2020-11-13 14:21:25.172849"
"608","03100500","255901001","624","255901001","2012","223","2330","03100500",,,"2020-11-13 14:21:25.179229"
"608","03100500","255901001","624","255901001","2012","227","2330","03100500",,,"2020-11-13 14:21:25.190457"
"608","03100500","255901001","624","255901001","2012","268","2333","03100500",,,"2020-11-13 14:21:25.204386"
"608","03100500","255901001","624","255901001","2012","309","2333","03100500",,,"2020-11-13 14:21:25.220337"
"608","03100500","255901001","624","255901001","2012","315","2333","03100500",,,"2020-11-13 14:21:25.231363"
"608","03100500","255901001","624","255901001","2012","353","2333","03100500",,,"2020-11-13 14:21:25.237204"
"609","03100500","255901001","624","255901001","2011","437","2333","03100500",,,"2020-11-13 14:21:25.257583"
"609","03100500","255901001","624","255901001","2011","483","2330","03100500",,,"2020-11-13 14:21:25.267518"
"609","03100500","255901001","624","255901001","2011","498","2333","03100500",,,"2020-11-13 14:21:25.273358"
"609","03100500","255901001","624","255901001","2011","554","2333","03100500",,,"2020-11-13 14:21:25.284013"
"609","03100500","255901001","624","255901001","2011","736","2330","03100500",,,"2020-11-13 14:21:25.303693"
"609","03100500","255901001","624","255901001","2011","800","2333","03100500",,,"2020-11-13 14:21:25.311506"
"609","03100500","255901001","624","255901001","2011","841","2330","03100500",,,"2020-11-13 14:21:25.321287"
"609","03100500","255901001","624","255901001","2011","955","2333","03100500",,,"2020-11-13 14:21:25.333947"
